,harmonised_code,harmonised_name,nuts_3_code,nuts_3_name,nuts_2_code,nuts_2_name,nuts_1_code,nuts_1_name
646,FRG03,Mayenne,FRG03,Mayenne,FRG0,Pays de la Loire,FRG,Pays de la Loire
647,FRG04,Sarthe,FRG04,Sarthe,FRG0,Pays de la Loire,FRG,Pays de la Loire
648,FRG05,Vendée,FRG05,Vendée,FRG0,Pays de la Loire,FRG,Pays de la Loire
649,FRM01,Corse-du-Sud,FRM01,Corse-du-Sud,FRM0,Corse,FRM,Corse
650,FRM02,Haute-Corse,FRM02,Haute-Corse,FRM0,Corse,FRM,Corse
651,FR101,Paris,FR101,Paris,FR10,Ile-de-France,FR1,Ile-de-France
652,FR102,Seine-et-Marne ,FR102,Seine-et-Marne ,FR10,Ile-de-France,FR1,Ile-de-France
653,FR103,Yvelines ,FR103,Yvelines ,FR10,Ile-de-France,FR1,Ile-de-France
654,FR104,Essonne,FR104,Essonne,FR10,Ile-de-France,FR1,Ile-de-France
655,FR105,Hauts-de-Seine ,FR105,Hauts-de-Seine ,FR10,Ile-de-France,FR1,Ile-de-France
656,FR106,Seine-Saint-Denis ,FR106,Seine-Saint-Denis ,FR10,Ile-de-France,FR1,Ile-de-France
657,FR107,Val-de-Marne,FR107,Val-de-Marne,FR10,Ile-de-France,FR1,Ile-de-France
658,FR108,Val-d’Oise,FR108,Val-d’Oise,FR10,Ile-de-France,FR1,Ile-de-France
659,FRJ11,Aude,FRJ11,Aude,FRJ1,Languedoc-Roussillon,FRJ,Occitanie
660,FRJ12,Gard,FRJ12,Gard,FRJ1,Languedoc-Roussillon,FRJ,Occitanie
661,FRJ13,Hérault,FRJ13,Hérault,FRJ1,Languedoc-Roussillon,FRJ,Occitanie
662,FRJ14,Lozère,FRJ14,Lozère,FRJ1,Languedoc-Roussillon,FRJ,Occitanie
663,FRJ15,Pyrénées-Orientales,FRJ15,Pyrénées-Orientales,FRJ1,Languedoc-Roussillon,FRJ,Occitanie
664,FRJ25,Lot,FRJ25,Lot,FRJ2,Midi-Pyrénées,FRJ,Occitanie
665,FRJ26,Hautes-Pyrénées ,FRJ26,Hautes-Pyrénées ,FRJ2,Midi-Pyrénées,FRJ,Occitanie
666,FRJ27,Tarn,FRJ27,Tarn,FRJ2,Midi-Pyrénées,FRJ,Occitanie
667,FRJ28,Tarn-et-Garonne,FRJ28,Tarn-et-Garonne,FRJ2,Midi-Pyrénées,FRJ,Occitanie
668,FRJ21,Ariège,FRJ21,Ariège,FRJ2,Midi-Pyrénées,FRJ,Occitanie
669,FRJ22,Aveyron,FRJ22,Aveyron,FRJ2,Midi-Pyrénées,FRJ,Occitanie
670,FRJ23,Haute-Garonne,FRJ23,Haute-Garonne,FRJ2,Midi-Pyrénées,FRJ,Occitanie
671,FRJ24,Gers,FRJ24,Gers,FRJ2,Midi-Pyrénées,FRJ,Occitanie
672,FRD11,Calvados ,FRD11,Calvados ,FRD1,Basse-Normandie ,FRD,Normandie
673,FRD12,Manche ,FRD12,Manche ,FRD1,Basse-Normandie ,FRD,Normandie
674,FRD13,Orne,FRD13,Orne,FRD1,Basse-Normandie ,FRD,Normandie
675,FRD21,Eure,FRD21,Eure,FRD2,Haute-Normandie ,FRD,Normandie
676,FRD22,Seine-Maritime,FRD22,Seine-Maritime,FRD2,Haute-Normandie ,FRD,Normandie
677,FRB01,Cher,FRB01,Cher,FRB0,Centre — Val de Loire,FRB,Centre — Val de Loire
678,FRB02,Eure-et-Loir,FRB02,Eure-et-Loir,FRB0,Centre — Val de Loire,FRB,Centre — Val de Loire
679,FRB03,Indre,FRB03,Indre,FRB0,Centre — Val de Loire,FRB,Centre — Val de Loire
680,FRB04,Indre-et-Loire,FRB04,Indre-et-Loire,FRB0,Centre — Val de Loire,FRB,Centre — Val de Loire
681,FRB05,Loir-et-Cher,FRB05,Loir-et-Cher,FRB0,Centre — Val de Loire,FRB,Centre — Val de Loire
682,FRB06,Loiret,FRB06,Loiret,FRB0,Centre — Val de Loire,FRB,Centre — Val de Loire
683,FRE11,Nord,FRE11,Nord,FRE1,Nord-Pas de Calais,FRE,Hauts-de-France
684,FRE12,Pas-de-Calais,FRE12,Pas-de-Calais,FRE1,Nord-Pas de Calais,FRE,Hauts-de-France
685,FRE21,Aisne,FRE21,Aisne,FRE2,Picardie,FRE,Hauts-de-France
686,FRE22,Oise,FRE22,Oise,FRE2,Picardie,FRE,Hauts-de-France
687,FRE23,Somme,FRE23,Somme,FRE2,Picardie,FRE,Hauts-de-France
947,FRY10,Guadeloupe,FRY10,Guadeloupe,FRY1,Guadeloupe,FRY,RUP FR — Régions Ultrapériphériques Françaises
948,FRY20,Martinique ,FRY20,Martinique ,FRY2,Martinique ,FRY,RUP FR — Régions Ultrapériphériques Françaises
949,FRY30,Guyane,FRY30,Guyane,FRY3,Guyane,FRY,RUP FR — Régions Ultrapériphériques Françaises
950,FRY40,La Réunion,FRY40,La Réunion,FRY4,La Réunion ,FRY,RUP FR — Régions Ultrapériphériques Françaises
951,FRY50,Mayotte ,FRY50,Mayotte ,FRY5,Mayotte,FRY,RUP FR — Régions Ultrapériphériques Françaises
