Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;Deutschland;APPD;APD;BP;BüSo;BfB;CHANCE 2000;CM;DPD;GRAUE;REP;FAMILIE;DIE FRAUEN;HP;MLPD;Die Tierschutzpartei;NPD;NATURGESETZ;FORUM;ödp;PBC;AB 2000;PASS;DKP;DSU;ZENTRUM;DMP;FP Deutschland;FSU;STATT Partei;Einzelbewerber;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;Deutsch-land;APPD;APD;BP;BüSo;BfB;CHANCE 2000;CM;DPD;DVU;GRAUE;REP;FAMILIE;DIE FRAUEN;HP;Pro DM;MLPD;Die Tier-schutzpartei;NPD;NATUR-GESETZ;FORUM;ödp;PBC;AB 2000;Nicht-wähler;PASS;PSG
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01057;Plön;98946;84864;1310;83554;40726;35609;0;3408;2261;0;0;0;0;0;0;504;0;0;0;0;792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254;0;1005;83859;37831;30948;0;5286;6019;1170;0;0;0;0;0;326;0;0;0;850;178;369;0;80;0;641;0;0;99;0;0;62;0;0;0;0;0
SH;01058;Rendsburg-Eckernförde;206958;173074;2250;170824;83317;72379;0;5731;4822;1629;0;0;0;0;0;1195;0;0;0;793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;958;2210;170864;76020;62640;0;10717;13976;2187;0;0;0;0;0;562;0;0;0;1663;532;386;0;154;0;1621;0;0;250;0;0;156;0;0;0;0;0
SH;01059;Schleswig-Flensburg;148231;122924;1690;121234;58181;54662;0;3526;2233;1114;0;0;0;0;0;0;0;0;0;442;890;0;0;0;0;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;1668;121256;55255;45975;0;7046;8068;1357;0;0;0;0;0;136;0;0;0;1041;335;421;0;135;0;1254;0;0;110;0;0;123;0;0;0;0;0
SH;01060;Segeberg;187643;155892;1904;153988;71209;68640;0;5316;4650;1840;0;0;0;0;0;0;0;0;0;547;1449;0;0;0;0;0;0;0;0;337;0;0;0;0;0;0;0;0;0;0;0;1858;154034;66903;57822;0;8872;13226;2334;0;0;0;0;0;296;0;0;0;1938;425;718;0;164;0;951;0;0;208;0;0;177;0;0;0;0;0
SH;01061;Steinburg;104312;86301;1408;84893;41532;37260;0;3027;2029;1045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1286;85015;38790;31224;0;4772;6477;1013;0;0;0;0;0;105;0;0;0;1214;177;192;0;63;0;761;0;0;158;0;0;69;0;0;0;0;0
SH;01062;Stormarn;169021;144949;1594;143355;67840;61666;0;5642;4110;1276;0;0;0;0;0;397;0;0;0;548;1137;0;0;0;0;0;270;0;0;188;0;0;0;0;0;0;0;0;51;161;69;1545;143404;61448;52457;0;10116;12511;2026;0;0;0;0;0;433;0;0;0;2096;448;632;0;109;0;757;0;0;176;0;0;195;0;0;0;0;0
HH;02000;Hamburg, Freie und Hansestadt;1213821;984644;14358;970286;490630;338473;0;75723;25070;7057;0;960;0;0;252;3033;0;0;0;8530;15946;0;0;0;266;801;613;2255;0;0;0;0;0;574;0;0;0;0;103;0;0;11283;973361;445276;291756;0;104658;62835;22603;0;1629;0;0;0;2920;937;0;0;20601;5423;5562;0;0;0;3328;0;3401;1052;1380;0;0;0;0;0;0;0
NI;03101;Braunschweig, Stadt;192242;159441;1669;157772;88024;53260;0;7157;4132;1640;192;0;0;0;117;0;0;0;0;0;2636;0;0;0;0;0;0;424;0;190;0;0;0;0;0;0;0;0;0;0;0;1193;158248;79313;48033;0;12954;10638;2028;0;155;0;0;0;165;0;58;0;864;233;1649;0;0;0;1100;0;466;172;154;0;80;163;0;0;0;23
NI;03102;Salzgitter, Stadt;84138;69185;894;68291;41654;22275;0;1397;1155;562;0;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;743;68442;39748;20947;0;2080;2725;622;0;71;0;0;0;46;0;25;0;487;85;831;0;0;0;418;0;165;78;36;0;12;58;0;0;0;8
NI;03103;Wolfsburg, Stadt;91842;76461;995;75466;39542;29864;0;2811;1440;577;0;0;0;0;0;0;0;0;0;0;783;0;0;0;0;0;449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;748;75713;38784;26643;0;3272;3792;541;0;68;0;0;0;162;0;23;0;622;159;567;0;0;0;451;0;186;306;30;0;12;83;0;0;0;12
NI;03151;Gifhorn;123558;105095;1060;104035;50226;44636;0;3777;2270;697;0;0;0;0;0;296;0;0;0;0;1409;0;0;0;0;0;0;0;0;0;617;0;0;0;0;0;0;0;0;0;107;964;104131;50232;38365;0;4655;6362;723;0;98;0;0;0;150;0;28;0;867;146;859;0;0;0;674;0;255;174;39;0;37;452;0;0;0;15
