Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;MLPD;DIE PARTEI;CM;DSU;HP;HUMANWIRTSCHAFTSPARTEI;STATT Partei;UNABHÄNGIGE;Übrige;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;50plus;MLPD;Die Partei;PSG;Pro DM
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01061;Steinburg;105636;83437;1202;82235;35016;35814;0;2998;3141;2959;0;0;908;0;0;0;0;1399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1241;82196;30755;30911;0;5789;8500;3810;0;0;1006;0;0;0;0;1376;0;0;0;0;0;0;0;49;0;0;0
SH;01062;Stormarn;176872;146432;2095;144337;63270;64114;0;6986;5906;1759;0;0;1522;0;0;0;0;780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1615;144817;51604;53760;0;14281;16375;6020;0;0;1276;0;0;0;0;1417;0;0;0;0;0;0;0;84;0;0;0
HH;02000;Hamburg, Freie und Hansestadt;1230717;954153;11927;942226;447335;320444;0;85730;32904;44503;0;0;10135;0;0;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;715;10789;943364;365546;272418;0;140751;84593;59463;0;0;9463;6864;0;0;0;0;0;0;0;0;0;1319;0;441;2506;0;0
NI;03101;Braunschweig, Stadt;187823;147350;2168;145182;74710;51257;0;6613;4414;6376;0;0;1579;0;0;0;0;0;0;0;0;0;0;0;233;0;0;0;0;0;0;0;0;1953;145397;64679;42048;0;14421;12344;8096;0;0;1597;986;667;230;0;0;78;0;0;0;0;0;0;127;0;0;124
NI;03102;Salzgitter, Stadt;80096;61486;1123;60363;32778;20009;0;1507;1469;3033;0;0;1128;0;0;439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1130;60356;30672;17793;0;2614;3728;3417;0;0;1110;371;213;325;0;0;20;0;0;0;0;0;0;43;0;0;50
NI;03103;Wolfsburg, Stadt;91590;70962;1409;69553;34045;26251;0;2912;2248;2735;0;0;1012;0;0;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1325;69637;32362;22334;0;4326;5301;3146;0;0;1033;407;392;229;0;0;20;0;0;0;0;0;0;45;0;0;42
NI;03151;Gifhorn;131898;106546;1555;104991;49946;41892;0;3745;3427;3390;0;0;1416;0;0;903;0;0;0;0;0;0;272;0;0;0;0;0;0;0;0;0;0;1429;105117;45310;36687;0;6534;9247;4138;0;0;1399;623;354;664;0;0;54;0;0;0;0;0;0;40;0;0;67
NI;03152;Göttingen;198146;158876;2067;156809;73293;55773;0;13058;5489;6616;0;0;1842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;468;270;1882;156994;65292;47632;0;18122;14084;8077;0;0;1853;778;680;196;0;0;87;0;0;0;0;0;0;79;0;0;114
NI;03153;Goslar;119373;93652;1812;91840;45054;34928;0;2550;3519;4345;0;0;1348;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1697;91955;41120;29758;0;4965;8541;5017;0;0;1359;557;324;163;0;0;47;0;0;0;0;0;0;20;0;0;84
NI;03154;Helmstedt;77634;61130;1180;59950;29811;22081;0;1969;1966;2327;0;0;1546;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1051;60079;28017;19089;0;3140;4760;2772;0;0;1353;476;217;161;0;0;29;0;0;0;0;0;0;16;0;0;49
