Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;REP;GRAUE;Die Tierschutzpartei;NPD;ödp;PBC;DIE FRAUEN;BP;FAMILIE;CM;BüSo;HP;Die Violetten;AUFBRUCH;ZENTRUM;KPD;PRG;Schill;Deutschland;DKP;DSU;FP Deutschlands;Einzelbewerber;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;REP;GRAUE;Die Tierschutzpartei;NPD;ödp;PBC;DIE FRAUEN;BP;FAMILIE;CM;BüSo;HP;Die Violetten;AUFBRUCH;Zentrum;KPD;PRG;Schill
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01061;Steinburg ;105162;85087;1015;84072;39415;35781;0;3529;4251;978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;1063;84024;35172;31542;0;7081;7133;1061;106;188;0;260;0;191;0;0;0;0;0;0;0;0;0;0;0;1290
SH;01062;Stormarn ;173945;147193;1657;145536;67930;60136;0;7642;7579;1442;0;341;0;411;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;145913;58573;53514;0;15491;12254;1724;162;371;0;293;0;273;0;0;0;0;0;0;0;0;0;0;0;3258
HH;02000;Hamburg ;1221783;972418;11323;961095;496329;311663;0;83956;45522;15298;0;0;0;4159;0;0;0;0;0;0;2210;0;0;0;0;0;0;0;0;810;0;0;1148;8980;963438;404738;270318;0;156010;65574;20253;1201;0;0;1956;0;0;2189;0;0;0;890;0;0;0;0;0;0;40309
NI;03101;Braunschweig ;188217;150095;1560;148535;80358;50549;0;8051;6421;2271;0;0;0;0;0;360;0;0;0;0;213;0;0;0;0;0;0;0;312;0;0;0;0;1196;148899;74055;44360;0;14911;10248;2414;537;204;586;267;58;223;0;0;0;0;76;0;0;0;0;0;0;960
NI;03102;Salzgitter ;81987;63588;874;62714;37230;20702;0;1510;2676;596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;644;62944;35060;19808;0;2518;3247;564;275;80;288;202;14;138;0;0;0;0;7;0;0;0;0;0;0;743
NI;03103;Wolfsburg ;91445;72868;945;71923;38899;26183;0;2637;2423;661;0;243;0;545;169;163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568;72300;37813;24607;0;3955;3761;582;104;169;203;407;52;129;0;0;0;0;7;0;0;0;0;0;0;511
NI;03151;Gifhorn ;128791;106068;1055;105013;52957;42144;0;3964;4170;846;0;34;0;111;22;765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846;105222;50778;38491;0;6154;6695;802;282;128;305;332;30;511;0;0;0;0;26;0;0;0;0;0;0;688
NI;03152;Göttingen ;198017;161630;1723;159907;75143;56923;0;16521;6893;2398;0;651;0;1050;328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1376;160254;73092;51745;0;19005;10624;2861;206;323;563;754;92;174;0;0;0;0;26;0;0;0;0;0;0;789
NI;03153;Goslar ;121336;96483;1260;95223;48036;36726;0;4078;4883;1218;0;282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;896;95587;47648;33576;0;4751;6659;1099;299;151;370;324;17;150;0;0;0;0;12;0;0;0;0;0;0;531
NI;03154;Helmstedt ;77913;62560;828;61732;32301;23247;0;2078;2241;628;0;104;0;935;82;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;554;62006;32388;21036;0;2897;3619;606;74;72;263;614;20;93;0;0;0;0;8;0;0;0;0;0;0;316
