nuts1_code,nuts1_name
FR1,Île-de-France
FRB,Centre-Val de Loire
FRC,Bourgogne-Franche-Comté
FRD,Normandy
FRE,Hauts-de-France
FRF,Grand Est
FRG,Pays de la Loire
FRH,Brittany
FRI,Nouvelle-Aquitaine
FRJ,Occitania
FRK,Auvergne-Rhône-Alpes
FRL,Provence-Alpes-Côte d’Azur
FRM,Corsica
FRY,"Départements d’Outre Mer"
