"Nr okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Ruch Patriotyczny,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,4 - Partia Demokratyczna,5 - Socjaldemokracja Polska,6 - Prawo i Sprawiedliwość,7 - Sojusz Lewicy Demokratycznej,8 - Platforma Obywatelska,9 - Polska Partia Narodowa,10 - Polskie Stronnictwo Ludowe,11 - Centrum,12 - Platforma Janusza Korwin-Mikke,13 - Ogólnopolska Koalicja Obywatelska O.K.O.,14 - Polska Konfederacja - Godność i Praca,15 - Samoobrona RP,16 - Inicjatywa RP,17 - Dom Ojczysty,18 - Narodowe Odrodzenie Polski,19 - Stronnictwo Pracy,19 - Społeczni Ratownicy,19 - Mniejszość Niemiecka,19 - Mniejszość Niemiecka Śląska
2,20800,kłodzki,140578,50982,50925,1989,48936,541,385,3093,779,1718,10179,5076,12387,157,7291,,783,128,,6333,,,86,,,,
2,21900,świdnicki,131061,47569,47551,1649,45902,268,409,3608,876,2152,12268,5438,13098,142,992,,829,86,,5611,,,125,,,,
2,22100,wałbrzyski,153797,53093,52955,1758,51197,337,415,3022,877,5083,11001,7433,14546,173,2012,,696,161,,5334,,,107,,,,
2,22400,ząbkowicki,56290,20053,20044,838,19206,164,155,1597,256,579,3543,3239,3698,57,1562,,286,36,,3999,,,35,,,,
3,20400,górowski,28578,8975,8970,430,8540,66,56,638,202,277,1411,851,1512,34,673,36,142,,11,2466,,125,40,,,,
3,21300,milicki,28962,10482,10450,499,9951,158,57,991,210,470,1652,905,2079,23,998,74,182,,25,2032,,84,11,,,,
3,21400,oleśnicki,81152,27418,27356,994,26362,235,160,1976,608,1162,7646,2740,5525,83,1441,59,504,,73,4042,,68,40,,,,
3,21500,oławski,56753,21520,21495,711,20784,438,128,1798,487,616,5593,1935,5650,43,1187,45,384,,42,2132,,279,27,,,,
3,21700,strzeliński,36384,12871,12867,564,12303,170,111,973,176,516,2212,1242,3532,28,902,32,140,,20,2120,,102,27,,,,
3,21800,średzki,38701,11744,11742,482,11260,74,137,1150,271,399,2582,1179,2606,36,649,35,257,,17,1719,,129,20,,,,
3,22000,trzebnicki,60370,20446,20365,666,19699,319,123,1332,483,543,4716,1625,5572,39,1262,224,432,,34,2842,,105,48,,,,
3,22200,wołowski,39569,13926,13914,685,13229,122,117,978,327,538,3313,1354,3564,48,621,30,258,,22,1822,,72,43,,,,
3,22300,wrocławski,77074,28876,28804,999,27805,298,172,2326,756,896,6807,1823,7920,80,1568,106,699,,52,4075,,190,37,,,,
3,26401,m. Wrocław,508364,242680,242191,4305,237886,2995,1339,13925,13087,10030,63745,25109,87521,531,2461,437,6390,,229,9419,,366,302,,,,
4,40300,bydgoski,71315,24393,24356,1767,22589,400,342,1402,398,610,5770,3495,5109,38,1275,67,396,100,,2916,48,84,53,86,,,
4,40700,inowrocławski,132646,44488,44437,3429,41008,736,829,2597,760,1871,9046,7214,7112,96,3269,89,519,196,,6072,74,94,67,367,,,
4,40900,mogileński,36552,12177,12170,1085,11085,183,242,682,135,294,2632,1506,1205,20,2163,17,105,35,,1798,12,15,13,28,,,
4,41000,nakielski,66420,22893,22828,1700,21128,368,379,1472,246,459,4708,4092,3725,43,1896,98,342,113,,2989,36,43,30,89,,,
4,41300,sępoleński,31815,10661,10655,1019,9636,171,209,988,129,264,2064,1282,1343,17,905,93,65,43,,1990,20,19,11,23,,,
4,41400,świecki,76663,25010,24995,2135,22860,403,472,1567,320,605,4711,3108,4383,45,2295,53,309,116,,4166,45,167,44,51,,,
4,41600,tucholski,36259,14642,14634,1120,13514,201,223,715,120,479,2719,1158,3846,33,1520,42,110,46,,2171,28,61,20,22,,,
4,41900,żniński,54949,19364,19357,1950,17407,264,301,1454,163,362,3228,2710,2657,34,2405,177,171,126,,3125,31,36,73,90,,,
4,46101,m. Bydgoszcz,297074,131584,131482,5499,125983,1548,1597,8244,2587,3928,35586,28646,29954,211,1850,373,1962,402,,8136,249,254,193,263,,,
5,40100,aleksandrowski,44781,16533,16474,651,15823,116,102,1264,414,613,3457,2012,2453,31,1562,28,110,29,,3543,34,30,25,,,,
5,40200,brodnicki,58300,21594,21590,727,20863,133,87,2069,303,562,5704,1409,2838,32,3456,14,116,34,,3949,38,95,24,,,,
5,40400,chełmiński,40230,12704,12701,536,12165,88,88,1181,268,455,2413,1799,1688,39,883,20,140,32,,2687,29,327,28,,,,
5,40500,golubsko-dobrzyński,34321,11475,11472,475,10997,70,59,849,215,483,2739,960,1141,25,881,81,69,16,,3300,23,61,25,,,,
5,40600,grudziądzki,29774,9047,9024,407,8617,48,100,675,151,386,1339,786,874,35,896,16,52,18,,3144,16,68,13,,,,
5,40800,lipnowski,51293,15705,15705,654,15051,71,88,1033,210,443,3027,1489,1802,39,2657,100,104,27,,3849,31,53,28,,,,
5,41100,radziejowski,34344,11107,11076,538,10538,51,60,1090,139,412,1397,1256,846,20,1786,73,63,20,,3234,25,42,24,,,,
5,41200,rypiński,35083,10323,10321,342,9979,42,48,730,149,425,2029,916,1599,32,1524,21,80,13,,2286,20,54,11,,,,
5,41500,toruński,65891,20696,20653,752,19901,130,116,1914,692,643,4986,1685,3526,49,1909,126,220,47,,3742,40,38,38,,,,
5,41700,wąbrzeski,27470,9043,9024,336,8688,42,62,544,152,278,1500,763,1696,23,985,24,82,20,,2398,23,83,13,,,,
5,41800,włocławski,67660,21187,21169,1068,20101,107,132,1232,958,635,2811,2800,2078,45,1737,99,139,57,,7125,59,54,33,,,,
5,46201,m. Grudziądz,80206,28343,28311,930,27381,174,332,1772,758,3450,6147,3861,5357,145,486,85,339,51,,3870,59,453,42,,,,
5,46301,m. Toruń,162616,70894,70713,1336,69377,375,430,6386,5375,4366,18767,7339,19743,85,833,87,741,57,,4585,43,87,78,,,,
5,46401,m. Włocławek,97048,37259,37244,1211,36033,269,238,2032,1284,2694,8407,6533,7580,121,535,255,477,53,,5365,38,99,53,,,,
6,60500,janowski,38376,18394,18381,608,17773,218,43,2161,84,216,5166,1021,657,155,1822,20,110,31,,2980,47,3021,21,,,,
6,60700,kraśnicki,80641,34984,34947,1529,33418,248,109,4297,237,769,8664,2115,5749,128,3776,57,276,56,,6716,43,137,41,,,,
6,60800,lubartowski,72118,28198,28173,1351,26822,257,170,4179,681,711,4928,1993,2901,113,4965,61,269,95,,5286,53,115,45,,,,
6,60900,lubelski,106811,42676,42544,1498,41046,446,131,4464,367,1029,9042,1997,3972,175,9982,77,378,83,,8704,66,100,33,,,,
6,61000,łęczyński,43674,15148,15144,652,14492,191,98,1270,114,556,5086,668,1575,54,1277,90,187,37,,3152,25,41,71,,,,
6,61100,łukowski,84195,34315,34225,1493,32732,181,109,5709,516,890,5472,2869,2341,127,6270,58,250,87,,7702,42,70,39,,,,
6,61200,opolski,51107,19251,19220,784,18436,126,90,1631,186,564,2827,1753,1451,261,4053,29,130,41,,5157,25,83,29,,,,
6,61400,puławski,95430,39980,39894,1253,38641,252,180,4837,569,1393,9172,2976,9207,131,3985,43,487,65,,5180,62,71,31,,,,
6,61600,rycki,48167,19858,19833,934,18899,134,101,1523,153,871,4329,1929,2312,119,3255,24,203,59,,3563,42,251,31,,,,
6,61700,świdnicki,58453,22772,22755,731,22024,384,122,3285,344,1029,5854,1615,3909,122,1926,45,313,102,,2890,29,28,27,,,,
6,66301,m. Lublin,279963,135730,135499,3166,132333,1554,739,15688,2904,8667,41863,13150,33490,453,3755,343,2379,258,,6551,181,246,112,,,,
7,60100,bialski,89203,35764,35725,1361,34364,311,126,5933,160,441,5017,2003,4635,248,8096,,215,100,,7001,,,78,,,,
7,60200,biłgorajski,82318,33231,33212,1005,32207,805,187,4328,377,982,7045,2151,3008,128,6102,,262,57,,6719,,,56,,,,
7,60300,chełmski,58510,18020,18002,805,17197,184,101,2181,193,625,2675,1649,1348,99,2976,,128,59,,4918,,,61,,,,
7,60400,hrubieszowski,58079,20736,20732,828,19904,176,127,1807,585,876,3672,1327,1446,77,3538,,217,49,,5944,,,63,,,,
7,60600,krasnostawski,63100,22457,22451,904,21547,177,103,1697,167,582,3406,1383,1663,117,5682,,185,123,,6201,,,61,,,,
7,61300,parczewski,29928,11895,11890,416,11474,70,42,1071,59,412,3178,1067,608,89,2282,,76,21,,2477,,,22,,,,
7,61500,radzyński,49193,21794,21776,736,21040,175,76,2759,96,229,2749,2748,2239,112,5455,,95,43,,4222,,,42,,,,
7,61800,tomaszowski,72705,27946,27940,1169,26771,164,117,2483,161,603,4967,1401,2928,309,6745,,244,121,,6441,,,87,,,,
7,61900,włodawski,33493,12675,12670,474,12196,118,112,1470,131,301,2102,1282,1551,43,2137,,108,31,,2759,,,51,,,,
7,62000,zamojski,87829,33265,33207,1432,31775,325,139,4448,172,714,7640,1400,2545,196,5876,,278,84,,7868,,,90,,,,
7,66101,m. Biała Podlaska,45280,19689,19663,483,19180,108,97,3100,188,603,4804,2394,3759,84,1689,,219,57,,2060,,,18,,,,
7,66201,m. Chełm,56165,21289,21278,636,20642,221,110,2092,296,1993,5647,2761,3855,112,1177,,215,49,,2030,,,84,,,,
7,66401,m. Zamość,53731,22452,22443,561,21882,311,116,2461,337,1251,7503,2576,3506,92,1405,,402,87,,1795,,,40,,,,
8,80100,gorzowski,49699,16518,16505,748,15757,118,160,849,178,622,4198,2251,3260,44,1201,,228,69,,2501,,78,,,,,
8,80200,krośnieński,45069,14558,14548,615,13933,124,161,774,141,430,2268,2709,4025,37,812,,199,85,,2127,,41,,,,,
8,80300,międzyrzecki,47402,15957,15951,852,15099,151,116,1421,355,614,2910,2502,3069,34,1601,,220,48,,1993,,65,,,,,
8,80400,nowosolski,68993,24183,24156,1027,23129,193,201,1948,235,667,4671,2620,6404,43,2407,,369,266,,2868,,237,,,,,
8,80500,słubicki,36226,11720,11716,595,11121,113,80,642,458,628,1961,1669,2677,26,1264,,134,38,,1374,,57,,,,,
8,80600,strzelecko-drezdenecki,39992,12715,12709,617,12092,74,78,569,474,291,2020,2035,3210,48,1243,,145,36,,1837,,32,,,,,
8,80700,sulęciński,28018,9285,9285,497,8788,87,80,623,149,237,1712,1190,1686,27,1512,,175,39,,1234,,37,,,,,
8,80800,świebodziński,43896,14232,14222,635,13587,118,104,1210,198,361,2946,2085,3355,27,1457,,251,37,,1207,,231,,,,,
8,80900,zielonogórski,68598,23280,23222,1128,22094,184,157,2209,296,714,4486,3443,5909,86,1722,,399,73,,2323,,93,,,,,
8,81000,żagański,66063,20901,20888,934,19954,164,219,1655,524,719,3516,2935,4137,60,2399,,254,109,,3182,,81,,,,,
8,81100,żarski,79200,25031,25017,1111,23906,233,259,1683,510,745,5692,3894,5314,58,1521,,375,107,,3363,,152,,,,,
8,81200,wschowski,29805,10200,10195,509,9686,80,78,835,134,257,3114,1087,1373,30,900,,114,32,,1576,,76,,,,,
8,86101,m. Gorzów Wielkopolski,99721,41193,41136,1103,40033,202,230,1776,899,1602,14197,7553,8157,71,1168,,700,102,,3203,,173,,,,,
8,86201,m. Zielona Góra,93768,42452,42412,1067,41345,293,246,4444,844,1619,8090,7807,12926,55,2037,,676,79,,2080,,149,,,,,
9,100600,łódzki wschodni,50751,20757,20740,1038,19702,350,228,2032,558,707,4856,2158,3366,61,1561,56,364,43,,3204,41,,54,,63,,
9,102100,brzeziński,24549,9733,9661,557,9104,147,104,1552,255,251,1276,654,1419,30,1132,6,118,22,,2099,10,,8,,21,,
9,106101,m. Łódź,626095,275471,274965,9720,265245,4454,3117,18890,16933,15849,66303,38699,66678,744,3582,769,6437,555,,20079,738,,520,,898,,
10,100100,bełchatowski,88930,35278,35216,1327,33889,,460,4554,644,1451,8937,2929,5639,104,1381,349,591,81,56,6619,50,,44,,,,
10,100700,opoczyński,62287,25702,25678,927,24751,,139,2502,282,420,4775,1958,2793,66,4593,79,263,83,127,6593,49,,29,,,,
10,101000,piotrkowski,70630,27603,27566,1057,26509,,218,2573,387,242,5134,1905,3031,80,3701,129,205,124,26,8616,69,,69,,,,
10,101200,radomszczański,95546,33909,33888,1443,32445,,307,2543,894,771,8290,3922,4838,95,3129,258,392,52,52,6675,137,,90,,,,
10,101300,rawski,39799,13873,13865,428,13437,,104,936,341,216,2504,1317,1443,41,2220,46,166,32,22,3976,63,,10,,,,
10,101500,skierniewicki,29915,11655,11632,488,11144,,59,840,116,294,1487,424,654,42,3261,43,120,24,9,3722,36,,13,,,,
10,101600,tomaszowski,98147,38971,38938,1358,37580,,345,3040,466,975,8460,5367,6235,125,4241,126,602,158,50,7163,159,,68,,,,
10,106201,m. Piotrków Trybunalski,64357,28414,28366,770,27596,,211,2156,494,667,7961,5036,6243,72,610,28,488,246,56,3211,82,,35,,,,
10,106301,m. Skierniewice,38800,15912,15902,418,15484,,99,1041,296,1254,4292,2109,3283,113,929,55,413,39,20,1459,60,,22,,,,
11,100200,kutnowski,86414,31830,31746,1480,30266,415,243,1482,363,1196,6787,4065,4074,160,4021,,,96,,7064,300,,,,,,
11,100300,łaski,40761,14654,14647,670,13977,185,119,1133,275,352,2687,2345,1727,96,1849,,,59,,3067,83,,,,,,
11,100400,łęczycki,44304,15914,15883,791,15092,142,97,809,246,251,2207,1964,1922,73,2208,,,31,,5077,65,,,,,,
11,100500,łowicki,66946,26084,26059,1227,24832,261,153,1420,197,445,5076,5276,2619,79,4003,,,42,,5185,76,,,,,,
11,100800,pabianicki,97691,38501,38466,1486,36980,438,383,2662,1110,1022,10304,5234,8811,166,2149,,,152,,4420,129,,,,,,
11,100900,pajęczański,42561,14771,14760,729,14031,149,123,776,98,238,3215,2105,1298,40,1418,,,49,,4048,474,,,,,,
11,101100,poddębicki,34567,12690,12685,715,11970,126,75,741,102,266,1490,1738,1267,43,2407,,,28,,3641,46,,,,,,
11,101400,sieradzki,97535,38367,38319,1911,36408,1164,300,3038,423,1175,6267,5202,4179,124,4911,,,82,,9339,204,,,,,,
11,101700,wieluński,62628,25214,25204,1212,23992,240,219,1413,331,400,3774,2746,2876,63,5229,,,51,,6531,119,,,,,,
11,101800,wieruszowski,33396,13151,13142,565,12577,184,86,704,91,147,1811,1225,1315,51,3174,,,25,,3708,56,,,,,,
11,101900,zduńskowolski,54035,20692,20678,919,19759,485,203,1449,472,471,5299,2873,3462,91,1703,,,148,,3003,100,,,,,,
11,102000,zgierski,129711,49299,49155,1983,47172,697,386,3435,985,1563,12459,7873,9618,203,1989,,,111,,7704,149,,,,,,
12,120300,chrzanowski,104043,41462,41407,1636,39771,633,417,3343,1161,3039,11780,4538,9467,116,911,,676,,,3690,,,,,,,
12,120900,myślenicki,86472,36837,36819,1317,35502,361,152,5400,375,496,14354,1290,7060,83,1670,,769,,,3492,,,,,,,
12,121300,oświęcimski,122444,54489,54439,1786,52653,276,435,4232,915,1414,17696,6757,11671,103,5035,,668,,,3451,,,,,,,
12,121500,Suski,62699,25895,25887,1268,24619,263,158,3967,279,715,9105,1193,5326,80,1167,,272,,,2094,,,,,,,
12,121800,wadowicki,119438,49790,49770,1907,47863,335,413,6073,825,1214,16968,3422,10292,109,3349,,530,,,4333,,,,,,,
13,120600,krakowski,187679,76792,76705,2713,73992,562,698,7213,1208,1652,28490,3309,19088,168,3995,,1203,,104,6302,,,,,,,
13,120800,miechowski,41494,14526,14508,557,13951,84,109,1194,174,326,2509,1179,1180,40,3945,,138,,23,3050,,,,,,,
13,121200,olkuski,92839,35948,35922,1304,34618,395,363,2037,576,2793,8990,5065,6992,83,1777,,607,,36,4904,,,,,,,
13,126101,m. Kraków,588513,303817,303430,5636,297794,2390,2719,13520,10067,10180,116765,23927,101180,394,3451,,5962,,280,6959,,,,,,,
14,120500,gorlicki,83670,35428,35400,1497,33903,213,186,3575,214,507,11256,3437,6227,73,2910,,293,,,5012,,,,,,,
14,120700,limanowski,88912,40924,40817,1644,39173,401,214,6044,941,273,14956,1140,6450,64,5623,,343,,,2724,,,,,,,
14,121000,nowosądecki,145223,69465,69405,2986,66419,981,387,10560,1041,673,24527,3562,11257,183,5324,,591,,,7333,,,,,,,
14,121100,nowotarski,136265,55562,55479,2042,53437,491,387,6460,577,680,21138,1829,14518,156,3425,,468,,,3308,,,,,,,
14,121700,tatrzański,52634,22926,22904,582,22322,156,139,2012,411,268,8018,868,7542,80,1771,,183,,,874,,,,,,,
14,126201,m. Nowy Sącz,65807,33698,33668,719,32949,562,145,2852,611,632,12351,4053,8401,56,863,,618,,,1805,,,,,,,
15,120100,bocheński,76068,34098,34056,1265,32791,187,250,4406,279,1288,10036,1474,5615,33,5028,132,504,28,,3451,,80,,,,,
15,120200,brzeski,68272,29751,29734,1422,28312,198,212,4758,212,477,9820,1497,4852,40,2589,214,338,55,,2836,,214,,,,,
15,120400,dąbrowski,45487,18123,18110,756,17354,106,81,2314,93,215,4461,738,4323,21,2526,42,134,49,,2055,,196,,,,,
15,121400,proszowicki,34473,11334,11313,425,10888,80,62,1090,53,220,1783,573,1241,42,3128,80,108,13,,2400,,15,,,,,
15,121600,tarnowski,144366,61511,61406,2987,58419,504,407,8968,582,766,21955,2527,8911,85,5135,375,787,179,,6741,,497,,,,,
15,121900,wielicki,79213,33239,33206,1031,32175,156,345,2936,387,864,11648,1361,10028,60,1358,318,541,58,,2015,,100,,,,,
15,126301,m. Tarnów,95190,44137,44094,1270,42824,241,269,3688,1066,1070,15875,5011,10206,47,1045,200,1185,245,,2508,,168,,,,,
16,140200,ciechanowski,72717,26672,26635,822,25813,376,134,1373,340,564,5570,3138,3915,40,3712,,243,,,6241,104,,63,,,,
16,140400,gostyniński,37796,14102,14088,609,13479,96,82,919,147,315,3403,1175,1129,22,2953,,126,,,3022,64,,26,,,,
16,141300,mławski,58186,19961,19943,885,19058,431,103,1454,204,339,3680,2431,3029,25,3866,,174,,,3229,70,,23,,,,
16,141900,płocki,81727,27586,27575,1231,26344,232,149,1444,484,830,5814,1456,2072,48,7000,,223,,,6181,364,,47,,,,
16,142000,płoński,70117,22750,22746,927,21819,170,111,2203,356,241,3623,4621,2667,35,3706,,163,,,3784,98,,41,,,,
16,142200,przasnyski,42225,15023,15015,553,14462,918,89,1034,121,239,3134,1329,1525,38,2672,,127,,,3113,77,,46,,,,
16,142700,sierpecki,42263,14365,14360,609,13751,102,90,1192,277,784,3314,980,1166,20,2424,,105,,,3232,50,,15,,,,
16,142800,sochaczewski,65779,23169,23162,859,22303,531,110,1758,268,1059,5336,2560,3157,69,3117,,256,,,3948,96,,38,,,,
16,143700,żuromiński,32233,10562,10533,428,10105,156,33,662,79,170,1680,1210,1047,10,2811,,70,,,2077,88,,12,,,,
16,143800,żyrardowski,59011,21690,21684,800,20884,163,107,2023,444,583,6472,2504,4246,42,1632,,343,,,2128,158,,39,,,,
16,146201,m. Płock,102532,43428,43364,1236,42128,327,389,1907,1303,1628,13677,6081,9204,89,2540,,599,,,4101,240,,43,,,,
17,140100,białobrzeski,25961,10389,10385,437,9948,51,37,735,63,99,2198,660,1170,57,2214,25,106,12,,2497,12,,12,,,,
17,140600,grójecki,77393,30266,30213,1063,29150,299,108,2126,225,428,5484,1967,3048,160,8544,113,262,29,,6290,36,,31,,,,
17,140700,kozienicki,51039,20057,20009,757,19252,175,90,1688,129,296,4048,1599,2675,49,3035,98,242,26,,5037,44,,21,,,,
17,140900,lipski,30696,12017,12011,546,11465,114,32,501,44,153,756,3794,825,17,2486,25,106,10,,2571,19,,12,,,,
17,142300,przysuski,35652,15038,15034,722,14312,148,56,1143,117,171,2620,665,1409,24,2010,657,164,21,,5059,32,,16,,,,
17,142500,radomski,110736,40683,40608,1618,38990,312,270,3871,305,922,10637,2646,4679,112,5076,179,478,40,,9248,155,,60,,,,
17,143000,szydłowiecki,31887,12157,12104,527,11577,109,55,776,89,378,2593,872,2255,26,792,94,99,25,,3387,15,,12,,,,
17,143600,zwoleński,29477,11849,11843,512,11331,202,46,830,82,141,1934,1337,1031,27,2120,33,95,21,,3399,14,,19,,,,
17,146301,m. Radom,181043,80959,80824,1940,78884,642,458,6476,1390,3323,27307,8726,18042,298,3591,451,1739,53,,6188,109,,91,,,,
18,140300,garwoliński,81985,33965,33873,1096,32777,760,127,4233,251,514,8298,3306,4101,134,3443,,297,67,,7122,57,67,,,,,
18,141000,łosicki,26616,11595,11592,446,11146,149,38,1319,37,116,2025,696,1080,29,1930,,92,18,,3104,384,129,,,,,
18,141100,makowski,37450,15130,15125,728,14397,321,53,1131,124,120,2893,868,939,72,4930,,89,27,,2734,24,72,,,,,
18,141200,miński,108782,45287,45245,1585,43660,691,274,4200,483,972,11697,2900,12024,368,4247,,643,91,,4796,45,229,,,,,
18,141500,ostrołęcki,64423,22518,22515,1057,21458,594,109,3077,371,164,5051,861,1508,84,4904,,186,58,,4344,45,102,,,,,
18,141600,ostrowski,59807,24002,23996,898,23098,310,61,5283,162,375,5520,1432,2256,54,3286,,191,26,,3911,72,159,,,,,
18,142400,pułtuski,39556,16989,16960,755,16205,113,61,743,207,189,5728,672,1054,42,5160,,162,24,,1989,21,40,,,,,
18,142600,siedlecki,61624,26636,26599,901,25698,290,125,2760,155,544,4366,821,1631,179,4251,,203,30,,9884,337,122,,,,,
18,142900,sokołowski,47035,21828,21799,748,21051,307,92,3274,86,249,4044,991,1399,183,4660,,195,35,,5406,89,41,,,,,
18,143300,węgrowski,54549,22601,22537,1025,21512,244,115,2682,119,211,4737,1123,1668,89,5458,,165,38,,4756,49,58,,,,,
18,143500,wyszkowski,55116,21614,21583,831,20752,227,103,1671,159,255,5047,3261,2328,83,4012,,247,24,,2952,102,281,,,,,
18,146101,m. Ostrołęka,42909,18186,18152,490,17662,417,67,1561,482,400,8278,1643,2376,128,839,,220,20,,1122,18,91,,,,,
18,146401,m. Siedlce,60008,28078,28019,537,27482,289,182,2940,483,1451,7911,3007,5109,173,1428,,547,34,,3698,127,103,,,,,
19,146501,m. st. Warszawa,1343728,745362,742611,18372,724239,7571,3899,41435,34987,47880,217087,85335,237732,1572,6807,711,19552,388,448,17348,187,909,391,,,,
19,149901,Zagranica,49840,35679,35611,850,34761,480,173,2941,2275,1481,10066,2142,13249,143,291,47,900,31,25,423,18,38,38,,,,
20,140500,grodziski,61401,26181,26166,634,25532,503,109,1793,655,578,7125,1854,7742,67,2682,,557,39,,1767,,61,,,,,
20,140800,legionowski,73886,32209,32196,856,31340,646,170,2339,1229,1904,9243,3001,8954,74,803,,582,81,,2206,,108,,,,,
20,141400,nowodworski,59688,21687,21677,900,20777,392,166,1280,290,1090,5744,2242,4431,47,1735,,365,67,,2861,,67,,,,,
20,141700,otwocki,89075,41927,41871,971,40900,1188,247,3327,851,805,14931,2827,10054,93,2444,,924,225,,2904,,80,,,,,
20,141800,piaseczyński,106556,48805,48739,1305,47434,895,183,2360,1249,1259,14043,3479,15750,109,4186,,889,60,,2871,,101,,,,,
20,142100,pruszkowski,113381,55672,55613,1307,54306,1236,223,3421,1463,1519,18603,3769,18016,148,1532,,1244,106,,2840,,186,,,,,
20,143200,warszawski zachodni,74810,33443,33365,754,32611,760,167,2065,817,818,11433,1981,9891,98,1175,,738,38,,2501,,129,,,,,
20,143400,wołomiński,150526,66182,66027,1652,64375,2710,359,6691,993,1472,23410,3608,14282,187,2769,,1222,91,,5326,,1255,,,,,
21,160100,brzeski,73183,25898,25852,899,24953,316,167,2515,442,908,6035,2491,5635,53,1762,,423,,,3973,,,100,,,133,
21,160200,głubczycki,40152,13743,13732,631,13101,183,107,1327,258,336,3165,1103,2330,71,1605,,159,,,2168,,,30,,,259,
21,160300,kędzierzyńsko-kozielski,81128,26451,26410,1005,25405,398,167,1538,697,671,5268,3883,6119,61,312,,465,,,1502,,,39,,,4285,
21,160400,kluczborski,55672,18170,18149,702,17447,187,102,908,235,406,5614,1756,2839,52,1675,,181,,,1856,,,40,,,1596,
21,160500,krapkowicki,54032,14199,14194,644,13550,141,61,666,361,350,2000,879,3144,41,106,,197,,,744,,,13,,,4847,
21,160600,namysłowski,34542,13694,13690,649,13041,167,100,848,171,289,3347,1946,1831,39,2389,,155,,,1571,,,25,,,163,
21,160700,nyski,118239,42509,42482,1739,40743,450,408,3932,1527,990,8851,3672,10647,115,1808,,657,,,7156,,,50,,,480,
21,160800,oleski,54667,16392,16379,799,15580,146,117,902,625,403,2036,1274,3216,49,1077,,159,,,2417,,,35,,,3124,
21,160900,opolski,106458,29404,29397,1447,27950,369,140,1385,608,581,4160,1779,6743,85,725,,469,,,2003,,,53,,,8850,
21,161000,prudnicki,47675,16266,16255,625,15630,412,93,1111,283,452,3425,1415,3341,44,427,,268,,,2121,,,26,,,2212,
21,161100,strzelecki,65178,18592,18586,873,17713,177,132,885,380,386,2571,1394,3162,36,283,,214,,,1258,,,37,,,6798,
21,166101,m. Opole,99788,42741,42665,954,41711,395,266,2187,2126,1710,8307,6126,15676,95,609,,959,,,1475,,,58,,,1722,
22,180100,bieszczadzki,17763,6212,6195,187,6008,35,32,457,105,193,1620,624,1982,49,237,28,41,,,592,,13,,,,,
22,180200,brzozowski,50415,19718,19688,723,18965,186,51,2936,237,227,7401,667,1988,44,2138,125,147,,,2772,,46,,,,,
22,180400,jarosławski,94671,42961,42899,1415,41484,289,170,4806,199,494,13560,2585,6414,78,6630,177,303,,,5564,,215,,,,,
22,180500,jasielski,90738,36544,36518,1239,35279,308,291,4126,217,510,16099,2022,4267,126,2596,35,337,,,4236,,109,,,,,
22,180700,krośnieński,84926,34580,34550,1178,33372,257,179,6338,260,864,11602,1975,4601,82,2471,62,466,,,4140,,75,,,,,
22,180900,lubaczowski,45466,18813,18787,784,18003,102,93,1825,76,355,5217,1610,1567,34,3887,185,116,,,2763,,173,,,,,
22,181300,przemyski,55281,21896,21889,1047,20842,142,99,2847,631,464,5269,4101,2608,48,1537,182,135,,,2686,,93,,,,,
22,181400,przeworski,60977,25867,25839,1021,24818,139,80,3770,130,1345,8506,1307,2096,46,3351,76,251,,,3525,,196,,,,,
22,181700,sanocki,74824,28120,28098,1001,27097,141,146,5164,244,548,6800,3465,4993,51,2079,37,304,,,3072,,53,,,,,
22,182100,leski,21937,8358,8357,376,7981,48,49,816,100,187,2111,1156,2099,15,382,13,103,,,888,,14,,,,,
22,186101,m. Krosno,38999,17533,17515,309,17206,166,97,2030,278,585,5667,1791,4594,26,508,23,320,,,1056,,65,,,,,
22,186201,m. Przemyśl,53723,22869,22829,610,22219,259,86,2126,434,455,8467,3727,4980,32,305,41,191,,,1045,,71,,,,,
23,180300,dębicki,102033,44085,44002,1592,42410,217,181,5330,702,631,17017,2309,4945,107,4456,,480,,50,5283,40,662,,,,,
23,180600,kolbuszowski,46710,21155,21144,825,20319,122,89,4583,67,143,9980,501,1057,53,1993,,224,,13,1446,20,28,,,,,
23,180800,leżajski,53475,24282,24233,695,23538,144,63,3706,73,202,6769,766,7585,49,1921,,191,,19,1869,25,156,,,,,
23,181000,łańcucki,59358,27938,27925,776,27149,201,91,5547,162,380,12106,894,3345,60,2356,,244,,25,1589,32,117,,,,,
23,181100,mielecki,103439,43753,43651,1344,42307,276,159,4607,403,1275,14000,2791,8158,207,5245,,575,,36,4233,26,316,,,,,
23,181200,niżański,51783,19564,19559,736,18823,179,92,3820,90,247,4987,1830,1806,83,3521,,254,,42,1702,25,145,,,,,
23,181500,ropczycko-sędziszowski,53908,25534,25500,805,24695,129,70,2316,71,311,8404,586,2403,24,8130,,167,,37,1818,41,188,,,,,
23,181600,rzeszowski,131683,62060,62008,2179,59829,858,280,8090,282,701,27490,2816,8278,152,4892,,694,,92,4650,158,396,,,,,
23,181800,stalowowolski,87986,35174,35138,1130,34008,382,139,4451,352,1068,13648,4390,5175,190,1225,,507,,59,2176,25,221,,,,,
