"Nr okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Ruch Patriotyczny,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,4 - Partia Demokratyczna,5 - Socjaldemokracja Polska,6 - Prawo i Sprawiedliwość,7 - Sojusz Lewicy Demokratycznej,8 - Platforma Obywatelska,9 - Polska Partia Narodowa,10 - Polskie Stronnictwo Ludowe,11 - Centrum,12 - Platforma Janusza Korwin-Mikke,13 - Ogólnopolska Koalicja Obywatelska O.K.O.,14 - Polska Konfederacja - Godność i Praca,15 - Samoobrona RP,16 - Inicjatywa RP,17 - Dom Ojczysty,18 - Narodowe Odrodzenie Polski,19 - Stronnictwo Pracy,19 - Społeczni Ratownicy,19 - Mniejszość Niemiecka,19 - Mniejszość Niemiecka Śląska
32,241600,zawierciański,103457,38017,37991,1577,36414,426,700,3026,547,1410,7903,9647,8590,123,2867,,847,142,186,,,,,,,,
32,246501,m. Dąbrowa Górnicza,106477,37469,37416,1326,36090,345,834,2269,779,3094,8975,7584,9596,131,872,,1236,129,246,,,,,,,,
32,246801,m. Jaworzno,76861,29433,29416,1165,28251,613,455,2292,1355,1539,6429,3633,10437,80,584,,587,63,184,,,,,,,,
32,247501,m. Sosnowiec,189654,69602,69559,2229,67330,618,1117,4638,1771,5336,17070,14780,17863,291,1330,,1922,198,396,,,,,,,,
33,260100,buski,61936,22153,22133,802,21331,381,105,1053,148,571,3334,1782,3165,64,5817,68,152,47,,4549,23,72,,,,,
33,260200,jędrzejowski,72209,23895,23814,995,22819,168,329,1330,148,505,5292,1934,2044,50,4636,130,179,142,,5817,57,58,,,,,
33,260300,kazimierski,29947,9040,9039,365,8674,75,47,302,54,177,1421,590,670,13,2518,227,48,17,,2488,17,10,,,,,
33,260400,kielecki,151735,50594,50515,2197,48318,1260,423,3923,454,2229,10202,4924,5833,138,8859,332,549,237,,8583,104,268,,,,,
33,260500,konecki,70318,25155,25142,1245,23897,284,168,1767,200,682,7029,3123,3234,74,1742,120,340,45,,4890,69,130,,,,,
33,260600,opatowski,46070,15658,15611,859,14752,205,81,1020,89,414,2172,982,930,37,4737,41,103,45,,3785,29,82,,,,,
33,260700,ostrowiecki,97137,32650,32582,1268,31314,268,211,1359,234,2092,6778,4726,5549,64,3791,425,303,39,,5262,140,73,,,,,
33,260800,pińczowski,35167,11937,11935,509,11426,192,151,671,106,252,1646,1210,1224,40,2219,65,70,19,,3516,21,24,,,,,
33,260900,sandomierski,66437,24837,24818,1188,23630,224,170,1543,202,578,5800,1981,2180,51,5871,82,306,79,,4468,34,61,,,,,
33,261000,skarżyski,67692,26032,26007,992,25015,412,161,1709,461,1793,8541,2617,5246,63,802,88,467,35,,2383,30,207,,,,,
