Nr okr.,TERYT,Powiat,L. upr.,Frekw.,Gł. odd.,Ważne,1 - SLD-UP,2 - AWSP,3 - UW,4 - Samoobrona,"5 - ""PiS""",6 - PSL,7 - PO,8 - ARS,9 - PWN,10 - LPR,11 - MnN,13 - PUG,14 - PPS,15 - NMnGŚl
33,2611,starachowicki,76675,34923,34715,33422,14880,1686,883,3367,2147,5736,2187,236,,1877,,,423,
33,2612,staszowski,58100,23619,23554,22440,9190,698,747,3772,1317,4332,1066,198,,1042,,,78,
33,2613,włoszczowski,36996,17089,17082,16200,7360,1103,135,2615,763,2304,830,121,,925,,,44,
33,2661,Kielce,165880,85690,85567,83533,42307,2386,2170,5055,10548,3470,9291,1309,,6678,,,319,
34,2801,bartoszycki,49895,19786,19774,18795,8342,246,1348,3984,808,1669,1169,60,,1169,,,,
34,2802,braniewski,34431,14000,13963,13193,5655,258,875,1461,721,2275,1338,34,,576,,,,
34,2803,działdowski,49839,21226,21201,20022,9579,820,236,2597,894,2566,1509,99,,1722,,,,
34,2804,elbląski,42121,15395,15341,14543,6764,214,600,2314,951,1517,1369,58,,756,,,,
34,2807,iławski,67890,29693,29501,28237,13474,715,1497,3884,1239,3278,2512,108,,1530,,,,
34,2809,lidzbarski,33632,13300,13261,12685,5454,252,394,1957,773,964,1938,42,,911,,,,
34,2812,nowomiejski,31936,14692,14582,13728,5474,316,156,2491,761,2457,812,48,,1213,,,,
34,2815,ostródzki,80869,32762,32665,31105,16218,1583,865,3350,2408,1795,3066,117,,1703,,,,
34,2861,Elbląg,98562,44762,44642,43451,22783,924,1588,2851,3904,1210,6548,121,,3522,,,,
35,2805,ełcki,61923,23110,23090,21991,10452,907,381,2110,1761,1279,2249,55,,2707,,,90,
35,2806,giżycki,67426,26283,26200,24954,11514,781,1020,3409,1424,1948,3119,59,,1573,,,107,
35,2808,kętrzyński,53774,20463,20417,19446,10005,756,572,2476,1046,1206,2114,63,,1138,,,70,
35,2810,mrągowski,38754,14827,14781,13998,6483,704,557,1319,1092,1151,1347,47,,1269,,,29,
35,2811,nidzicki,26214,10446,10442,9825,4885,477,153,994,464,1053,637,36,,1100,,,26,
35,2813,olecko-gołdapski,43312,15851,15831,14935,6469,526,336,1685,1080,1131,2551,50,,1039,,,68,
35,2814,olsztyński,83337,29364,29336,27457,13131,1113,927,3130,2274,2133,2681,100,,1880,,,88,
35,2816,piski,43378,16642,16635,15566,6597,598,199,1795,1522,1579,1498,43,,1689,,,46,
35,2817,szczycieński,52889,19179,19166,17983,8191,811,461,1652,939,2023,1981,91,,1648,,,186,
35,2862,Olsztyn,128177,64473,64361,62743,30370,2422,3354,3476,6413,2384,8473,154,,5571,,,126,
36,3004,gostyński,55822,29000,28937,26918,12697,1269,287,3867,704,3660,2348,85,,1960,,41,,
36,3006,jarociński,52885,26336,26305,24425,11624,1130,421,2560,748,3293,3085,70,,1445,,49,,
36,3007,kaliski,59695,26989,26894,25294,9562,670,209,6044,577,4565,1465,114,,2033,,55,,
36,3008,kępiński,40811,20687,20628,19394,7988,1070,254,2530,891,2134,2728,62,,1691,,46,,
36,3011,kościański,57865,28385,28318,26127,12648,876,600,3640,1211,2681,2498,108,,1812,,53,,
36,3012,krotoszyński,57455,29875,29826,27703,11965,742,688,3608,958,4693,3166,93,,1743,,47,,
36,3013,leszczyński,35081,17789,17721,16345,7526,455,288,2855,519,1921,1297,59,,1390,,35,,
36,3017,ostrowski,120038,61862,61726,58560,28815,3002,979,6840,2872,6285,5499,186,,3988,,94,,
36,3018,ostrzeszowski,40360,19372,19085,18011,7050,474,222,3007,558,4189,1027,55,,1389,,40,,
36,3020,pleszewski,46569,22048,21995,20412,9238,598,417,3023,949,2880,1820,89,,1349,,49,,
36,3022,rawicki,44959,21920,21857,20123,10094,613,337,2478,592,2801,1701,82,,1385,,40,,
36,3061,Kalisz,84535,43342,43247,41814,22727,1542,1130,2785,2414,1742,5546,194,,3688,,46,,
36,3063,Leszno,48919,24812,24793,23857,13162,648,890,1328,1166,1038,3272,64,,2259,,30,,
37,3003,gnieźnieński,106211,55410,55162,52526,28551,4281,698,5020,2409,4192,4130,105,61,2999,,80,,
37,3009,kolski,69895,32782,32744,30772,12978,902,313,5116,1206,6151,2290,63,30,1674,,49,,
37,3010,koniński,88722,36353,36295,33633,12742,1611,414,7384,1307,5139,2851,122,30,1956,,77,,
37,3023,słupecki,43431,20749,20680,19316,8709,563,254,3042,553,3397,1567,47,17,1131,,36,,
37,3025,średzki,40296,20238,20147,18906,9282,736,289,2980,976,1868,1653,61,21,999,,41,,
37,3026,śremski,43278,21133,21117,19828,10634,617,775,1917,869,1887,1706,50,28,1314,,31,,
37,3027,turecki,63126,28097,28054,26437,12359,1352,421,4663,1156,2315,2591,169,31,1319,,61,,
37,3030,wrzesiński,55519,27453,27432,25651,12433,1111,453,2934,1456,2654,2787,80,30,1673,,40,,
37,3062,Konin,64138,32557,32498,31341,16538,2128,1041,2500,2427,1675,3363,52,23,1565,,29,,
38,3001,chodzieski,35294,18711,18577,17204,8696,461,273,1734,622,2554,1873,97,,894,,,,
38,3002,czarnkowsko-trzcianecki,65146,29993,29729,27655,13456,1467,828,3245,1742,1892,3395,107,,1523,,,,
38,3005,grodziski,35191,17285,17265,16036,6747,489,668,2405,552,2660,1163,57,,1295,,,,
38,3014,międzychodzki,27110,12437,12325,11579,6024,348,358,1215,404,1625,953,39,,613,,,,
38,3015,nowotomyski,52502,25466,25430,23514,10300,1444,740,2551,1011,3115,2680,98,,1575,,,,
38,3016,obornicki,40902,19591,19440,18176,9367,996,392,2220,975,1270,1944,84,,928,,,,
38,3019,pilski,102114,53426,53342,49994,23806,3092,1074,5166,2780,4671,5589,237,,3579,,,,
38,3024,szamotulski,65178,30392,30337,28044,14353,977,616,2793,1317,2597,3060,105,,2226,,,,
38,3028,wągrowiecki,49418,25183,25103,23456,11385,693,337,3167,889,2966,2837,88,,1094,,,,
38,3029,wolsztyński,39773,21328,21314,19731,10751,756,784,1865,763,2142,1287,71,,1312,,,,
38,3031,złotowski,51575,23349,23291,21639,9359,963,815,3802,814,1626,2120,122,,2018,,,,
39,3021,poznański,191752,93086,92724,88242,36134,3624,3291,7345,9026,5685,16334,210,,6388,,205,,
39,3064,Poznań,444592,239555,239057,233024,98772,10060,12665,8981,32136,3899,48864,406,,16801,,440,,
40,3201,białogardzki,36771,14498,14434,13582,6251,341,195,3148,310,397,1907,125,,871,,,37,
40,3202,choszczeński,38953,15309,15285,14282,6680,435,353,2963,363,1908,1189,45,,320,,,26,
40,3203,drawski,46215,19130,19069,17923,8512,719,421,4280,599,665,1781,61,,835,,,50,
40,3208,kołobrzeski,59508,26465,26426,25136,12317,686,822,4726,1284,720,3257,66,,1194,,,64,
40,3209,koszaliński,46007,18516,18507,17099,7762,490,432,4894,610,919,1187,36,,702,,,67,
40,3213,sławieński,44147,20286,20141,18971,7673,390,376,7547,473,753,1146,40,,536,,,37,
40,3215,szczecinecki,60351,26545,26425,24944,10686,2560,929,5181,872,682,2943,56,,971,,,64,
40,3216,świdwiński,38159,15899,15860,14884,7420,607,259,3318,414,1003,1230,34,,563,,,36,
40,3217,wałecki,42427,18047,17967,16900,9132,696,539,2824,797,582,1517,47,,731,,,35,
40,3261,Koszalin,86267,43557,43428,42048,20616,1426,1861,7982,1963,818,4729,63,,2438,,,152,
41,3204,goleniowski,62955,24954,24934,23867,13126,728,689,2977,1380,1516,2414,81,,956,,,,
41,3205,gryficki,56565,22265,22053,21251,11803,560,458,2711,1112,1722,1777,130,,978,,,,
41,3206,gryfiński,62974,24665,24620,23576,12729,900,502,3232,1078,1294,2151,85,,1605,,,,
41,3207,kamieński,38014,15758,15740,15112,8418,668,375,1685,712,654,1947,56,,597,,,,
41,3210,myśliborski,52322,20845,20786,19788,10131,1075,1324,2798,746,888,1646,59,,1121,,,,
41,3211,policki,42939,17657,17622,16955,8691,822,996,1494,1340,457,2379,53,,723,,,,
41,3212,pyrzycki,31257,12467,12439,11813,5683,446,406,2360,481,1070,901,30,,436,,,,
41,3214,stargardzki,108514,44702,44649,42709,23726,1851,1345,5066,2252,1739,4522,161,,2047,,,,
41,3262,Szczecin,320189,152355,152016,148912,68624,6843,7892,11560,17720,3070,22689,407,,10107,,,,
41,3263,Świnoujście,33716,15233,15200,14851,8403,476,457,867,1217,300,2120,31,,980,,,,
41,3299,Statki,773,702,696,587,351,22,28,19,53,15,73,4,,22,,,,
