Nr okr.,TERYT,Powiat,L. upr.,Frekw.,Gł. odd.,Ważne,1 - SLD-UP,2 - AWSP,3 - UW,4 - Samoobrona,"5 - ""PiS""",6 - PSL,7 - PO,8 - ARS,9 - PWN,10 - LPR,11 - MnN,13 - PUG,14 - PPS,15 - NMnGŚl
10,1015,skierniewicki,29497,13560,13552,12589,3029,331,116,3100,527,4145,477,33,13,790,,,28,
10,1016,tomaszowski,96243,42274,42228,40211,16005,2834,844,5607,2673,5256,3789,138,49,2808,,,208,
10,1062,Piotrków Trybunalski,64002,29595,29503,28641,14035,1282,594,2445,2283,1264,3675,131,16,2753,,,163,
10,1063,Skierniewice,37403,17612,17597,16960,8674,589,376,1313,1478,1269,1915,79,10,1241,,,16,
11,1002,kutnowski,85994,39725,39588,37521,16794,1138,659,7002,1974,5527,2079,327,,1879,,,142,
11,1003,łaski,40003,16743,16738,16040,6361,537,203,2942,1036,2290,1255,86,,1275,,,55,
11,1004,łęczycki,43944,19684,19664,18348,6550,628,222,5208,596,2772,1197,65,,1016,,,94,
11,1005,łowicki,65731,30784,30716,29229,9977,1043,318,4465,1406,8145,1774,85,,1948,,,68,
11,1008,pabianicki,96417,44046,43954,42170,18660,1480,934,4632,3765,2266,5529,124,,4562,,,218,
11,1009,pajęczański,41711,18490,18459,17507,6714,526,200,4560,815,2914,891,66,,782,,,39,
11,1011,poddębicki,34316,15188,15141,14252,5076,405,162,3263,495,3313,701,74,,714,,,49,
11,1014,sieradzki,95329,45793,45750,43368,16462,1650,625,8889,1994,6737,2467,164,,4245,,,135,
11,1017,wieluński,61548,30751,30738,29132,11067,841,360,6037,1369,5016,2549,125,,1683,,,85,
11,1018,wieruszowski,32800,16614,16484,15777,6021,633,206,2736,595,3515,816,58,,1167,,,30,
11,1019,zduńskowolski,52306,25112,25050,24149,11471,1280,580,3280,1535,1735,2014,100,,2083,,,71,
11,1020,zgierski,125773,55321,54990,52606,24463,2949,944,7390,4037,2946,5395,160,,4178,,,144,
12,1203,chrzanowski,101341,49919,49792,47511,24503,2657,1164,3292,3726,1835,6555,458,,3321,,,,
12,1209,myślenicki,81049,36314,36205,34383,6722,3788,845,3295,3807,3723,5999,153,,6051,,,,
12,1213,oświęcimski,117394,59830,59794,56813,23866,4319,1816,4119,4715,5548,7649,301,,4480,,,,
12,1215,suski,60185,27780,27759,25886,5470,3717,842,2479,3028,3120,3206,91,,3933,,,,
12,1218,wadowicki,115295,55587,55524,52522,15949,3242,1499,5013,6159,5969,7173,241,,7277,,,,
13,1206,krakowski,176849,78309,78118,74171,20593,3561,1870,9127,8543,9451,12696,211,,8119,,,,
13,1208,miechowski,41020,18877,18818,17970,6491,416,278,3991,661,3656,1604,113,,760,,,,
13,1212,olkuski,95785,47027,46988,44981,24444,1896,971,5167,2433,2896,3907,174,,3093,,,,
13,1261,Kraków,574453,304265,303378,296599,94514,13184,22201,11579,57906,6165,60526,577,,29947,,,,
14,1205,gorlicki,80447,37368,37325,35451,12173,2875,383,3727,2492,4685,5635,195,,3286,,,,
14,1207,limanowski,84329,40605,40464,38332,6000,4162,351,3219,4100,6993,9046,598,,3863,,,,
14,1210,nowosądecki,136996,69134,68955,65054,13787,11116,805,5535,6819,8078,11470,497,,6947,,,,
14,1211,nowotarski,128271,55211,55039,52066,9273,5095,1910,4482,7487,3903,10553,304,,9059,,,,
14,1217,tatrzański,50581,23552,23526,22535,3713,4448,957,1423,3335,2049,4074,147,,2389,,,,
14,1262,Nowy Sącz,63113,34841,34778,33763,12689,3954,645,1342,4634,1132,6521,114,,2732,,,,
15,1201,bocheński,71304,34390,34355,32641,7516,2157,652,3819,3187,6739,4011,97,,4463,,,,
15,1202,brzeski,65078,30444,30419,28421,6467,1865,754,2674,2818,4824,4849,109,,4061,,,,
15,1204,dąbrowski,43257,19157,19132,18084,4465,848,190,2360,1020,5208,2094,43,,1856,,,,
15,1214,proszowicki,33793,14433,14394,13744,3203,259,266,2568,364,5707,695,35,,647,,,,
15,1216,tarnowski,130655,60162,60023,56225,11299,4119,875,6428,5053,11910,7311,185,,9045,,,,
15,1219,wielicki,74700,33119,33019,31486,7845,5113,725,2622,3410,3084,4839,135,,3713,,,,
15,1263,Tarnów,94012,47200,47085,45573,17026,3439,1557,2262,6251,1890,7355,134,,5659,,,,
16,1402,ciechanowski,70532,31204,31179,29884,13857,1505,538,3784,1970,4201,2411,79,,1496,,,43,
16,1404,gostyniński,37020,15898,15888,15109,5670,509,190,2490,813,3559,846,86,,919,,,27,
16,1413,mławski,56823,24801,24739,23332,9613,2034,261,2753,1052,4823,1292,84,,1381,,,39,
16,1419,płocki,78395,31170,31114,29297,10382,1233,316,5165,1503,7845,1240,179,,1365,,,69,
16,1420,płoński,68896,25548,25478,24142,8629,1291,385,4048,1339,4464,2365,120,,1464,,,37,
16,1422,przasnyski,41571,17821,17776,16796,6250,913,167,2270,1043,3359,1206,74,,1477,,,37,
16,1427,sierpecki,41514,16842,16797,15958,6301,649,207,2532,682,3589,1064,70,,833,,,31,
16,1428,sochaczewski,63936,25787,25780,24386,8248,1617,546,3101,2333,4879,2054,112,,1435,,,61,
16,1437,żuromiński,31708,13349,13345,12628,4484,724,66,1903,631,3486,570,51,,685,,,28,
16,1438,żyrardowski,57899,23096,23063,22040,9873,870,437,2110,2489,1992,2501,96,,1626,,,46,
16,1462,Płock,100842,47840,47755,46399,23825,2349,2022,3744,5587,2115,4466,101,,2055,,,135,
17,1401,białobrzeski,25316,10360,10358,9857,2279,749,106,1548,449,3043,974,39,,660,,10,,
17,1406,grójecki,83203,35322,35244,33792,9755,1442,340,5936,2799,8807,2053,104,,2531,,25,,
17,1407,kozienicki,49407,20569,20511,19750,6409,714,206,3432,1415,4207,1904,50,,1401,,12,,
17,1409,lipski,30853,14107,14068,13463,5392,330,100,2211,236,4152,335,88,,610,,9,,
17,1423,przysuski,35329,15739,15680,14854,3594,908,249,3463,534,3294,1143,70,,1581,,18,,
17,1425,radomski,104781,43062,43004,40772,12639,1962,491,6139,2412,8416,4967,267,,3427,,52,,
17,1430,szydłowiecki,31391,13233,13203,12502,3888,749,166,1430,760,2120,2428,53,,892,,16,,
17,1436,zwoleński,28933,11511,11495,10940,3388,417,111,1900,302,3435,494,177,,702,,14,,
17,1463,Radom,178055,83767,83424,81460,34269,5724,2007,6073,10079,5482,10961,296,,6488,,81,,
18,1403,garwoliński,79156,35518,35474,34106,8707,1121,490,6027,3032,8313,2884,165,,3348,,,19,
18,1410,łosicki,26303,13641,13595,13019,3549,475,95,2996,742,3569,438,44,,1105,,,6,
18,1411,makowski,36952,17161,17146,16415,5144,416,164,1900,609,5481,1333,53,,1296,,,19,
18,1412,miński,115376,51148,50927,49394,15214,2545,1092,5120,6247,7163,6687,239,,4962,,,125,
18,1415,ostrołęcki,61474,24371,24256,23211,5559,2206,215,2824,930,7726,869,99,,2748,,,35,
18,1416,ostrowski,58581,24851,24790,23877,7127,1791,421,2989,1936,5291,1279,160,,2860,,,23,
18,1424,pułtuski,38311,16414,16400,15712,5096,331,185,1501,1144,5354,1151,33,,904,,,13,
18,1426,siedlecki,58937,29054,29014,27921,6031,1363,220,7037,1574,8055,1101,107,,2404,,,29,
18,1429,sokołowski,46815,24865,24816,23862,5890,884,256,4420,1568,7118,1011,148,,2551,,,16,
18,1433,węgrowski,53612,22987,22970,22061,5803,700,204,4672,1824,5043,1131,112,,2557,,,15,
18,1435,wyszkowski,52770,22385,22365,21404,6484,691,706,1849,2127,6002,1640,92,,1785,,,28,
18,1461,Ostrołęka,41611,19419,19400,18889,8373,1436,386,1420,1543,1955,1768,66,,1922,,,20,
18,1464,Siedlce,56870,29980,29930,29277,12962,1814,674,2522,3609,2187,2966,96,,2416,,,31,
19,1431,warszawski,1297124,724428,721632,708282,263243,27566,45670,22039,153436,11412,134464,1340,310,47655,,,1147,
19,1499,Zagranica,41817,26795,26749,26229,6819,1931,2626,359,4990,498,4172,70,24,4676,,,64,
20,1405,grodziski,56964,24707,24689,23999,8672,811,829,1763,3278,1543,5314,66,23,1700,,,,
20,1408,legionowski,68047,30893,30787,29903,11691,1296,844,2472,4732,1859,4376,79,19,2535,,,,
20,1414,nowodworski,56802,23439,23362,22471,9078,920,319,2352,2462,4047,1870,49,15,1359,,,,
20,1417,otwocki,84868,41291,41101,39932,10227,1829,1128,3346,7569,5060,5500,177,49,5047,,,,
20,1418,piaseczyński,88463,39284,39212,38057,12213,1801,1566,2782,6431,3512,6680,90,39,2943,,,,
20,1421,pruszkowski,107771,52357,52192,50975,15475,2126,2222,3327,11382,2587,9629,267,52,3908,,,,
20,1432,warszawski zachodni,67917,29718,29692,28747,8529,1235,1031,2556,5259,2358,5151,76,24,2528,,,,
20,1434,wołomiński,140684,61517,61353,59250,14330,4358,1296,5619,12041,5285,8564,214,61,7482,,,,
21,1601,brzeski,71469,31506,31481,30190,12474,1144,803,4331,1815,2259,3244,125,89,3718,188,,,
21,1602,głubczycki,39996,16490,16470,15564,6241,907,432,2912,843,1261,1547,64,36,999,322,,,
21,1603,kędzierzyńsko-kozielski,81253,31394,31290,30038,12261,1009,1065,1953,1647,620,3672,106,91,1837,5777,,,
21,1604,kluczborski,54715,21346,21276,20342,7059,885,642,2531,1120,1682,2501,71,37,1618,2196,,,
21,1605,krapkowicki,54312,16650,16612,15561,5179,553,447,885,477,282,1489,69,96,472,5612,,,
21,1606,namysłowski,33597,14862,14843,14046,6106,446,244,2011,614,1612,1476,72,51,1220,194,,,
21,1607,nyski,115298,51459,51387,49213,19897,2164,1042,9094,2990,3508,6012,192,132,3576,606,,,
21,1608,oleski,54069,21452,21399,20305,7403,591,614,2301,473,1298,2532,60,121,761,4151,,,
21,1609,opolski,104333,33962,33922,31685,9554,843,623,2217,1110,992,3378,125,147,1487,11209,,,
21,1610,prudnicki,47605,19301,19283,18281,5976,493,453,2774,755,1000,2047,143,209,1700,2731,,,
21,1611,strzelecki,64495,21297,21258,19905,6636,730,375,1184,679,417,1712,75,58,827,7212,,,
21,1661,Opole,98875,46912,46802,45796,21992,1622,2856,2043,4053,871,7593,171,94,2359,2142,,,
22,1801,bieszczadzki,37865,15949,15924,14998,6343,1149,307,1624,1788,1321,1414,68,,984,,,,
22,1802,brzozowski,48938,21294,21272,19985,5008,2505,206,3248,2269,2496,1241,118,,2894,,,,
22,1804,jarosławski,91240,45229,45083,42827,11586,4112,611,5054,4311,9778,2718,278,,4379,,,,
22,1805,jasielski,93203,43678,43553,41222,12275,6790,538,6169,2632,5107,3082,143,,4486,,,,
22,1807,krośnieński,81536,39806,39540,37622,10915,3677,465,5675,3075,4266,3102,172,,6275,,,,
22,1809,lubaczowski,42871,21686,21583,20248,5890,1544,238,2026,2386,6107,696,78,,1283,,,,
22,1813,przemyski,52428,22747,22659,21006,5758,2039,433,3394,1206,4548,967,117,,2544,,,,
22,1814,przeworski,58650,29872,29855,28329,7328,2722,301,2860,1436,8572,1389,92,,3629,,,,
22,1817,sanocki,72298,31163,31049,29493,12046,2325,592,3651,2229,2931,2584,178,,2957,,,,
22,1861,Krosno,38031,19697,19682,19124,7645,1374,573,1536,2257,872,1990,127,,2750,,,,
22,1862,Przemyśl,52694,25559,25526,24442,9834,2568,979,1482,2705,1584,1827,67,,3396,,,,
23,1803,dębicki,97019,47143,46984,44809,16516,2684,870,4554,3865,6866,3001,183,,6270,,,,
23,1806,kolbuszowski,44497,20146,20100,19184,3961,4228,181,2654,822,3418,1214,277,,2429,,,,
23,1808,leżajski,51188,25667,25588,24616,4914,5900,218,2838,1274,3432,1226,77,,4737,,,,
23,1810,łańcucki,56696,29744,29727,28480,5637,3310,211,2791,2433,5655,1698,142,,6603,,,,
23,1811,mielecki,99006,45942,45892,44053,14347,3179,615,5224,2609,7281,4192,123,,6483,,,,
23,1812,niżański,49214,20831,20764,19688,6253,1646,172,2663,1712,2235,1432,116,,3459,,,,
23,1815,ropczycko-sędziszowski,51512,26328,26283,25046,3887,2717,185,2714,1253,8126,1875,347,,3942,,,,
23,1816,rzeszowski,123997,62744,62553,59720,13906,5863,570,7706,4805,8262,6098,361,,12149,,,,
23,1818,stalowowolski,85510,39130,39060,37710,14580,3768,469,3092,4333,2514,3260,207,,5487,,,,
23,1819,strzyżowski,46143,21391,21347,20352,4943,1486,230,2829,1415,4114,2360,175,,2800,,,,
23,1820,tarnobrzeski,41221,18272,18234,17318,7113,1134,172,1918,963,2616,1081,111,,2210,,,,
23,1863,Rzeszów,118041,67661,67520,66295,27087,5242,1561,2879,8997,2855,8584,254,,8836,,,,
23,1864,Tarnobrzeg,38689,18627,18612,18112,9542,941,351,1260,1301,1249,1662,88,,1718,,,,
24,2001,augustowski,45767,17920,17906,17265,5632,1084,410,2460,1676,2673,1384,46,,1848,,41,11,
24,2002,białostocki,104224,45346,45285,43659,13543,2709,713,5783,6090,4013,3467,102,,7031,,156,52,
24,2003,bielski,48834,23448,23421,22668,10742,1133,313,3067,2029,1457,1508,18,,2344,,36,21,
24,2004,grajewski,38009,15304,15253,14453,4191,313,232,1754,1448,4145,673,31,,1598,,45,23,
24,2005,hajnowski,42666,19333,19314,18729,14259,295,286,1396,417,711,708,46,,461,,15,135,
24,2006,kolneński,30564,12623,12591,12011,2856,463,107,1938,703,3763,599,25,,1486,,51,20,
24,2007,łomżyński,38190,15647,15593,14938,2383,650,125,3219,1279,4117,543,64,,2478,,62,18,
24,2008,moniecki,33800,13622,13616,13008,3769,943,146,2954,949,2127,653,37,,1369,,44,17,
24,2009,sejneński,16712,7290,7289,7021,4474,86,68,829,331,576,254,8,,381,,9,5,
24,2010,siemiatycki,39900,16745,16719,16130,6776,799,177,2600,981,2431,1035,31,,1237,,33,30,
24,2011,sokólski,59215,23972,23871,23019,6993,1173,440,4059,2082,3453,1676,50,,3000,,70,23,
24,2012,suwalski,26187,10525,10513,10021,2849,259,107,2806,680,1859,607,24,,794,,31,5,
24,2013,wysokomazowiecki,46758,23383,23311,22489,4208,3716,181,3882,1929,3997,2079,20,,2395,,62,20,
24,2014,zambrowski,34729,14693,14630,14078,4239,418,126,2228,1721,2837,827,16,,1626,,27,13,
24,2061,Białystok,216292,108448,108332,106227,45440,3534,3102,5590,17446,3228,13000,173,,14316,,325,73,
24,2062,Łomża,47105,20874,20806,20255,7999,1092,443,1668,2997,1245,2002,63,,2684,,51,11,
24,2063,Suwałki,49805,22321,22311,21694,10406,783,462,1642,3004,956,2463,91,,1831,,44,12,
25,2204,gdański,56568,23453,23404,22357,7646,1267,523,1889,2761,1232,5731,55,,1253,,,,
25,2207,kwidzyński,59800,23282,23221,22150,10781,1067,365,1979,1827,849,4026,48,,1208,,,,
25,2209,malborski,80840,33177,32987,31342,15537,1114,1159,3436,2877,2198,3842,72,,1107,,,,
25,2210,nowodworski,27270,10836,10810,10259,4054,290,257,1628,818,1369,1423,23,,397,,,,
25,2213,starogardzki,87990,40052,39978,37944,14357,2227,600,4316,4552,2526,6845,107,,2414,,,,
25,2214,tczewski,83518,36749,36685,34831,13122,2709,866,3326,3775,1685,7389,92,,1867,,,,
25,2261,Gdańsk,359524,188645,188306,183819,54548,8276,5646,6093,36787,2221,57804,395,,12049,,,,
25,2264,Sopot,34094,19322,19283,18939,5024,800,820,417,4284,178,6312,44,,1060,,,,
25,2299,Statki,116,109,109,106,24,2,3,1,29,5,36,0,,6,,,,
26,2201,bytowski,54955,23627,23615,22310,8468,1157,679,3052,882,2120,4595,60,,1297,,,,
26,2202,chojnicki,67206,31156,31105,29407,12357,1643,620,3189,2409,1922,4122,94,,3051,,,,
