Okręg,TERYT,Powiat,Liczba obwodów,Liczba uprawnionych do głosowania,Liczba wysłanych pakietów,Liczba kart wydanych,Liczba osób głosujących przez pełnomocnika,Liczba oddanych kart,Karty wyjęte z kopert zwrotnych,Karty nieważne,Karty ważne,Głosy nieważne,Głosy ważne,Liczba zaświadczeń,Liczba kopert zwrotnych,Liczba kopert bez oświadczenia,Liczba kopert z niepodpisanym oświadczeniem,Liczba kopert zwrotnych bez koperty na kartę do głosowania,Liczba niezaklejonych kopert na karty do głosowania,Liczba kopert zwrotnych wrzuconych do urn,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polska Jest Najważniejsza,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Prawica,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Ruch Palikota,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Wyborców Mniejszość Niemiecka
26,220500,kartuski,69,87220,5,45300,33,45290,5,0,45290,2450,42840,479,5,0,0,0,0,5,,,18385,1329,244,4623,,13820,2470,1969,
26,220600,kościerski,45,53657,0,25065,18,25059,0,0,25059,1383,23676,255,0,0,0,0,0,0,,,9735,653,134,1804,,7680,1888,1782,
26,220800,lęborski,43,50752,1,23789,13,23785,1,0,23785,1377,22408,228,1,0,0,0,0,1,,,10261,722,122,1430,,5002,2477,2394,
26,221100,pucki,48,60990,0,31209,9,31200,0,1,31199,1841,29358,652,0,0,0,0,0,0,,,15195,737,165,1982,,6657,2671,1951,
26,221200,słupski,73,75492,3,29643,24,29643,3,82,29561,1817,27744,762,3,0,0,0,0,3,,,12458,656,220,2083,,5676,3396,3255,
26,221500,wejherowski,96,149191,2,78804,52,78768,2,13,78755,3970,74785,478,2,0,0,0,0,2,,,36827,2292,422,3836,,19937,6819,4652,
26,226201,Gdynia,121,195826,15,123035,147,122894,10,215,122679,3251,119428,1712,15,5,0,0,0,10,,,65452,3362,598,2109,,27276,11938,8693,
26,226301,Słupsk,46,76100,2,39770,41,39758,1,48,39710,1206,38504,317,2,1,0,0,0,1,,,18467,947,201,890,,8397,4762,4840,
27,240200,bielski,89,124872,4,68337,50,68311,4,63,68248,3084,65164,447,4,0,0,0,0,4,,,26479,1442,419,6150,591,20759,5760,3564,
27,240300,cieszyński,121,140115,5,72239,81,72223,5,3,72220,3503,68717,1584,5,0,0,0,0,5,,,32167,1249,426,3709,545,17015,7916,5690,
27,241000,pszczyński,63,84345,0,42751,34,42737,0,80,42657,2033,40624,328,0,0,0,0,0,0,,,15082,1256,314,2788,380,14698,3899,2207,
27,241700,żywiecki,105,121744,2,61150,73,61125,2,47,61078,3670,57408,565,2,0,0,0,0,2,,,19323,1060,303,6201,536,22764,3974,3247,
27,246101,Bielsko-Biała,98,139887,8,81722,51,81663,8,76,81587,2045,79542,565,8,0,0,0,0,8,,,38420,1815,451,2295,683,22916,7789,5173,
28,240400,częstochowski,111,110539,0,49365,30,49358,0,18,49340,2965,46375,319,0,0,0,0,0,0,,864,13211,867,444,7175,,12874,6304,4636,
28,240600,kłobucki,62,69845,1,30144,13,30136,1,9,30127,1807,28320,176,1,0,0,0,0,1,,540,7067,400,230,5510,,7524,3339,3710,
28,240700,lubliniecki,57,62688,2,27052,27,27043,2,2,27041,1719,25322,255,2,0,0,0,0,2,,598,10258,688,241,2086,,7453,2338,1660,
28,240900,myszkowski,52,59008,3,25287,24,25289,3,22,25267,1334,23933,209,3,0,0,0,0,3,,403,7888,369,368,2065,,7273,3675,1892,
28,246401,Częstochowa,134,193215,12,103702,66,103659,12,91,103568,3021,100547,801,12,0,0,0,0,12,,2209,40076,2471,592,2852,,26305,14393,11649,
