Województwo,TERYT,Powiat,L.obw.,Upr.,Frekw.,Gł. odd.,Gł. ważne,JUREK Marek,KACZYŃSKI Jarosław Aleksander,KOMOROWSKI Bronisław Maria,KORWIN-MIKKE Janusz Ryszard,LEPPER Andrzej Zbigniew,MORAWIECKI Kornel Andrzej,NAPIERALSKI Grzegorz Bernard,OLECHOWSKI Andrzej Marian,PAWLAK Waldemar,ZIĘTEK Bogusław Zbigniew
pomorskie,226301,Słupsk,46,76822,44104,44083,43823,278,10801,23444,1056,428,41,6816,625,290,44
pomorskie,226401,Sopot,21,33237,22747,22743,22583,207,5874,13435,749,46,26,1638,479,109,20
pomorskie,229901,Statki - Gdańsk,5,314,314,314,311,2,61,181,18,3,0,38,7,1,0
śląskie,240100,będziński,94,125692,68445,68438,67951,375,16946,31655,1828,632,86,14659,1033,548,189
śląskie,240200,bielski,85,123584,74596,74571,74129,1245,26880,32302,1822,491,94,9286,1048,844,117
śląskie,240300,cieszyński,120,140699,82072,82052,81632,1443,23379,40749,1835,718,108,11309,1063,836,192
śląskie,240400,częstochowski,111,109435,56274,56258,55805,374,19998,19456,1330,1048,77,11287,656,1439,140
śląskie,240500,gliwicki,72,91728,45646,45638,45300,973,14887,20690,1186,599,58,5637,744,388,138
śląskie,240600,kłobucki,60,69111,34949,34945,34654,194,12691,12112,782,660,92,6723,371,938,91
śląskie,240700,lubliniecki,55,62574,31354,31351,31108,687,10884,13827,731,530,54,3441,501,350,103
śląskie,240800,mikołowski,52,73846,42770,42765,42524,867,15123,19068,1126,344,55,4849,697,277,118
śląskie,240900,myszkowski,52,59060,29436,29431,29221,236,10383,10818,740,500,48,5544,379,464,109
śląskie,241000,pszczyński,63,83390,48918,48898,48643,1268,21279,17323,1176,428,60,5650,784,545,130
śląskie,241100,raciborski,69,89781,40592,40589,40294,965,10819,21455,899,501,56,4535,602,372,90
śląskie,241200,rybnicki,43,59478,32286,32280,32079,670,14012,12039,599,298,29,3579,483,262,108
śląskie,241300,tarnogórski,88,112266,59196,59180,58831,1255,19190,27787,1595,462,72,6836,1014,452,168
śląskie,241400,bieruńsko-lędziński,32,45107,25404,25398,25252,532,12021,8255,602,172,29,2981,363,214,83
śląskie,241500,wodzisławski,93,125590,67035,67021,66663,1300,26933,26579,1458,539,73,8175,954,482,170
śląskie,241600,zawierciański,90,102168,53105,53100,52737,313,17265,19524,1305,796,68,11420,614,1069,363
śląskie,241700,żywiecki,105,121444,69096,69082,68617,920,32130,24843,1249,570,58,7187,740,800,120
śląskie,246101,Bielsko-Biała,97,140075,86107,86056,85620,1203,27293,42647,2339,385,85,9693,1175,622,178
śląskie,246201,Bytom,98,137891,68490,68472,67986,795,20158,32878,1926,419,92,9963,1222,322,211
śląskie,246301,Chorzów,60,88529,46433,46421,46103,622,11304,25020,1296,270,54,6280,835,210,212
śląskie,246401,Częstochowa,134,194688,114758,114719,114006,1041,35243,51985,3477,581,168,18817,1721,709,264
śląskie,246501,Dąbrowa Górnicza,67,103571,56846,56828,56453,276,14394,25863,1588,382,72,12360,971,331,216
śląskie,246601,Gliwice,114,150954,87932,87912,87340,1324,22269,47138,2618,432,102,11081,1622,567,187
śląskie,246701,Jastrzębie-Zdrój,52,73540,41359,41350,41100,471,18336,14205,997,320,45,5841,505,311,69
śląskie,246801,Jaworzno,45,76777,41823,41823,41534,352,12794,18562,1271,247,51,7209,640,280,128
śląskie,246901,Katowice,165,250807,149965,149943,149093,2074,41795,77279,4429,662,196,18666,2745,723,524
śląskie,247001,Mysłowice,42,59963,34018,33999,33750,491,11954,14121,907,217,37,5150,570,205,98
śląskie,247101,Piekary Śląskie,32,47208,25370,25376,25151,410,9460,10858,563,139,24,3041,455,130,71
śląskie,247201,Ruda Śląska,80,114468,60774,60728,60315,940,22135,25392,1451,334,69,8432,1034,308,220
śląskie,247301,Rybnik,73,111679,61582,61567,61204,1176,21683,27169,1556,403,62,7457,1084,398,216
śląskie,247401,Siemianowice Śląskie,40,56918,30923,30924,30730,433,7887,15950,844,184,45,4581,545,156,105
śląskie,247501,Sosnowiec,118,181112,101397,101386,100701,558,25832,46147,2840,647,116,22330,1499,463,269
śląskie,247601,Świętochłowice,27,42759,20420,20416,20270,330,5844,10182,532,115,20,2734,327,95,91
śląskie,247701,Tychy,67,104785,62292,62295,61928,975,19685,28935,2000,326,69,8403,952,377,206
śląskie,247801,Zabrze,90,145820,67392,67385,66866,855,18524,33335,1794,477,79,10157,1035,424,186
śląskie,247901,Żory,32,48506,26869,26867,26689,465,9478,11178,689,219,22,3924,423,215,76
świętokrzyskie,260100,buski,69,62520,27965,27957,27738,144,12283,7597,514,665,35,4356,261,1860,23
świętokrzyskie,260200,jędrzejowski,75,72432,33917,33908,33711,226,16308,7794,543,735,40,5991,299,1671,104
świętokrzyskie,260300,kazimierski,26,29791,11272,11270,11208,39,4990,2581,162,404,12,1768,104,1117,31
świętokrzyskie,260400,kielecki,165,160370,79494,79479,78801,680,42507,17887,1440,1195,95,11516,746,2578,157
świętokrzyskie,260500,konecki,66,69975,34533,34526,34249,262,16768,9482,671,536,34,5375,353,705,63
świętokrzyskie,260600,opatowski,52,45673,19369,19366,19209,117,9067,3782,271,566,28,3739,162,1437,40
świętokrzyskie,260700,ostrowiecki,79,95916,44568,44564,44293,305,16606,14498,985,541,48,9695,479,1032,104
świętokrzyskie,260800,pińczowski,34,34968,15101,15100,14996,68,5675,4163,309,497,13,3089,131,1020,31
świętokrzyskie,260900,sandomierski,59,66854,30611,30611,30392,221,13736,7982,517,682,33,4953,246,1974,48
świętokrzyskie,261000,skarżyski,58,66453,34875,34868,34624,242,14089,12238,939,302,48,5746,560,390,70
świętokrzyskie,261100,starachowicki,67,77563,38744,38739,38486,324,16992,12080,893,417,56,6484,468,692,80
świętokrzyskie,261200,staszowski,59,60321,27670,27667,27525,182,14603,6364,493,467,20,4140,234,989,33
świętokrzyskie,261300,włoszczowski,43,38139,19028,19025,18887,123,9726,3822,405,422,37,3375,143,794,40
świętokrzyskie,266101,Kielce,96,165945,101037,100992,100294,810,35534,41675,3046,512,108,15680,1714,1049,166
warmińsko-mazurskie,280100,bartoszycki,37,50823,22864,22850,22690,136,5748,10877,466,658,31,4050,243,429,52
warmińsko-mazurskie,280200,braniewski,35,35032,15718,15713,15581,121,3982,7095,364,535,20,2929,189,305,41
warmińsko-mazurskie,280300,działdowski,52,52546,25079,25077,24878,173,8957,9626,415,493,26,4341,210,595,42
warmińsko-mazurskie,280400,elbląski,42,45239,19027,19017,18859,126,5350,8686,394,533,26,3054,225,434,31
warmińsko-mazurskie,280500,ełcki,52,67885,30506,30507,30175,329,9679,13771,702,506,36,4237,358,504,53
warmińsko-mazurskie,280600,giżycki,41,46965,23079,23072,22853,154,5372,12043,650,466,36,3303,313,477,39
warmińsko-mazurskie,280700,iławski,62,73589,35967,35949,35731,212,10754,15715,727,865,43,6015,522,797,81
warmińsko-mazurskie,280800,kętrzyński,51,54524,23977,23970,23751,162,5953,11880,521,578,24,3828,291,473,41
warmińsko-mazurskie,280900,lidzbarski,31,34429,15835,15834,15705,102,4161,7673,367,415,27,2512,212,211,25
warmińsko-mazurskie,281000,mrągowski,34,41381,20206,20204,20025,190,5202,10179,500,318,31,2897,253,416,39
warmińsko-mazurskie,281100,nidzicki,30,27086,12461,12461,12324,98,4414,5054,230,246,11,1881,133,235,22
warmińsko-mazurskie,281200,nowomiejski,31,34269,16591,16585,16435,135,5917,6006,208,661,22,2666,217,580,23
warmińsko-mazurskie,281300,olecki,28,27482,12265,12265,12132,129,3615,5715,302,276,17,1616,123,309,30
warmińsko-mazurskie,281400,olsztyński,109,94317,44144,44137,43710,382,10995,22354,1110,809,63,6453,658,808,78
warmińsko-mazurskie,281500,ostródzki,78,84236,39545,39532,39264,328,9815,19906,789,734,44,6469,499,624,56
warmińsko-mazurskie,281600,piski,43,46794,21976,21973,21737,182,7572,9371,405,351,27,2929,257,604,39
warmińsko-mazurskie,281700,szczycieński,56,56692,26590,26586,26292,206,8358,11553,462,461,41,4094,364,712,41
warmińsko-mazurskie,281800,gołdapski,22,22207,9572,9572,9468,79,2337,5025,201,205,11,1334,78,178,20
warmińsko-mazurskie,281900,węgorzewski,20,19713,8594,8592,8523,66,1902,4417,193,253,8,1310,147,210,17
warmińsko-mazurskie,286101,Elbląg,62,98660,54947,54930,54554,398,15960,26595,1347,415,66,8433,875,367,98
warmińsko-mazurskie,286201,Olsztyn,95,135514,83915,83888,83261,754,21849,43642,2490,459,74,11731,1436,726,100
wielkopolskie,300100,chodzieski,34,37419,20697,20692,20561,119,4080,11081,436,413,34,3615,288,454,41
wielkopolskie,300200,czarnkowsko-trzcianecki,65,68767,35428,35413,35135,247,8866,18059,606,871,40,5152,453,790,51
wielkopolskie,300300,gnieźnieński,83,113713,62555,62514,62123,480,18016,27193,1082,1081,80,11889,833,1343,126
wielkopolskie,300400,gostyński,50,60376,29890,29881,29695,224,9115,11781,511,681,41,5651,369,1281,41
wielkopolskie,300500,grodziski,28,38620,19745,19735,19572,102,5530,8710,332,471,17,3448,264,659,39
wielkopolskie,300600,jarociński,38,56586,30305,30297,30043,204,9414,11734,542,634,40,6173,394,830,78
wielkopolskie,300700,kaliski,62,64562,31710,31700,31464,188,13676,7663,512,895,37,6359,274,1783,77
wielkopolskie,300800,kępiński,43,44136,23694,23692,23527,191,8061,9778,450,520,41,3505,279,657,45
wielkopolskie,300900,kolski,61,71656,36168,36168,35872,191,16766,9242,538,924,53,6641,306,1154,57
wielkopolskie,301000,koniński,90,98575,49458,49448,49036,281,23657,12221,635,1206,66,9204,428,1260,78
wielkopolskie,301100,kościański,52,62188,32998,32992,32644,205,9077,14664,634,652,45,5819,520,951,77
wielkopolskie,301200,krotoszyński,44,60955,32186,32178,31926,299,10251,12329,568,766,52,5683,405,1500,73
wielkopolskie,301300,leszczyński,36,40274,20563,20555,20399,161,5815,9013,448,475,40,3416,270,720,41
wielkopolskie,301400,międzychodzki,24,28914,14222,14222,14108,91,2987,7244,249,260,19,2585,189,450,34
wielkopolskie,301500,nowotomyski,47,56783,30896,30891,30709,232,7328,15657,504,647,36,5010,463,782,50
wielkopolskie,301600,obornicki,41,44808,24819,24815,24663,173,5837,12816,399,411,27,4112,314,522,52
wielkopolskie,301700,ostrowski,98,127986,70099,70068,69628,638,24186,27952,1524,1184,99,11350,918,1649,128
wielkopolskie,301800,ostrzeszowski,50,43412,21514,21511,21315,190,7139,7972,400,487,39,3925,244,867,52
wielkopolskie,301900,pilski,82,107456,59962,59952,59519,513,15104,29880,1353,1043,83,9520,855,1074,94
wielkopolskie,302000,pleszewski,52,49536,25410,25404,25192,223,8331,9653,405,573,42,4555,306,1039,65
wielkopolskie,302100,poznański,178,246786,151087,151048,150050,1242,34355,84597,3840,1366,175,19411,2753,2085,226
wielkopolskie,302200,rawicki,40,47719,24132,24126,23936,184,5838,11269,473,600,31,4338,270,868,65
wielkopolskie,302300,słupecki,38,47528,24304,24302,24077,139,8623,8285,392,587,26,4673,292,1027,33
wielkopolskie,302400,szamotulski,50,70179,36824,36808,36568,297,8466,19017,757,631,36,6089,469,745,61
wielkopolskie,302500,średzki,34,43789,23716,23713,23544,160,6548,10150,533,452,32,4597,354,669,49
wielkopolskie,302600,śremski,39,46888,25430,25425,25242,195,6775,11211,584,424,32,4908,364,709,40
wielkopolskie,302700,turecki,54,66944,35118,35111,34859,167,15858,9212,622,798,44,6861,342,850,105
wielkopolskie,302800,wągrowiecki,43,53565,27095,27089,26921,139,6356,12613,459,768,46,5051,342,1103,44
wielkopolskie,302900,wolsztyński,37,43406,24165,24155,23960,195,5659,11715,458,561,45,4131,287,878,31
wielkopolskie,303000,wrzesiński,49,59620,31910,31897,31658,267,9649,13153,702,536,44,5914,516,827,50
wielkopolskie,303100,złotowski,45,54748,27058,27051,26859,185,6591,13754,471,719,35,4171,322,572,39
wielkopolskie,306101,Kalisz,55,84759,49876,49860,49579,303,14367,23518,1219,298,64,8594,715,377,124
wielkopolskie,306201,Konin,46,64090,38741,38728,38503,226,13190,15354,762,233,37,7867,509,267,58
wielkopolskie,306301,Leszno,34,50699,29543,29539,29388,231,6841,15869,841,161,34,4701,431,229,50
wielkopolskie,306401,Poznań,298,438617,287144,286928,285043,2823,62647,169397,8307,1178,325,32738,5607,1644,377
zachodniopomorskie,320100,białogardzki,35,38670,17385,17382,17228,106,3890,9069,254,420,15,3080,189,165,40
zachodniopomorskie,320200,choszczeński,33,40591,17240,17240,17106,93,4081,8215,331,488,32,3113,167,563,23
zachodniopomorskie,320300,drawski,46,47605,22288,22285,22077,154,5172,11094,424,536,18,4125,249,279,26
zachodniopomorskie,320400,goleniowski,48,64680,31896,31887,31664,241,7269,15395,744,566,49,6381,428,531,60
zachodniopomorskie,320500,gryficki,41,53684,27918,27909,27729,167,6555,14151,461,591,46,5007,298,418,35
zachodniopomorskie,320600,gryfiński,55,66156,31027,31013,30720,180,8534,14089,783,612,40,5629,398,416,39
zachodniopomorskie,320700,kamieński,38,42838,22471,22466,22324,122,4974,11968,404,325,24,3877,325,271,34
zachodniopomorskie,320800,kołobrzeski,49,68757,40103,40077,39850,245,9964,21244,761,511,42,6188,463,387,45
zachodniopomorskie,320900,koszaliński,57,53840,26813,26810,26575,177,6044,14060,569,626,35,4267,342,415,40
zachodniopomorskie,321000,myśliborski,48,53883,25251,25246,25060,144,6592,12487,466,526,34,4157,312,315,27
zachodniopomorskie,321100,policki,36,51762,29534,29529,29314,173,6925,14618,959,243,38,5529,550,247,32
zachodniopomorskie,321200,pyrzycki,28,32255,14894,14892,14761,72,4536,5987,236,436,15,2873,195,373,38
zachodniopomorskie,321300,sławieński,43,48907,24241,24233,24097,182,6027,11892,436,974,27,3902,306,320,31
zachodniopomorskie,321400,stargardzki,73,95594,48236,48232,47889,285,12225,23526,1067,762,51,8696,632,574,71
zachodniopomorskie,321500,szczecinecki,46,62630,30112,30103,29913,210,7121,15485,708,619,29,5043,336,315,47
zachodniopomorskie,321600,świdwiński,35,39688,18252,18250,18105,132,4549,8612,334,454,22,3479,189,304,30
zachodniopomorskie,321700,wałecki,35,43333,20948,20949,20834,159,4325,11199,500,354,26,3620,290,338,23
zachodniopomorskie,321800,łobeski,28,30530,12948,12946,12852,55,2939,6221,265,377,28,2593,136,210,28
zachodniopomorskie,326101,Koszalin,54,87300,52376,52360,52052,316,11791,28543,1275,563,69,8360,760,316,59
zachodniopomorskie,326201,Szczecin,200,318492,189018,188811,187568,1378,50755,90478,5852,1123,227,32954,3534,1011,256
zachodniopomorskie,326301,Świnoujście,25,35234,20095,20089,19976,100,4964,10412,436,109,24,3508,292,109,22
