Województwo,TERYT,Powiat,L.obw.,Upr.,Frekw.,Gł. odd.,Gł. ważne,JUREK Marek,KACZYŃSKI Jarosław Aleksander,KOMOROWSKI Bronisław Maria,KORWIN-MIKKE Janusz Ryszard,LEPPER Andrzej Zbigniew,MORAWIECKI Kornel Andrzej,NAPIERALSKI Grzegorz Bernard,OLECHOWSKI Andrzej Marian,PAWLAK Waldemar,ZIĘTEK Bogusław Zbigniew
lubelskie,60100,bialski,108,90290,44940,44935,44589,501,21722,11726,828,1221,68,5607,461,2386,69
lubelskie,60200,biłgorajski,93,83425,42839,42832,42562,645,23608,9031,859,1244,58,4641,458,1941,77
lubelskie,60300,chełmski,90,64413,26391,26388,26146,247,11522,7170,490,1096,36,3960,278,1284,63
lubelskie,60400,hrubieszowski,66,57011,25749,25748,25562,191,12103,6387,426,1115,40,3851,243,1161,45
lubelskie,60500,janowski,38,38548,22472,22468,22358,204,15799,2583,318,445,19,1641,146,1176,27
lubelskie,60600,krasnostawski,85,56837,26011,26006,25816,201,11882,6614,554,1007,35,3984,257,1219,63
lubelskie,60700,kraśnicki,84,80849,42109,42105,41810,383,23596,8264,794,931,47,5676,358,1687,74
lubelskie,60800,lubartowski,86,72649,36800,36788,36542,558,18139,9178,923,872,58,4528,395,1794,97
lubelskie,60900,lubelski,119,113453,58552,58547,58087,797,31049,12892,1342,1630,77,6419,718,3058,105
lubelskie,61000,łęczyński,47,45433,21568,21563,21454,242,10815,5251,585,512,32,3020,295,630,72
lubelskie,61100,łukowski,87,85839,44761,44753,44423,572,25667,8814,704,968,47,5358,436,1762,95
lubelskie,61200,opolski,60,51615,24031,24020,23820,193,12539,4688,421,805,28,3789,236,1078,43
lubelskie,61300,parczewski,36,30094,14576,14573,14458,149,6701,3945,278,423,11,2075,141,695,40
lubelskie,61400,puławski,88,96067,52043,52037,51633,614,24332,15736,1367,870,75,6446,763,1324,106
lubelskie,61500,radzyński,51,49504,25145,25140,24991,281,13718,5189,442,663,33,2953,240,1410,62
lubelskie,61600,rycki,62,48187,26303,26299,26088,200,12707,6460,530,667,32,4150,286,996,60
lubelskie,61700,świdnicki,53,59203,31131,31119,30935,390,14956,8978,885,526,50,3946,455,680,69
lubelskie,61800,tomaszowski,92,72743,34177,34177,33933,237,17350,7858,722,1123,45,4531,320,1670,77
lubelskie,61900,włodawski,43,33451,16109,16107,15987,178,6369,5237,334,615,35,2361,177,632,49
lubelskie,62000,zamojski,110,89104,42365,42354,42091,337,24612,8179,686,1222,61,4497,379,2046,72
lubelskie,66101,Biała Podlaska,29,45725,26096,26076,25935,359,10493,9188,756,242,25,3975,415,418,64
lubelskie,66201,Chełm,36,55623,29004,29002,28847,249,10676,11340,729,270,26,4809,356,341,51
lubelskie,66301,Lublin,211,279104,172570,172505,171582,2649,70192,66613,6203,940,233,19608,3130,1763,251
lubelskie,66401,Zamość,32,54080,29400,29397,29215,310,12572,9966,815,308,30,4327,438,385,64
lubuskie,80100,gorzowski,52,52460,25192,25189,24994,216,6472,12157,547,466,29,4377,308,386,36
lubuskie,80200,krośnieński,48,45302,21115,21113,20939,144,4698,11005,380,328,32,3823,255,248,26
lubuskie,80300,międzyrzecki,48,48016,23792,23785,23637,182,5455,12050,464,444,41,4253,273,432,43
lubuskie,80400,nowosolski,49,69517,34216,34202,33971,310,9992,16396,626,464,25,5255,391,454,58
lubuskie,80500,słubicki,29,36879,17852,17846,17707,113,4284,9207,347,264,21,2992,207,237,35
lubuskie,80600,strzelecko-drezdenecki,36,40395,18525,18519,18398,135,4377,9450,327,428,27,3055,195,366,38
lubuskie,80700,sulęciński,34,28868,13571,13570,13467,132,3709,6501,248,327,28,2125,117,249,31
lubuskie,80800,świebodziński,34,44725,22233,22227,22067,212,5645,11413,514,296,30,3300,321,303,33
lubuskie,80900,zielonogórski,59,72916,37239,37230,36979,337,8102,20090,876,533,44,5939,523,483,52
lubuskie,81000,żagański,54,65696,30824,30809,30575,212,8195,14588,633,512,61,5473,377,449,75
lubuskie,81100,żarski,62,79155,37795,37784,37467,308,9439,19105,834,526,37,6285,491,370,72
lubuskie,81200,wschowski,31,30782,15368,15368,15270,128,4870,6717,305,287,17,2407,252,269,18
lubuskie,86101,Gorzów Wielkopolski,68,99462,54937,54914,54561,646,14467,27534,1446,413,64,8835,733,339,84
lubuskie,86201,Zielona Góra,61,93140,56907,56858,56566,473,12938,31514,1495,251,55,8507,901,341,91
łódzkie,100100,bełchatowski,68,91367,52112,52102,51638,491,28180,11403,1392,726,56,7906,593,787,104
łódzkie,100200,kutnowski,77,84719,42494,42483,42163,252,17555,12878,724,1049,37,7242,409,1928,89
łódzkie,100300,łaski,39,41366,21289,21286,21123,154,9343,6034,535,428,16,3677,193,709,34
łódzkie,100400,łęczycki,48,44057,21665,21664,21489,135,9798,5838,294,906,19,3315,169,965,50
łódzkie,100500,łowicki,65,66818,34324,34318,34047,364,15658,9002,775,654,46,5003,350,2134,61
łódzkie,100600,łódzki wschodni,52,53681,31315,31304,31080,255,13328,10784,852,438,31,4203,472,659,58
łódzkie,100700,opoczyński,68,63411,35528,35522,35200,573,20375,6527,641,814,29,4732,298,1142,69
łódzkie,100800,pabianicki,67,97598,56949,56930,56571,331,19845,23281,1718,531,70,9043,874,764,114
łódzkie,100900,pajęczański,38,43035,21758,21756,21581,119,11525,4611,370,553,33,3613,216,497,44
łódzkie,101000,piotrkowski,68,72108,38204,38198,37846,376,22069,7129,549,1018,32,4927,313,1377,56
łódzkie,101100,poddębicki,47,34708,17363,17361,17219,79,7473,4346,254,717,24,3266,185,849,26
łódzkie,101200,radomszczański,85,95386,47521,47509,47106,315,21334,13114,937,865,62,8668,425,1290,96
łódzkie,101300,rawski,30,40338,20311,20308,20140,261,10626,4461,378,613,20,2732,162,855,32
łódzkie,101400,sieradzki,91,97926,50927,50919,50554,348,22691,13580,1012,1409,63,8773,558,2028,92
łódzkie,101500,skierniewicki,36,30531,16348,16347,16188,193,8890,2886,287,595,13,2293,161,836,34
łódzkie,101600,tomaszowski,84,97627,54970,54956,54541,560,25040,16503,988,794,69,8514,694,1293,86
łódzkie,101700,wieluński,79,63579,33059,33062,32816,242,13850,9840,696,713,38,5741,336,1294,66
łódzkie,101800,wieruszowski,36,33871,17370,17369,17244,133,6984,5008,341,477,72,3111,181,906,31
łódzkie,101900,zduńskowolski,43,54352,28929,28926,28763,212,11892,9889,707,345,42,4722,380,508,66
łódzkie,102000,zgierski,105,132168,73804,73781,73289,466,27040,29625,1772,864,95,11155,1075,1067,130
łódzkie,102100,brzeziński,28,24925,13212,13212,13122,139,6192,3573,285,317,12,1970,155,463,16
łódzkie,106101,Łódź,397,597276,360258,360024,357547,2124,101310,178964,11273,1913,460,52295,6616,2019,573
łódzkie,106201,Piotrków Trybunalski,41,63143,36759,36737,36470,396,14457,13435,975,314,39,5972,504,326,52
łódzkie,106301,Skierniewice,25,39157,23410,23402,23254,449,8037,9267,737,171,29,3891,382,246,45
małopolskie,120100,bocheński,72,79897,45702,45683,45440,800,25114,11931,1037,505,47,4320,575,1049,62
małopolskie,120200,brzeski,64,71373,38721,38713,38457,954,21624,9913,909,425,25,3332,410,819,46
małopolskie,120300,chrzanowski,81,104122,58823,58809,58410,573,19453,24410,1790,502,71,10099,833,533,146
małopolskie,120400,dąbrowski,51,47119,23002,23000,22853,313,14508,4120,364,418,24,2068,159,849,30
małopolskie,120500,gorlicki,91,86309,45633,45628,45332,631,23760,12731,946,708,51,5134,465,824,82
małopolskie,120600,krakowski,168,199347,110837,110795,110027,1162,48823,38630,3621,1072,104,12767,1703,2013,132
małopolskie,120700,limanowski,95,94278,54814,54809,54415,1082,36414,10168,840,524,46,3758,499,1030,54
małopolskie,120800,miechowski ,55,41300,18445,18442,18308,123,7928,4519,420,563,17,3494,192,1005,47
małopolskie,120900,myślenicki,76,92151,53202,53197,52787,974,28874,14736,1486,487,47,4593,720,811,59
małopolskie,121000,nowosądecki,164,155546,92779,92770,92141,1694,59995,19024,1674,879,71,6196,852,1681,75
małopolskie,121100,nowotarski,143,144575,76168,76156,75546,1060,42372,22749,1636,825,66,5026,821,904,87
małopolskie,121200,olkuski,81,93722,51773,51746,51316,438,20313,17299,1536,658,68,9573,643,689,99
małopolskie,121300,oświęcimski,99,124444,72589,72583,72104,772,27833,28700,1844,537,87,10373,978,791,189
małopolskie,121400,proszowicki,37,35119,15391,15388,15284,83,7376,3353,303,442,14,2349,108,1233,23
małopolskie,121500,Suski,57,65379,35872,35866,35589,387,19316,10577,762,384,38,3180,351,539,55
małopolskie,121600,tarnowski,132,151678,80008,79988,79532,1433,47574,17788,1455,1079,100,7029,794,2167,113
małopolskie,121700,tatrzański,51,55820,32089,32075,31884,349,16456,11478,639,209,25,1964,439,291,34
małopolskie,121800,wadowicki,103,123830,70157,70146,69620,923,31399,25094,1445,690,84,7944,883,1051,107
małopolskie,121900,wielicki,71,86198,47994,47980,47649,514,20508,18094,1615,361,58,4975,812,656,56
małopolskie,126101,Kraków,457,598591,381506,381350,379215,4713,122672,184539,17154,1088,453,37947,7831,2369,449
małopolskie,126201,Nowy Sącz,51,66929,41319,41312,41099,639,19287,14831,1251,186,42,3969,555,303,36
małopolskie,126301,Tarnów,71,94798,54254,54243,54009,802,20949,22405,1796,279,51,6364,894,393,76
mazowieckie,140100,białobrzeski,22,26784,13901,13901,13797,97,8161,2711,200,381,16,1538,120,564,9
mazowieckie,140200,ciechanowski,56,73603,37429,37419,37150,292,16995,10688,694,597,32,6008,453,1338,53
mazowieckie,140300,garwoliński,91,84561,48097,48094,47712,666,27496,10346,700,812,56,5458,512,1578,88
mazowieckie,140400,gostyniński,39,38239,18440,18436,18262,114,8457,4876,244,301,18,2473,153,1603,23
mazowieckie,140500,grodziski,46,65699,40550,40532,40279,547,14853,18024,1021,241,47,4398,632,474,42
mazowieckie,140600,grójecki,75,78828,43138,43129,42861,366,21174,10607,673,1156,37,6030,406,2356,56
mazowieckie,140700,kozienicki,55,51971,26234,26227,26039,206,14107,6039,552,502,35,3599,278,686,35
mazowieckie,140800,legionowski,52,80284,51179,51174,50852,461,18095,22823,1316,267,60,6353,855,548,74
mazowieckie,140900,lipski,41,30538,12673,12669,12575,176,5870,2597,218,438,13,2294,145,797,27
mazowieckie,141000,łosicki,36,26696,13222,13222,13136,117,7018,2708,237,403,17,1641,117,843,35
mazowieckie,141100,makowski,48,37869,19199,19199,19033,158,10405,4145,265,441,25,2562,140,864,28
mazowieckie,141200,miński,94,113734,66548,66537,66034,871,28887,22735,1607,828,85,8479,1044,1378,120
mazowieckie,141300,mławski,49,58862,28658,28649,28408,170,13660,7920,400,492,20,4472,252,988,34
mazowieckie,141400,nowodworski,45,61605,33072,33067,32890,315,13467,12129,756,327,32,4784,443,593,44
mazowieckie,141500,ostrołęcki,88,67742,32557,32555,32227,307,18287,7484,510,787,25,3016,246,1522,43
mazowieckie,141600,ostrowski,67,60495,31152,31150,30948,216,18566,6820,426,489,30,3131,237,1006,27
mazowieckie,141700,otwocki,73,93667,60407,60397,59949,873,26557,21931,1872,392,69,6086,948,1119,102
mazowieckie,141800,piaseczyński,93,119681,77088,77058,76557,1277,25927,35853,2169,410,74,8499,1280,978,90
mazowieckie,141900,płocki,84,85416,40056,40047,39687,264,20754,9189,508,799,31,5364,319,2415,44
mazowieckie,142000,płoński,61,71414,33003,33010,32728,270,16312,8736,472,652,40,4580,296,1332,38
mazowieckie,142100,pruszkowski,73,118774,78693,78647,78099,895,28636,35486,2317,388,90,8017,1430,716,124
mazowieckie,142200,przasnyski,55,42462,20955,20944,20805,198,11275,4758,341,443,28,2663,162,904,33
mazowieckie,142300,przysuski,36,35935,19781,19779,19587,261,12034,3182,230,454,19,2092,130,1161,24
mazowieckie,142400,pułtuski,49,40588,20707,20706,20527,158,10154,5295,336,420,11,2826,185,1103,39
mazowieckie,142500,radomski,108,115929,60861,60838,60363,786,35493,12290,1089,927,53,7590,559,1475,101
mazowieckie,142600,siedlecki,68,63778,34548,34539,34294,322,21335,5547,609,734,41,3709,299,1651,47
mazowieckie,142700,sierpecki,35,42575,20427,20432,20269,111,10549,4834,301,391,19,2951,172,909,32
mazowieckie,142800,sochaczewski,54,67173,35094,35097,34826,379,16674,10680,749,390,35,4519,432,926,42
mazowieckie,142900,sokołowski,55,46857,26199,26199,26004,277,14476,5506,374,574,35,2941,249,1529,43
mazowieckie,143000,szydłowiecki,30,32419,15943,15938,15813,156,9422,3094,226,249,11,2099,142,377,37
mazowieckie,143200,warszawski zachodni,57,80817,51895,51886,51539,701,19887,22385,1507,368,46,5103,837,651,54
mazowieckie,143300,węgrowski,52,55327,29299,29294,29047,331,16062,6961,432,605,39,3248,283,1039,47
mazowieckie,143400,wołomiński,125,163895,101473,101455,100786,1246,48985,34250,2613,675,94,9954,1593,1231,145
mazowieckie,143500,wyszkowski,60,57906,31797,31793,31487,339,16764,8561,524,442,28,3453,324,1002,50
mazowieckie,143600,zwoleński,38,29873,13695,13693,13552,114,7690,2442,218,403,6,1926,97,635,21
mazowieckie,143700,żuromiński,29,32646,15329,15327,15214,114,7655,3790,185,250,15,2346,94,747,18
mazowieckie,143800,żyrardowski,51,59775,33385,33371,33092,298,13724,12104,704,330,37,4460,484,904,47
mazowieckie,146101,Ostrołęka,29,43021,24722,24717,24493,281,10894,8728,671,133,28,3038,356,324,40
mazowieckie,146201,Płock,69,101375,58272,58239,57908,402,21336,23642,1357,283,65,9098,749,894,82
mazowieckie,146301,Radom,114,178367,104643,104613,103976,1631,46212,36179,2780,524,112,13966,1614,780,178
mazowieckie,146401,Siedlce,43,60537,37315,37311,37098,524,16235,12346,1166,197,39,5400,567,567,57
mazowieckie,146501,Warszawa,848,1352608,932320,931653,925393,10728,278078,478471,29400,2833,1206,98012,18894,6436,1335
mazowieckie,149901,Zagranica,263,198014,169094,169053,167715,1622,62422,81105,5481,389,220,12081,3308,921,166
opolskie,160100,brzeski,71,73886,37689,37680,37336,277,12552,16369,935,582,69,5486,533,480,53
opolskie,160200,głubczycki,46,39815,18159,18158,18037,274,6632,7626,346,371,28,2266,213,257,24
opolskie,160300,kędzierzyńsko-kozielski,59,79881,37331,37312,37033,575,8149,20455,1065,513,49,5214,530,420,63
opolskie,160400,kluczborski,61,55717,25242,25242,25039,343,7488,12443,539,461,36,2863,347,487,32
opolskie,160500,krapkowicki,51,54088,20988,20988,20804,384,3719,12861,567,386,30,2240,330,241,46
opolskie,160600,namysłowski,50,34924,17885,17883,17787,142,5790,7903,346,368,35,2489,208,474,32
opolskie,160700,nyski,116,118463,56944,56914,56438,609,19854,24109,1326,989,75,7728,832,818,98
opolskie,160800,oleski,51,54772,22718,22711,22506,442,5908,10675,499,513,28,3520,305,550,66
opolskie,160900,opolski,105,108461,44381,44374,43980,986,8523,26651,1224,746,63,4397,696,618,76
opolskie,161000,prudnicki,64,47245,21024,21019,20847,332,6366,9975,505,510,31,2518,306,272,32
opolskie,161100,strzelecki,68,64874,25969,25967,25688,623,5609,14897,605,553,30,2702,329,287,53
opolskie,166101,Opole,70,97794,58302,58288,57961,741,11671,33971,1841,263,64,7853,1090,398,69
podkarpackie,180100,bieszczadzki,28,18072,8280,8279,8246,78,3214,3159,180,132,7,1166,83,218,9
podkarpackie,180200,brzozowski,57,52110,26919,26914,26757,426,17191,5186,450,322,25,2429,225,479,24
podkarpackie,180300,dębicki,103,106376,58199,58193,57814,940,33561,13906,1281,793,44,5590,598,1022,79
podkarpackie,180400,jarosławski,103,97174,51501,51483,51153,892,28749,12451,971,831,46,5000,430,1678,105
podkarpackie,180500,jasielski,100,92814,48358,48336,47996,591,27672,11712,1043,532,54,4785,454,1077,76
podkarpackie,180600,kolbuszowski,60,48884,25054,25054,24894,485,15868,4600,500,303,22,2216,241,616,43
podkarpackie,180700,krośnieński,94,88442,45432,45423,45116,688,24916,11692,949,526,62,4842,411,959,71
podkarpackie,180800,leżajski,52,55300,30241,30234,30048,440,19937,5394,640,379,25,2289,267,646,31
podkarpackie,180900,lubaczowski,53,46790,22226,22223,22075,335,10880,5984,449,478,25,2532,206,1156,30
podkarpackie,181000,łańcucki,50,61955,36136,36132,35935,834,22230,7669,749,343,37,2805,408,802,58
podkarpackie,181100,mielecki,112,107322,57869,57862,57539,711,31396,14171,1243,736,70,6733,671,1705,103
podkarpackie,181200,niżański,62,53884,26337,26335,26150,404,15720,5235,660,395,35,2791,278,600,32
podkarpackie,181300,przemyski,85,57636,27417,27408,27186,467,14229,7478,484,645,19,2952,191,692,29
podkarpackie,181400,przeworski,69,62984,32343,32329,32131,497,18374,7100,595,553,23,3415,271,1250,53
podkarpackie,181500,ropczycko-sędziszowski,65,56652,32020,32020,31773,521,21364,5154,620,475,44,2404,250,894,47
podkarpackie,181600,rzeszowski,121,125608,73989,73972,73519,1241,45783,15645,1632,919,101,5950,755,1393,100
podkarpackie,181700,sanocki,71,77339,37941,37913,37669,527,17162,12646,841,455,35,4728,458,760,57
podkarpackie,181800,stalowowolski,76,87935,45431,45430,45166,527,22650,13142,1436,393,47,5724,534,641,72
podkarpackie,181900,strzyżowski,62,49294,25992,25992,25831,416,15723,5268,528,363,41,2400,257,786,49
podkarpackie,182000,tarnobrzeski,45,43669,20821,20820,20631,238,11171,5178,425,301,25,2574,206,471,42
podkarpackie,182100,leski,27,23212,11735,11734,11658,153,5361,3938,233,207,12,1357,132,249,16
podkarpackie,186101,Krosno,26,38801,22159,22148,22053,314,9003,8441,782,119,28,2876,271,185,34
podkarpackie,186201,Przemyśl,39,53093,29402,29392,29230,518,11553,12037,706,196,39,3675,300,161,45
podkarpackie,186301,Rzeszów,92,140362,89167,89126,88676,1722,35475,34496,3307,404,125,10755,1453,804,135
podkarpackie,186401,Tarnobrzeg,32,39552,21630,21630,21463,182,8024,8759,569,158,25,3235,277,194,40
podlaskie,200100,augustowski,38,47965,23229,23223,23038,305,9375,8658,497,624,16,2442,277,802,42
podlaskie,200200,białostocki,107,112407,58863,58852,58463,667,27960,20284,1276,771,50,5641,667,1072,75
podlaskie,200300,bielski,49,48967,24714,24713,24518,218,10654,8683,352,490,12,3487,159,439,24
podlaskie,200400,grajewski,38,39559,17864,17862,17746,134,8964,5084,294,461,16,1939,180,654,20
podlaskie,200500,hajnowski,45,40724,18888,18885,18741,84,2172,11102,380,528,28,3899,129,392,27
podlaskie,200600,kolneński,36,31737,14283,14283,14163,104,8162,3000,190,436,17,1367,120,754,13
podlaskie,200700,łomżyński,49,40834,20111,20107,19935,231,13428,3303,210,398,13,1453,132,749,18
podlaskie,200800,moniecki,31,34913,14971,14968,14829,175,7498,4205,231,507,14,1407,118,657,17
podlaskie,200900,sejneński,22,17482,8333,8333,8276,61,2200,4141,130,347,8,1056,53,267,13
podlaskie,201000,siemiatycki,47,39745,18333,18328,18206,137,7925,6460,293,415,15,2188,156,590,27
podlaskie,201100,sokólski,58,58993,26337,26333,26141,283,12021,8518,446,680,21,2917,231,993,31
podlaskie,201200,suwalski,29,28476,13117,13116,13017,127,5251,4154,277,740,23,1597,123,706,19
podlaskie,201300,wysokomazowiecki,51,48127,26522,26512,26387,273,18189,4263,316,419,18,1839,163,876,31
podlaskie,201400,zambrowski,44,36831,18786,18784,18636,246,10723,4629,301,290,12,1742,130,536,27
podlaskie,206101,Białystok,164,229490,136004,135929,135048,1600,47473,61097,4284,629,105,16616,2038,1068,138
podlaskie,206201,Łomża,33,49653,27011,26998,26823,382,12557,8936,684,127,14,3469,377,230,47
podlaskie,206301,Suwałki,37,53934,28490,28486,28318,322,9786,12258,747,380,22,4174,298,294,37
pomorskie,220100,bytowski,63,60149,29834,29827,29571,227,8517,14811,565,753,39,3670,396,558,35
pomorskie,220200,chojnicki,60,72978,40420,40414,40187,405,13069,18645,698,774,50,5400,487,586,73
pomorskie,220300,człuchowski,47,46534,22673,22668,22453,158,4454,12250,455,621,43,3735,259,438,40
pomorskie,220400,gdański,49,71420,39977,39958,39681,395,10589,21355,958,447,47,4647,788,413,42
pomorskie,220500,kartuski,67,85384,51344,51330,50964,694,21027,21089,830,1046,49,4671,753,734,71
pomorskie,220600,kościerski,45,53693,30018,30012,29805,306,11257,13193,406,673,35,3046,393,462,34
pomorskie,220700,kwidzyński,53,64426,30018,30013,29796,191,7983,15389,706,495,38,4125,422,406,41
pomorskie,220800,lęborski,43,51994,28309,28294,28088,259,7446,14733,599,391,30,3928,389,263,50
pomorskie,220900,malborski,37,50687,25285,25282,25095,191,6164,13027,528,360,32,3942,387,417,47
pomorskie,221000,nowodworski,25,30529,15090,15089,14899,101,3829,7786,288,288,16,2069,180,327,15
pomorskie,221100,pucki,49,66751,42033,42017,41740,512,11369,22888,931,499,70,4314,651,461,45
pomorskie,221200,słupski,73,76935,36257,36253,35993,243,8383,19328,712,863,56,5300,497,563,48
pomorskie,221300,starogardzki,88,96149,49958,49953,49562,413,17781,20931,873,869,64,7003,693,844,91
pomorskie,221400,tczewski,74,88353,46941,46936,46601,494,13835,23054,971,693,52,6082,735,626,59
pomorskie,221500,wejherowski,94,146755,86691,86666,86036,1082,26916,43183,2083,1007,88,9181,1601,765,130
pomorskie,221600,sztumski,34,34243,14768,14764,14653,122,3563,7296,320,362,24,2438,206,291,31
pomorskie,226101,Gdańsk,216,363435,236321,236166,234583,2318,63529,133927,7080,968,267,20244,4783,1216,251
pomorskie,226201,Gdynia,120,197678,129905,129816,128760,1269,31927,74677,3905,537,167,12911,2602,615,150
