Nr okr.,TERYT,Powiat,L. obw.,Liczba uprawnionych do głosowania,w tym obywatele polscy,w tym obywatele innych państw UE,Otrzymane karty do głosowania,Niewykorzystane karty do głosowania,Wydane karty do głosowania,w tym obywatelom polskim,w tym obywatelom innych państw UE,Liczba osób głosujących przez pełnomocnika,Liczba osób głosujących na podstawie zaświadczenia,Liczba wysłanych pakietów wyborczyh,Liczba otrzymanych kopert zwrotnych,Liczba kopert bez oświadczenia,Liczba kopert z niepodpisanym oświadczeniem,Liczba kopert zwrotnych bez koperty na kartę do głosowania,Liczba niezaklejonych kopert na karty do głosowania,Liczba kopert na karty do głosowania wrzuconych do urn,Kart wyjęte z urn,w tym: karty wyjęte z kopert zwrotnych,Karty nieważne,Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Komitet Wyborczy Solidarna Polska Zbigniewa Ziobro,2 - Komitet Wyborczy Wyborców Ruch Narodowy,3 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej-Unia Pracy,4 - Komitet Wyborczy Prawo i Sprawiedliwość,5 - Koalicyjny Komitet Wyborczy Europa Plus Twój Ruch,6 - Komitet Wyborczy Polska Razem Jarosława Gowina,7 - Komitet Wyborczy Nowa Prawica – Janusza Korwin-Mikke,8 - Komitet Wyborczy Platforma Obywatelska RP,9 - Komitet Wyborczy Polskie Stronnictwo Ludowe,10 - Komitet Wyborczy Demokracja Bezpośrednia,11 - Komitet Wyborczy Samoobrona,12 - Komitet Wyborczy Partia Zieloni
12,261,Jelenia Góra,46,67145,67142,3,47869,30852,17017,17014,3,2,152,0,0,0,0,0,0,0,17015,0,1,17014,522,16492,580,123,2515,4193,698,367,945,6713,358,,,
12,262,Legnica,49,80324,80321,3,57141,38674,18467,18467,0,4,67,0,0,0,0,0,0,0,18464,0,0,18464,474,17990,778,223,2494,5425,789,487,1247,6133,414,,,
12,264,Wrocław,302,500854,500830,24,355287,188763,166517,166503,14,37,1819,10,10,0,0,0,0,10,166459,10,7,166452,3220,163232,4805,1805,19620,41948,5327,4555,12994,70070,2108,,,
12,265,Wałbrzych,72,94840,94839,1,67311,47957,19353,19353,0,7,65,1,1,0,0,0,0,1,19346,1,0,19346,571,18775,595,188,3357,4223,594,265,936,8317,300,,,
2,401,aleksandrowski,55,45113,45112,1,32191,23078,9113,9112,1,5,341,0,0,0,0,0,0,0,9111,0,0,9111,377,8734,245,109,1366,2648,375,143,494,2432,922,,,
2,402,brodnicki,60,61007,61007,0,43817,32238,11579,11579,0,6,62,0,0,0,0,0,0,0,11578,0,0,11578,409,11169,330,108,1187,3164,312,163,557,2493,2855,,,
2,403,bydgoski,97,85143,85142,1,60513,40353,20160,20160,0,0,97,1,1,0,0,0,0,1,20159,1,0,20159,742,19417,432,215,5241,4184,838,522,1405,4923,1657,,,
2,404,chełmiński,47,40478,40478,0,29280,21959,7321,7321,0,2,36,1,1,0,0,0,0,1,7322,1,0,7322,289,7033,217,86,1213,2118,253,131,449,1846,720,,,
2,405,golubsko-dobrzyński,32,35948,35948,0,25842,19465,6377,6377,0,1,14,1,1,0,0,0,0,1,6378,1,0,6378,284,6094,199,63,1185,1871,177,111,342,1315,831,,,
2,406,grudziądzki,42,31418,31417,1,22549,17661,4888,4887,1,1,19,0,0,0,0,0,0,0,4887,0,0,4887,245,4642,142,83,637,1431,142,89,283,1053,782,,,
2,407,inowrocławski,143,132930,132929,1,94922,67908,27014,27014,0,4,122,1,1,0,0,0,0,1,27012,1,0,27012,1198,25814,1407,255,5111,6640,1103,386,1377,6972,2563,,,
2,408,lipnowski,69,52819,52818,1,38258,28135,10123,10122,1,12,46,0,0,0,0,0,0,0,10123,0,0,10123,546,9577,282,89,1382,2452,196,114,404,1408,3250,,,
2,409,mogileński,46,37461,37461,0,26465,19816,6649,6649,0,1,36,0,0,0,0,0,0,0,6649,0,0,6649,300,6349,211,88,1114,1402,182,112,332,1480,1428,,,
2,410,nakielski,82,68543,68542,1,48949,34372,14577,14577,0,6,37,1,1,0,0,0,0,1,14574,1,0,14574,707,13867,276,119,4357,3082,425,246,740,3122,1500,,,
2,411,radziejowski,51,34577,34577,0,25019,19834,5185,5185,0,5,30,0,0,0,0,0,0,0,5184,0,1,5183,286,4897,170,54,800,1624,145,67,319,873,845,,,
2,412,rypiński,45,35709,35709,0,25723,20143,5580,5580,0,3,26,0,0,0,0,0,0,0,5580,0,0,5580,177,5403,191,54,643,1698,137,84,253,1249,1094,,,
