OKW,TERYT,Powiat,Liczba obwodów,Uprawnieni do głosowania,Otrzymane karty do głosowania,Karty niewykorzystane,Karty wydane (frekwencja),Głosy oddane,Głosy ważne,Głosy nieważne,Bochniarz Henryka Teodora,Borowski Marek Stefan,Bubel Leszek Henryk,Ilasz Liwiusz Marian,Kaczyński Lech Aleksander,Kalinowski Jarosław,Korwin-Mikke Janusz Ryszard,Lepper Andrzej Zbigniew,Pyszko Jan,Słomka Adam Andrzej,Tusk Donald Franciszek,Tymiński Stanisław
5,41900,żniński,56,54950,54338,28749,25589,25587,25321,266,336,3270,44,71,5738,646,236,7921,19,17,6940,83
5,46101,m. Bydgoszcz,205,297207,286973,123572,163422,163374,162617,757,2932,28917,178,305,52604,922,2373,12055,72,70,62040,149
6,46201,m. Grudziądz,53,80254,77684,39972,37712,37704,37487,217,486,6430,52,83,8984,269,442,5605,23,29,15009,75
6,46301,m. Toruń,116,163237,156800,67798,89033,89017,88588,429,1486,11575,60,150,30216,465,1258,5704,41,26,37509,98
7,46401,m. Włocławek,61,96938,93134,45844,47289,47276,47030,246,770,8359,57,122,12326,362,564,7343,30,23,16988,86
9,60100,bialski,105,88910,85925,43249,42676,42667,42339,328,393,2419,111,143,14523,2318,380,13818,29,21,8106,78
11,60200,biłgorajski,93,82082,79007,39336,39671,39669,39441,228,254,2082,67,85,14643,1871,397,13500,20,25,6431,66
10,60300,chełmski,83,58405,56195,32364,23831,23830,23589,241,162,1233,42,55,6642,1052,185,9920,18,15,4212,53
11,60400,hrubieszowski,66,57898,57206,31893,25313,25308,25151,157,182,1810,40,56,7094,1236,265,10120,16,16,4261,55
11,60500,janowski,36,38224,36791,16118,20673,20673,20544,129,84,731,59,38,9939,805,178,6630,9,11,2024,36
10,60600,krasnostawski,92,62919,60928,33452,27476,27476,27268,208,248,1844,39,58,7283,1421,336,10614,168,25,5189,43
8,60700,kraśnicki,84,80536,79357,39710,39647,39638,39365,273,330,2672,89,117,15072,1501,508,11385,22,31,7565,73
8,60800,lubartowski,86,72021,70028,34585,35443,35437,35097,340,376,2140,81,98,11346,1765,439,11719,18,37,7018,60
8,60900,lubelski,119,106799,104303,53286,51017,51008,50638,370,499,2325,66,81,19659,2428,614,16277,17,24,8591,57
8,61000,łęczyński,47,43620,41929,21928,20001,19994,19838,156,229,1278,22,54,7627,564,313,5587,7,20,4095,42
9,61100,łukowski,86,83944,80073,38405,41668,41656,41285,371,375,2357,44,108,13719,1836,371,15235,28,30,7130,52
8,61200,opolski,60,51144,49270,26131,23139,23134,22916,218,181,1570,55,44,6277,1242,221,9414,239,13,3622,38
9,61300,parczewski,34,29855,28716,14604,14112,14112,13978,134,119,997,52,37,4649,736,104,4723,14,6,2521,20
8,61400,puławski,88,95477,90481,42477,48004,47990,47716,274,505,3859,84,90,17766,1326,768,9829,25,34,13366,64
9,61500,radzyński,51,49028,47195,22404,24791,24781,24594,187,197,1383,56,41,8432,1627,261,8589,7,12,3935,54
8,61600,rycki,64,48047,46227,22483,23744,23738,23559,179,296,2327,78,48,6701,1141,272,7901,10,35,4711,39
8,61700,świdnicki,53,58652,56114,27567,28546,28533,28392,141,417,2496,79,66,11051,767,539,5178,177,19,7525,78
11,61800,tomaszowski,92,72357,71290,38499,32778,32773,32543,230,210,1794,67,74,9720,1660,315,12876,25,21,5734,47
10,61900,włodawski,43,33485,32191,16917,15274,15271,15151,120,140,1272,28,35,4361,575,178,5013,7,16,3495,31
11,62000,zamojski,110,87724,85290,45590,39749,39746,39441,305,252,1667,67,96,15786,1881,349,13976,28,18,5276,45
9,66101,m. Biała Podlaska,26,44958,43271,19698,23573,23563,23424,139,389,2858,38,51,9166,409,383,3113,18,15,6937,47
10,66201,m. Chełm,35,55872,54074,27704,26370,26362,26228,134,326,3239,45,80,9804,365,414,3461,13,13,8425,43
8,66301,m. Lublin,192,281398,268968,107125,161843,161739,160941,798,2286,17831,336,289,67688,1720,3602,9595,61,86,57290,157
11,66401,m. Zamość,31,53948,52071,25922,26149,26141,25997,144,316,3215,40,63,11292,438,483,2826,21,16,7250,37
13,80100,gorzowski,52,49669,48488,26628,21860,21853,21671,182,333,2486,21,68,5837,270,203,4424,14,22,7951,42
12,80200,krośnieński,47,45019,43777,25276,18501,18500,18374,126,262,2612,19,54,3720,193,235,3578,21,11,7620,49
13,80300,międzyrzecki,49,47219,45842,25267,20575,20570,20399,171,394,3003,25,69,4482,325,250,3950,12,9,7826,54
12,80400,nowosolski,49,68983,66487,34824,31663,31657,31468,189,448,3870,39,77,8166,443,395,5801,18,21,12123,67
13,80500,słubicki,27,36160,34647,18885,15761,15744,15600,144,281,1987,13,41,3337,205,148,2750,7,11,6783,37
13,80600,strzelecko-drezdenecki,36,39961,38392,22119,16273,16273,16109,164,235,2036,11,31,3470,324,140,3936,7,7,5878,34
13,80700,sulęciński,33,28042,27184,15466,11719,11718,11625,93,197,1249,9,29,2860,243,174,2672,7,13,4141,31
12,80800,świebodziński,34,43883,42492,23131,19361,19355,19248,107,372,2456,16,51,4821,264,258,2862,17,10,8082,39
12,80900,zielonogórski,58,68675,67500,36778,30722,30706,30469,237,553,3755,49,104,7126,383,429,4749,28,23,13205,65
12,81000,żagański,53,66039,65539,38677,26862,26859,26659,200,419,3754,32,77,5928,425,346,5066,20,14,10525,53
12,81100,żarski,62,79063,78110,46247,31863,31858,31616,242,467,3848,35,98,7280,360,401,5266,25,24,13746,66
12,81200,wschowski,31,29725,28985,15414,13571,13568,13490,78,227,1427,12,57,3421,252,165,3245,12,12,4615,45
13,86101,m. Gorzów Wielkopolski,66,99767,96621,45347,51274,51264,50993,271,897,7469,55,91,16126,272,744,4460,44,23,20758,54
12,86201,m. Zielona Góra,58,94068,90946,38972,51974,51950,51720,230,1182,9092,46,91,13261,306,949,3244,22,13,23442,72
16,100100,bełchatowski,67,88803,85159,41057,44102,44097,43734,363,614,4301,82,109,16343,823,698,10607,47,39,10005,66
18,100200,kutnowski,78,86393,82162,43534,38629,38622,38295,327,458,4439,72,79,11129,1113,508,11417,18,13,8967,82
17,100300,łaski,39,40690,39428,20935,18493,18492,18353,139,216,1954,34,44,5553,619,335,5387,5,15,4164,27
18,100400,łęczycki,49,44354,42546,23639,18907,18902,18735,167,145,1603,42,33,4777,746,190,7141,5,9,4006,38
18,100500,łowicki,64,66876,64365,33779,30586,30575,30335,240,303,2817,53,74,9670,1713,342,8111,16,26,7159,51
