OKW,TERYT,Powiat,Liczba obwodów,Uprawnieni do głosowania,Otrzymane karty do głosowania,Karty niewykorzystane,Karty wydane (frekwencja),Głosy oddane,Głosy ważne,Głosy nieważne,Bochniarz Henryka Teodora,Borowski Marek Stefan,Bubel Leszek Henryk,Ilasz Liwiusz Marian,Kaczyński Lech Aleksander,Kalinowski Jarosław,Korwin-Mikke Janusz Ryszard,Lepper Andrzej Zbigniew,Pyszko Jan,Słomka Adam Andrzej,Tusk Donald Franciszek,Tymiński Stanisław
32,180400,jarosławski,100,94579,91293,42924,48369,48360,48093,267,306,2396,43,93,23067,2079,394,9979,28,33,9606,69
31,180500,jasielski,98,90208,86677,43126,43551,43543,43250,293,327,2440,38,109,20815,1116,519,8249,25,21,9511,80
33,180600,kolbuszowski,59,46670,44837,22585,22252,22245,22117,128,166,927,21,39,12365,742,172,3911,20,12,3712,30
31,180700,krośnieński,91,84888,81431,39591,41840,41830,41572,258,337,2301,36,89,20997,862,448,7269,28,18,9115,72
30,180800,leżajski,52,53385,51864,25013,26851,26845,26659,186,186,1066,27,52,14813,682,261,4805,12,17,4707,31
32,180900,lubaczowski,52,45406,44790,23171,21619,21616,21435,181,168,1346,41,52,7561,972,175,6750,14,8,4299,49
30,181000,łańcucki,51,59294,58137,26020,32097,32095,31884,211,193,1315,48,80,19431,925,327,3673,19,16,5823,34
33,181100,mielecki,109,103078,100046,48796,51250,51248,50986,262,420,3532,71,127,23566,1647,582,9323,25,22,11625,46
33,181200,niżański,61,51651,51087,28203,22884,22881,22711,170,190,1090,47,53,11593,677,267,4217,29,25,4492,31
32,181300,przemyski,84,54986,53986,28338,25648,25646,25391,255,139,1156,34,53,11598,618,152,6186,21,21,5349,64
32,181400,przeworski,68,60776,59911,30063,29848,29839,29664,175,192,1518,42,68,14306,1300,272,7342,14,11,4551,48
30,181500,ropczycko-sędziszowski,65,53849,53201,24440,28761,28760,28576,184,161,1025,18,67,16049,845,231,5869,15,20,4250,26
30,181600,rzeszowski,126,131756,128508,55648,72860,72850,72449,401,492,2842,89,123,42928,1510,750,9371,36,35,14187,86
31,181700,sanocki,70,75194,72655,39253,33402,33390,33187,203,346,2902,48,76,13752,744,414,5507,31,18,9275,74
33,181800,stalowowolski,75,87469,85209,44501,40708,40703,40468,235,418,3279,76,104,19939,610,632,4455,27,25,10847,56
30,181900,strzyżowski,62,47525,46844,23450,23400,23397,23276,121,162,1070,31,63,12077,788,248,4287,20,8,4481,41
33,182000,tarnobrzeski,43,42607,41301,21581,19720,19718,19555,163,170,1196,26,35,8331,423,218,4363,13,22,4722,36
31,182100,leski,27,21955,21049,11000,10049,10049,9975,74,95,723,16,30,3997,207,116,1766,8,7,2997,13
31,186101,m. Krosno,24,38694,37767,17726,20041,20031,19939,92,222,2077,18,45,8774,231,396,1595,10,10,6536,25
32,186201,m. Przemyśl,38,53663,52484,26201,26265,26256,26112,144,280,3024,30,56,12220,166,314,1730,16,27,8221,28
30,186301,m. Rzeszów,74,122212,118720,48066,70653,70631,70282,349,943,8630,96,112,32138,615,1548,2733,20,26,23373,48
33,186401,m. Tarnobrzeg,29,39108,38667,19648,19019,19013,18924,89,251,2385,20,24,7023,231,303,1999,16,17,6641,14
36,200100,augustowski,36,46704,44803,23926,20877,20872,20754,118,211,1347,26,42,7343,661,212,5345,17,3,5521,26
34,200200,białostocki,104,109590,105337,53991,51346,51336,50985,351,508,3291,69,96,24346,835,632,8644,25,29,12444,66
34,200300,bielski,48,49191,47791,25899,21892,21890,21733,157,138,2037,32,38,8417,497,142,6825,10,15,3559,23
35,200400,grajewski,34,39152,37691,21915,15776,15775,15647,128,137,1022,20,55,5908,643,148,4080,9,11,3575,39
34,200500,hajnowski,45,42057,40794,24243,16551,16542,16407,135,170,2413,29,28,1789,263,149,7896,15,5,3611,39
35,200600,kolneński,36,31314,30344,17545,12799,12798,12691,107,72,588,22,31,4760,820,91,4088,104,1,2097,17
35,200700,łomżyński,43,39553,37679,20656,17023,17017,16865,152,74,475,23,27,7910,862,93,5119,113,5,2111,53
34,200800,moniecki,30,34540,33289,19410,13879,13879,13779,100,98,665,17,25,5166,539,143,4491,177,13,2392,53
36,200900,sejneński,21,17134,16757,10027,6730,6730,6682,48,59,506,5,17,1522,224,56,2902,10,5,1362,14
34,201000,siemiatycki,47,40087,38272,21847,16425,16422,16327,95,99,1289,25,28,5766,589,115,5488,9,7,2882,30
36,201100,sokólski,58,59241,57330,32870,24460,24460,24316,144,187,1576,31,50,9045,780,206,7059,20,10,5322,30
36,201200,suwalski,27,27191,26376,14781,11595,11593,11528,65,94,522,23,27,3476,499,94,4770,12,8,1986,17
35,201300,wysokomazowiecki,49,47934,45525,21653,23872,23869,23692,177,122,890,40,44,13164,1083,147,5167,15,11,2981,28
35,201400,zambrowski,40,36175,34468,18369,16099,16096,15982,114,139,1013,15,38,7307,622,163,3362,3,7,3285,28
34,206101,m. Białystok,161,224434,216694,97789,118918,118877,118157,720,1634,14339,138,196,46318,966,2293,8159,46,35,43922,111
35,206201,m. Łomża,33,48997,46718,23356,23362,23354,23221,133,251,2262,21,35,11041,303,350,1884,10,10,7026,28
36,206301,m. Suwałki,35,52356,51249,26588,24661,24656,24532,124,398,2551,69,46,9139,263,340,3650,13,15,8004,44
39,220100,bytowski,60,57758,56370,29655,26715,26703,26521,182,242,2079,39,60,6996,302,236,5459,12,10,11031,55
39,220200,chojnicki,59,70322,68207,31482,36725,36713,36434,279,416,3302,25,95,11099,422,354,7088,18,18,13550,47
39,220300,człuchowski,47,45518,45391,25064,20327,20321,20146,175,238,2410,34,58,3449,400,186,5227,13,15,8073,43
38,220400,gdański,43,63107,61154,29482,31670,31667,31477,190,307,2283,27,46,9254,280,408,2562,8,14,16242,46
38,220500,kartuski,61,76513,74990,30480,44508,44504,44200,304,311,1641,36,91,16647,337,318,5597,31,26,19119,46
38,220600,kościerski,44,50552,49526,22254,27272,27270,27079,191,229,1627,30,49,9246,344,192,3931,18,21,11358,34
38,220700,kwidzyński,50,62505,60527,33853,26674,26663,26515,148,295,2588,31,63,6793,303,257,4598,16,14,11506,51
39,220800,lęborski,43,49135,47165,23486,23679,23677,23486,191,247,2775,32,59,6597,215,278,3123,13,18,10094,35
38,220900,malborski,37,50219,48435,25555,22879,22875,22734,141,310,2607,27,45,5687,382,324,3278,11,18,10007,38
38,221000,nowodworski,26,28162,27141,15455,11686,11683,11589,94,125,1010,25,23,2766,229,129,2226,9,9,5010,28
38,221100,pucki,47,56044,54098,23196,30902,30892,30617,275,253,1878,35,76,7751,215,337,3087,12,21,16909,43
39,221200,słupski,71,72607,69506,40914,28592,28581,28335,246,357,3122,38,77,6110,465,318,6131,15,17,11635,50
38,221300,starogardzki,87,92494,89081,43045,46035,46029,45721,308,500,3379,46,114,15169,554,396,7283,47,20,18114,99
38,221400,tczewski,73,86451,83478,41287,42191,42179,41943,236,495,3513,37,87,12905,453,442,4816,21,23,19092,59
38,221500,wejherowski,89,134026,129220,53730,75489,75473,75007,466,738,4794,74,149,24189,464,789,6031,45,33,37629,72
38,221600,sztumski,34,33877,33396,19456,13940,13937,13808,129,169,1281,16,40,3096,241,135,2915,8,12,5851,44
37,226101,m. Gdańsk,211,365236,354045,129886,224113,224002,222763,1239,2400,17991,173,282,67700,831,3368,6517,74,68,123196,163
38,226201,m. Gdynia,118,200564,194406,71078,123178,123116,122525,591,1543,12696,114,184,34609,418,2101,3804,26,64,66868,98
39,226301,m. Słupsk,46,78223,76433,36224,40208,40196,39988,208,540,6175,43,90,11205,261,556,3732,14,22,17300,50
38,226401,m. Sopot,22,33782,32369,10728,21640,21632,21545,87,242,1774,15,17,6404,67,302,421,5,11,12277,10
37,229901,Statki,3,211,257,47,210,210,208,2,0,11,0,0,77,0,12,4,1,0,103,0
40,240100,będziński,91,126745,122542,63790,58752,58743,58314,429,999,10421,98,153,15188,596,1035,6800,36,53,22799,136
41,240200,bielski,79,116888,113850,48842,65008,64991,64618,373,700,5806,51,156,26651,695,814,4661,36,46,24909,93
41,240300,cieszyński,117,134749,132038,63540,68498,68480,68071,409,1009,9457,74,234,20231,838,908,6881,121,46,28138,134
42,240400,częstochowski,102,106417,102083,54452,47631,47617,47165,452,621,4579,87,143,13429,1184,564,12878,27,37,13495,121
40,240500,gliwicki,72,92379,88761,47666,41095,41084,40800,284,553,3676,33,105,13809,325,461,4010,34,25,17698,71
42,240600,kłobucki,59,67422,64319,34329,29990,29988,29715,273,339,3129,49,65,9303,787,383,7784,25,17,7764,70
42,240700,lubliniecki,55,60773,58953,30859,28094,28089,27857,232,324,1939,26,54,9367,287,327,3824,19,28,11604,58
40,240800,mikołowski,52,71640,70198,31641,38557,38551,38301,250,564,2924,29,97,14100,542,522,2942,71,41,16417,52
42,240900,myszkowski,52,58159,55963,30710,25253,25238,25046,192,316,2607,37,75,7338,434,406,5828,13,14,7933,45
41,241000,pszczyński,62,80485,77513,33681,43832,43808,43584,224,471,3173,28,87,18399,505,517,3954,36,25,16321,68
40,241100,raciborski,69,90810,88353,52539,35814,35807,35566,241,392,3123,41,100,9040,276,445,4172,37,28,17846,66
40,241200,rybnicki,42,57629,55337,26374,28963,28957,28756,201,326,2279,21,96,11720,251,273,3231,18,20,10481,40
40,241300,tarnogórski,88,112581,108676,54406,54270,54257,53919,338,719,4564,48,147,17734,365,726,4258,42,39,25197,80
40,241400,bieruńsko-lędziński,32,43463,41565,18800,22765,22759,22623,136,243,1504,13,66,10776,178,270,1980,15,17,7527,34
41,241500,wodzisławski,93,123676,119720,57506,62213,62196,61868,328,782,6230,55,190,23857,499,675,6392,58,46,22958,126
42,241600,zawierciański,90,103368,98784,51938,46846,46825,46469,356,615,6526,68,142,12206,1029,686,10591,17,26,14460,103
41,241700,żywiecki,102,117029,112496,51711,60785,60767,60356,411,534,4070,50,145,26796,774,596,6413,29,28,20843,78
41,246101,m. Bielsko-Biała,92,141428,136165,55388,80768,80715,80332,383,1071,8795,60,189,29363,450,1301,3773,41,33,35182,74
40,246201,m. Bytom,98,152742,148840,83444,65396,65388,64932,456,1024,7577,61,145,19769,336,873,4814,38,48,30143,104
40,246301,m. Chorzów,61,92701,90220,46779,43442,43435,43223,212,733,5076,43,79,11091,172,648,2618,17,23,22646,77
42,246401,m. Częstochowa,133,200214,191479,87121,104357,104309,103600,709,1621,13735,160,182,35060,705,2049,6886,55,83,42931,133
40,246501,m. Dąbrowa Górnicza,67,106273,102832,53059,49773,49759,49402,357,838,9111,58,124,13225,363,1019,4941,20,40,19545,118
40,246601,m. Gliwice,112,159455,153721,73294,80427,80397,79946,451,1379,9857,71,166,21965,458,1318,4734,47,51,39785,115
41,246701,m. Jastrzębie-Zdrój,50,75980,74321,35946,38374,38373,38155,218,449,4701,45,111,16707,255,497,3355,23,18,11937,57
40,246801,m. Jaworzno,45,76814,73863,36578,37285,37264,37013,251,599,5356,28,65,12188,272,592,3089,23,31,14701,69
40,246901,m. Katowice,163,260109,253094,111133,141955,141869,141117,752,2224,17648,126,276,41594,1027,2450,6668,128,126,68648,202
40,247001,m. Mysłowice,42,60546,58181,26767,31414,31407,31240,167,503,3628,29,38,11503,154,445,2362,18,27,12486,47
40,247101,m. Piekary Śląskie,32,48326,46595,22890,23705,23703,23527,176,359,2003,24,57,9326,119,281,1490,13,21,9792,42
40,247201,m. Ruda Śląska,79,117036,112474,55458,57016,57005,56575,430,712,6340,47,139,20547,252,662,4184,34,67,23495,96
40,247301,m. Rybnik,71,111879,108023,50732,57291,57278,57000,278,773,5571,39,164,19911,367,723,4916,36,34,24377,89
40,247401,m. Siemianowice Śląskie,40,59606,57532,28766,28765,28759,28573,186,472,3304,24,43,7943,136,438,1883,13,32,14236,49
40,247501,m. Sosnowiec,118,189522,182355,90647,91706,91692,91114,578,1580,18154,120,203,25184,517,1714,8073,39,46,35330,154
40,247601,m. Świętochłowice,27,44672,43042,23838,19204,19199,19052,147,292,2074,21,52,5432,83,308,1317,7,20,9399,47
40,247701,m. Tychy,66,106480,103158,44511,58647,58639,58265,374,868,6447,39,122,19696,327,1016,3327,37,43,26274,69
40,247801,m. Zabrze,90,151900,148243,86532,61711,61699,61299,400,1041,7594,63,148,17514,345,890,5246,35,44,28276,103
41,247901,m. Żory,32,49885,48855,23766,25089,25086,24962,124,368,2773,15,54,9171,200,354,2310,17,18,9631,51
43,260100,buski,67,62176,59073,32171,26902,26886,26699,187,196,2264,38,51,6612,1613,223,10133,21,19,5496,33
43,260200,jędrzejowski,74,72117,68742,37895,30847,30841,30614,227,248,2440,43,89,7908,1427,316,12073,20,19,5976,55
43,260300,kazimierski,26,29959,28556,18031,10525,10523,10462,61,78,780,14,14,2545,728,66,4542,6,1,1677,11
43,260400,kielecki,155,151710,145581,79530,66051,66043,65536,507,571,4704,82,158,22782,2261,666,19337,43,56,14792,84
43,260500,konecki,69,70245,67915,36296,31619,31617,31358,259,304,3068,63,68,10068,726,336,9175,20,35,7449,46
43,260600,opatowski,48,45998,44563,26306,18257,18256,18078,178,116,1443,42,46,4101,1201,174,8129,13,9,2774,30
43,260700,ostrowiecki,78,96876,94928,54860,40066,40056,39803,253,370,5583,70,137,10842,975,561,9582,28,33,11538,84
43,260800,pińczowski,34,35094,33879,18929,14950,14947,14811,136,140,1489,41,29,2796,637,109,6713,14,0,2823,20
43,260900,sandomierski,60,66372,64183,35277,28906,28903,28679,224,242,2690,32,61,8619,1811,305,9117,10,14,5760,18
43,261000,skarżyski,57,67484,66506,35592,30914,30907,30716,191,309,4091,56,109,10481,432,579,4367,21,14,10199,58
43,261100,starachowicki,67,77656,75177,41014,34163,34157,33928,229,346,4011,53,114,10775,830,522,7383,28,29,9776,61
43,261200,staszowski,59,59536,57212,32598,24614,24613,24419,194,181,2043,33,52,7635,1019,217,8133,13,18,5038,37
43,261300,włoszczowski,41,37693,36729,19383,17346,17345,17193,152,151,1263,17,41,4488,688,174,7005,8,10,3317,31
43,266101,m. Kielce,97,167084,164342,72270,92072,92028,91554,474,1332,15303,139,153,30918,1001,1729,6689,51,39,34100,100
45,280100,bartoszycki,37,51272,49195,28044,21151,21148,20918,230,309,2424,26,67,4662,374,237,5468,13,11,7293,34
45,280200,braniewski,35,34836,33379,19275,14104,14101,14008,93,223,1660,23,42,2925,239,170,3694,8,3,4987,34
45,280300,działdowski,52,51331,49261,26986,22275,22273,22119,154,260,2132,24,66,6426,520,164,5238,15,19,7178,77
45,280400,elbląski,42,44044,42225,25525,16700,16697,16590,107,219,1457,14,25,4000,339,156,4568,16,11,5748,37
44,280500,ełcki,52,64949,62234,36330,25904,25903,25650,253,317,2284,40,78,8244,428,328,4687,20,20,9156,48
44,280600,giżycki,40,45780,44265,25035,19230,19225,18849,376,258,2084,19,54,4374,401,282,3503,16,7,7825,26
45,280700,iławski,60,70936,68659,36011,32648,32645,32398,247,479,3341,34,92,8185,736,330,7826,18,23,11254,80
44,280800,kętrzyński,51,54680,53248,31160,22088,22082,21866,216,295,2426,22,78,4896,374,278,4756,9,13,8662,57
45,280900,lidzbarski,32,34294,33771,19256,14515,14513,14407,106,204,1498,27,37,3541,218,157,3399,5,7,5285,29
44,281000,mrągowski,31,39939,38622,21426,17191,17188,16986,202,228,1747,26,45,4273,552,192,2573,120,10,7169,51
44,281100,nidzicki,27,26805,25791,14730,11061,11058,10887,171,108,1123,8,34,3211,288,108,2641,4,4,3329,29
45,281200,nowomiejski,29,33207,31386,16036,15350,15341,15202,139,142,1204,18,50,3893,403,95,5024,12,10,4317,34
44,281300,olecki,26,26726,25835,15195,10640,10638,10518,120,133,959,17,41,3145,229,159,2740,6,8,3044,37
44,281400,olsztyński,107,88420,85909,49111,36797,36788,36371,417,745,3599,38,112,9236,613,495,6203,31,20,15170,109
45,281500,ostródzki,77,83877,81469,46503,34966,34958,34717,241,543,4184,43,104,8363,527,402,6538,28,23,13892,70
44,281600,piski,41,44865,42689,23515,19174,19172,18900,272,206,1508,17,69,5659,427,177,3951,17,9,6819,41
44,281700,szczycieński,53,54842,52391,28962,23429,23429,23137,292,297,2323,22,83,6108,687,203,4497,19,29,8825,44
44,281800,gołdapski,20,21344,20376,12897,7479,7479,7377,102,82,767,17,11,1909,163,53,1626,10,4,2715,20
44,281900,węgorzewski,19,19510,18767,11343,7424,7423,7344,79,107,836,6,27,1433,142,71,1908,8,3,2781,22
45,286101,m. Elbląg,62,99990,97506,46621,50885,50869,50509,360,771,6476,65,96,14812,320,847,4832,16,24,22173,77
44,286201,m. Olsztyn,90,134091,128964,52946,76018,75997,75256,741,1700,11232,45,140,21923,551,1412,3995,39,27,34108,84
50,300100,chodzieski,35,36660,35181,16142,19039,19037,18877,160,236,3298,26,39,3898,368,193,3054,12,10,7709,34
50,300200,czarnkowsko-trzcianecki,63,67353,64559,31421,33138,33131,32871,260,417,4926,54,83,7927,564,294,5286,19,23,13213,65
46,300300,gnieźnieński,83,110397,108033,51405,56628,56592,56223,369,737,8297,56,146,15542,1249,628,10101,35,28,19276,128
49,300400,gostyński,49,58335,56900,29522,27378,27372,27184,188,364,3281,30,80,6597,826,269,7338,17,26,8286,70
49,300500,grodziski,28,37152,36107,18582,17525,17522,17389,133,233,1804,11,39,4190,504,172,4368,13,16,5992,47
47,300600,jarociński,40,54958,52802,26039,26763,26755,26515,240,349,3299,39,91,6947,601,325,6169,14,26,8600,55
47,300700,kaliski,62,62231,59476,31509,27966,27962,27783,179,220,1881,28,80,7376,1225,227,11359,16,20,5295,56
47,300800,kępiński,43,42683,41699,20616,21083,21077,20906,171,241,1801,24,65,5862,609,186,4704,16,14,7341,43
48,300900,kolski,60,70852,68791,36693,32098,32094,31870,224,281,2919,39,76,8980,998,264,11320,13,22,6915,43
48,301000,koniński,88,93559,90203,48749,41454,41449,41111,338,387,2940,51,95,12668,1234,331,13866,23,21,9422,73
49,301100,kościański,52,60306,58735,29257,29478,29472,29180,292,439,3371,25,80,7093,722,381,6407,34,16,10534,78
47,301200,krotoszyński,42,59517,57378,27215,30165,30159,29930,229,382,3154,25,94,7338,1266,290,7884,23,16,9396,62
49,301300,leszczyński,36,37601,36951,18848,18103,18099,17929,170,240,1927,16,54,4016,511,207,4583,21,10,6288,56
46,301400,międzychodzki,24,28134,28137,15904,12233,12232,12109,123,208,1752,19,51,2525,407,155,2404,6,17,4529,36
49,301500,nowotomyski,47,54961,52631,25474,27157,27152,26956,196,365,2958,34,98,6507,681,262,4761,17,15,11190,68
50,301600,obornicki,41,43193,41332,20399,20933,20930,20776,154,340,3202,22,54,5361,419,218,3253,15,15,7825,52
47,301700,ostrowski,97,124258,119027,55491,63535,63508,63119,389,786,6943,65,183,18275,1395,780,13304,50,38,21181,119
47,301800,ostrzeszowski,51,41737,40759,21647,19112,19112,18914,198,210,1954,26,63,4869,779,206,5322,10,15,5406,54
50,301900,pilski,82,105896,102777,45785,56992,56988,56619,369,722,9774,68,127,13918,813,583,8456,33,34,21983,108
47,302000,pleszewski,51,48135,46675,24460,22215,22210,22021,189,258,2179,26,57,5278,847,178,6106,26,20,6987,59
46,302100,poznański,165,217387,211073,94843,116232,116186,115466,720,1749,11451,91,199,30505,1526,1762,10020,72,59,57860,172
49,302200,rawicki,40,46764,44731,22833,21898,21885,21686,199,368,2842,22,71,4642,795,266,5178,20,23,7398,61
48,302300,słupecki,37,46305,44622,23758,20864,20861,20681,180,214,2234,38,56,5556,725,186,5846,14,17,5760,35
50,302400,szamotulski,52,68206,66314,34318,31996,31993,31698,295,430,4299,46,80,7699,648,262,5007,15,24,13128,60
48,302500,średzki,34,42244,40625,20023,20602,20592,20435,157,328,2592,26,75,4850,516,342,4490,15,7,7151,43
49,302600,śremski,39,45442,43725,21378,22348,22335,22166,169,336,3235,25,84,5439,506,277,4073,24,7,8111,49
48,302700,turecki,54,65271,63309,32090,31219,31213,31004,209,298,2904,41,78,9074,790,306,9799,16,29,7607,62
50,302800,wągrowiecki,42,52101,51006,25595,25411,25411,25245,166,294,4051,24,62,5978,896,229,5943,12,14,7691,51
49,302900,wolsztyński,37,41679,40173,19319,20854,20852,20642,210,361,2304,25,65,4459,751,276,4670,15,16,7657,43
48,303000,wrzesiński,48,57791,55951,25767,30183,30177,29986,191,407,3989,38,71,7167,815,603,6988,17,13,9826,52
50,303100,złotowski,44,53341,52130,26408,25724,25722,25530,192,226,3801,27,50,6069,462,239,5266,17,10,9324,39
47,306101,m. Kalisz,53,86780,84355,38403,45960,45952,45686,266,648,6971,56,96,13369,336,757,4273,32,14,19076,58
48,306201,m. Konin,45,64740,62537,27345,35192,35183,35007,176,492,5448,27,63,10707,645,489,3462,160,17,13459,38
49,306301,m. Leszno,34,50531,48481,20911,27570,27566,27406,160,424,4388,32,73,6274,174,470,1886,28,5,13629,23
46,306401,m. Poznań,295,450736,431575,163886,267829,267682,266307,1375,4219,33974,241,359,68165,1164,4713,9806,95,600,142697,274
52,320100,białogardzki,34,37903,36528,20999,15529,15519,15389,130,195,1935,15,32,3274,164,125,3568,8,17,6024,32
51,320200,choszczeński,33,40277,39281,23961,15320,15316,15211,105,209,1822,18,52,3076,298,154,4094,3,10,5435,40
52,320300,drawski,45,47334,44965,24830,20135,20130,19975,155,229,2516,12,55,4083,225,230,5071,10,13,7482,49
51,320400,goleniowski,46,62647,60418,33349,27068,27047,26836,211,386,3229,30,60,5640,449,391,4935,26,19,11596,75
51,320500,gryficki,41,48635,47774,27461,20312,20309,20129,180,288,2587,18,41,4018,283,198,4346,14,13,8278,45
51,320600,gryfiński,53,64980,63434,35993,27441,27437,27204,233,383,2840,29,68,6502,331,561,5751,5,20,10658,56
51,320700,kamieński,39,38964,37575,21244,16372,16359,16259,100,215,2192,24,38,3449,188,215,2794,6,11,7098,29
52,320800,kołobrzeski,48,61273,57972,29525,28447,28445,28259,186,472,3964,28,68,6457,284,388,4014,13,13,12517,41
52,320900,koszaliński,54,49288,47456,27129,20314,20310,20139,171,311,1996,31,55,4337,281,220,4969,16,22,7852,49
51,321000,myśliborski,48,53303,52315,29510,22804,22801,22599,202,277,2417,41,63,5166,314,235,4853,19,14,9164,36
51,321100,policki,33,47725,46432,23003,23429,23426,23273,153,436,2715,22,54,5612,132,421,1986,12,11,11829,43
51,321200,pyrzycki,28,31971,30898,17316,13582,13581,13463,118,206,1388,17,26,3064,290,143,3852,6,9,4426,36
52,321300,sławieński,43,45266,43723,24618,19105,19101,18972,129,267,1906,22,38,3672,263,196,6779,7,8,5782,32
51,321400,stargardzki,72,94518,92193,48702,43491,43483,43195,288,662,5412,51,78,10183,502,654,7556,22,30,17955,90
52,321500,szczecinecki,46,61726,59127,32258,26869,26862,26657,205,351,3140,29,49,6222,309,317,5222,11,19,10925,63
52,321600,świdwiński,35,39496,37915,21394,16521,16518,16387,131,229,2008,33,41,3213,249,164,4379,7,9,6015,40
52,321700,wałecki,35,43237,41819,22601,19218,19212,19084,128,238,3303,26,32,3693,259,256,3483,15,10,7730,39
51,321800,łobeski,28,30433,29854,17858,11996,11995,11878,117,132,1486,18,41,2167,195,152,3242,11,9,4395,30
52,326101,m. Koszalin,52,87704,85389,38894,46495,46471,46274,197,933,7799,40,104,10984,304,615,5240,25,22,20157,51
51,326201,m. Szczecin,201,324801,312882,134417,178591,178398,177519,879,3130,24647,248,312,49788,1325,3539,11209,159,76,82871,215
51,326301,m. Świnoujście,26,33892,33033,16655,16375,16374,16290,84,218,2733,12,36,4259,81,300,959,6,9,7656,21
51,329901,Statki,2,44,60,16,44,44,43,1,0,3,0,0,14,0,6,5,0,0,15,0
