TERYT,Powiat,Uprawnieni do głosowania,Wydane karty do głosowania,Karty wyjęte (głosy oddane),Głosy nieważne,Głosy ważne,Lech Aleksander Kaczyński,Donald Franciszek Tusk
101600,tomaszowski,97814,49243,49235,652,48583,31016,17567
101700,wieluński,62479,29125,29121,395,28726,19186,9540
101800,wieruszowski,33339,14990,14985,199,14786,9941,4845
101900,zduńskowolski,53797,26665,26659,283,26376,16144,10232
102000,zgierski,130266,64298,64265,734,63531,36715,26816
102100,brzeziński,24492,11686,11685,144,11541,8362,3179
106101,m. Łódź,628658,347359,347158,4354,342804,153929,188875
106201,m. Piotrków Trybunalski,64185,34964,34949,464,34485,20144,14341
106301,m. Skierniewice,38748,20579,20569,251,20318,10604,9714
120100,bocheński,76106,43261,43253,323,42930,30170,12760
120200,brzeski,68241,37220,37218,290,36928,26410,10518
120300,chrzanowski,103920,53261,53244,597,52647,27200,25447
120400,dąbrowski,45506,22785,22781,145,22636,18749,3887
120500,gorlicki,83472,42594,42583,375,42208,29723,12485
120600,krakowski,188018,102149,102123,706,101417,63312,38105
120700,limanowski,89117,49831,49825,369,49456,38494,10962
120800,miechowski,41319,17112,17104,181,16923,12454,4469
120900,myślenicki,86509,49420,49414,358,49056,33594,15462
121000,nowosądecki,145032,84997,84989,512,84477,66287,18190
121100,nowotarski,136289,70309,70289,439,69850,45136,24714
121200,olkuski,92864,45720,45706,497,45209,27764,17445
121300,oświęcimski,122311,69245,69230,626,68604,39093,29511
121400,proszowicki,34468,14137,14136,120,14016,10935,3081
121500,suski,62721,34518,34507,269,34238,23051,11187
121600,tarnowski,144151,78128,78114,541,77573,59692,17881
121700,tatrzański,52523,28921,28911,178,28733,16453,12280
121800,wadowicki,119352,66912,66884,493,66391,41108,25283
121900,wielicki,79357,44044,44033,291,43742,26023,17719
126101,m. Kraków,598865,374154,374037,2805,371232,165936,205296
126201,m. Nowy Sącz,65548,39583,39562,320,39242,24061,15181
126301,m. Tarnów,95222,52953,52943,477,52466,29043,23423
140100,białobrzeski,25895,12442,12441,107,12334,9521,2813
140200,ciechanowski,72408,32650,32642,381,32261,21444,10817
140300,garwoliński,81944,43440,43436,363,43073,32252,10821
140400,gostyniński,37723,16506,16506,214,16292,11621,4671
140500,grodziski,61796,34887,34873,262,34611,18111,16500
140600,grójecki,77386,37263,37252,351,36901,26980,9921
140700,kozienicki,50925,24458,24454,243,24211,17925,6286
140800,legionowski,74123,43419,43413,404,43009,21890,21119
140900,lipski,30574,11555,11553,126,11427,8583,2844
141000,łosicki,26430,13274,13271,135,13136,10669,2467
141100,makowski,37272,16843,16841,181,16660,13015,3645
141200,miński,108743,58055,58045,788,57257,35170,22087
141300,mławski,57961,24790,24789,294,24495,16829,7666
141400,nowodworski,59677,29253,29252,318,28934,17657,11277
141500,ostrołęcki,64074,28909,28909,261,28648,22402,6246
141600,ostrowski,59565,29418,29416,225,29191,23253,5938
141700,otwocki,89314,54208,54202,453,53749,31676,22073
141800,piaseczyński,107225,64174,64151,528,63623,30735,32888
141900,płocki,81672,33642,33631,308,33323,25085,8238
142000,płoński,69925,29094,29090,241,28849,20881,7968
142100,pruszkowski,113793,71239,71208,556,70652,35161,35491
142200,przasnyski,41982,18742,18740,176,18564,13549,5015
142300,przysuski,35443,17724,17720,188,17532,14279,3253
142400,pułtuski,39476,18844,18838,208,18630,13726,4904
142500,radomski,110613,53444,53433,411,53022,40105,12917
