Okręg,Kod pow.,Powiat,Upr.,Frekw.,Odd.,Ważne,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,6 - Prawo i Sprawiedliwość,8 - Platforma Obywatelska,10 - Polskie Stronnictwo Ludowe,15 - Samoobrona,19 - Mniejszość Niemiecka,20 - Lewica i DemokraciD,21 - Patia Kobiet,22 - Samoobrona Patriotyczna
7,60600,krasnostawski,57079,25309,25297,24570,313,335,8540,5655,6663,1078,,1986,,
7,61300,parczewski,29970,13776,13769,13397,215,273,5306,2959,2645,381,,1618,,
7,61500,radzyński,49306,24237,24231,23686,264,400,10624,3912,6199,743,,1544,,
7,61800,tomaszowski,72311,30994,30937,30279,286,520,12146,6064,7826,1142,,2295,,
7,61900,włodawski,33411,14797,14793,14430,234,293,4689,4164,2398,875,,1777,,
7,62000,zamojski,88192,38938,38928,37772,373,697,18322,5600,8831,1463,,2486,,
7,66101,m. Biała Podlaska,45385,25811,25793,25497,262,532,9230,9721,2529,384,,2839,,
7,66201,m. Chełm,55730,29200,29190,28729,265,403,9195,10404,2015,359,,6088,,
7,66401,m. Zamość,53902,29182,29165,28760,293,525,11344,9375,2505,377,,4341,,
8,80100,gorzowski,50990,23760,23758,23059,365,338,5439,10330,2183,617,,3787,,
8,80200,krośnieński,45148,20485,20481,19920,307,272,3811,9819,1889,406,,3416,,
8,80300,międzyrzecki,47376,22928,22886,22274,319,317,4299,9287,2714,391,,4947,,
8,80400,nowosolski,69001,33518,33458,32708,500,680,7905,15432,3187,668,,4336,,
8,80500,słubicki,36551,17870,17860,17429,255,223,3511,8301,1949,267,,2923,,
8,80600,strzelecko-drezdenecki,40172,17791,17781,17259,306,227,3810,7632,2065,396,,2823,,
8,80700,sulęciński,28489,12881,12871,12476,175,108,2503,6463,1299,285,,1643,,
8,80800,świebodziński,44236,21384,21377,20904,298,358,4614,9308,2230,270,,3826,,
8,80900,zielonogórski,70507,35206,35195,34247,460,548,7050,16775,2911,712,,5791,,
8,81000,żagański,66073,29754,29714,29011,471,403,6498,12183,2614,520,,6322,,
8,81100,żarski,79084,36841,36829,36042,542,540,8515,16761,2488,583,,6613,,
8,81200,wschowski,30182,14261,14234,13835,228,167,4047,5835,1420,474,,1664,,
8,86101,m. Gorzów Wielkopolski,99763,56541,56471,55584,556,629,14383,26543,2507,573,,10393,,
8,86201,m. Zielona Góra,93918,60317,60204,59467,437,854,12178,30865,3602,492,,11039,,
9,100600,łódzki wschodni,52266,29066,29009,28542,229,361,11219,9819,2372,495,,3700,347,
9,102100,brzeziński,24844,12410,12399,12098,113,174,4636,3267,2208,269,,1293,138,
