Okręg,Kod pow.,Powiat,Upr.,Frekw.,Odd.,Ważne,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,6 - Prawo i Sprawiedliwość,8 - Platforma Obywatelska,10 - Polskie Stronnictwo Ludowe,15 - Samoobrona,19 - Mniejszość Niemiecka,20 - Lewica i DemokraciD,21 - Patia Kobiet,22 - Samoobrona Patriotyczna
32,240100,będziński,126893,69371,69317,68064,1069,980,16167,31419,3611,749,,14069,,
32,241600,zawierciański,103538,51860,51848,50679,833,507,13786,18349,4423,684,,12097,,
32,246501,m. Dąbrowa Górnicza,105812,58855,58761,57936,1013,644,14270,27471,1874,468,,12196,,
32,246801,m. Jaworzno,77146,44246,44239,43305,551,426,11415,21480,3200,296,,5937,,
32,247501,m. Sosnowiec,186766,107355,107287,105753,1602,1220,25722,47036,3273,821,,26079,,
33,260100,buski,62434,28338,28295,27596,225,245,9614,5650,7643,625,,3422,172,
33,260200,jędrzejowski,72116,30921,30911,30115,323,351,11891,5853,7184,797,,3520,196,
33,260300,kazimierski,29888,11006,11000,10722,70,68,3099,1968,4163,332,,962,60,
33,260400,kielecki,155764,69540,69464,67680,590,670,32734,16311,8955,925,,6982,513,
33,260500,konecki,69846,32395,32379,31393,370,360,14041,8914,2677,483,,4307,241,
33,260600,opatowski,45844,18610,18584,17810,167,162,5830,2350,7264,492,,1366,179,
33,260700,ostrowiecki,96520,42144,42135,41043,449,296,13532,14185,4571,465,,7050,495,
33,260800,pińczowski,35102,14965,14962,14505,142,151,4628,3533,3418,524,,2041,68,
33,260900,sandomierski,66564,29741,29709,28930,220,245,10811,6331,7095,640,,3350,238,
33,261000,skarżyski,67085,33887,33881,33131,303,330,12946,12247,1805,435,,4803,262,
33,261100,starachowicki,77635,36473,36448,35575,358,384,14243,10076,3719,705,,5678,412,
33,261200,staszowski,59822,25380,25371,24603,221,230,10813,4810,4637,646,,3085,161,
33,261300,włoszczowski,37836,17240,17220,16686,138,211,8306,2597,2785,272,,2284,93,
33,266101,m. Kielce,167122,104505,104336,102782,969,1018,36068,40024,5118,533,,17796,1256,
34,280100,bartoszycki,51024,22565,22559,21923,244,253,3999,10099,2176,1950,,3202,,
34,280200,braniewski,35054,15267,15249,14882,186,186,3109,5852,2537,376,,2636,,
34,280300,działdowski,51725,22348,22346,21686,264,464,6126,7745,3155,563,,3369,,
34,280400,elbląski,44557,17989,17989,17464,256,291,4409,7299,2094,590,,2525,,
34,280700,iławski,71649,33120,33097,32231,390,435,8278,13767,4654,841,,3866,,
34,280900,lidzbarski,34287,15271,15269,14873,190,190,3420,7098,1633,465,,1877,,
34,281200,nowomiejski,33562,15193,15175,14584,183,215,3892,4064,4094,806,,1330,,
34,281500,ostródzki,83471,37960,37905,36826,445,514,8142,16485,3840,763,,6637,,
34,286101,m. Elbląg,99508,57014,56953,56123,481,672,14573,27537,2143,575,,10142,,
35,280500,ełcki,66017,28380,28363,27644,256,421,8255,11899,2238,515,,4060,,
35,280600,giżycki,45881,21573,21567,21030,230,292,4624,9548,3186,356,,2794,,
35,280800,kętrzyński,54569,23746,23710,22926,224,214,4769,9100,4938,377,,3304,,
35,281000,mrągowski,40044,19083,19077,18535,186,246,4430,8595,2608,254,,2216,,
35,281100,nidzicki,26846,11339,11332,10968,127,295,3241,3916,1405,233,,1751,,
35,281300,olecki,26962,11022,11020,10737,121,225,3083,3820,1814,235,,1439,,
35,281400,olsztyński,90268,41503,41474,40265,448,434,9057,19676,4407,1059,,5184,,
35,281600,piski,45269,20226,20188,19518,187,255,5734,6291,4432,347,,2272,,
35,281700,szczycieński,55224,24929,24919,24123,239,297,6078,8798,4977,594,,3140,,
35,281800,gołdapski,21957,8799,8799,8546,77,92,1755,3607,1744,160,,1111,,
35,281900,węgorzewski,19529,8313,8311,8073,94,120,1692,3470,960,297,,1440,,
35,286201,m. Olsztyn,135668,88288,88233,86866,551,1007,19541,46687,5035,666,,13379,,
36,300400,gostyński,59218,27503,27456,26502,393,319,6767,9665,3873,701,,4784,,
36,300600,jarociński,55621,27712,27695,26814,375,246,7596,9919,3960,496,,4222,,
36,300700,kaliski,63223,27575,27545,26670,317,326,9331,5285,5405,948,,5058,,
36,300800,kępiński,43260,21696,21671,20993,278,244,6650,7619,2989,530,,2683,,
36,301100,kościański,61200,31333,31302,30127,437,265,6866,13839,3742,672,,4306,,
36,301200,krotoszyński,60264,30621,30553,29573,346,320,7649,11557,4883,769,,4049,,
36,301300,leszczyński,38677,18497,18494,17855,209,313,4307,6662,3210,495,,2659,,
36,301700,ostrowski,125961,66666,66613,64846,808,790,18709,24909,7265,1487,,10878,,
36,301800,ostrzeszowski,42273,19600,19596,18899,230,284,4734,5167,5434,576,,2474,,
36,302000,pleszewski,48679,22720,22698,21768,312,253,5996,7026,4275,577,,3329,,
36,302200,rawicki,47305,22831,22819,21946,269,300,4421,9112,3246,580,,4018,,
36,306101,m. Kalisz,86146,50783,50701,49921,454,571,13447,21934,2448,396,,10671,,
36,306301,m. Leszno,50769,30887,30875,30321,225,616,5793,16359,1020,218,,6090,,
37,300300,gnieźnieński,112122,62160,62098,60523,811,746,15197,22862,4995,997,,14915,,
37,300900,kolski,71184,32495,32470,31345,494,348,10609,7424,7443,1057,,3970,,
37,301000,koniński,95498,41953,41901,40241,755,694,14933,9791,6707,1514,,5847,,
37,302300,słupecki,46939,22159,22155,21361,351,215,5610,5410,5830,575,,3370,,
37,302500,średzki,43116,22558,22537,21774,417,522,4932,8814,2857,439,,3793,,
37,302600,śremski,46359,24580,24571,23862,423,206,5301,10047,3203,534,,4148,,
37,302700,turecki,66041,31295,31280,30486,494,322,11626,9625,3234,831,,4354,,
37,303000,wrzesiński,58730,31220,31181,30275,470,686,7532,11780,4561,693,,4553,,
37,306201,m. Konin,64438,38480,38418,37778,489,368,11290,15969,2323,393,,6946,,
38,300100,chodzieski,36947,19989,19967,19360,178,168,3696,8333,2803,331,,3851,,
38,300200,czarnkowsko-trzcianecki,67939,33976,33905,32780,316,349,8056,14727,3108,735,,5489,,
38,300500,grodziski,37675,18221,18214,17518,194,208,4134,6328,3224,443,,2987,,
38,301400,międzychodzki,28474,13917,13894,13459,147,124,2521,5499,1773,231,,3164,,
38,301500,nowotomyski,55754,28982,28949,28047,282,307,6031,12527,4490,532,,3878,,
38,301600,obornicki,43960,23207,23193,22441,210,176,4489,9204,3681,367,,4314,,
38,301900,pilski,106833,59650,59600,57980,484,490,13661,26403,4968,1057,,10917,,
38,302400,szamotulski,69541,36067,36014,34846,352,423,7007,15694,3819,644,,6907,,
38,302800,wągrowiecki,52756,26366,26325,25544,204,226,5118,8337,3550,822,,7287,,
38,302900,wolsztyński,42364,22179,22141,21305,177,185,4253,7610,3216,375,,5489,,
38,303100,złotowski,53994,26197,26159,25289,212,233,5904,10374,3074,815,,4677,,
39,302100,poznański,231220,143342,143197,140368,1181,1431,30216,79040,11295,1230,,15975,,
39,306401,m. Poznań,450733,311382,310696,307248,1873,3008,63971,183282,13088,1454,,40572,,
40,320100,białogardzki,38326,17020,17012,16410,167,164,3791,7265,1008,679,,3336,,
40,320200,choszczeński,40451,16901,16896,16383,189,171,3088,6282,3301,998,,2354,,
40,320300,drawski,47359,21526,21521,20716,319,234,4362,9171,1927,1144,,3559,,
40,320800,kołobrzeski,62684,34047,34010,33212,396,243,8201,16080,1851,854,,5587,,
40,320900,koszaliński,50375,22960,22933,22143,274,273,4520,9765,2916,1221,,3174,,
40,321300,sławieński,45797,20480,20473,19833,225,223,4214,8169,2115,1567,,3320,,
40,321500,szczecinecki,62102,29510,29417,28585,319,294,6434,13679,1998,1036,,4825,,
40,321600,świdwiński,39369,17621,17619,16957,239,201,3708,6742,1976,819,,3272,,
40,321700,wałecki,43116,20677,20668,20139,231,196,3943,9489,1657,583,,4040,,
40,326101,m. Koszalin,87076,53193,53033,52136,405,561,10900,26454,2413,1539,,9864,,
41,320400,goleniowski,63565,30421,30400,29723,366,427,5956,14399,3370,672,,4533,,
41,320500,gryficki,48950,23005,22962,22301,220,256,4166,10743,3067,553,,3296,,
41,320600,gryfiński,65674,30165,30143,29212,296,597,8128,13009,2173,798,,4211,,
41,320700,kamieński,39329,18515,18509,18026,202,244,3878,8900,1236,380,,3186,,
41,321000,myśliborski,53691,24449,24381,23820,272,319,5712,10874,2165,555,,3923,,
41,321100,policki,50028,28258,28234,27760,215,247,6227,15667,1049,276,,4079,,
41,321200,pyrzycki,32170,14138,14131,13630,189,216,3623,5269,1570,543,,2220,,
41,321400,stargardzki,95146,48031,47982,46781,465,661,11350,21768,3375,851,,8311,,
41,321800,łobeski,30498,12775,12773,12304,162,205,2639,5071,1308,467,,2452,,
41,326201,m. Szczecin,324296,199203,198815,196243,1522,2452,49472,99970,6770,1914,,34143,,
41,326301,m. Świnoujście,34179,19307,19293,18980,122,209,4358,9163,752,139,,4237,,
41,329901,Statki,54,54,54,49,0,1,14,19,4,2,,9,,
