Okręg,TERYT,Powiat,L. obw.,Upr.,"Wydane
karty","Głosy
oddane","Głosy
ważne",1 - Komitet Wyborczy Unia Polityki Realnej,2 - Komitet Wyborczy Polskie Stronnictwo Ludowe,3 - Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,4 - Komitet Wyborczy Polska Partia Pracy,5 - Komitet Wyborczy Libertas,6 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,7 - Koalicyjny Komitet Wyborczy Porozumienie dla Przyszłości - CentroLewica (PD+SDPL+Zieloni 2004),8 - Komitet Wyborczy Prawica Rzeczypospolitej,9 - Komitet Wyborczy Platforma Obywatelska RP,10 - Komitet Wyborczy Prawo i Sprawiedliwość,11 - Komitet Wyborczy Polska Partia Socjalistyczna,12 - Koalicyjny Komitet Wyborczy Naprzód Polsko - Piast
3,2013,wysokomazowiecki,49,48215,10859,10846,10662,79,902,332,54,254,478,79,458,1432,6577,17,
3,2014,zambrowski,43,36844,7281,7274,7100,73,874,297,34,113,538,91,113,1829,3126,12,
3,2061,"Białystok, m.",162,229255,71652,71584,70904,912,1966,277,199,572,8115,3202,1279,31708,22576,98,
3,2062,"Łomża, m.",33,49776,11616,11614,11445,315,426,57,49,152,2596,120,205,3329,4181,15,
3,2063,"Suwałki, m.",37,54179,11913,11907,11741,186,704,147,72,89,1969,132,527,4494,3389,32,
1,2201,bytowski,62,59696,10917,10897,10676,89,528,290,64,74,971,130,121,6066,2343,,
1,2202,chojnicki,60,72427,15459,15454,15118,141,874,462,105,139,1553,139,268,7640,3797,,
1,2203,człuchowski,47,46595,8495,8489,8202,78,569,295,84,80,1467,114,135,4356,1024,,
1,2204,gdański,49,69511,18113,18105,17835,186,1203,158,93,125,1539,150,201,10739,3441,,
1,2205,kartuski,66,83250,21220,21206,20840,232,679,553,114,214,1000,146,406,11484,6012,,
1,2206,kościerski,45,52591,11769,11762,11533,100,517,411,75,107,828,88,139,5496,3772,,
1,2207,kwidzyński,53,64080,12011,12002,11752,130,347,214,73,69,1544,92,144,6471,2668,,
1,2208,lęborski,43,50591,11666,11664,11416,115,465,195,73,102,1803,192,162,5873,2436,,
1,2209,malborski,37,50673,10404,10389,10198,121,466,218,75,80,1396,129,101,5372,2240,,
1,2210,nowodworski,25,28970,5395,5393,5280,59,348,129,33,39,645,39,57,2986,945,,
1,2211,pucki,47,60154,15544,15539,15242,154,516,166,105,147,1326,116,301,9452,2959,,
1,2212,słupski,73,74565,12562,12552,12255,132,911,302,133,116,1614,277,126,6518,2126,,
1,2213,starogardzki,88,95376,19492,19483,19059,182,1001,457,173,205,2450,140,294,9003,5154,,
1,2214,tczewski,73,88308,18968,18964,18538,158,736,269,140,154,1921,172,245,9941,4802,,
1,2215,wejherowski,92,143849,39356,39327,38681,384,1173,394,251,312,3251,272,677,22860,9107,,
1,2216,sztumski,34,34202,5397,5396,5225,95,546,140,45,44,662,47,42,2734,870,,
1,2261,"Gdańsk, m.",216,362171,141155,141015,139725,1452,1240,508,475,811,12583,1003,1551,90153,29949,,
1,2262,"Gdynia, m.",119,198769,76393,76244,75425,789,623,285,334,586,8938,625,958,47386,14901,,
1,2263,"Słupsk, m.",46,77691,21128,21072,20723,197,338,178,124,182,3759,476,171,10876,4422,,
1,2264,"Sopot, m.",21,32522,14711,14699,14593,136,90,30,26,89,1172,118,150,9818,2964,,
1,2299,Statki - Gdańsk,2,104,71,71,66,1,0,0,1,1,5,0,0,44,14,,
11,2401,będziński,93,126212,29976,29966,29410,293,561,372,237,210,6837,628,156,15029,5023,,64
11,2402,bielski,85,122191,33754,33729,33154,249,1137,212,191,245,2409,297,589,17889,9883,,53
11,2403,cieszyński,120,137669,36633,36615,35988,250,748,320,221,244,3637,446,566,22530,6972,,54
11,2404,częstochowski,110,108860,18500,18495,17938,174,2223,378,175,229,2264,376,384,7516,4176,,43
11,2405,gliwicki,72,91846,19767,19740,19359,195,528,178,189,135,2016,213,303,11713,3854,,35
11,2406,kłobucki,60,68956,10557,10551,10241,129,1528,192,113,81,1246,260,126,4006,2534,,26
11,2407,lubliniecki,55,62187,13261,13247,12918,106,542,202,79,170,818,185,323,7603,2871,,19
11,2408,mikołowski,52,73667,20963,20957,20657,178,225,126,134,97,1866,270,228,12058,5446,,29
11,2409,myszkowski,52,58946,9761,9752,9527,96,538,165,108,120,1364,234,195,4445,2249,,13
11,2410,pszczyński,63,83008,21156,21135,20829,137,756,173,154,131,1414,247,394,10557,6821,,45
11,2411,raciborski,69,90236,16957,16947,16606,122,471,180,117,90,1272,147,292,10426,3461,,28
11,2412,rybnicki,43,59312,12363,12359,12073,91,537,86,136,67,1203,122,214,6348,3244,,25
11,2413,tarnogórski,88,112722,28267,28224,27773,205,686,303,222,187,2331,484,396,17319,5589,,51
11,2414,bieruńsko-lędziński,32,45006,10943,10942,10743,80,161,89,103,75,706,152,163,5535,3652,,27
11,2415,wodzisławski,93,125792,27120,27094,26623,185,901,193,231,153,2663,341,410,14643,6851,,52
11,2416,zawierciański,91,102825,20281,20265,19861,228,1475,365,284,126,3368,471,201,9174,4135,,34
11,2417,żywiecki,104,120009,27464,27425,26797,199,2168,217,193,318,1574,400,694,12112,8868,,54
11,2461,"Bielsko-Biała, m.",96,141222,47316,47276,46723,362,649,220,233,408,4196,552,686,27495,11879,,43
11,2462,"Bytom, m.",98,142133,32137,32107,31552,329,418,311,253,202,3984,660,254,19167,5932,,42
11,2463,"Chorzów, m.",59,90592,24513,24507,24107,222,165,135,269,140,2518,416,222,16339,3647,,34
11,2464,"Częstochowa, m.",135,196645,54788,54736,53923,520,1252,307,316,380,7880,824,1550,27653,13171,,70
11,2465,"Dąbrowa Górnicza, m.",67,105235,25583,25552,25172,253,286,211,302,160,6175,953,170,12334,4291,,37
11,2466,"Gliwice, m.",114,154523,46652,46603,46058,385,1080,253,281,218,5178,645,481,29306,8143,,88
11,2467,"Jastrzębie-Zdrój, m.",52,75153,18523,18491,18182,178,603,157,173,122,2496,191,201,8393,5635,,33
11,2468,"Jaworzno, m.",45,77477,18950,18888,18564,153,229,117,152,110,2601,314,178,10434,4249,,27
11,2469,"Katowice, m.",165,255069,86324,86238,85286,783,686,483,573,340,9490,1998,760,53302,16767,,104
11,2470,"Mysłowice, m.",42,60887,16470,16464,16178,132,132,137,136,84,2045,617,185,8903,3773,,34
11,2471,"Piekary Śląskie, m.",32,47879,12097,12094,11798,80,142,106,93,78,1132,310,132,7206,2502,,17
11,2472,"Ruda Śląska, m.",80,115536,28400,28387,27758,289,442,173,373,135,3193,457,312,16261,6086,,37
11,2473,"Rybnik, m.",73,112383,28293,28278,27861,191,698,197,265,113,2272,344,329,16434,6956,,62
11,2474,"Siemianowice Śląskie, m.",40,57898,15055,15048,14809,129,148,83,122,64,1661,309,131,9447,2692,,23
11,2475,"Sosnowiec, m.",118,184818,50728,50673,49862,506,427,242,370,215,16214,1061,305,21862,8583,,77
11,2476,"Świętochłowice, m.",27,43523,9994,9986,9800,86,81,56,136,56,1043,205,90,6225,1803,,19
11,2477,"Tychy, m.",67,105766,32205,32190,31753,281,284,210,302,181,3281,641,360,18754,7403,,56
11,2478,"Zabrze, m.",90,147960,31260,31233,30692,252,406,402,312,151,4151,447,313,18841,5358,,59
11,2479,"Żory, m.",32,48981,11881,11877,11618,107,253,114,103,71,1386,134,154,6343,2930,,23
10,2601,buski,68,61622,11676,11669,11450,74,3320,353,50,149,1219,148,94,2462,3581,,
10,2602,jędrzejowski,74,72321,12068,12056,11769,82,2390,428,155,93,1752,163,222,2120,4364,,
10,2603,kazimierski,26,29816,4799,4781,4675,33,1430,364,23,45,535,58,29,771,1387,,
10,2604,kielecki,158,158371,29667,29608,28712,242,4816,541,243,268,3859,581,398,5518,12246,,
10,2605,konecki,67,70216,13346,13313,12992,70,959,222,187,121,3837,134,118,2507,4837,,
10,2606,opatowski,52,45847,7028,7011,6748,57,1894,280,64,62,876,113,85,966,2351,,
10,2607,ostrowiecki,79,96528,17355,17334,16980,108,1457,240,145,148,3924,278,185,4800,5695,,
10,2608,pińczowski,34,34998,6148,6143,6012,37,1584,363,58,64,1051,77,25,1178,1575,,
10,2609,sandomierski,59,67003,12764,12743,12473,74,2068,298,61,66,2378,153,143,2316,4916,,
10,2610,skarżyski,58,67102,19101,19096,18399,163,914,207,173,167,3466,542,166,5656,6945,,
10,2611,starachowicki,67,77945,16035,16005,15626,143,1278,239,173,139,2696,306,161,4476,6015,,
10,2612,staszowski,59,60350,10349,10348,10117,54,2185,266,65,216,1235,171,79,1957,3889,,
10,2613,włoszczowski,43,38098,6814,6813,6643,63,961,251,63,58,1018,90,48,1086,3005,,
10,2661,"Kielce, m.",97,166657,55084,54990,54275,433,3351,239,589,319,11376,1526,794,17905,17743,,
3,2801,bartoszycki,36,51188,7486,7480,7302,63,652,366,81,86,1331,73,91,3091,1442,26,
3,2802,braniewski,35,35271,5458,5447,5348,48,969,154,47,51,889,100,108,1950,1003,29,
3,2803,działdowski,52,52332,8203,8202,7962,76,1463,305,81,200,1037,75,71,2820,1802,32,
3,2804,elbląski,42,45018,5975,5974,5827,58,666,226,67,81,834,75,81,2380,1332,27,
3,2805,ełcki,52,67512,12509,12508,12281,92,694,176,91,196,1555,163,347,5403,3470,94,
3,2806,giżycki,41,46363,8546,8525,8360,153,762,186,107,68,1335,113,122,3966,1525,23,
3,2807,iławski,62,73125,12344,12343,12033,104,1343,413,404,127,1683,101,134,5238,2429,57,
3,2808,kętrzyński,51,54918,8785,8770,8609,80,597,253,90,63,1574,82,97,4029,1710,34,
3,2809,lidzbarski,32,34611,5594,5590,5462,63,443,219,58,40,768,58,47,2604,1151,11,
3,2810,mrągowski,34,40725,7482,7478,7307,101,686,139,69,73,1137,72,74,3312,1628,16,
3,2811,nidzicki,30,27011,4339,4338,4240,33,348,102,61,115,776,38,61,1521,1163,22,
3,2812,nowomiejski,31,34016,5788,5779,5583,50,1220,656,89,80,492,51,77,1648,1204,16,
3,2813,olecki,27,27426,4591,4589,4503,32,1057,116,42,58,527,45,81,1498,1041,6,
3,2814,olsztyński,109,92629,16347,16328,15950,235,1454,288,153,159,2864,197,218,7478,2841,63,
3,2815,ostródzki,78,84001,15070,15062,14620,174,1340,290,155,100,2560,172,164,6873,2724,68,
3,2816,piski,43,45962,7844,7842,7675,61,1039,142,78,77,969,397,114,2614,2161,23,
3,2817,szczycieński,56,55949,9595,9589,9345,91,1472,179,92,100,1749,96,84,3359,2065,58,
3,2818,gołdapski,22,22121,3182,3182,3116,29,302,68,32,35,581,29,53,1338,640,9,
3,2819,węgorzewski,20,19683,2900,2900,2838,29,294,83,33,51,687,23,45,1138,451,4,
3,2861,"Elbląg, m.",62,99483,25508,25494,25071,395,679,187,152,195,4297,222,344,12490,5957,153,
3,2862,"Olsztyn, m.",94,136065,39792,39778,39344,585,2035,186,220,303,8605,516,425,18230,8049,190,
7,3001,chodzieski,36,37352,8443,8435,8149,58,1796,142,71,45,1377,221,112,3128,1199,,
7,3002,czarnkowsko-trzcianecki,65,68614,13633,13590,13159,146,870,409,134,168,1859,452,434,5907,2780,,
7,3003,gnieźnieński,83,113145,25510,25486,24791,255,1721,557,277,288,4777,647,953,9900,5416,,
7,3004,gostyński,50,60027,10636,10616,10340,110,1796,371,84,156,1760,255,426,3301,2081,,
7,3005,grodziski,28,38346,7148,7133,6879,98,939,243,83,83,888,278,278,2659,1330,,
7,3006,jarociński,39,56335,10895,10884,10508,131,1402,306,132,128,1839,235,360,3694,2281,,
7,3007,kaliski,62,64271,10072,10070,9749,87,2445,502,89,135,1251,205,559,2167,2309,,
7,3008,kępiński,43,43889,9295,9286,9019,88,1795,219,85,94,1115,103,705,3123,1692,,
7,3009,kolski,60,71611,12244,12238,11853,163,2348,488,120,289,1580,337,391,3057,3080,,
7,3010,koniński,90,97127,14529,14510,14025,166,1798,815,153,243,2190,365,396,3996,3903,,
7,3011,kościański,52,61892,12193,12184,11680,177,1060,345,146,133,1865,393,310,4941,2310,,
7,3012,krotoszyński,44,60955,12144,12126,11737,107,2704,339,130,107,1442,201,652,3898,2157,,
7,3013,leszczyński,36,39585,6835,6832,6551,112,728,245,62,141,1451,174,233,2115,1290,,
7,3014,międzychodzki,24,28796,5090,5090,4916,52,488,108,60,54,725,461,96,2081,791,,
7,3015,nowotomyski,47,56469,12135,12092,11702,118,1218,259,126,120,1377,408,223,5702,2151,,
7,3016,obornicki,41,44458,9755,9754,9411,92,1004,214,86,106,1687,392,494,3746,1590,,
7,3017,ostrowski,97,127524,29599,29563,28842,241,3769,433,247,279,5630,451,744,9948,7100,,
7,3018,ostrzeszowski,50,43044,8772,8759,8492,75,3691,181,48,125,897,127,367,1836,1145,,
7,3019,pilski,82,107657,25114,25093,24450,263,1412,478,222,241,4690,983,492,10537,5132,,
7,3020,pleszewski,52,49280,9201,9190,8846,83,1605,324,92,117,1327,203,375,2898,1822,,
7,3021,poznański,175,240767,68994,68909,67510,911,2833,926,467,617,6124,3083,1514,40144,10891,,
7,3022,rawicki,40,47777,8461,8451,8153,116,1030,271,92,110,1486,200,328,3247,1273,,
7,3023,słupecki,38,47253,8651,8648,8335,77,1892,337,99,124,1013,536,200,2447,1610,,
7,3024,szamotulski,51,70199,14255,14219,13766,179,1246,370,162,168,1804,892,284,6237,2424,,
7,3025,średzki,34,43625,9088,9086,8763,127,889,204,102,128,1451,334,262,3712,1554,,
7,3026,śremski,39,46684,9965,9959,9691,99,761,203,93,113,1403,388,211,4666,1754,,
7,3027,turecki,54,66850,12063,12061,11640,154,1095,545,151,207,1848,352,227,3667,3394,,
7,3028,wągrowiecki,43,53497,10627,10625,10276,118,1442,578,117,112,1897,387,186,3637,1802,,
7,3029,wolsztyński,37,43012,8590,8574,8245,83,1013,228,110,115,1278,277,204,3325,1612,,
7,3030,wrzesiński,48,59467,12793,12788,12465,410,1266,361,191,124,1754,625,391,4910,2433,,
7,3031,złotowski,45,54761,10848,10843,10457,126,922,323,135,113,1997,239,200,4106,2296,,
7,3061,"Kalisz, m.",54,86025,23876,23825,23503,275,932,146,171,150,4284,693,1319,10994,4539,,
7,3062,"Konin, m.",46,64131,17602,17580,17236,160,378,148,99,127,5103,602,397,6421,3801,,
7,3063,"Leszno, m.",34,51017,13867,13852,13581,186,203,75,63,194,4537,310,354,5404,2255,,
7,3064,"Poznań, m.",301,439612,165776,165467,163450,1978,2225,1032,1018,1249,18474,7968,3596,97891,28019,,
13,3201,białogardzki,35,38623,6226,6212,6039,61,270,179,67,68,1019,71,66,2923,1315,,
13,3202,choszczeński,33,40556,5729,5726,5574,62,1006,170,54,91,998,89,55,2180,869,,
13,3203,drawski,46,47705,7832,7827,7604,100,466,248,98,86,1390,99,116,3504,1497,,
13,3204,goleniowski,48,64433,11792,11787,11468,138,667,235,170,174,2282,127,427,5464,1784,,
13,3205,gryficki,41,50149,9191,9186,8979,99,578,249,114,152,1860,83,120,4013,1711,,
13,3206,gryfiński,53,66234,10707,10688,10388,433,565,410,135,173,1725,131,144,4453,2219,,
13,3207,kamieński,38,40034,7865,7861,7701,90,360,144,96,199,1664,124,107,3621,1296,,
13,3208,kołobrzeski,49,63260,15518,15516,15194,99,428,198,98,139,2869,147,133,7419,3664,,
13,3209,koszaliński,57,51534,8973,8973,8730,124,828,285,87,86,1296,122,119,4312,1471,,
13,3210,myśliborski,48,54119,8740,8725,8545,104,588,318,118,143,1506,102,92,3747,1827,,
13,3211,policki,34,51646,12194,12192,11915,177,456,87,94,361,2270,230,129,5975,2136,,
13,3212,pyrzycki,28,32290,4780,4780,4686,38,444,225,66,95,904,105,49,1754,1006,,
13,3213,sławieński,43,46113,7729,7716,7527,77,1200,357,132,60,1033,79,84,3159,1346,,
13,3214,stargardzki,72,95707,18970,18944,18558,195,848,326,180,282,3489,404,235,8814,3785,,
13,3215,szczecinecki,45,62665,11860,11842,11558,136,602,246,136,143,1917,126,142,5716,2394,,
13,3216,świdwiński,35,39723,6731,6722,6534,66,472,213,88,84,1270,98,94,2759,1390,,
13,3217,wałecki,35,43370,7584,7580,7354,78,425,145,102,72,1397,123,88,3740,1184,,
13,3218,łobeski,28,30668,4285,4283,4148,34,282,273,64,75,772,59,98,1847,644,,
13,3261,"Koszalin, m.",53,87065,25170,25124,24758,224,500,306,151,287,5085,387,243,13087,4488,,
13,3262,"Szczecin, m.",201,320523,91793,91597,90084,1296,2633,711,784,3599,19637,1504,1109,39372,19439,,
13,3263,"Świnoujście, m.",25,33722,8846,8840,8710,84,182,54,73,138,2544,86,96,3785,1668,,
13,3299,Statki - Szczecin,2,54,54,54,48,2,5,0,1,6,7,0,0,18,9,,
