Okręg,TERYT,Powiat,L. obw.,Upr.,"Wydane
karty","Głosy
oddane","Głosy
ważne",1 - Komitet Wyborczy Unia Polityki Realnej,2 - Komitet Wyborczy Polskie Stronnictwo Ludowe,3 - Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,4 - Komitet Wyborczy Polska Partia Pracy,5 - Komitet Wyborczy Libertas,6 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,7 - Koalicyjny Komitet Wyborczy Porozumienie dla Przyszłości - CentroLewica (PD+SDPL+Zieloni 2004),8 - Komitet Wyborczy Prawica Rzeczypospolitej,9 - Komitet Wyborczy Platforma Obywatelska RP,10 - Komitet Wyborczy Prawo i Sprawiedliwość,11 - Komitet Wyborczy Polska Partia Socjalistyczna,12 - Koalicyjny Komitet Wyborczy Naprzód Polsko - Piast
8,604,hrubieszowski,66,57528,9190,9188,8968,82,2034,561,83,360,584,350,98,1882,2934,,
8,605,janowski,38,38661,9310,9296,9162,79,1399,261,24,454,957,74,139,897,4878,,
8,606,krasnostawski,85,57080,10092,10088,9831,129,1988,724,80,463,572,322,80,2792,2681,,
8,607,kraśnicki,84,80680,18254,18230,17762,197,3327,565,164,634,815,632,153,4226,7049,,
8,608,lubartowski,86,72503,14470,14448,14144,292,3044,408,116,619,632,645,239,3377,4772,,
8,609,lubelski,119,111943,21692,21667,21253,325,4447,718,148,1201,751,818,294,4945,7606,,
8,610,łęczyński,47,45017,7632,7631,7468,129,903,258,69,388,365,396,122,2124,2714,,
8,611,łukowski,87,85803,15542,15535,15137,142,2937,482,95,262,1044,583,773,3371,5448,,
8,612,opolski,59,51148,8484,8472,8282,87,1384,371,68,419,589,349,77,1805,3133,,
8,613,parczewski,36,30040,6412,6404,6207,66,1224,224,48,207,350,172,54,1339,2523,,
8,614,puławski,88,96171,22320,22293,21925,330,1583,504,147,595,1248,984,255,8228,8051,,
8,615,radzyński,51,49648,10309,10292,10047,71,3330,356,52,418,401,202,280,1822,3115,,
8,616,rycki,64,47994,9690,9688,9438,137,1417,297,85,176,682,585,94,2511,3454,,
8,617,świdnicki,53,58845,12815,12805,12631,193,907,213,93,461,766,687,209,4453,4649,,
8,618,tomaszowski,92,72843,13067,13066,12735,128,1914,550,66,611,605,318,104,2983,5456,,
8,619,włodawski,43,33543,6330,6314,6173,61,977,662,37,152,498,261,69,1623,1833,,
8,620,zamojski,110,89011,16644,16641,16215,152,4079,565,113,757,616,373,194,2261,7105,,
8,661,"Biała Podlaska, m.",29,46116,11794,11788,11608,97,855,92,82,176,2055,382,152,4031,3686,,
8,662,"Chełm, m.",36,56115,12554,12547,12361,101,765,107,66,207,1697,513,189,4860,3856,,
8,663,"Lublin, m.",211,278935,92905,92807,91857,1790,2479,473,381,1412,5209,6502,1209,39474,32928,,
8,664,"Zamość, m.",32,54646,13634,13629,13381,143,1103,114,82,278,1204,871,229,4484,4873,,
13,801,gorzowski,52,52233,8507,8505,8302,94,588,173,88,81,1737,94,144,3456,1847,,
13,802,krośnieński,48,45395,7401,7397,7215,53,409,161,116,70,1528,144,73,3471,1190,,
13,803,międzyrzecki,48,47912,8664,8649,8392,96,558,215,100,97,2013,103,124,3536,1550,,
13,804,nowosolski,49,69756,12929,12913,12657,303,920,198,187,129,2152,152,163,5558,2895,,
13,805,słubicki,29,36700,6385,6384,6226,54,415,133,86,88,1160,108,58,2894,1230,,
13,806,strzelecko-drezdenecki,36,40382,5861,5857,5691,48,468,147,88,69,1101,90,91,2436,1153,,
13,807,sulęciński,33,28724,4603,4602,4453,47,459,124,38,76,884,38,88,1745,954,,
13,808,świebodziński,34,44409,7820,7817,7629,119,468,134,106,109,1429,113,139,3449,1563,,
13,809,zielonogórski,58,72315,14131,14109,13741,168,940,197,143,137,2640,184,193,6756,2383,,
13,810,żagański,53,66225,10985,10983,10716,139,1394,256,136,133,1830,188,160,4435,2045,,
13,811,żarski,62,79550,13637,13633,13331,154,577,239,192,207,2461,168,173,6310,2850,,
13,812,wschowski,31,30518,5300,5299,5156,61,296,88,58,52,565,63,82,2118,1773,,
13,861,"Gorzów Wielkopolski, m.",68,100327,24043,23970,23655,254,549,181,157,206,6422,195,326,9774,5591,,
13,862,"Zielona Góra, m.",61,94028,29625,29568,29294,302,444,144,150,145,6615,333,284,15438,5439,,
6,1001,bełchatowski,68,91314,17485,17481,17080,212,869,391,419,211,2266,400,280,5608,6424,,
6,1002,kutnowski,77,85567,15471,15466,15053,163,1465,717,130,133,2232,355,245,5345,4268,,
6,1003,łaski,39,40942,7490,7489,7315,57,919,221,57,64,952,148,116,2588,2193,,
6,1004,łęczycki,48,44128,7421,7420,7205,64,864,836,50,73,829,193,74,2156,2066,,
6,1005,łowicki,64,66953,12431,12427,12074,124,2346,345,90,97,1379,238,185,3578,3692,,
6,1006,łódzki wschodni,51,53150,12303,12299,12091,147,626,204,72,117,1185,312,135,5194,4099,,
6,1007,opoczyński,68,63007,13442,13439,13086,100,2738,719,98,124,1257,243,376,2499,4932,,
6,1008,pabianicki,67,97855,24436,24415,24067,254,1369,233,179,163,2928,700,216,11349,6676,,
6,1009,pajęczański,38,42972,6181,6165,5993,69,760,324,65,62,785,105,61,1519,2243,,
6,1010,piotrkowski,66,71649,12215,12200,11883,110,1876,688,94,162,817,160,290,2640,5046,,
6,1011,poddębicki,47,34509,5717,5717,5561,47,1076,354,40,56,675,159,39,1478,1637,,
6,1012,radomszczański,84,95638,16122,16110,15687,138,1682,332,144,146,2471,286,250,5093,5145,,
6,1013,rawski,30,40265,7720,7718,7549,44,1074,212,36,49,672,100,329,1497,3536,,
6,1014,sieradzki,90,98130,18348,18320,17874,142,2119,619,149,301,2509,469,190,5967,5409,,
6,1015,skierniewicki,36,30322,5288,5287,5130,48,1491,228,31,56,243,59,97,847,2030,,
