Województwo,TERYT,Powiat,L.obw.,Upr.,Frekw.,Gł. odd.,Gł. ważne,KACZYŃSKI Jarosław Aleksander,KOMOROWSKI Bronisław Maria
lubuskie,080800,świebodziński,34,45126,22156,22153,21905,7134,14771
lubuskie,080900,zielonogórski,59,72589,36007,36006,35609,10620,24989
lubuskie,081000,żagański,54,65247,29731,29721,29385,10824,18561
lubuskie,081100,żarski,62,78562,36235,36219,35804,11851,23953
lubuskie,081200,wschowski,31,31451,15778,15776,15575,6404,9171
lubuskie,086101,Gorzów Wielkopolski,68,98552,52992,52957,52362,17759,34603
lubuskie,086201,Zielona Góra,61,91598,54575,54546,53911,15415,38496
łódzkie,100100,bełchatowski,68,90956,53144,53136,52367,36267,16100
łódzkie,100200,kutnowski,77,84145,42319,42310,41792,24163,17629
łódzkie,100300,łaski,39,41459,21845,21844,21542,12731,8811
łódzkie,100400,łęczycki,48,43934,21998,21992,21753,13740,8013
łódzkie,100500,łowicki,65,66499,35706,35690,35222,22105,13117
łódzkie,100600,łódzki wschodni,52,53431,31502,31495,31135,17127,14008
łódzkie,100700,opoczyński,68,63392,38221,38206,37644,27622,10022
łódzkie,100800,pabianicki,67,96416,54969,54952,54298,24744,29554
łódzkie,100900,pajęczański,38,43105,22782,22781,22493,15580,6913
łódzkie,101000,piotrkowski,68,72620,41377,41372,40877,30037,10840
łódzkie,101100,poddębicki,47,35095,18010,18008,17760,11044,6716
łódzkie,101200,radomszczański,85,95367,49740,49734,49056,30283,18773
łódzkie,101300,rawski,30,40187,21602,21600,21379,14868,6511
łódzkie,101400,sieradzki,91,96936,51753,51748,51064,31619,19445
łódzkie,101500,skierniewicki,36,30581,17188,17187,16937,12574,4363
łódzkie,101600,tomaszowski,84,97651,56586,56581,55858,32798,23060
łódzkie,101700,wieluński,79,63551,33663,33658,33215,19380,13835
łódzkie,101800,wieruszowski,36,33897,17260,17258,17016,10213,6803
łódzkie,101900,zduńskowolski,43,53882,29048,29045,28712,15471,13241
łódzkie,102000,zgierski,105,131624,73493,73459,72633,34642,37991
łódzkie,102100,brzeziński,28,24882,13566,13565,13405,8427,4978
łódzkie,106101,Łódź,397,584653,340231,340076,335822,121265,214557
łódzkie,106201,Piotrków Trybunalski,41,62441,36397,36389,35919,18291,17628
łódzkie,106301,Skierniewice,25,38887,23052,23051,22766,10479,12287
małopolskie,120100,bocheński,72,80384,48509,48501,48092,32098,15994
małopolskie,120200,brzeski,64,71417,40920,40913,40555,27382,13173
małopolskie,120300,chrzanowski,81,103473,58543,58526,57820,25700,32120
małopolskie,120400,dąbrowski,51,47157,24742,24733,24499,18725,5774
małopolskie,120500,gorlicki,91,87021,48444,48436,47950,30459,17491
małopolskie,120600,krakowski,168,199452,114678,114663,113512,64228,49284
małopolskie,120700,limanowski,95,95340,57699,57675,57170,43369,13801
małopolskie,120800,miechowski ,55,41461,20031,20024,19794,12536,7258
małopolskie,120900,myślenicki,76,92706,55980,55960,55375,36468,18907
małopolskie,121000,nowosądecki,164,157870,99050,99033,98170,72733,25437
małopolskie,121100,nowotarski,143,148006,81111,81104,80364,51538,28826
małopolskie,121200,olkuski,81,93212,51892,51879,51160,27599,23561
małopolskie,121300,oświęcimski,99,123627,73346,73335,72534,35752,36782
małopolskie,121400,proszowicki,37,35247,16590,16588,16422,11192,5230
małopolskie,121500,Suski,57,66256,38171,38170,37771,24209,13562
małopolskie,121600,tarnowski,132,152024,85271,85255,84536,60516,24020
małopolskie,121700,tatrzański,51,63657,40263,40249,39977,22438,17539
