TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Braun Grzegorz Michał,Duda Andrzej Sebastian,Jarubas Adam Sebastian,Komorowski Bronisław Maria,Korwin-Mikke Janusz Ryszard,Kowalski Marian Janusz,Kukiz Paweł Piotr,Ogórek Magdalena Agnieszka,Palikot Janusz Marian,Tanajno Paweł Jan,Wilk Jacek
2208,lęborski,pomorskie,47,50797,43696,20343,23353,9,265,4,3,0,0,0,0,3,23353,3,2,23351,327,23024,178,6321,167,10213,770,105,4233,577,307,27,126
2209,malborski,pomorskie,40,50352,43777,22458,21318,15,78,14,13,2,0,0,0,11,21328,11,1,21327,202,21125,123,5348,251,9165,637,98,4516,559,300,25,103
2210,nowodworski,pomorskie,30,29141,24767,12789,11978,2,500,5,5,1,0,0,0,5,11983,5,0,11983,88,11895,78,2846,197,5439,335,49,2399,292,174,28,58
2211,pucki,pomorskie,55,63599,54498,21227,33271,13,877,10,9,0,0,0,0,9,33273,9,4,33269,291,32978,307,8498,254,14126,1051,115,7377,613,417,57,163
2212,słupski,pomorskie,89,75972,65249,34935,30314,7,773,15,15,0,0,0,0,15,30326,15,0,30326,351,29975,148,7897,368,13134,926,147,5877,810,508,49,111
2213,starogardzki,pomorskie,95,97151,83795,39293,44502,11,255,9,9,0,0,0,0,9,44509,9,4,44505,290,44215,275,15808,550,16399,1173,214,7962,1078,453,83,220
2214,tczewski,pomorskie,77,88045,76321,35948,40385,18,117,22,22,3,0,0,0,19,40401,19,4,40397,309,40088,273,12057,356,16754,1248,217,7751,795,383,59,195
2215,wejherowski,pomorskie,118,154091,131860,52134,79738,21,411,50,48,3,0,0,0,45,79770,45,5,79765,694,79071,713,23334,595,31625,2815,415,16411,1551,994,198,420
2216,sztumski,pomorskie,41,33921,29797,17102,12695,5,48,2,2,0,0,0,0,2,12697,2,0,12697,116,12581,63,3272,217,5528,396,55,2523,339,136,19,33
2261,Gdańsk,pomorskie,226,357316,306820,104151,202660,55,2770,133,126,5,1,0,2,119,202748,119,13,202735,1784,200951,1838,49875,1057,91207,7124,884,39119,4075,3712,753,1307
2262,Gdynia,pomorskie,121,192140,165708,54306,111364,44,1088,158,147,11,4,0,1,131,111442,130,12,111430,1137,110293,887,25060,603,52012,3625,640,21599,2551,2172,383,761
2263,Słupsk,pomorskie,47,73615,64312,29908,34405,12,189,12,12,1,0,0,0,11,34411,11,1,34410,301,34109,254,8809,250,15073,1020,201,6580,932,756,80,154
2264,Sopot,pomorskie,21,30744,25984,7557,18427,28,647,17,14,0,0,0,0,14,18435,14,2,18433,205,18228,217,4352,89,9018,561,87,2975,356,388,63,122
2299,statki,pomorskie,2,83,180,102,78,0,10,0,0,0,0,0,0,0,78,0,0,78,1,77,0,18,1,22,0,0,34,2,0,0,0
2401,będziński,śląskie,106,122838,105739,46118,59620,10,214,19,18,3,0,0,0,15,59632,15,10,59622,464,59158,348,15051,529,22844,1904,256,14651,2015,1160,119,281
2402,bielski,śląskie,95,127526,109805,39073,70731,22,422,37,35,5,0,0,0,30,70739,30,4,70735,500,70235,511,25228,577,23731,2174,295,15051,1451,783,120,314
2403,cieszyński,śląskie,128,141702,122073,47425,74643,46,1066,49,47,1,0,0,0,46,74674,46,14,74660,499,74161,556,22247,616,29572,2414,290,14911,1983,1142,108,322
2404,częstochowski,śląskie,120,111338,95733,43475,52258,21,250,10,10,0,0,0,0,10,52264,10,0,52264,469,51795,298,18622,1091,14596,1627,303,12761,1487,731,95,184
2405,gliwicki,śląskie,76,91135,78737,36191,42546,6,123,17,17,2,0,0,0,15,42554,15,1,42553,330,42223,276,13167,334,15294,1386,155,9926,999,452,65,169
2406,kłobucki,śląskie,71,70107,59962,28012,31950,13,160,9,9,0,0,0,0,9,31956,9,0,31956,293,31663,228,11246,579,9285,1098,149,7504,970,433,39,132
2407,lubliniecki,śląskie,60,62937,55117,26222,28897,13,206,9,7,0,0,0,0,7,28900,7,1,28899,208,28691,232,10088,242,9625,835,76,6480,690,284,33,106
2408,mikołowski,śląskie,70,75432,64787,23952,40835,17,98,20,20,1,0,0,0,19,40849,19,2,40847,278,40569,284,13607,215,13613,1171,157,9906,945,433,78,160
2409,myszkowski,śląskie,55,58649,50146,23474,26672,12,175,7,7,0,0,0,0,7,26678,7,0,26678,218,26460,199,9399,393,7810,1021,119,6255,741,355,53,115
2410,pszczyński,śląskie,76,85175,72772,24644,48125,20,190,28,26,0,0,0,0,26,48145,26,0,48145,324,47821,342,19669,349,13056,1303,205,11231,962,433,67,204
2411,raciborski,śląskie,71,87200,74903,39400,35503,9,130,29,29,0,0,0,0,29,35529,29,0,35529,390,35139,270,10148,277,13919,1357,143,7506,878,465,49,127
2412,rybnicki,śląskie,48,60453,52207,21411,30795,8,73,24,23,0,0,0,1,22,30816,22,1,30815,194,30621,177,12175,170,9096,863,127,6780,859,236,36,102
2413,tarnogórski,śląskie,93,111287,96299,41367,54933,18,211,21,20,1,0,0,0,19,54951,19,10,54941,519,54422,509,17234,340,19586,1972,169,12352,1250,687,82,241
2414,bieruńsko-lędziński,śląskie,41,46080,39022,14324,24698,11,71,15,15,0,0,0,0,15,24710,15,0,24710,173,24537,218,10554,122,6170,713,85,5899,426,203,39,108
2415,wodzisławski,śląskie,99,124554,107552,44710,62842,27,221,36,35,4,0,0,0,31,62863,31,6,62857,422,62435,525,22994,435,19634,1736,266,14255,1685,610,86,209
2416,zawierciański,śląskie,103,99731,85868,39102,46765,25,270,9,7,0,0,0,0,7,46772,7,2,46770,398,46372,227,15931,1009,13998,1528,223,10962,1503,751,57,183
2417,żywiecki,śląskie,111,122303,104435,40545,63878,48,630,12,11,0,0,0,0,11,63889,11,16,63873,462,63411,666,29445,530,17772,1805,240,11031,1118,503,81,220
2461,Bielsko-Biała,śląskie,80,136574,117593,42232,75367,27,451,49,49,1,0,0,0,48,75363,48,5,75358,540,74818,678,23462,462,28412,2359,272,15968,1534,1164,166,341
2462,Bytom,śląskie,80,129023,113011,56432,56580,11,183,39,34,3,0,0,0,31,56605,31,16,56589,438,56151,404,14907,302,20725,2079,256,14824,1405,882,117,250
2463,Chorzów,śląskie,64,85476,74024,33561,40463,20,140,147,137,7,0,0,0,130,40585,130,4,40581,500,40081,297,9139,192,16976,1535,139,9860,1001,616,93,233
2464,Częstochowa,śląskie,135,185456,160610,65954,94643,23,561,62,55,0,0,0,0,55,94690,55,29,94661,725,93936,671,28919,639,33359,2945,376,22284,2515,1630,188,410
2465,Dąbrowa Górnicza,śląskie,67,99433,85528,37207,48321,9,151,20,19,1,0,0,0,18,48333,18,1,48332,438,47894,257,12503,367,17964,1601,229,11965,1638,1004,94,272
2466,Gliwice,śląskie,120,145096,126051,50336,75715,28,388,58,54,4,0,0,0,50,75750,50,9,75741,660,75081,679,18043,516,31232,2793,256,17871,1893,1237,189,372
2467,Jastrzębie-Zdrój,śląskie,45,72036,63599,25877,37728,9,109,18,18,0,0,0,0,18,37743,18,1,37742,268,37474,254,14083,232,10123,940,211,10207,830,416,40,138
2468,Jaworzno,śląskie,46,74850,64534,27954,36580,16,102,20,18,2,1,0,0,15,36592,15,1,36591,297,36294,238,11513,260,12099,1216,178,8944,977,589,67,213
2469,Katowice,śląskie,169,240678,209170,81241,127940,32,974,135,131,7,0,0,0,124,128046,124,6,128040,1181,126859,901,32948,660,53245,4260,430,27919,3107,2356,333,700
2470,Mysłowice,śląskie,41,58535,50769,21106,29662,6,116,29,28,3,0,2,0,23,29679,23,1,29678,254,29424,190,9330,131,9998,878,105,7380,782,417,82,131
2471,Piekary Śląskie,śląskie,32,44957,39015,17057,21956,4,61,4,4,1,0,0,0,3,21960,3,0,21960,188,21772,140,7201,102,7590,731,70,5191,427,204,33,83
2472,Ruda Śląska,śląskie,80,110419,95542,41562,53980,8,222,19,19,5,0,0,0,14,53981,14,8,53973,509,53464,309,16811,285,17780,1497,171,14615,1079,610,95,212
2473,Rybnik,śląskie,70,109078,95295,39212,56083,14,168,20,19,0,0,0,0,19,56100,19,3,56097,376,55721,401,18025,289,18553,1887,194,13354,2089,628,86,215
2474,Siemianowice Śląskie,śląskie,40,54472,46711,20001,26710,2,85,13,13,1,0,0,0,12,26718,12,2,26716,231,26485,165,6364,147,11060,973,96,6412,656,416,50,146
2475,Sosnowiec,śląskie,117,171412,147603,65112,82491,8,337,32,31,1,1,0,0,29,82515,29,4,82511,607,81904,460,21304,667,31523,2663,374,19748,2881,1751,166,367
2476,Świętochłowice,śląskie,26,40066,34712,17123,17589,2,48,9,9,0,0,0,0,9,17595,9,0,17595,152,17443,128,4681,85,6709,639,64,4372,446,210,35,74
2477,Tychy,śląskie,66,101685,87922,32680,55243,12,182,52,51,3,0,0,0,48,55290,48,0,55290,356,54934,383,16996,326,18784,1720,217,14108,1181,790,138,291
2478,Zabrze,śląskie,91,137888,119873,61040,58833,24,271,21,20,2,0,0,0,18,58852,18,2,58850,602,58248,384,14681,360,21804,1899,238,16215,1417,880,113,257
2479,Żory,śląskie,33,47216,41134,16589,24545,2,87,10,10,0,0,0,0,10,24555,10,0,24555,171,24384,141,8064,145,7725,764,84,6418,642,267,32,102
2601,buski,świętokrzyskie,63,61777,52824,25245,27579,33,743,3,3,0,0,0,0,3,27580,3,0,27580,226,27354,111,9861,6340,5363,726,104,3993,506,234,23,93
2602,jędrzejowski,świętokrzyskie,75,71537,61638,29886,31752,11,189,6,6,0,0,0,0,6,31757,6,1,31756,215,31541,169,13081,4965,5626,834,124,5635,710,291,18,88
2603,kazimierski,świętokrzyskie,31,29103,24924,14408,10516,8,58,9,9,2,0,0,0,7,10522,7,8,10514,54,10460,35,3940,2151,1978,231,47,1584,306,93,12,83
2604,kielecki,świętokrzyskie,183,166341,144213,63626,80588,22,375,14,13,0,0,0,0,13,80589,13,0,80589,581,80008,531,34599,12605,12699,2745,415,14243,1236,574,72,289
2605,konecki,świętokrzyskie,74,68923,59290,28422,30868,16,206,10,8,0,0,0,0,8,30877,8,15,30862,200,30662,170,13458,3013,6522,794,182,5305,791,310,25,92
2606,opatowski,świętokrzyskie,53,44955,38580,18407,20172,37,178,3,3,0,0,0,0,3,20172,3,0,20172,226,19946,90,7235,4446,3496,486,91,3304,495,226,16,61
2607,ostrowiecki,świętokrzyskie,78,92756,80643,42159,38474,23,190,9,9,0,0,0,0,9,38490,9,1,38489,230,38259,232,12676,3044,10739,1019,258,8466,1078,567,47,133
2608,pińczowski,świętokrzyskie,35,34323,29603,15317,14286,10,106,1,1,0,0,0,0,1,14286,1,1,14285,120,14165,77,4884,3167,2825,465,51,2078,404,155,17,42
2609,sandomierski,świętokrzyskie,62,65921,57083,28622,28461,19,225,5,4,0,0,0,0,4,28461,4,1,28460,250,28210,196,10791,3136,6487,839,238,5522,576,308,32,85
2610,skarżyski,świętokrzyskie,57,64641,56004,26066,29938,14,117,24,23,0,0,0,0,23,29956,23,0,29956,250,29706,165,10793,2229,8489,854,127,5960,632,318,28,111
2611,starachowicki,świętokrzyskie,66,76072,66356,31652,34703,40,164,6,6,0,0,0,0,6,34708,6,2,34706,226,34480,282,13622,2769,8484,1094,202,6799,711,385,34,98
2612,staszowski,świętokrzyskie,69,60312,51643,25653,25990,3,163,8,8,2,0,0,0,6,25994,6,0,25994,205,25789,110,11284,3807,4381,845,121,4473,470,187,29,82
2613,włoszczowski,świętokrzyskie,41,37967,32902,14711,18191,7,113,0,0,0,0,0,0,0,18191,0,0,18191,134,18057,93,7853,3082,2875,566,65,2957,370,149,14,33
2661,Kielce,świętokrzyskie,93,160675,138954,50811,88144,30,472,34,31,3,0,0,0,28,88126,28,10,88116,692,87424,726,27321,7154,26489,3190,394,18206,2002,1344,192,406
2801,bartoszycki,warmińsko-mazurskie,43,49461,43370,23987,19383,10,100,4,4,0,0,0,0,4,19386,4,0,19386,140,19246,109,5191,277,7939,588,90,4152,613,216,16,55
2802,braniewski,warmińsko-mazurskie,36,34421,30029,16558,13471,5,62,7,7,0,0,0,0,7,13478,7,1,13477,84,13393,60,3738,188,5617,447,73,2691,370,160,11,38
2803,działdowski,warmińsko-mazurskie,55,52587,45385,24225,21160,15,109,7,7,0,0,0,0,7,21166,7,0,21166,232,20934,121,7736,300,7850,579,80,3396,562,217,18,75
2804,elbląski,warmińsko-mazurskie,43,46051,39705,22684,17021,8,67,4,4,1,0,0,0,3,17022,3,1,17021,122,16899,93,4679,231,6917,600,74,3606,414,199,32,54
2805,ełcki,warmińsko-mazurskie,56,68396,60088,33456,26632,6,185,9,6,0,0,0,0,6,26638,6,1,26637,249,26388,278,8912,331,8566,1120,143,5966,600,334,33,105
2806,giżycki,warmińsko-mazurskie,50,46310,40139,21274,18865,9,320,17,17,1,0,0,0,16,18881,16,0,18881,155,18726,158,4792,264,8329,700,96,3460,507,328,24,68
