TERYT,Powiat,Obwody,Uprawnieni,Karty wydane,Głosy oddane,Głosy nieważne,Głosy ważne,Dariusz Maciej GRABOWSKI,Piotr IKONOWICZ,Jarosław KALINOWSKI,Janusz KORWIN-MIKKE,Marian KRZAKLEWSKI,Aleksander KWAŚNIEWSKI,Andrzej LEPPER,Jan ŁOPUSZAŃSKI,Andrzej Marian OLECHOWSKI,Bogdan PAWŁOWSKI,Lech WAŁĘSA,Tadeusz Adam WILECKI
1414,nowodworski,46,56182,31672,31664,385,31279,125,66,1831,402,4404,18162,776,298,4857,37,265,56
1415,ostrołęcki,85,60528,32022,32013,624,31389,95,61,7893,195,6903,11575,1903,258,2160,25,263,58
1416,ostrowski,68,58144,32253,32234,446,31788,135,43,6791,265,6601,12495,1435,399,3285,33,222,84
1417,otwocki,70,84217,52786,52763,631,52132,339,101,4118,1163,11723,18807,1079,863,13070,123,659,87
1418,piaseczyński,58,85118,51370,51324,581,50743,247,93,2507,895,8986,22709,862,509,13228,71,572,64
1419,płocki,77,77715,40313,40287,566,39721,138,55,6676,238,3883,23032,2067,136,3138,30,292,36
1420,płoński,59,68168,34563,34545,445,34100,128,60,4548,273,3892,19381,1595,191,3707,36,236,53
1421,pruszkowski,67,106385,67030,66963,694,66269,363,173,1786,1478,13497,27265,966,795,18857,103,901,85
1422,przasnyski,56,41135,22776,22770,323,22447,85,40,4011,205,3521,11414,938,149,1850,22,189,23
1423,przysuski,32,35041,19577,19570,409,19161,158,41,3790,156,3016,7691,1899,371,1736,24,228,51
1424,pułtuski,47,37890,21388,21387,276,21111,74,53,4969,240,2526,10223,615,114,2151,19,100,27
1425,radomski,98,102988,54028,54010,854,53156,355,120,8224,598,7258,24255,3436,757,7418,69,524,142
1426,siedlecki,64,59350,34163,34135,528,33607,139,73,9292,234,4369,12318,3808,450,2579,38,262,45
1427,sierpecki,33,41252,22424,22406,252,22154,88,33,3245,133,2365,12898,1017,156,2027,21,149,22
1428,sochaczewski,52,63023,34435,34402,497,33905,160,60,3820,349,4316,18170,1000,252,5376,34,313,55
1429,sokołowski,57,46531,28879,28870,437,28433,174,62,8272,237,4172,10580,1900,240,2505,36,214,41
1430,szydłowiecki,29,30973,16029,16027,288,15739,79,39,1769,175,2541,8203,747,249,1736,21,136,44
1431,warszawski,782,1296891,875870,875113,6785,868328,4963,2472,12764,21592,166293,384611,6141,10133,245786,1305,10961,1307
1432,warszawski zachodni,48,66846,39125,39090,500,38590,239,69,1681,729,7134,16990,803,512,9822,60,498,53
1433,węgrowski,54,53072,29155,29149,500,28649,163,42,4861,232,5265,12089,2180,425,3075,38,241,38
1434,wołomiński,105,138075,79582,79545,1190,78355,392,171,4509,1434,19041,29199,1718,1382,19270,84,993,162
1435,wyszkowski,59,52109,29595,29590,458,29132,106,35,6502,297,4617,12448,839,326,3621,25,269,47
1436,zwoleński,38,28748,15064,15063,219,14844,73,24,3724,119,1450,6940,1063,141,1204,4,87,15
1437,żuromiński,26,31484,17600,17589,184,17405,45,23,3300,76,1938,9931,701,45,1220,12,102,12
1438,żyrardowski,49,57392,32555,32545,403,32142,174,62,1632,415,4109,18468,777,451,5662,40,303,49
1461,Ostrołęka,26,40675,25586,25571,200,25371,178,40,1696,383,4864,13140,402,248,4144,35,187,54
1462,Płock,65,98989,64584,64556,511,64045,355,229,1454,952,7860,40684,922,366,10485,58,596,84
1463,Radom,102,175311,107586,107508,1035,106473,941,408,3128,2180,17413,53299,2185,2057,23165,137,1228,332
1464,Siedlce,39,55868,36966,36952,307,36645,294,117,2017,656,5063,19836,705,733,6630,73,431,90
1499,Zagranica,167,69625,57711,57649,484,57165,124,66,961,765,21469,17912,303,1161,13027,47,1193,137
1601,brzeski,75,70946,41876,41867,484,41383,215,78,1883,554,6440,23419,1393,214,6737,32,366,52
1602,głubczycki,41,39262,20802,20790,288,20502,66,43,1054,189,3195,11270,1164,92,3133,21,239,36
1603,kędzierzyńsko-kozielski,56,81126,39701,39676,522,39154,178,84,830,880,5525,21773,1061,327,7700,52,703,41
1604,kluczborski,57,54123,28178,28169,337,27832,156,53,1266,321,4351,14917,981,233,5103,22,405,24
1605,krapkowicki,46,54125,20515,20501,295,20206,93,38,527,308,2511,11296,587,123,4138,7,552,26
1606,namysłowski,48,32948,19791,19785,250,19535,90,31,1650,154,2803,10721,780,108,2934,17,202,45
1607,nyski,116,114277,68633,68614,652,67962,346,105,3069,873,11405,37935,2078,271,11314,45,442,79
1608,oleski,45,53587,25665,25659,338,25321,109,61,1322,216,3043,15047,1313,72,3785,20,308,25
1609,opolski,91,103502,41632,41598,757,40841,212,63,1220,592,6605,20605,1376,212,8674,36,1205,41
1610,prudnicki,61,47256,23621,23612,302,23310,118,51,1177,360,3748,11878,1159,107,4214,29,444,25
1611,strzelecki,60,63864,25741,25736,443,25293,117,53,638,355,4234,13067,781,157,5142,33,686,30
1661,Opole,67,97304,60379,60347,438,59909,263,108,652,1306,7730,33445,535,354,14671,43,745,57
1801,bieszczadzki,52,37012,20805,20794,285,20509,111,29,1056,293,3820,11363,674,98,2770,17,221,57
1802,brzozowski,54,48195,27789,27773,395,27378,235,45,2884,274,8556,9464,1572,233,3704,39,311,61
1803,dębicki,100,95311,58835,58817,878,57939,340,96,6539,744,13585,21036,3129,1050,10438,61,800,121
1804,jarosławski,100,89865,55395,55371,686,54685,350,75,7686,524,14959,20410,2592,431,7010,54,528,66
1805,jasielski,101,92335,55125,55092,769,54323,429,94,6366,735,13108,21159,3048,724,7836,83,621,120
1806,kolbuszowski,57,43924,26381,26365,389,25976,162,22,2630,178,10472,8279,1150,141,2715,17,161,49
1807,krośnieński,91,80567,49617,49593,703,48890,433,78,4480,630,13010,19801,2456,735,6562,73,496,136
1808,leżajski,47,50468,31149,31119,416,30703,269,41,4162,351,11094,8662,1601,491,3677,40,242,73
1809,lubaczowski,52,43335,26064,26055,381,25674,180,62,4002,218,5248,11890,1458,149,2237,14,183,33
1810,łańcucki,51,56026,37194,37180,501,36679,425,54,4601,451,13447,9812,1351,878,5131,33,374,122
1811,mielecki,107,97450,58606,58582,699,57883,346,95,6670,594,11899,24736,2652,994,9235,61,490,111
1812,niżański,58,48567,27087,27083,432,26651,236,38,2537,332,7323,10051,1542,295,3876,39,235,147
1813,przemyski,83,51891,29407,29390,546,28844,246,47,3060,156,6657,12379,1962,203,3689,36,331,78
1814,przeworski,67,58287,35919,35906,461,35445,222,42,5716,340,8540,14521,1683,393,3610,35,295,48
1815,ropczycko-sędziszowski,62,50743,31394,31388,427,30961,222,67,5069,257,9020,8369,2113,1418,3996,24,354,52
1816,rzeszowski,121,121472,78820,78779,1210,77569,484,108,7239,935,28423,21968,3925,1189,12037,109,908,244
1817,sanocki,71,71209,40842,40813,553,40260,339,58,3018,531,8122,19460,1747,330,6170,36,377,72
1818,stalowowolski,73,84170,50715,50684,615,50069,483,122,2488,810,12727,22403,1378,513,8455,66,433,191
1819,strzyżowski,60,45573,27464,27452,482,26970,146,42,3953,371,7355,8742,1655,362,3866,28,393,57
1820,tarnobrzeski,42,40536,23202,23197,376,22821,139,45,1895,209,5227,10479,1018,237,3270,23,222,57
1861,Krosno,23,37633,24168,24156,190,23966,317,70,830,550,5284,11150,569,502,4372,29,242,51
1862,Przemyśl,37,53124,33458,33447,332,33115,338,70,601,321,7827,16305,661,312,6182,39,368,91
1863,Rzeszów,66,116748,82341,82312,654,81658,689,145,1889,1998,21537,35176,1029,1166,16940,80,844,165
1864,Tarnobrzeg,28,38326,23686,23676,223,23453,154,69,859,360,3807,13149,459,170,4164,21,202,39
2001,augustowski,36,45204,24503,24489,238,24251,145,26,3391,234,5036,10106,1184,207,3638,11,227,46
2002,białostocki,103,103462,61244,61221,772,60449,277,100,5759,751,17280,23515,2318,792,8927,51,545,134
2003,bielski,48,48658,29962,29957,342,29615,70,82,2351,169,7438,15491,1437,131,2214,18,179,35
2004,grajewski,34,37657,19501,19491,251,19240,118,29,2564,165,3617,8966,1280,232,2084,10,117,58
2005,hajnowski,45,42399,25694,25686,239,25447,65,120,588,140,1469,20339,1128,39,1417,12,93,37
2006,kolneński,35,30091,15677,15668,207,15461,53,20,4102,107,3485,5323,990,108,1123,9,114,27
2007,łomżyński,43,38052,19906,19886,273,19613,64,18,5862,117,5292,4968,1343,246,1510,11,132,50
2008,moniecki,32,33604,17196,17188,234,16954,70,30,3152,106,4137,5813,1470,138,1822,19,172,25
2009,sejneński,21,16537,8897,8896,104,8792,27,8,1098,57,887,5515,552,102,489,7,39,11
2010,siemiatycki,47,39722,21149,21140,256,20884,79,79,3007,129,4126,10126,1174,110,1863,22,126,43
2011,sokólski,59,58855,31576,31541,419,31122,133,34,4587,226,7028,12489,2269,269,3740,39,263,45
2012,suwalski,27,25982,13646,13605,151,13454,57,21,3068,117,1848,5902,1215,111,992,9,84,30
2013,wysokomazowiecki,45,46404,27700,27681,330,27351,116,36,8069,157,7254,7304,1360,385,2458,19,137,56
2014,zambrowski,35,34317,19079,19065,180,18885,82,42,4195,217,4090,7032,811,211,2007,20,116,62
2061,Białystok,155,213937,139955,139884,1073,138811,819,344,2932,2666,33312,65280,2010,1721,27917,99,1433,278
2062,Łomża,30,46370,27290,27276,205,27071,210,62,1371,371,6990,11961,493,363,4924,33,219,74
2063,Suwałki,35,48377,29023,29008,205,28803,237,82,1325,408,4882,16463,592,344,4105,35,264,66
2201,bytowski,57,54064,32088,32077,391,31686,120,47,1224,285,4254,18802,1482,122,4857,30,434,29
2202,chojnicki,58,65950,42899,42884,481,42403,202,71,1672,421,5960,24196,1660,414,7234,32,445,96
2203,człuchowski,45,42945,27020,27018,282,26736,115,48,1355,202,1732,19256,1116,76,2597,23,181,35
2204,gdański,40,54852,31199,31189,406,30783,131,46,955,476,4838,15561,847,188,7236,41,420,44
2205,kartuski,57,68310,42964,42922,656,42266,162,49,2066,430,11344,13627,2544,367,10670,32,921,54
2206,kościerski,46,46756,28907,28888,396,28492,146,30,1330,182,5281,13378,1323,230,6081,32,439,40
2207,kwidzyński,49,58648,34174,34165,326,33839,113,60,1185,434,3480,21898,827,209,5268,26,301,38
2208,lęborski,43,46724,30061,30043,305,29738,154,45,768,356,4714,18295,695,150,4232,19,260,50
2209,malborski,72,79666,46638,46624,444,46180,144,73,1775,594,4144,30642,1434,165,6782,28,347,52
2210,nowodworski,27,26753,14949,14945,167,14778,45,17,840,177,1262,9283,714,50,2187,16,171,16
2211,pucki,45,50386,31235,31226,438,30788,142,45,818,383,6207,13928,851,181,7699,29,461,44
2212,słupski,67,67562,37075,37060,396,36664,140,76,1507,400,3338,25214,1416,150,4082,22,279,40
2213,starogardzki,84,86499,53209,53184,718,52466,298,79,2143,545,7054,29625,1822,375,9718,33,697,77
2214,tczewski,71,82510,50261,50242,614,49628,208,87,1574,539,6969,28739,1267,296,9283,37,562,67
2215,wejherowski,87,120984,75901,75855,951,74904,347,88,1797,1072,17501,30669,1864,604,19565,56,1269,72
2261,Gdańsk,207,357961,235051,234818,1917,232901,1231,446,2721,5461,50555,90717,2493,1980,72901,250,3834,312
2262,Gdynia,117,196068,130435,130370,1205,129165,523,233,1291,3062,25073,56305,1227,990,38589,123,1621,128
2263,Słupsk,46,77241,49292,49271,392,48879,244,117,930,744,6835,30228,826,414,7977,43,433,88
2264,Sopot,23,34389,23151,23140,219,22921,107,39,246,537,4928,7885,153,190,8470,19,325,22
2299,Statki morskie,11,630,617,617,27,590,2,1,2,28,44,341,17,3,143,0,8,1
2401,będziński,87,119618,79091,79072,634,78438,333,253,1023,1088,5926,58740,1397,223,8782,47,520,106
2402,bielski,78,108726,73030,72998,849,72149,497,134,2147,950,13535,36316,1465,634,15288,74,1010,99
2403,cieszyński,116,128013,86011,85975,874,85101,427,196,1707,852,11137,53352,1398,488,14378,56,1011,99
2404,częstochowski,103,102268,62487,62453,877,61576,255,123,3240,628,5286,41171,2784,299,7188,64,418,120
2405,gliwicki,74,92351,48937,48914,623,48291,265,99,925,575,7512,26541,1027,249,10187,39,811,61
2406,kłobucki,60,64786,41460,41442,489,40953,151,100,1962,395,3484,28017,2079,171,4238,39,236,81
2407,lubliniecki,52,57909,32997,32984,476,32508,180,64,818,390,6442,15997,1490,267,6259,34,503,64
2408,mikołowski,48,67980,42373,42361,451,41910,233,99,641,530,7521,20839,710,283,10438,35,528,53
2409,myszkowski,51,56539,33620,33600,445,33155,202,76,1349,408,3397,21850,1252,129,4124,48,257,63
2410,pszczyński,60,73558,47577,47561,507,47054,314,118,1310,505,9046,23217,1042,316,10486,40,588,72
2411,raciborski,69,89278,39851,39828,555,39273,183,74,837,555,5930,21216,984,158,8363,38,896,39
2412,rybnicki,42,54233,31917,31899,365,31534,164,52,510,283,5100,17644,613,132,6467,21,501,47
2413,tarnogórski,87,109017,61217,61181,669,60512,290,136,837,869,11898,29761,1101,266,14367,57,862,68
2414,tyski,27,40451,24922,24913,260,24653,210,73,516,318,5409,11812,553,175,5159,33,344,51
2415,wodzisławski,90,119805,70664,70618,775,69843,359,134,1179,760,10666,39654,1293,397,14144,46,1115,96
2416,zawierciański,94,101865,65980,65951,714,65237,321,203,3648,710,5263,45736,2125,237,6477,62,333,122
2417,żywiecki,102,111928,68859,68820,1051,67769,442,113,2861,640,15813,30962,1480,475,13510,53,1303,117
2461,Bielsko-Biała,93,137305,92518,92457,811,91646,685,225,1614,1697,17798,44993,1165,905,21064,76,1287,137
2462,Bytom,99,158710,79889,79854,695,79159,384,298,828,1106,10217,49741,1071,302,14131,58,946,77
2463,Chorzów,61,96337,52307,52278,467,51811,233,186,362,795,6927,31226,586,240,10504,43,635,74
2464,Częstochowa,122,198166,132609,132508,1155,131353,694,406,1798,2317,19303,76177,1804,962,26178,118,1297,299
2465,Dąbrowa Górnicza,66,104232,70183,70163,532,69631,381,271,733,1074,5231,51993,1030,253,8129,43,409,84
2466,Gliwice,112,160965,95394,95340,777,94563,522,267,1150,1792,13211,53050,1091,550,21718,91,999,122
2467,Jastrzębie-Zdrój,48,75005,47089,47076,330,46746,256,105,782,557,6314,29892,788,316,7283,49,351,53
2468,Jaworzno,45,73921,48206,48197,414,47783,238,111,693,661,6362,30949,560,297,7377,50,416,69
2469,Katowice,163,261059,164901,164718,1310,163408,908,540,1569,2886,24716,88676,1803,787,39084,133,2124,182
2470,Mysłowice,42,57981,36179,36144,279,35865,186,88,442,526,5419,21213,491,180,6838,32,397,53
2471,Piekary Śląskie,32,48463,27230,27222,373,26849,159,87,195,384,5646,14160,353,157,5268,22,383,35
2472,Ruda Śląska,80,117365,67738,67728,740,66988,363,162,659,796,9930,40786,789,223,12280,78,835,87
2473,Rybnik,72,107188,65364,65276,551,64725,297,156,809,860,9937,36322,946,323,14042,47,905,81
2474,Siemianowice Śląskie,40,59777,34323,34315,316,33999,152,101,266,532,4311,20817,418,149,6711,23,455,64
2475,Sosnowiec,116,189565,127513,127464,861,126603,525,532,1328,1895,10761,93316,1527,448,15254,119,757,141
2476,Świętochłowice,28,45220,23383,23383,211,23172,101,74,160,341,3103,14509,287,98,4169,20,285,25
2477,Tychy,66,103724,67251,67240,474,66766,386,171,877,1093,10578,37658,901,475,13679,62,770,116
2478,Zabrze,92,153647,74589,74532,605,73927,353,239,846,1188,8737,47661,1123,282,12506,47,857,88
2479,Żory,32,48403,30578,30574,231,30343,143,63,468,354,3560,19444,528,136,5365,14,233,35
2601,buski,66,61049,34792,34779,441,34338,106,51,6016,257,2912,19726,2015,132,2876,21,188,38
2602,jędrzejowski,74,70883,41890,41872,479,41393,206,124,6472,335,2975,26038,1974,311,2672,25,186,75
2603,kazimierski,24,29671,15297,15292,214,15078,35,18,4005,90,1114,7714,1153,35,803,8,86,17
