TERYT,Powiat,Obwody,Uprawnieni,Karty wydane,Głosy oddane,Głosy nieważne,Głosy ważne,Dariusz Maciej GRABOWSKI,Piotr IKONOWICZ,Jarosław KALINOWSKI,Janusz KORWIN-MIKKE,Marian KRZAKLEWSKI,Aleksander KWAŚNIEWSKI,Andrzej LEPPER,Jan ŁOPUSZAŃSKI,Andrzej Marian OLECHOWSKI,Bogdan PAWŁOWSKI,Lech WAŁĘSA,Tadeusz Adam WILECKI
3026,śremski,38,42661,28975,28935,246,28689,98,34,1782,236,2797,19208,642,109,3553,16,188,26
3027,turecki,55,62404,38298,38293,521,37772,170,84,2765,319,4142,22899,2333,174,4344,35,416,91
3028,wągrowiecki,41,48778,33026,32998,295,32703,101,53,2706,235,2704,21979,1283,84,3264,26,238,30
3029,wolsztyński,38,39194,27824,27805,269,27536,86,22,1914,272,2658,18454,831,100,2938,20,204,37
3030,wrzesiński,47,55040,36946,36938,373,36565,166,61,2099,459,3348,23520,1122,125,5321,40,263,41
3031,złotowski,42,49972,31313,31297,352,30945,128,57,1533,284,4018,19188,1566,146,3719,24,248,34
3061,Kalisz,53,85670,58217,58173,424,57749,261,160,1269,949,7195,36297,953,414,9621,46,520,64
3062,Konin,44,63364,43437,43409,343,43066,207,170,748,531,5475,27370,777,147,7225,29,326,61
3063,Leszno,32,48176,33574,33522,237,33285,129,41,491,587,3324,21598,353,280,6087,20,344,31
3064,Poznań,285,444401,308807,308467,2460,306007,1294,544,2693,6055,46237,158135,2577,1867,82159,241,3939,266
3201,białogardzki,33,35909,21621,21615,203,21412,96,31,364,120,1881,15979,650,73,2055,18,124,21
3202,choszczeński,31,38446,20600,20594,187,20407,66,43,810,137,1661,14534,789,36,2148,21,142,20
3203,drawski,44,45575,26570,26561,280,26281,97,47,720,242,2574,18170,1195,74,2896,15,226,25
3204,goleniowski,49,61893,35269,35243,311,34932,171,62,1151,472,3007,24079,1083,101,4494,25,249,38
3205,gryficki,47,55744,30540,30524,326,30198,137,64,888,277,2690,21397,892,89,3518,25,194,27
3206,gryfiński,49,62016,34757,34752,316,34436,153,61,1117,386,3707,22787,1013,143,4730,21,277,41
3207,kamieński,37,37556,21298,21284,208,21076,86,38,429,226,2005,14478,582,55,2992,10,149,26
3208,kołobrzeski,48,59018,36575,36564,289,36275,120,60,870,391,3681,24267,1012,117,5435,24,257,41
3209,koszaliński,50,45126,25574,25556,329,25227,113,40,817,169,2039,17529,1365,100,2821,20,180,34
3210,myśliborski,48,51527,29256,29248,285,28963,106,59,843,269,3207,19161,1036,108,3912,18,212,32
3211,policki,30,41884,25014,24997,216,24781,103,30,370,464,2742,15359,409,92,4930,22,233,27
3212,pyrzycki,27,30831,17100,17097,185,16912,84,22,932,171,1540,11182,937,43,1869,15,104,13
3213,sławieński,45,43332,25694,25684,289,25395,110,46,736,202,2031,17225,2160,87,2610,30,129,29
3214,stargardzki,87,107249,62989,62951,569,62382,329,158,1622,868,6611,41430,1715,174,8879,42,453,101
3215,szczecinecki,46,59095,34600,34591,326,34265,145,61,855,379,3881,22347,1174,107,4909,41,310,56
3216,świdwiński,35,38265,22581,22574,200,22374,106,48,824,195,1828,16041,803,67,2285,14,131,32
3217,wałecki,33,41924,25363,25353,245,25108,86,66,583,276,2260,17575,714,81,3247,19,173,28
3261,Koszalin,47,84525,57465,57425,338,57087,252,172,855,716,6621,36074,1530,247,9974,46,539,61
3262,Szczecin,191,319706,202828,202630,1493,201137,1061,441,2262,4530,29069,109614,2992,1321,47203,223,2111,310
3263,Świnoujście,24,32999,21157,21153,138,21015,63,48,262,404,2623,13548,217,88,3553,10,177,22
3299,Statki morskie,55,1680,1583,1579,65,1514,6,4,15,61,113,892,29,12,342,3,28,9
