TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Duda Andrzej Sebastian,Komorowski Bronisław Maria
804,nowosolski,lubuskie,54,68868,59375,26425,32950,15,306,28,27,1,-,-,-,26,32970,26,1,32969,460,32509,14184,18325
805,słubicki,lubuskie,35,36712,31426,14003,17423,13,277,7,7,-,-,-,-,7,17429,7,-,17429,207,17222,6342,10880
806,strzelecko-drezdenecki,lubuskie,38,39925,34182,15986,18196,5,252,9,9,-,-,-,-,9,18204,9,-,18204,223,17981,7264,10717
807,sulęciński,lubuskie,36,29227,25851,12001,13850,18,339,4,4,-,-,-,-,4,13853,4,-,13853,216,13637,6003,7634
808,świebodziński,lubuskie,37,44267,38490,16464,22025,3,386,16,14,1,-,-,-,13,22033,13,1,22032,303,21729,8697,13032
809,zielonogórski,lubuskie,52,59593,51635,22579,29056,15,253,19,18,-,-,-,-,18,29074,18,6,29068,528,28540,10367,18173
810,żagański,lubuskie,55,64753,55088,25241,29848,13,371,12,10,1,-,-,-,9,29853,9,-,29853,525,29328,12570,16758
811,żarski,lubuskie,67,77868,67869,32465,35404,11,339,17,15,-,-,-,-,15,35415,15,1,35414,518,34896,14453,20443
812,wschowski,lubuskie,32,30918,26203,11122,15080,10,280,6,5,-,-,-,-,5,15085,5,1,15084,201,14883,6800,8083
861,Gorzów Wielkopolski,lubuskie,68,96895,84859,34179,50680,28,552,37,30,1,-,-,-,28,50704,28,2,50702,748,49954,20363,29591
862,Zielona Góra,lubuskie,76,106694,92262,30105,62158,27,786,78,72,3,-,-,-,69,62221,69,5,62216,992,61224,21643,39581
1001,bełchatowski,łódzkie,72,91134,78839,24481,54358,28,455,30,28,2,-,-,-,26,54384,26,-,54384,910,53474,38155,15319
1002,kutnowski,łódzkie,76,82057,71153,28696,42456,28,329,10,8,1,-,-,-,7,42454,7,2,42452,579,41873,24689,17184
1003,łaski,łódzkie,41,41566,35313,12831,22482,13,254,6,6,-,-,-,-,6,22488,6,-,22488,349,22139,13116,9023
1004,łęczycki,łódzkie,49,43174,37170,15609,21561,13,145,5,5,-,-,-,-,5,21564,5,5,21559,287,21272,12880,8392
1005,łowicki,łódzkie,71,65642,56206,20170,36036,11,296,13,12,-,-,1,-,11,36046,11,-,36046,578,35468,22102,13366
1006,łódzki wschodni,łódzkie,74,55798,48307,13908,34396,21,375,29,29,-,-,-,-,29,34425,29,1,34424,515,33909,18762,15147
1007,opoczyński,łódzkie,73,62599,53953,16806,37147,20,385,5,5,-,-,-,-,5,37149,5,-,37149,545,36604,27047,9557
1008,pabianicki,łódzkie,92,96441,83440,26775,56666,26,398,25,24,-,-,-,-,24,56681,24,3,56678,911,55767,26616,29151
1009,pajęczański,łódzkie,38,42653,36737,13797,22940,7,227,4,2,-,-,-,-,2,22941,2,2,22939,351,22588,15732,6856
1010,piotrkowski,łódzkie,75,73178,62184,20347,41837,21,455,3,3,-,-,-,-,3,41840,3,-,41840,598,41242,30607,10635
1011,poddębicki,łódzkie,51,34673,29554,11619,17935,7,342,10,9,-,-,-,-,9,17943,9,-,17943,265,17678,10553,7125
1012,radomszczański,łódzkie,89,94310,81440,31237,50203,46,576,15,14,-,-,-,-,14,50214,14,-,50214,689,49525,31156,18369
1013,rawski,łódzkie,29,39866,34259,13084,21175,9,159,4,4,-,1,-,-,3,21178,3,2,21176,278,20898,13704,7194
1014,sieradzki,łódzkie,94,97225,84866,32858,52008,14,433,27,24,4,-,-,-,20,52027,20,4,52023,785,51238,30533,20705
1015,skierniewicki,łódzkie,38,30703,26285,8868,17417,6,130,4,4,-,-,-,-,4,17421,4,1,17420,225,17195,12532,4663
1016,tomaszowski,łódzkie,79,95210,82561,28205,54356,35,472,16,15,1,-,-,-,14,54365,14,3,54362,811,53551,31127,22424
1017,wieluński,łódzkie,79,62658,53874,20214,33661,18,412,4,4,-,-,-,-,4,33662,4,1,33661,467,33194,19094,14100
1018,wieruszowski,łódzkie,38,33993,29404,11790,17614,9,186,3,3,-,-,-,-,3,17616,3,-,17616,276,17340,9839,7501
1019,zduńskowolski,łódzkie,42,54058,46627,16718,29908,9,193,21,20,1,-,-,-,19,29925,19,-,29925,458,29467,16178,13289
1020,zgierski,łódzkie,127,133389,114283,37402,76880,42,701,52,45,3,-,-,-,42,76922,42,9,76913,1225,75688,37046,38642
1021,brzeziński,łódzkie,39,25076,22010,7725,14285,19,95,-,-,-,-,-,-,-,14283,-,-,14283,236,14047,8474,5573
1061,Łódź,łódzkie,420,562835,498410,162901,335514,130,3512,427,385,46,1,-,1,315,335779,315,66,335713,5422,330291,128818,201473
1062,Piotrków Trybunalski,łódzkie,41,60371,53210,18009,35201,13,308,17,14,-,-,-,-,14,35206,14,1,35205,600,34605,18256,16349
1063,Skierniewice,łódzkie,26,38644,33126,10107,23019,10,191,16,15,-,-,-,-,15,23030,15,1,23029,398,22631,11309,11322
1201,bocheński,małopolskie,76,81953,70566,20703,49863,31,477,19,18,-,-,-,-,18,49873,18,-,49873,538,49335,35580,13755
1202,brzeski,małopolskie,73,73168,63163,22228,40934,22,422,12,11,-,-,-,-,11,40943,11,2,40941,476,40465,28840,11625
1203,chrzanowski,małopolskie,89,102150,88683,30868,57814,25,373,31,27,1,-,-,-,26,57833,26,4,57829,894,56935,29460,27475
1204,dąbrowski,małopolskie,54,47752,41497,17737,23760,21,169,17,17,-,-,-,-,17,23765,17,-,23765,255,23510,18427,5083
1205,gorlicki,małopolskie,97,87043,75307,28109,47198,33,711,7,5,-,-,-,-,5,47198,5,1,47197,514,46683,31883,14800
1206,krakowski,małopolskie,192,210108,180512,54827,125687,67,1202,69,66,-,-,-,-,63,125743,63,5,125738,1771,123967,76041,47926
1207,limanowski,małopolskie,102,97479,83927,25405,58522,34,718,20,19,2,-,1,-,16,58536,16,1,58535,563,57972,46490,11482
1208,miechowski,małopolskie,65,40883,35805,14847,20958,14,215,3,3,-,-,-,-,3,20958,3,2,20956,241,20715,14375,6340
1209,myślenicki,małopolskie,81,96368,82439,24045,58576,34,536,51,51,-,-,-,-,51,58625,51,2,58623,802,57821,41830,15991
1210,nowosądecki,małopolskie,168,161890,139466,39249,100217,69,2616,30,29,-,-,-,-,29,100235,29,1,100234,995,99239,78602,20637
