TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Duda Andrzej Sebastian,Komorowski Bronisław Maria
1812,niżański,podkarpackie,65,53975,47262,19617,27645,21,215,6,4,-,-,-,-,4,27646,4,-,27646,405,27241,21527,5714
1813,przemyski,podkarpackie,96,59245,51800,21360,30440,23,302,12,9,-,-,-,-,9,30443,9,-,30443,337,30106,21338,8768
1814,przeworski,podkarpackie,72,63544,54404,19819,34584,73,225,10,9,2,-,-,-,7,34581,7,1,34580,373,34207,25712,8495
1815,ropczycko-sędziszowski,podkarpackie,69,57842,50281,16048,34233,28,194,3,3,-,-,-,-,3,34235,3,1,34234,392,33842,27664,6178
1816,rzeszowski,podkarpackie,129,130328,112782,33556,79226,41,544,13,12,-,-,-,-,12,79224,12,-,79224,917,78307,61203,17104
1817,sanocki,podkarpackie,73,76933,67035,28153,38884,26,432,13,12,-,-,-,-,12,38893,12,4,38889,473,38416,24421,13995
1818,stalowowolski,podkarpackie,83,85738,75350,29886,45462,14,495,30,25,-,-,-,-,25,45485,25,1,45484,624,44860,30850,14010
1819,strzyżowski,podkarpackie,64,49674,43142,15792,27350,12,209,6,6,-,-,1,-,5,27353,5,-,27353,353,27000,21043,5957
1820,tarnobrzeski,podkarpackie,48,43565,38228,15855,22373,21,130,4,3,-,-,-,-,3,22374,3,1,22373,225,22148,15805,6343
1821,leski,podkarpackie,31,23439,20287,8106,12181,3,730,3,2,-,-,-,-,2,12182,2,-,12182,136,12046,7843,4203
1861,Krosno,podkarpackie,28,38029,33403,11918,21483,17,232,19,16,-,-,-,-,16,21499,16,1,21498,263,21235,12230,9005
1862,Przemyśl,podkarpackie,39,50948,44604,17618,26986,27,310,46,42,-,-,-,-,42,27028,42,-,27028,373,26655,14627,12028
1863,Rzeszów,podkarpackie,93,143217,123173,34904,88269,19,1617,74,68,-,-,-,-,68,88326,68,2,88324,1320,87004,49203,37801
1864,Tarnobrzeg,podkarpackie,34,38466,34291,13474,20815,18,238,10,10,2,-,1,-,8,20822,8,-,20822,340,20482,10794,9688
2001,augustowski,podlaskie,45,47413,40853,17732,23121,18,534,11,8,-,-,-,-,8,23127,8,-,23127,278,22849,13250,9599
2002,białostocki,podlaskie,123,115604,101186,37218,63965,42,684,37,34,-,-,-,-,34,63999,34,8,63991,1199,62792,38851,23941
2003,bielski,podlaskie,50,47216,41365,16910,24455,49,254,6,6,-,-,-,-,6,24457,6,-,24457,248,24209,13326,10883
2004,grajewski,podlaskie,43,38797,33759,15740,18019,11,193,7,7,-,-,-,-,7,18025,7,1,18024,240,17784,11764,6020
2005,hajnowski,podlaskie,47,38825,33548,16226,17320,6,380,11,11,-,-,-,-,11,17332,11,-,17332,315,17017,5063,11954
2006,kolneński,podlaskie,42,31365,26994,11914,15080,11,118,5,5,-,-,-,-,5,15085,5,-,15085,146,14939,11203,3736
2007,łomżyński,podlaskie,53,41235,35488,14402,21086,16,190,9,6,1,-,-,-,5,21089,5,-,21089,229,20860,16198,4662
2008,moniecki,podlaskie,32,34583,29698,14590,15108,17,133,6,6,-,-,-,-,6,15113,6,-,15113,238,14875,10321,4554
2009,sejneński,podlaskie,23,17176,14653,6654,7999,20,307,3,-,-,-,-,-,-,7999,-,-,7999,100,7899,3427,4472
2010,siemiatycki,podlaskie,48,38469,33621,15067,18554,18,316,13,13,-,-,-,-,13,18566,13,-,18566,235,18331,10408,7923
2011,sokólski,podlaskie,66,57482,49836,22862,26974,34,376,4,4,2,-,-,-,2,26974,2,1,26973,341,26632,16651,9981
2012,suwalski,podlaskie,33,29015,25131,11173,13958,10,277,4,4,-,-,-,-,4,13962,4,-,13962,177,13785,8395,5390
2013,wysokomazowiecki,podlaskie,60,47126,41268,14574,26694,28,227,7,7,-,-,-,-,7,26699,7,-,26699,283,26416,21247,5169
2014,zambrowski,podlaskie,45,36147,31820,12780,19040,15,143,3,3,-,-,-,-,3,19043,3,-,19043,238,18805,13485,5320
2061,Białystok,podlaskie,182,225348,196367,64321,132043,44,1478,102,98,2,-,-,-,96,132120,96,6,132114,2251,129863,66932,62931
2062,Łomża,podlaskie,32,48160,42539,16761,25777,14,254,18,17,-,-,-,-,17,25792,17,-,25792,333,25459,15751,9708
2063,Suwałki,podlaskie,37,53538,47536,19598,27938,22,368,15,15,1,-,-,-,14,27952,14,2,27950,372,27578,14409,13169
2201,bytowski,pomorskie,70,60916,52753,21763,30990,13,386,19,18,1,-,-,-,17,31006,17,-,31006,416,30590,13571,17019
2202,chojnicki,pomorskie,68,73834,64270,23861,40409,23,503,29,26,-,-,-,-,26,40432,26,-,40432,465,39967,18221,21746
2203,człuchowski,pomorskie,56,46005,40074,18700,21374,2,303,18,18,-,-,-,-,18,21392,18,-,21392,296,21096,7623,13473
2204,gdański,pomorskie,58,79565,68052,23005,45046,14,638,54,45,2,-,-,-,43,45087,43,1,45086,724,44362,16741,27621
2205,kartuski,pomorskie,75,92935,78784,22629,56156,22,918,22,22,1,-,-,-,21,56171,21,6,56165,703,55462,27707,27755
2206,kościerski,pomorskie,48,54469,46476,15839,30637,9,521,18,17,-,-,-,-,17,30651,17,-,30651,364,30287,14806,15481
2207,kwidzyński,pomorskie,65,64162,55537,25115,30422,14,277,12,11,-,-,-,-,11,30432,11,1,30431,440,29991,13057,16934
2208,lęborski,pomorskie,47,50814,43653,16630,27022,10,691,7,7,-,-,-,-,7,27029,7,-,27029,429,26600,10468,16132
2209,malborski,pomorskie,40,50187,43839,19357,24482,24,195,20,19,-,-,-,-,19,24499,19,-,24499,367,24132,9147,14985
2210,nowodworski,pomorskie,30,29489,25051,10926,14125,3,995,5,4,1,-,-,-,3,14128,3,1,14127,216,13911,5259,8652
2211,pucki,pomorskie,55,65324,55049,16660,38389,14,2931,13,10,1,1,-,-,9,38394,8,2,38392,564,37828,14767,23061
2212,słupski,pomorskie,89,76253,65793,30007,35788,16,1363,14,13,-,-,-,-,13,35796,13,-,35796,578,35218,13473,21745
2213,starogardzki,pomorskie,95,97086,83873,32661,51205,21,599,8,8,-,-,-,-,8,51205,8,2,51203,637,50566,24853,25713
2214,tczewski,pomorskie,77,87810,76288,29994,46292,26,347,24,24,3,-,-,-,21,46308,21,5,46303,603,45700,19682,26018
2215,wejherowski,pomorskie,118,153584,131952,42389,89581,38,951,66,59,1,-,-,-,58,89606,58,5,89601,1364,88237,37920,50317
2216,sztumski,pomorskie,41,33833,29772,14952,14819,8,130,2,2,-,-,-,-,2,14819,2,-,14819,222,14597,5907,8690
2261,Gdańsk,pomorskie,226,358765,307713,82358,225387,67,5458,265,243,21,5,1,6,218,225565,218,22,225543,3693,221850,82228,139622
2262,Gdynia,pomorskie,121,191527,165714,44039,121668,54,2257,246,226,16,8,1,1,199,121853,199,12,121841,2185,119656,41031,78625
2263,Słupsk,pomorskie,47,73319,64317,24816,39502,22,469,30,28,1,-,-,-,27,39528,27,2,39526,789,38737,14531,24206
2264,Sopot,pomorskie,21,31280,26194,5422,20771,32,1368,40,37,-,-,-,-,37,20795,37,5,20790,353,20437,6904,13533
2299,statki,pomorskie,2,99,140,42,98,-,15,-,-,-,-,-,-,-,98,-,-,98,6,92,47,45
2401,będziński,śląskie,106,122227,105693,39114,66579,20,565,36,34,-,-,-,-,34,66610,34,3,66607,1163,65444,26827,38617
2402,bielski,śląskie,95,127421,110102,32247,77856,37,854,69,69,2,-,-,-,67,77915,67,8,77907,1065,76842,40234,36608
2403,cieszyński,śląskie,128,142357,122026,40098,81927,53,1848,66,59,1,-,-,-,58,81979,58,6,81973,1186,80787,35790,44997
2404,częstochowski,śląskie,120,111071,95713,36819,58894,31,594,17,16,-,-,-,-,16,58906,16,-,58906,951,57955,32883,25072
2405,gliwicki,śląskie,76,91246,78209,31411,46898,6,331,22,22,-,4,-,-,18,46914,18,-,46914,737,46177,22571,23606
2406,kłobucki,śląskie,71,69870,59954,23812,36142,17,362,12,12,-,-,-,-,12,36148,12,1,36147,575,35572,19563,16009
2407,lubliniecki,śląskie,60,62904,54987,22781,32205,19,403,14,7,-,-,-,-,7,32212,7,-,32212,457,31755,16578,15177
2408,mikołowski,śląskie,70,75267,65044,20871,44173,26,265,38,37,-,-,-,-,37,44203,37,2,44201,681,43520,22633,20887
2409,myszkowski,śląskie,55,58581,50135,20255,29880,22,402,12,11,-,-,-,-,11,29890,11,-,29890,403,29487,15996,13491
2410,pszczyński,śląskie,76,85187,72949,20965,51984,25,379,52,48,-,1,-,-,47,52027,47,12,52015,702,51313,31561,19752
2411,raciborski,śląskie,71,86974,74885,35298,39587,12,327,51,44,-,-,-,-,44,39628,44,-,39628,618,39010,17269,21741
2412,rybnicki,śląskie,48,60265,52162,18338,33824,12,142,33,31,-,-,-,-,31,33852,31,-,33852,407,33445,19756,13689
2413,tarnogórski,śląskie,93,111234,96092,36057,60034,23,491,59,56,1,-,-,-,55,60086,55,-,60086,1052,59034,28657,30377
2414,bieruńsko-lędziński,śląskie,41,46006,39107,11880,27227,17,120,8,7,-,-,-,-,7,27230,7,2,27228,406,26822,17329,9493
2415,wodzisławski,śląskie,99,124253,107738,38749,69089,34,352,58,53,4,-,-,1,48,69129,48,9,69120,946,68174,38875,29299
2416,zawierciański,śląskie,103,99573,85922,33230,52692,35,668,10,8,-,-,-,-,8,52696,8,-,52696,793,51903,27705,24198
2417,żywiecki,śląskie,111,122013,104711,33027,71684,74,1046,20,18,-,-,-,-,18,71694,18,2,71692,908,70784,44762,26022
2461,Bielsko-Biała,śląskie,80,136018,117851,35003,82852,37,894,94,90,-,-,-,-,90,82923,90,8,82915,1126,81789,37564,44225
2462,Bytom,śląskie,80,128547,113178,50462,62713,15,413,54,48,3,-,1,-,44,62743,44,1,62742,1130,61612,27793,33819
2463,Chorzów,śląskie,64,85232,74744,30915,43828,23,336,182,157,9,-,-,-,148,43972,148,6,43966,864,43102,16608,26494
2464,Częstochowa,śląskie,135,185216,161082,55318,105760,35,1567,113,103,3,1,-,-,100,105849,100,10,105839,1703,104136,48207,55929
2465,Dąbrowa Górnicza,śląskie,67,99036,85747,31482,54264,13,377,29,28,2,-,1,-,25,54280,25,-,54280,943,53337,22629,30708
2466,Gliwice,śląskie,120,144284,125939,43832,82107,48,973,102,90,5,1,-,-,84,82177,84,3,82174,1465,80709,32389,48320
2467,Jastrzębie-Zdrój,śląskie,45,71673,63650,23408,40239,13,255,34,32,-,-,-,-,32,40270,32,2,40268,590,39678,24524,15154
2468,Jaworzno,śląskie,46,74457,65523,24893,40630,19,269,27,23,1,-,-,-,22,40647,22,-,40647,664,39983,19576,20407
2469,Katowice,śląskie,169,239995,209378,68950,140426,46,1870,224,212,9,-,1,-,201,140600,201,9,140591,2531,138060,56275,81785
2470,Mysłowice,śląskie,41,57961,50530,17517,33013,10,250,42,39,-,-,-,-,39,33050,39,-,33050,503,32547,16458,16089
2471,Piekary Śląskie,śląskie,32,44907,39045,14810,24235,12,138,10,9,-,1,-,-,8,24243,8,1,24242,388,23854,12161,11693
2472,Ruda Śląska,śląskie,80,109869,95600,37058,58541,16,357,49,47,3,-,-,-,44,58579,44,3,58576,1042,57534,29569,27965
2473,Rybnik,śląskie,70,108887,95368,34835,60533,18,426,49,44,-,-,-,-,44,60574,44,-,60574,988,59586,31075,28511
2474,Siemianowice Śląskie,śląskie,40,54170,46679,17423,29276,2,180,17,17,-,-,-,-,17,29291,17,3,29288,547,28741,11236,17505
2475,Sosnowiec,śląskie,117,170838,147371,54466,92896,14,690,53,49,-,-,1,-,48,92938,48,3,92935,1597,91338,37990,53348
2476,Świętochłowice,śląskie,26,39886,34830,15504,19326,4,115,15,14,-,-,-,-,14,19340,14,-,19340,336,19004,8399,10605
2477,Tychy,śląskie,66,100903,87768,28531,59235,17,522,98,93,5,-,1,2,85,59316,85,-,59316,957,58359,28505,29854
2478,Zabrze,śląskie,91,137609,121810,57796,64014,27,546,42,38,3,-,-,-,35,64047,35,-,64047,1293,62754,27473,35281
2479,Żory,śląskie,33,47000,41056,14266,26790,7,223,14,14,-,-,-,-,14,26804,14,-,26804,396,26408,14286,12122
2601,buski,świętokrzyskie,63,62764,53185,22229,30956,62,1225,5,5,-,-,-,-,5,30959,5,-,30959,362,30597,19132,11465
2602,jędrzejowski,świętokrzyskie,75,71268,61759,25254,36505,14,444,3,3,-,-,-,-,3,36502,3,1,36501,472,36029,24571,11458
2603,kazimierski,świętokrzyskie,31,28989,25027,12752,12275,12,117,7,7,-,-,-,-,7,12282,7,-,12282,119,12163,7840,4323
2604,kielecki,świętokrzyskie,183,166023,144229,53349,90880,43,773,13,11,-,-,-,-,11,90886,11,1,90885,1264,89621,63388,26233
2605,konecki,świętokrzyskie,74,68656,59256,23315,35941,22,419,10,8,-,-,-,-,8,35949,8,2,35947,449,35498,23338,12160
2606,opatowski,świętokrzyskie,53,44777,38767,16895,21872,37,248,4,4,-,-,-,-,4,21872,4,-,21872,383,21489,14094,7395
2607,ostrowiecki,świętokrzyskie,78,92271,80991,37020,43971,31,393,12,8,-,-,-,-,8,43969,8,-,43969,648,43321,23417,19904
2608,pińczowski,świętokrzyskie,35,34344,29590,13514,16076,8,198,3,3,-,-,-,-,3,16078,3,-,16078,193,15885,9767,6118
2609,sandomierski,świętokrzyskie,62,65853,56928,24576,32352,35,450,8,7,-,-,-,-,7,32357,7,-,32357,488,31869,19428,12441
2610,skarżyski,świętokrzyskie,57,64105,56189,22904,33285,16,314,29,28,-,-,-,-,28,33310,28,1,33309,526,32783,18239,14544
2611,starachowicki,świętokrzyskie,66,75723,66323,27144,39179,48,343,7,5,1,-,-,-,4,39180,4,1,39179,572,38607,23208,15399
2612,staszowski,świętokrzyskie,69,59990,51539,21379,30160,10,271,8,8,3,-,-,-,5,30165,5,-,30165,373,29792,21216,8576
2613,włoszczowski,świętokrzyskie,41,38072,32786,12752,20034,10,266,-,-,-,-,-,-,-,20033,-,-,20033,260,19773,13789,5984
2661,Kielce,świętokrzyskie,93,159105,138930,43275,95655,43,1022,59,49,7,-,-,-,42,95686,42,11,95675,1524,94151,46775,47376
2801,bartoszycki,warmińsko-mazurskie,43,49077,44083,22004,22079,15,232,6,6,-,-,-,-,6,22084,6,2,22082,302,21780,8884,12896
2802,braniewski,warmińsko-mazurskie,36,34365,30011,14598,15413,9,174,8,8,-,-,-,-,8,15420,8,-,15420,184,15236,6171,9065
2803,działdowski,warmińsko-mazurskie,55,52342,45409,20443,24966,15,226,16,16,-,-,-,-,16,24982,16,-,24982,291,24691,12267,12424
2804,elbląski,warmińsko-mazurskie,43,45855,39555,19805,19750,11,135,4,4,-,-,-,-,4,19754,4,2,19752,247,19505,8102,11403
2805,ełcki,warmińsko-mazurskie,56,68341,60033,29733,30300,19,527,15,12,-,-,-,-,12,30310,12,2,30308,512,29796,15133,14663
2806,giżycki,warmińsko-mazurskie,50,46559,40053,17889,22163,18,947,25,24,-,-,-,-,24,22186,24,-,22186,333,21853,8306,13547
2807,iławski,warmińsko-mazurskie,69,73209,64236,28493,35743,18,448,25,22,1,-,-,-,21,35761,21,1,35760,468,35292,16517,18775
2808,kętrzyński,warmińsko-mazurskie,60,52679,45797,22796,23001,8,309,9,8,-,-,-,-,8,23009,8,-,23009,331,22678,9684,12994
2809,lidzbarski,warmińsko-mazurskie,34,33815,29354,14069,15285,16,183,3,3,-,-,-,-,3,15287,3,-,15287,247,15040,6537,8503
2810,mrągowski,warmińsko-mazurskie,41,40534,35524,16304,19220,19,645,3,3,-,-,-,-,3,19222,3,-,19222,258,18964,8268,10696
2811,nidzicki,warmińsko-mazurskie,31,26672,22940,10541,12399,11,200,4,4,-,-,-,-,4,12403,4,-,12403,186,12217,6244,5973
2812,nowomiejski,warmińsko-mazurskie,32,34554,29630,12624,17006,14,180,-,-,-,-,-,-,-,17002,-,-,17002,203,16799,8764,8035
2813,olecki,warmińsko-mazurskie,38,27103,23392,11464,11928,10,218,12,9,-,-,-,-,9,11935,9,-,11935,134,11801,5654,6147
2814,olsztyński,warmińsko-mazurskie,130,97513,84609,38325,46283,14,841,56,48,1,-,-,-,47,46325,47,-,46325,751,45574,18809,26765
2815,ostródzki,warmińsko-mazurskie,85,83949,71995,33158,38837,18,611,9,8,-,-,-,-,8,38842,8,1,38841,552,38289,15239,23050
2816,piski,warmińsko-mazurskie,44,45664,39640,18944,20696,12,688,2,2,-,-,-,-,2,20697,2,2,20695,289,20406,10794,9612
2817,szczycieński,warmińsko-mazurskie,73,56822,48770,21871,26899,16,649,5,5,-,-,-,-,5,26903,5,-,26903,484,26419,13051,13368
2818,gołdapski,warmińsko-mazurskie,23,21967,19088,9839,9249,6,235,5,4,-,-,-,-,4,9253,4,-,9253,137,9116,3622,5494
2819,węgorzewski,warmińsko-mazurskie,25,19209,16930,8635,8295,1,295,2,2,-,-,-,-,2,8297,2,-,8297,93,8204,3076,5128
2861,Elbląg,warmińsko-mazurskie,62,95165,83426,34514,49901,25,401,34,32,-,-,-,-,32,49955,32,3,49952,770,49182,20075,29107
2862,Olsztyn,warmińsko-mazurskie,101,134741,117178,38636,78542,44,1373,104,96,2,1,-,-,93,78632,93,4,78628,1402,77226,31117,46109
3001,chodzieski,wielkopolskie,35,37529,32262,11801,20461,14,143,8,7,-,-,-,-,7,20467,7,-,20467,327,20140,6724,13416
3002,czarnkowsko-trzcianecki,wielkopolskie,69,68856,58632,22970,35662,17,296,21,21,-,-,-,-,21,35681,21,-,35681,479,35202,14226,20976
3003,gnieźnieński,wielkopolskie,91,113993,97714,36571,61143,22,464,66,61,1,-,1,-,59,61194,59,2,61192,943,60249,26368,33881
3004,gostyński,wielkopolskie,56,60611,52327,22411,29917,7,160,11,7,-,-,-,-,7,29923,7,-,29923,371,29552,14333,15219
3005,grodziski,wielkopolskie,30,39510,33929,13571,20358,5,128,2,2,-,-,-,-,2,20360,2,-,20360,241,20119,8406,11713
3006,jarociński,wielkopolskie,41,56562,49284,19680,29604,13,206,21,21,-,-,-,-,21,29625,21,1,29624,433,29191,13894,15297
3007,kaliski,wielkopolskie,64,66093,56764,23350,33414,17,215,3,3,-,-,-,-,3,33413,3,-,33413,468,32945,19153,13792
3008,kępiński,wielkopolskie,43,44708,38848,14226,24622,15,181,14,14,1,1,-,-,12,24633,12,-,24633,237,24396,10982,13414
3009,kolski,wielkopolskie,62,71292,61572,25328,36244,17,269,19,19,1,-,-,-,18,36262,18,-,36262,557,35705,21870,13835
3010,koniński,wielkopolskie,95,102236,87177,35123,52054,44,601,10,6,-,-,-,-,6,52058,6,-,52058,693,51365,32897,18468
3011,kościański,wielkopolskie,56,62884,54383,20837,33546,14,285,12,11,-,-,-,-,11,33555,11,2,33553,480,33073,13625,19448
3012,krotoszyński,wielkopolskie,49,60970,52632,20754,31878,13,247,12,10,-,-,-,-,10,31881,10,-,31881,403,31478,14816,16662
3013,leszczyński,wielkopolskie,37,42284,36246,14972,21274,9,282,3,1,-,-,-,-,1,21271,1,2,21269,284,20985,9135,11850
3014,międzychodzki,wielkopolskie,22,29151,25125,10755,14370,2,187,5,4,-,-,-,-,4,14372,4,-,14372,242,14130,4911,9219
3015,nowotomyski,wielkopolskie,49,57868,49238,17339,31899,8,224,9,9,1,-,-,-,8,31906,8,1,31905,450,31455,11524,19931
3016,obornicki,wielkopolskie,43,45604,39013,14399,24614,5,147,6,6,-,-,-,-,6,24618,6,1,24617,378,24239,8709,15530
3017,ostrowski,wielkopolskie,109,128676,111279,40436,70843,30,425,53,51,-,-,-,-,51,70888,51,-,70888,993,69895,33216,36679
3018,ostrzeszowski,wielkopolskie,56,43667,37870,15152,22718,11,219,8,8,-,-,-,-,8,22727,8,1,22726,315,22411,10825,11586
3019,pilski,wielkopolskie,90,107098,92695,34530,58165,33,656,52,51,1,-,-,-,50,58209,50,1,58208,920,57288,24243,33045
3020,pleszewski,wielkopolskie,55,49844,43011,17224,25787,22,197,9,9,-,-,-,-,9,25795,9,1,25794,359,25435,11917,13518
3021,poznański,wielkopolskie,218,272207,232077,63826,168249,47,2239,183,174,3,-,-,-,171,168411,171,8,168403,2511,165892,54771,111121
3022,rawicki,wielkopolskie,45,48026,41727,17877,23850,5,248,11,8,1,-,-,-,7,23856,7,-,23856,327,23529,9409,14120
3023,słupecki,wielkopolskie,42,48046,41392,16887,24505,8,257,5,5,-,-,-,1,4,24507,4,1,24506,444,24062,12366,11696
3024,szamotulski,wielkopolskie,54,71456,61635,23295,38339,22,334,28,27,-,-,-,-,27,38366,27,1,38365,507,37858,13968,23890
3025,średzki,wielkopolskie,39,44833,38160,13863,24296,10,169,10,10,-,-,-,-,10,24304,10,1,24303,429,23874,10414,13460
3026,śremski,wielkopolskie,40,47438,41162,15832,25330,5,176,30,29,-,-,-,-,29,25357,29,2,25355,372,24983,10638,14345
3027,turecki,wielkopolskie,62,67247,57339,21660,35679,15,289,15,11,-,-,-,-,11,35688,11,1,35687,577,35110,21988,13122
3028,wągrowiecki,wielkopolskie,45,54191,46424,18761,27663,19,242,12,8,-,-,-,-,8,27671,8,2,27669,454,27215,10580,16635
3029,wolsztyński,wielkopolskie,40,44410,38123,14006,24117,12,366,14,11,-,-,-,-,11,24126,11,-,24126,316,23810,8857,14953
3030,wrzesiński,wielkopolskie,50,59971,51293,19001,32289,4,238,6,6,-,-,-,-,6,32293,6,-,32293,472,31821,14521,17300
3031,złotowski,wielkopolskie,48,54852,47563,21222,26341,13,244,20,15,-,-,-,-,15,26356,15,1,26355,409,25946,10244,15702
3061,Kalisz,wielkopolskie,55,81158,70801,23921,46880,18,393,39,36,3,-,-,-,33,46910,33,-,46910,678,46232,18361,27871
3062,Konin,wielkopolskie,47,61755,53414,17510,35904,6,280,14,12,2,-,-,-,10,35915,10,2,35913,666,35247,17114,18133
3063,Leszno,wielkopolskie,34,50091,43576,15901,27675,12,291,28,26,-,-,-,-,26,27697,26,-,27697,428,27269,9319,17950
3064,Poznań,wielkopolskie,257,421979,358333,91768,266536,96,6666,339,305,15,6,-,-,287,266734,287,55,266679,4192,262487,82860,179627
3201,białogardzki,zachodniopomorskie,36,38291,33474,16141,17333,13,134,5,5,-,-,-,-,4,17333,4,8,17325,221,17104,6961,10143
3202,choszczeński,zachodniopomorskie,40,40084,34250,16800,17450,6,196,11,9,1,-,-,-,8,17455,8,-,17455,207,17248,6797,10451
3203,drawski,zachodniopomorskie,55,47203,40497,18996,21501,20,663,172,80,7,-,-,-,73,21571,73,-,21571,268,21303,8289,13014
3204,goleniowski,zachodniopomorskie,56,65393,56356,25092,31264,16,312,11,11,2,-,-,-,9,31268,9,1,31267,528,30739,12161,18578
3205,gryficki,zachodniopomorskie,46,50782,43335,18928,24407,13,1886,26,23,-,-,-,-,23,24430,23,5,24425,494,23931,9793,14138
3206,gryfiński,zachodniopomorskie,59,65936,56618,25767,30851,17,324,33,32,5,-,-,-,27,30874,27,1,30873,519,30354,12885,17469
3207,kamieński,zachodniopomorskie,45,40650,33970,14262,19708,6,1826,6,6,-,-,-,-,6,19711,6,-,19711,242,19469,7209,12260
3208,kołobrzeski,zachodniopomorskie,53,67980,57728,20843,36885,11,4745,66,55,5,-,-,-,50,36933,50,1,36932,522,36410,14136,22274
3209,koszaliński,zachodniopomorskie,62,53333,46144,19526,26618,6,1658,12,11,-,-,-,-,11,26625,11,2,26623,415,26208,10447,15761
3210,myśliborski,zachodniopomorskie,51,53023,45818,21312,24506,22,254,9,9,-,-,-,-,9,24512,9,6,24506,309,24197,10001,14196
3211,policki,zachodniopomorskie,43,56533,48945,17451,31494,11,413,50,45,2,-,-,-,43,31535,43,1,31534,558,30976,11499,19477
3212,pyrzycki,zachodniopomorskie,27,31954,27636,12815,14821,23,120,1,1,-,-,-,-,1,14818,1,1,14817,205,14612,7201,7411
3213,sławieński,zachodniopomorskie,46,46766,39778,17065,22713,11,1640,21,19,-,-,-,-,19,22730,19,-,22730,305,22425,9683,12742
3214,stargardzki,zachodniopomorskie,72,94788,82051,34850,47201,27,577,15,15,-,-,-,-,15,47208,15,7,47201,702,46499,19471,27028
3215,szczecinecki,zachodniopomorskie,51,61819,54083,24812,29271,19,468,25,20,-,-,-,-,20,29284,20,1,29283,447,28836,13007,15829
3216,świdwiński,zachodniopomorskie,37,38676,33721,16184,17537,15,341,18,17,-,-,-,-,17,17554,17,-,17554,230,17324,7110,10214
3217,wałecki,zachodniopomorskie,37,42373,36633,16272,20360,15,311,16,15,1,-,-,-,14,20372,14,-,20372,358,20014,7408,12606
3218,łobeski,zachodniopomorskie,29,29701,25635,12873,12762,10,153,7,7,-,-,-,-,7,12769,7,3,12766,231,12535,4937,7598
3261,Koszalin,zachodniopomorskie,53,85047,74094,24819,49275,25,880,66,57,1,-,1,-,55,49328,55,1,49327,774,48553,17802,30751
3262,Szczecin,zachodniopomorskie,200,307156,267159,91430,175704,62,2642,200,170,8,-,1,-,161,175821,161,15,175806,2954,172852,67821,105031
3263,Świnoujście,zachodniopomorskie,27,34069,28862,10966,17894,11,1315,14,11,-,-,-,-,11,17908,11,-,17908,290,17618,6468,11150
