Nr okr.,TERYT,Powiat,L. obw.,Liczba wyborców,Otrzymane karty,Niewykorzystane karty,Wydane karty,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,Pakiety wyborcze,Koperty zwrotne,Koperty  bez oświadczenia,Niepodpisane oświadczenie,Koperty zwrotne bez koperty na kartę do głosowania,Niezaklejona koperta na kartę do głosowania,Koperty na kartę do głosowania wrzucone do urny,Karty wyjęte z urny,Karty wyjęte z kopert na karty do głosowania,Karty nieważne,Karty ważne,Głosy nieważne,w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona",Głosy ważne,1 - Komitet Wyborczy Prawo i Sprawiedliwość,2 - Komitet Wyborczy Platforma Obywatelska RP,3 - Komitet Wyborczy Partia Razem,4 - Komitet Wyborczy KORWiN,5 - Komitet Wyborczy Polskie Stronnictwo Ludowe,6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni,7 - Komitet Wyborczy Wyborców „Kukiz'15”,8 - Komitet Wyborczy Nowoczesna Ryszarda Petru,9 - Komitet Wyborczy Wyborców JOW Bezpartyjni,10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi,11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej,12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska,13 - Komitet Wyborczy Samoobrona,14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”,15 - Komitet Wyborczy Kongres Nowej Prawicy,16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka,16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
14,1211,nowotarski,154,147583,113512,45184,68328,37,897,25,25,-,-,-,-,25,68340,25,-,68340,2520,1838,607,-,65820,39127,9692,1429,2670,2454,1423,5533,2983,,317,,,,,192,,
13,1212,olkuski,87,92349,70625,21896,48729,27,223,12,12,1,-,-,-,11,48733,11,3,48730,1228,924,274,-,47502,20097,9395,1465,2519,1494,4415,5375,2538,,,,,,98,106,,
12,1213,oświęcimski,105,123988,94923,23863,71058,54,232,77,77,-,-,-,-,77,71116,77,1,71115,2208,1733,352,-,68907,29968,16312,2587,2801,2092,4949,5987,4211,,,,,,,,,
15,1214,proszowicki,41,35367,27015,11574,15441,20,53,-,-,-,-,-,-,-,15438,-,-,15438,525,408,106,-,14913,6333,1482,273,460,3110,520,2340,333,,,,,,25,37,,
12,1215,suski,60,66320,50729,16585,34144,18,286,8,7,1,-,-,-,6,34142,6,1,34141,1265,1010,234,-,32876,18850,4999,794,1509,1470,1182,2603,1469,,,,,,,,,
15,1216,tarnowski,158,157495,120578,40523,80055,57,410,57,57,1,-,-,-,56,80092,56,5,80087,2904,2143,639,-,77183,45263,9179,1613,3162,6185,1872,7145,2306,,,,,,273,185,,
14,1217,tatrzański,54,53826,40821,14054,26767,26,1337,34,33,1,-,-,-,32,26788,32,-,26788,684,487,174,-,26104,14079,5424,606,1064,621,669,1884,1358,,332,,,,,67,,
12,1218,wadowicki,105,125977,96242,29496,66746,57,339,24,23,1,-,-,-,22,66755,22,-,66755,2141,1727,363,-,64614,32024,13022,2025,2570,2411,2760,6083,3719,,,,,,,,,
15,1219,wielicki,82,93114,70788,19592,51194,16,408,19,17,-,2,-,-,15,51201,15,-,51201,1234,892,317,-,49967,22650,10040,1490,2954,2460,1633,4860,3592,,,,,,188,100,,
13,1261,Kraków,494,594326,459209,89581,369481,217,9036,468,456,12,14,-,1,442,369789,442,69,369720,4492,2671,1614,-,365228,128275,100760,15669,24802,5195,24458,23220,41137,,,,,,900,812,,
14,1262,Nowy Sącz,53,65857,50906,12006,38900,26,222,19,17,1,-,-,-,16,38901,16,-,38901,698,496,191,-,38203,19176,7921,931,2487,764,1522,2898,2239,,161,,,,,104,,
15,1263,Tarnów,74,90581,70786,21331,49455,50,266,46,46,1,-,-,-,45,49488,45,5,49483,760,563,178,-,48723,20503,11308,1392,2318,1961,3421,4578,3024,,,,,,125,93,,
17,1401,białobrzeski,24,26932,20508,7852,12656,6,87,4,4,-,-,-,-,4,12660,4,-,12660,498,348,124,-,12162,6630,1270,237,390,1902,397,796,432,,86,,,,,22,,
16,1402,ciechanowski,58,72931,55850,23109,32740,24,154,7,6,-,-,-,-,6,32741,6,3,32738,1027,714,282,-,31711,13758,5052,857,1282,3110,3043,3202,1407,,,,,,,,,
18,1403,garwoliński,102,85748,65394,20303,45091,22,247,7,7,1,-,-,-,6,45089,6,-,45089,1352,927,386,-,43737,26133,4944,1062,1533,3171,1372,3544,1624,166,,63,,,125,,,
16,1404,gostyniński,49,37857,29203,11976,17227,12,71,7,7,-,-,-,-,7,17232,7,-,17232,654,435,216,-,16578,7490,2879,535,548,1850,1136,1449,691,,,,,,,,,
20,1405,grodziski,55,69756,53905,12318,41564,28,452,32,31,-,-,-,-,31,41534,31,3,41531,740,478,248,-,40791,14801,10441,1783,1881,1698,2512,3084,4284,,307,,,,,,,
17,1406,grójecki,79,79533,60273,21773,38499,33,266,10,10,-,-,-,-,10,38507,10,-,38507,1161,836,294,-,37346,15693,5071,999,1522,7048,1924,3137,1686,,210,,,,,56,,
17,1407,kozienicki,57,51186,39364,14524,24839,35,167,10,10,-,-,-,-,10,24849,10,-,24849,725,538,158,-,24124,12426,4283,700,963,1327,1200,2022,974,,174,,,,,55,,
20,1408,legionowski,61,85984,66576,13543,53007,28,467,61,60,1,-,-,-,59,53077,59,2,53075,821,555,240,-,52254,18402,16686,1872,2316,1343,3330,3549,4342,,414,,,,,,,
17,1409,lipski,41,29422,22700,11355,11345,8,70,1,1,-,-,-,-,1,11345,1,-,11345,425,282,136,-,10920,4960,1521,274,397,1566,821,1016,284,,60,,,,,21,,
18,1410,łosicki,33,26130,19976,7652,12323,14,122,1,1,-,-,-,-,1,12321,1,-,12321,336,232,91,-,11985,6498,1035,277,574,1614,592,934,377,22,,20,,,42,,,
18,1411,makowski,50,37122,28531,11533,16998,10,123,1,1,-,-,-,-,1,16995,1,-,16995,643,419,205,-,16352,8569,1794,391,607,2413,913,1131,431,47,,15,,,41,,,
18,1412,miński,105,117513,89413,24669,64744,28,487,34,34,3,-,-,-,31,64759,31,3,64756,1548,1057,446,-,63208,27503,13319,2211,3099,3706,3184,5656,4097,153,,145,,,135,,,
16,1413,mławski,60,58628,44721,19831,24890,17,124,6,6,-,-,-,-,6,24890,6,2,24888,1004,721,239,-,23884,10320,3493,702,1258,2996,1863,2311,941,,,,,,,,,
20,1414,nowodworski,52,62808,48468,17248,31220,29,272,8,8,-,-,-,-,8,31221,8,-,31221,851,606,231,-,30370,12153,7388,1157,1402,1627,2141,2393,1860,,249,,,,,,,
18,1415,ostrołęcki,90,69925,53600,23765,29835,12,115,7,7,-,-,-,-,7,29838,7,-,29838,1133,748,380,-,28705,15631,3117,625,1185,3615,771,2793,785,77,,36,,,70,,,
18,1416,ostrowski,72,59767,45721,17373,28348,49,146,26,26,1,1,-,-,24,28367,24,-,28367,698,468,205,-,27669,16047,2603,598,958,3693,953,1773,878,85,,20,,,61,,,
20,1417,otwocki,81,96343,74191,15711,58476,35,473,18,18,-,-,-,-,18,58480,18,6,58474,1171,743,362,-,57303,24999,11964,2108,2609,3051,2860,4550,4767,,395,,,,,,,
20,1418,piaseczyński,112,130834,101012,19715,81297,34,1111,102,100,6,-,1,-,93,81372,93,7,81365,1366,897,415,-,79999,26306,21690,3055,3682,3601,4848,5392,10931,,494,,,,,,,
16,1419,płocki,109,88283,67315,27666,39649,22,144,12,11,-,-,-,-,11,39644,11,2,39642,1673,1245,409,-,37969,17303,4187,1165,1371,6683,2548,3096,1616,,,,,,,,,
16,1420,płoński,74,71139,54536,25455,29081,19,231,11,11,-,-,-,-,11,29085,11,-,29085,1145,799,318,-,27940,12520,4125,924,1126,3317,2051,2383,1494,,,,,,,,,
20,1421,pruszkowski,85,124123,95569,16226,79345,43,761,58,57,2,-,-,-,55,79353,55,3,79350,1144,773,324,-,78206,27817,21125,3267,3924,2169,4735,5353,9269,,547,,,,,,,
16,1422,przasnyski,61,42235,32490,14275,18215,10,101,-,-,-,-,-,-,-,18212,-,-,18212,671,481,170,-,17541,9073,2542,397,631,1820,967,1515,596,,,,,,,,,
17,1423,przysuski,37,35354,26867,9328,17539,38,137,3,3,-,-,-,-,3,17538,3,-,17538,666,460,198,-,16872,8402,1152,257,640,4460,464,928,364,,178,,,,,27,,
18,1424,pułtuski,56,41280,31545,10857,20689,37,186,4,2,-,-,-,-,2,20688,2,-,20688,726,507,195,-,19962,9249,1835,456,602,4928,819,1395,592,34,,21,,,31,,,
17,1425,radomski,114,119355,91002,33679,57321,31,221,8,8,-,-,-,-,8,57317,8,3,57314,1933,1424,474,-,55381,30143,7431,1353,2049,4422,2180,4799,2356,,472,,,,,176,,
18,1426,siedlecki,71,64930,49356,17032,32324,21,126,5,4,-,-,-,-,4,32327,4,-,32327,943,630,276,-,31384,17514,2476,652,1625,3995,918,2807,1118,89,,40,,,150,,,
16,1427,sierpecki,50,42598,32521,14469,18052,31,72,1,1,-,-,-,-,1,18052,1,1,18051,751,527,216,-,17300,8237,2106,582,682,2177,1528,1234,754,,,,,,,,,
16,1428,sochaczewski,65,67714,51318,17987,33330,32,181,16,16,-,-,-,-,16,33343,16,1,33342,795,569,217,-,32547,14718,4686,1209,1348,4145,1909,2542,1990,,,,,,,,,
18,1429,sokołowski,50,45682,35026,11028,23998,22,154,4,3,-,-,-,-,3,23996,3,2,23994,631,400,218,-,23363,12326,2251,511,820,3490,931,1846,980,69,,60,,,79,,,
17,1430,szydłowiecki,29,32350,24699,9966,14733,20,52,1,-,-,-,-,-,-,14731,-,-,14731,655,488,151,-,14076,7670,2263,388,509,979,560,1151,434,,83,,,,,39,,
20,1432,warszawski zachodni,69,86366,66451,13611,52840,20,586,62,60,3,-,-,-,57,52879,57,13,52866,894,600,277,-,51972,19211,14136,1997,2541,1532,2749,3507,5896,,403,,,,,,,
18,1433,węgrowski,56,54373,41418,14884,26534,22,203,3,2,-,-,-,-,2,26532,2,-,26532,859,546,289,-,25673,13726,3592,699,922,2449,1146,2012,870,63,,60,,,134,,,
20,1434,wołomiński,153,176461,135843,34146,101697,42,789,43,41,1,-,-,-,40,101705,40,11,101694,1973,1370,544,-,99721,46666,19797,3656,5231,3645,4599,7590,7749,,788,,,,,,,
18,1435,wyszkowski,66,58149,44279,15872,28407,24,202,11,11,-,-,-,-,11,28416,11,-,28416,870,534,271,-,27546,14165,3484,698,1101,3008,1009,2510,1422,52,,45,,,52,,,
17,1436,zwoleński,37,29817,22846,9636,13210,9,98,2,2,-,-,-,-,2,13209,2,-,13209,532,374,149,-,12677,6536,1452,301,553,1898,499,1024,304,,68,,,,,42,,
16,1437,żuromiński,29,32305,24702,11662,13040,13,56,1,1,-,-,-,-,1,13040,1,1,13039,543,401,133,-,12496,5315,1639,285,350,2072,1693,843,299,,,,,,,,,
16,1438,żyrardowski,61,59714,45559,15117,30442,13,210,11,11,-,-,-,-,11,30447,11,1,30446,832,599,228,-,29614,12976,6409,1124,1355,1029,2219,2354,2148,,,,,,,,,
18,1461,Ostrołęka,29,41727,32198,10450,21748,13,103,15,15,-,-,-,-,15,21759,15,-,21759,406,252,145,-,21353,9893,4229,617,1134,881,1343,2076,1045,55,,20,,,60,,,
16,1462,Płock,70,97815,75157,21573,53585,25,200,25,23,1,1,-,-,21,53583,21,1,53582,960,657,303,-,52622,19721,12235,2282,2263,2795,5483,4328,3515,,,,,,,,,
17,1463,Radom,114,170089,130461,37132,93327,29,458,66,60,2,-,-,-,58,93344,58,11,93333,1549,1016,474,-,91784,38298,23889,2694,3747,2331,5213,8276,6399,,719,,,,,218,,
18,1464,Siedlce,43,60755,46605,11861,34744,18,200,31,31,2,-,-,-,29,34771,29,-,34771,468,303,160,-,34303,14479,6179,1167,2172,1433,2376,2901,3167,133,,37,,,259,,,
19,1465,Warszawa,887,1361838,1061693,130994,930621,501,19485,1317,1271,78,2,-,-,1193,931020,1193,396,930624,8979,5106,3363,-,921645,268999,269413,51188,45933,7085,85710,58364,130681,,,2574,,,,,,1698
19,1499,Zagranica,250,199451,194164,48114,146043,-,4562,35672,30544,1697,274,28,57,28875,174986,29036,181,174805,1235,647,464,-,173570,58343,32259,9475,21767,797,7956,26573,15948,,,186,,,,,,266
21,1601,brzeski,80,72717,55778,22564,33211,23,152,17,16,2,-,-,-,14,33224,14,-,33224,909,661,226,-,32315,10645,7074,898,1068,1240,1861,7166,1964,166,,,,,116,,117,
21,1602,głubczycki,53,38598,29857,14117,15740,21,92,6,6,-,-,-,-,6,15743,6,-,15743,552,375,155,-,15191,6581,3694,369,501,561,774,1629,841,73,,,,,40,,128,
21,1603,kędzierzyńsko-kozielski,64,76429,58695,25754,32941,21,125,20,19,2,2,-,1,17,32956,17,-,32956,1113,777,292,-,31843,7709,9454,920,1371,818,2420,3605,2106,129,,,,,76,,3235,
21,1604,kluczborski,62,54231,41807,19476,22331,17,94,6,5,-,-,-,-,5,22336,5,-,22336,661,473,173,-,21675,6794,5742,626,962,1476,1405,1986,1452,88,,,,,40,,1104,
21,1605,krapkowicki,58,52323,39986,20614,19372,8,88,4,3,-,-,-,-,3,19368,3,-,19368,711,492,193,-,18657,3554,5140,604,844,343,829,2068,1181,221,,,,,23,,3850,
21,1606,namysłowski,56,34589,26577,11385,15192,6,72,8,8,-,-,-,-,8,15198,8,-,15198,462,314,134,-,14736,5207,4088,438,631,1017,981,1348,817,66,,,,,25,,118,
21,1607,nyski,126,114889,88701,39229,49471,40,294,31,31,3,1,-,-,27,49488,27,11,49477,1512,1081,397,-,47965,16639,11158,1278,1525,2862,3455,7564,2925,226,,,,,77,,256,
21,1608,oleski,58,53730,40951,19339,21612,11,199,10,10,-,-,-,-,10,21621,10,-,21621,889,508,279,-,20732,5867,4542,642,851,1106,1686,2017,1531,91,,,,,44,,2355,
21,1609,opolski,125,108005,82398,39999,42399,19,177,22,22,1,-,-,-,21,42408,21,-,42408,1548,1060,373,-,40860,8242,10615,1189,1550,1064,1991,4885,3010,239,,,,,91,,7984,
21,1610,prudnicki,72,45538,35133,16209,18924,12,85,10,10,-,-,-,-,10,18933,10,-,18933,548,389,154,-,18385,5580,4187,448,639,622,884,2872,923,70,,,,,40,,2120,
21,1611,strzelecki,73,63042,48379,24503,23876,7,85,16,16,-,-,-,-,16,23887,16,-,23887,900,583,260,-,22987,5100,6125,618,987,413,1246,2310,1302,99,,,,,45,,4742,
21,1661,Opole,73,94840,74281,20557,53722,31,494,50,49,7,-,2,-,40,53732,40,40,53692,790,452,296,-,52902,12008,16912,2172,2417,942,5309,5083,6100,304,,,,,134,,1521,
22,1801,bieszczadzki,30,17985,13934,6630,7304,2,147,5,5,1,-,-,-,4,7307,4,1,7306,237,160,55,19,7069,3111,1290,211,246,564,583,632,374,33,25,,,,,,,
22,1802,brzozowski,59,52840,40746,15760,24986,63,161,10,10,-,-,-,-,10,24994,10,-,24994,863,590,193,49,24131,15703,1845,460,990,1613,669,1791,537,435,88,,,,,,,
23,1803,dębicki,109,107356,82711,26955,55756,30,224,28,28,-,-,-,-,28,55775,28,2,55773,1578,1093,455,-,54195,31711,7714,1164,2454,2647,1708,4688,1613,,301,,,,102,93,,
22,1804,jarosławski,114,97731,75112,27398,47714,63,221,5,5,-,-,-,-,5,47704,5,-,47704,1660,999,530,76,46044,24924,5702,1035,2022,4153,1526,4593,1621,219,249,,,,,,,
22,1805,jasielski,120,92902,72008,25961,46047,60,211,23,23,2,-,-,-,21,46065,21,-,46065,1336,870,364,72,44729,26833,5303,930,1988,2211,1613,3856,1434,379,182,,,,,,,
23,1806,kolbuszowski,64,49697,38478,14462,24016,23,84,12,12,-,-,-,-,12,24028,12,-,24028,683,458,198,-,23345,15543,1702,410,1318,1200,571,1896,487,,141,,,,54,23,,
22,1807,krośnieński,103,90507,69540,25952,43588,31,604,32,32,1,-,-,-,31,43607,31,-,43607,1322,900,345,57,42285,23508,5085,936,1753,2907,1636,4327,1520,398,215,,,,,,,
23,1808,leżajski,53,55511,42904,14818,28086,39,120,3,3,-,-,-,-,3,28085,3,-,28085,648,441,206,-,27437,19169,2682,437,1104,615,839,1852,566,,98,,,,41,34,,
22,1809,lubaczowski,59,46375,35593,15513,20080,17,191,1,1,-,-,1,-,-,20074,-,27,20047,699,435,209,26,19348,9952,2011,469,1031,2397,797,1767,735,102,87,,,,,,,
23,1810,łańcucki,57,63486,48658,13612,35046,31,195,7,4,-,-,-,-,4,35040,4,3,35037,801,553,239,-,34236,22166,2963,737,1395,1229,1237,2986,1182,,171,,,,107,63,,
23,1811,mielecki,117,108148,83206,27556,55650,50,212,29,28,1,-,-,1,26,55672,26,-,55672,1305,975,315,-,54367,28817,7512,1229,2343,3569,2249,5576,2430,,470,,,,109,63,,
23,1812,niżański,65,54392,41995,17276,24719,26,115,5,5,-,-,-,-,5,24722,5,-,24722,715,469,220,-,24007,14602,1988,482,1284,1388,818,2571,560,,116,,,,161,37,,
22,1813,przemyski,96,59744,45999,19773,26226,20,148,10,8,-,-,-,-,8,26230,8,1,26229,1065,718,260,64,25164,13391,3966,501,984,1755,1023,2518,723,176,127,,,,,,,
22,1814,przeworski,72,63768,48681,17604,31076,62,152,5,5,-,-,-,-,5,31071,5,-,31071,1112,757,281,46,29959,16244,2680,606,1229,4559,914,2386,1076,121,144,,,,,,,
23,1815,ropczycko-sędziszowski,69,57948,44597,13164,31433,26,110,-,-,-,-,-,-,-,31429,-,-,31429,928,639,248,-,30501,20398,1974,388,1002,2313,650,2823,626,,195,,,,93,39,,
23,1816,rzeszowski,130,131196,99913,26872,73041,55,313,7,7,-,-,-,-,7,73029,7,-,73029,1822,1296,504,-,71207,43925,6410,1514,3517,2828,2727,6693,2821,,427,,,,212,133,,
22,1817,sanocki,73,76971,59603,24950,34652,34,212,10,8,1,-,-,-,7,34650,7,1,34649,1020,697,260,57,33629,16728,5355,1016,1308,2072,2310,2925,1625,130,160,,,,,,,
23,1818,stalowowolski,83,86079,66379,24765,41614,27,230,19,19,1,-,-,-,18,41623,18,-,41623,1122,806,277,-,40501,21441,5268,888,2200,3452,1641,4013,1303,,165,,,,90,40,,
23,1819,strzyżowski,64,49780,38191,13690,24501,20,129,7,7,2,-,-,-,5,24504,5,-,24504,592,395,193,-,23912,14510,1938,651,1483,1343,808,2307,654,,134,,,,53,31,,
23,1820,tarnobrzeski,48,43635,33823,13562,20261,34,62,7,7,1,-,-,-,6,20264,6,-,20264,684,466,204,-,19580,10069,4057,413,810,941,742,1928,467,,80,,,,35,38,,
22,1821,leski,30,22942,17663,7103,10560,6,489,10,9,-,-,-,-,9,10566,9,1,10565,416,278,116,15,10149,5348,1434,292,377,465,520,912,697,57,47,,,,,,,
22,1861,Krosno,28,37923,29438,9258,20180,20,146,12,12,2,-,-,-,10,20186,10,3,20183,245,140,89,13,19938,8889,4067,492,881,699,1491,1837,1358,112,112,,,,,,,
22,1862,Przemyśl,39,50914,39612,14739,24872,27,211,44,42,1,-,-,-,41,24909,41,2,24907,487,295,137,43,24420,10269,6233,647,1175,410,1811,2375,1281,127,92,,,,,,,
23,1863,Rzeszów,93,142586,110139,23856,86283,30,1078,44,41,2,2,-,-,37,86291,37,1,86290,1145,645,455,-,85145,35011,17027,2751,5366,1554,6972,7927,7547,,555,,,,283,152,,
23,1864,Tarnobrzeg,34,38763,29978,10812,19166,18,114,5,5,-,-,-,-,5,19166,5,2,19164,340,229,106,-,18824,7280,5281,559,887,588,1447,1811,850,,66,,,,23,32,,
24,2001,augustowski,45,47279,36333,16446,19887,14,246,5,5,-,-,-,-,5,19892,5,-,19892,609,362,163,75,19283,8754,3504,461,626,2059,881,1975,826,,91,,,87,,19,,
24,2002,białostocki,123,116194,89344,32180,57164,35,292,50,47,4,-,-,-,43,57196,43,1,57195,1460,854,410,156,55735,26373,8934,1419,2667,3480,3216,5833,3367,,315,,,59,,72,,
24,2003,bielski,50,47429,36494,15303,21191,37,142,14,14,1,-,1,-,13,21200,13,-,21200,536,312,172,43,20664,9431,3183,418,818,1770,2922,1382,599,,99,,,22,,20,,
24,2004,grajewski,43,38653,29950,14637,15313,4,80,2,2,-,-,-,-,2,15313,2,2,15311,561,368,146,35,14750,7020,2023,296,438,2024,453,1997,386,,77,,,21,,15,,
24,2005,hajnowski,47,38564,29881,14290,15591,7,116,4,4,-,-,-,-,4,15590,4,2,15588,532,342,135,50,15056,2674,3330,515,822,2752,3018,1232,608,,59,,,17,,29,,
24,2006,kolneński,42,31412,24178,11663,12515,7,64,3,3,-,-,-,-,3,12517,3,-,12517,471,314,120,36,12046,6691,1088,238,379,1704,379,1201,279,,52,,,18,,17,,
24,2007,łomżyński,53,41486,31677,13975,17702,22,70,1,1,-,-,-,-,1,17700,1,-,17700,615,409,156,37,17085,10846,1454,313,612,1392,398,1432,482,,87,,,44,,25,,
24,2008,moniecki,32,34391,26213,12855,13358,15,67,2,2,1,-,-,-,1,13355,1,-,13355,436,294,104,34,12919,6540,1400,249,507,2139,412,1198,387,,55,,,20,,12,,
24,2009,sejneński,23,16972,13249,6892,6357,16,69,-,-,-,-,-,-,-,6357,-,-,6357,186,104,61,15,6171,2192,1128,155,294,1150,382,548,275,,22,,,17,,8,,
24,2010,siemiatycki,48,38550,29835,13878,15957,16,153,5,5,-,-,-,-,5,15962,5,1,15961,481,329,127,25,15480,6991,2394,290,592,1640,1753,961,728,,76,,,44,,11,,
24,2011,sokólski,66,57276,44231,20334,23896,31,126,11,11,1,-,-,-,10,23904,10,-,23904,752,483,176,69,23152,11420,2688,477,1234,3566,1097,1645,847,,98,,,41,,39,,
24,2012,suwalski,33,29076,22280,10331,11949,8,100,3,3,-,-,-,-,3,11950,3,-,11950,420,273,107,33,11530,5069,1510,283,514,1818,555,1320,336,,49,,,55,,21,,
24,2013,wysokomazowiecki,60,47208,36456,12919,23538,23,124,3,2,-,-,-,-,2,23533,2,-,23533,571,357,164,40,22962,15753,1893,349,654,1695,614,1274,549,,83,,,68,,30,,
24,2014,zambrowski,45,35967,28195,12080,16115,16,71,4,4,-,-,-,-,4,16116,4,1,16115,419,273,115,28,15696,9098,1779,290,555,1264,533,1296,778,,65,,,14,,24,,
24,2061,Białystok,182,224885,173871,46466,127403,72,934,68,65,6,-,-,-,59,127378,59,71,127307,1953,1024,557,332,125354,47352,27033,4074,7331,4755,11974,11666,10400,,581,,,59,,129,,
24,2062,Łomża,32,48473,37706,14512,23194,19,146,10,9,-,-,-,-,9,23198,9,-,23198,423,214,166,43,22775,11530,4110,637,942,616,1499,1949,1266,,107,,,16,,103,,
24,2063,Suwałki,37,53895,42372,17117,25255,27,171,9,7,-,-,-,-,7,25258,7,-,25258,548,347,130,64,24710,9841,5443,794,1312,1292,1929,2600,1248,,172,,,24,,55,,
26,2201,bytowski,70,60915,46595,20368,26223,13,148,21,20,-,-,-,-,20,26244,20,-,26244,1050,692,292,-,25194,8883,8005,899,1043,1174,1598,1944,1448,,200,,,,,,,
26,2202,chojnicki,68,73856,56688,21527,35160,20,220,25,25,-,-,-,-,25,35184,25,-,35184,1059,750,295,-,34125,12714,10839,1191,1289,1260,1959,2711,1883,,279,,,,,,,
26,2203,człuchowski,56,45941,35777,17592,18185,4,162,7,7,-,-,-,1,7,18190,6,-,18190,828,612,200,-,17362,4412,5228,823,676,1605,1858,1559,1050,,151,,,,,,,
25,2204,gdański,58,80221,61039,19726,41313,13,337,34,32,-,-,-,-,32,41336,32,4,41332,1057,730,290,-,40275,10894,14055,1760,2016,1638,2189,3566,3856,,301,,,,,,,
26,2205,kartuski,75,93161,70563,20431,50132,22,424,18,18,-,-,-,-,18,50137,18,-,50137,1661,1203,438,-,48476,19393,14276,1442,1800,3103,1396,3299,3499,,268,,,,,,,
26,2206,kościerski,48,54249,41059,14392,26667,7,182,11,11,1,-,-,-,10,26675,10,-,26675,937,638,298,-,25738,10141,8136,791,799,1068,1223,2165,1271,,144,,,,,,,
25,2207,kwidzyński,65,64062,49313,22509,26800,15,137,7,6,-,-,-,-,6,26806,6,-,26806,1055,740,293,-,25751,8105,7986,964,1222,878,2715,2102,1584,,195,,,,,,,
26,2208,lęborski,47,50456,38516,15279,23236,10,187,8,8,1,-,-,-,7,23234,7,-,23234,718,482,202,-,22516,6725,7553,988,1199,721,1841,1706,1583,,200,,,,,,,
25,2209,malborski,40,50231,38608,17167,21440,17,107,13,11,-,-,-,-,11,21444,11,-,21444,674,524,131,-,20770,5948,6491,802,1073,1079,1963,1706,1446,,262,,,,,,,
25,2210,nowodworski,30,28606,21838,10224,11613,6,221,2,2,-,-,-,-,2,11616,2,-,11616,359,277,77,-,11257,2925,3412,401,487,1119,822,843,636,,612,,,,,,,
26,2211,pucki,55,63137,48140,15862,32277,15,388,16,15,2,-,-,-,13,32284,13,-,32284,1055,746,247,-,31229,9386,11073,1251,1353,930,1706,2933,2272,,325,,,,,,,
26,2212,słupski,89,75627,57630,27593,30037,17,496,16,16,2,-,-,-,14,30046,14,-,30046,1322,983,328,-,28724,7838,9317,1238,1231,1358,2834,2539,2062,,307,,,,,,,
25,2213,starogardzki,95,97042,74607,30248,44359,22,254,13,13,-,-,-,-,13,44362,13,1,44361,1633,1140,455,-,42728,16298,10939,1481,1657,3098,3055,3487,2371,,342,,,,,,,
25,2214,tczewski,77,87979,67296,27260,40037,21,174,13,13,1,-,-,-,12,40040,12,3,40037,1304,972,275,-,38733,13090,12359,1559,1899,1584,2312,3240,2431,,259,,,,,,,
26,2215,wejherowski,118,154290,117078,34903,82175,33,401,47,46,2,-,-,-,44,82197,44,1,82196,2482,1729,707,-,79714,25888,25390,3327,3923,2170,4685,7319,6410,,602,,,,,,,
25,2216,sztumski,41,33869,26350,14310,12040,6,51,2,1,-,-,-,-,1,12038,1,-,12038,543,361,133,-,11495,3224,3143,424,544,1555,911,958,623,,113,,,,,,,
25,2261,Gdańsk,226,358090,274238,55125,219071,81,3647,202,188,6,-,2,1,180,219181,180,8,219173,2646,1574,998,-,216527,60812,82117,8819,11576,1822,13003,13634,23692,,1052,,,,,,,
26,2262,Gdynia,121,191818,150441,30989,119432,75,1509,147,137,12,-,1,1,123,119527,123,88,119439,1662,994,609,-,117777,30179,44042,5366,5787,1177,7957,8801,13813,,655,,,,,,,
26,2263,Słupsk,47,73001,56369,19796,36573,20,222,21,20,-,1,-,-,19,36574,19,3,36571,748,490,250,-,35823,10136,12272,1599,1575,497,3914,2433,3051,,346,,,,,,,
25,2264,Sopot,22,30566,23284,3627,19656,27,777,40,37,-,1,-,-,36,19687,36,1,19686,220,131,76,-,19466,5136,7777,780,877,128,1189,978,2527,,74,,,,,,,
26,2298,Statki (Gdynia),2,34,34,-,34,-,1,-,-,-,-,-,-,-,34,-,-,34,4,2,2,-,30,3,16,3,2,1,2,1,2,,0,,,,,,,
25,2299,Statki (Gdańsk),3,132,155,23,132,-,18,-,-,-,-,-,-,-,132,-,-,132,3,2,1,-,129,34,26,2,15,3,9,22,18,,0,,,,,,,
32,2401,będziński,106,121711,92979,30284,62694,21,249,27,26,2,-,-,-,24,62706,24,2,62704,1460,1075,355,-,61244,16521,15177,2801,2990,1103,9627,6346,6679,,,,,,,,,
27,2402,bielski,94,127561,99027,24754,74273,48,461,40,38,-,-,-,3,35,74286,35,6,74280,1661,1196,448,-,72619,28814,17194,2687,3389,3428,4255,6689,6163,,,,,,,,,
