country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES530,Balears,EP,2009,CPE,COALITION FOR THE EUROPE OF THE PEOPLES,COALICION POR LA EUROPA DE LOS PUEBLOS,5853,9819,728501,259694,257574
Spain,ES,3,ES530,Balears,EP,2009,EDP-V,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,7651,728501,259694,257574
Spain,ES,3,ES530,Balears,EP,2009,II,INTERNATIONALIST INITIATIVE - SOLIDARITY BETWEEN PEOPLES,INICIATIVA INTERNACIONALISTA - LA SOLIDARIDAD ENTRE LOS PUEBLOS,1141,1561,728501,259694,257574
Spain,ES,3,ES530,Balears,EP,2009,IU-ICV-EUIA-BA,NA,NA,NA,6756,728501,259694,257574
Spain,ES,3,ES530,Balears,EP,2009,LV-GVE,THE GREENS,LOS VERDES,2457,2657,728501,259694,257574
Spain,ES,3,ES530,Balears,EP,2009,OTHER,NA,NA,NA,4988,728501,259694,257574
Spain,ES,3,ES530,Balears,EP,2009,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,112666,728501,259694,257574
Spain,ES,3,ES530,Balears,EP,2009,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,99574,728501,259694,257574
Spain,ES,3,ES530,Balears,EP,2009,UPYD,"UNION, PROGRESS AND DEMOCRACY",UNION PROGRESO Y DEMOCRACIA,55,7126,728501,259694,257574
Spain,ES,3,ES700,Canarias,EP,2009,CPE,COALITION FOR THE EUROPE OF THE PEOPLES,COALICION POR LA EUROPA DE LOS PUEBLOS,5853,96297,1560406,612081,607834
Spain,ES,3,ES700,Canarias,EP,2009,EDP-V,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,2991,1560406,612081,607834
Spain,ES,3,ES700,Canarias,EP,2009,II,INTERNATIONALIST INITIATIVE - SOLIDARITY BETWEEN PEOPLES,INICIATIVA INTERNACIONALISTA - LA SOLIDARIDAD ENTRE LOS PUEBLOS,1141,1111,1560406,612081,607834
Spain,ES,3,ES700,Canarias,EP,2009,IU-ICV-EUIA-BA,NA,NA,NA,9669,1560406,612081,607834
Spain,ES,3,ES700,Canarias,EP,2009,OTHER,NA,NA,NA,15759,1560406,612081,607834
Spain,ES,3,ES700,Canarias,EP,2009,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,247869,1560406,612081,607834
Spain,ES,3,ES700,Canarias,EP,2009,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,218968,1560406,612081,607834
Spain,ES,3,ES700,Canarias,EP,2009,UPYD,"UNION, PROGRESS AND DEMOCRACY",UNION PROGRESO Y DEMOCRACIA,55,7256,1560406,612081,607834
Spain,ES,3,ES111,A Coruna,EP,2009,CPE,COALITION FOR THE EUROPE OF THE PEOPLES,COALICION POR LA EUROPA DE LOS PUEBLOS,5853,118,1072948,443546,440718
Spain,ES,3,ES111,A Coruna,EP,2009,EDP-V,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,41725,1072948,443546,440718
Spain,ES,3,ES111,A Coruna,EP,2009,II,INTERNATIONALIST INITIATIVE - SOLIDARITY BETWEEN PEOPLES,INICIATIVA INTERNACIONALISTA - LA SOLIDARIDAD ENTRE LOS PUEBLOS,1141,1256,1072948,443546,440718
Spain,ES,3,ES111,A Coruna,EP,2009,IU-ICV-EUIA-BA,NA,NA,NA,6481,1072948,443546,440718
Spain,ES,3,ES111,A Coruna,EP,2009,OTHER,NA,NA,NA,7189,1072948,443546,440718
Spain,ES,3,ES111,A Coruna,EP,2009,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,213954,1072948,443546,440718
Spain,ES,3,ES111,A Coruna,EP,2009,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,157516,1072948,443546,440718
Spain,ES,3,ES111,A Coruna,EP,2009,UPYD,"UNION, PROGRESS AND DEMOCRACY",UNION PROGRESO Y DEMOCRACIA,55,7083,1072948,443546,440718
Spain,ES,3,ES112,Lugo,EP,2009,CPE,COALITION FOR THE EUROPE OF THE PEOPLES,COALICION POR LA EUROPA DE LOS PUEBLOS,5853,43,346435,160549,159356
