country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES112,Lugo,EP,1999,OTHER,NA,NA,NA,2950,342291,224873,222758
Spain,ES,3,ES112,Lugo,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,124886,342291,224873,222758
Spain,ES,3,ES112,Lugo,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,47614,342291,224873,222758
Spain,ES,3,ES112,Lugo,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,465,342291,224873,222758
Spain,ES,3,ES113,Ourense,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,39634,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,58,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,85,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,CN+EP,NA,NA,NA,75,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,164,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,1305,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,OTHER,NA,NA,NA,2789,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,120121,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,49371,345220,218241,216192
Spain,ES,3,ES113,Ourense,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,357,345220,218241,216192
Spain,ES,3,ES114,Pontevedra,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,114956,815155,495767,491033
Spain,ES,3,ES114,Pontevedra,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,173,815155,495767,491033
Spain,ES,3,ES114,Pontevedra,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,194,815155,495767,491033
Spain,ES,3,ES114,Pontevedra,EP,1999,CN+EP,NA,NA,NA,178,815155,495767,491033
Spain,ES,3,ES114,Pontevedra,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,657,815155,495767,491033
Spain,ES,3,ES114,Pontevedra,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,6560,815155,495767,491033
Spain,ES,3,ES114,Pontevedra,EP,1999,OTHER,NA,NA,NA,8239,815155,495767,491033
Spain,ES,3,ES114,Pontevedra,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,238853,815155,495767,491033
Spain,ES,3,ES114,Pontevedra,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,112583,815155,495767,491033
