country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES530,Balears,EP,2004,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,8120,696214,261875,261109
Spain,ES,3,ES530,Balears,EP,2004,EDP,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,7498,696214,261875,261109
Spain,ES,3,ES530,Balears,EP,2004,GALEUSCA,NA,NA,NA,9394,696214,261875,261109
Spain,ES,3,ES530,Balears,EP,2004,IU-ICV-EUIA,NA,NA,NA,6167,696214,261875,261109
Spain,ES,3,ES530,Balears,EP,2004,OTHER,NA,NA,NA,5430,696214,261875,261109
Spain,ES,3,ES530,Balears,EP,2004,PP,NA,NA,NA,121587,696214,261875,261109
Spain,ES,3,ES530,Balears,EP,2004,PSOE,NA,NA,NA,101212,696214,261875,261109
Spain,ES,3,ES700,Canarias,EP,2004,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,90619,1472620,537169,535550
Spain,ES,3,ES700,Canarias,EP,2004,EDP,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,741,1472620,537169,535550
Spain,ES,3,ES700,Canarias,EP,2004,GALEUSCA,NA,NA,NA,637,1472620,537169,535550
Spain,ES,3,ES700,Canarias,EP,2004,IU-ICV-EUIA,NA,NA,NA,9863,1472620,537169,535550
Spain,ES,3,ES700,Canarias,EP,2004,OTHER,NA,NA,NA,10690,1472620,537169,535550
Spain,ES,3,ES700,Canarias,EP,2004,PP,NA,NA,NA,214160,1472620,537169,535550
Spain,ES,3,ES700,Canarias,EP,2004,PSOE,NA,NA,NA,206168,1472620,537169,535550
Spain,ES,3,ES111,A Coruna,EP,2004,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,619,1054019,453371,451565
