,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
7784,23,2000-11-26,house,RO121,Alba,2,PLRSD,,629,RO121,Alba
7785,24,2000-11-26,house,RO121,Alba,2,PNG,Partidul Noua Generație,594,RO121,Alba
7786,25,2000-11-26,house,RO121,Alba,2,PLDR,,539,RO121,Alba
7787,26,2000-11-26,house,RO121,Alba,2,FDGR,Forumul Democrat al Germanilor din România,494,RO121,Alba
7788,27,2000-11-26,house,RO121,Alba,2,PNL,,358,RO121,Alba
7789,28,2000-11-26,house,RO121,Alba,2,PMP,,329,RO121,Alba
7790,29,2000-11-26,house,RO121,Alba,2,UBBR,,298,RO121,Alba
7791,30,2000-11-26,house,RO121,Alba,2,PSDCTP,,287,RO121,Alba
7792,31,2000-11-26,house,RO121,Alba,2,U - ELENA,,277,RO121,Alba
7793,32,2000-11-26,house,RO121,Alba,2,U - RUTENI,,198,RO121,Alba
7794,33,2000-11-26,house,RO121,Alba,2,PRO,,159,RO121,Alba
7795,34,2000-11-26,house,RO121,Alba,2,L C- ITALIENI,,152,RO121,Alba
7796,0,2012-12-09,house,RO222,Buzau,0,eligible_voters,eligible_voters,405573,RO222,Buzău
7797,1,2012-12-09,house,RO222,Buzau,1,issued_ballots,issued_ballots,174008,RO222,Buzău
7798,0,2012-12-09,house,RO222,Buzau,2,USL,Uniunea Social Liberală,113655,RO222,Buzău
7799,1,2012-12-09,house,RO222,Buzau,2,PPDD,PPDD,22242,RO222,Buzău
7800,2,2012-12-09,house,RO222,Buzau,2,ARD,Alianța România Dreaptă,20665,RO222,Buzău
7801,3,2012-12-09,house,RO222,Buzau,2,PRM,Partidul România Mare,3489,RO222,Buzău
7802,4,2012-12-09,house,RO222,Buzau,2,PER,Partidul Ecologist Român,1734,RO222,Buzău
7803,5,2012-12-09,house,RO222,Buzau,2,PPDD,,1575,RO222,Buzău
7804,6,2012-12-09,house,RO222,Buzau,2,PHR,,461,RO222,Buzău
7805,7,2012-12-09,house,RO222,Buzau,2,UDMR,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,319,RO222,Buzău
7806,8,2012-12-09,house,RO222,Buzau,2,FDGR,Forumul Democrat al Germanilor din România,253,RO222,Buzău
7807,9,2012-12-09,house,RO222,Buzau,2,UAR,,203,RO222,Buzău
