,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
7582,38,2020-12-06,house,RO321,Bucuresti,2,UCRR,,71,RO321,Bucureşti
7583,39,2020-12-06,house,RO321,Bucuresti,2,UCR,,42,RO321,Bucureşti
7584,0,1996-11-03,house,RO124,Harghita,0,eligible_voters,eligible_voters,250204,RO124,Harghita
7585,1,1996-11-03,house,RO124,Harghita,1,issued_ballots,issued_ballots,217702,RO124,Harghita
7586,0,1996-11-03,house,RO124,Harghita,2,UDMR,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,171758,RO124,Harghita
7587,1,1996-11-03,house,RO124,Harghita,2,PDSR,Partidul Democrației Sociale din România,8374,RO124,Harghita
7588,2,1996-11-03,house,RO124,Harghita,2,USD,Uniunea Social Democrată,5984,RO124,Harghita
7589,3,1996-11-03,house,RO124,Harghita,2,CDR,Convenția Democrată Română,5562,RO124,Harghita
7590,4,1996-11-03,house,RO124,Harghita,2,PUNR,PUNR,5223,RO124,Harghita
7591,5,1996-11-03,house,RO124,Harghita,2,PPU,,2356,RO124,Harghita
7592,6,1996-11-03,house,RO124,Harghita,2,PRM,Partidul România Mare,1615,RO124,Harghita
7593,7,1996-11-03,house,RO124,Harghita,2,PPR,,1532,RO124,Harghita
7594,8,1996-11-03,house,RO124,Harghita,2,PSM,Partidul Socialist al Muncii,1478,RO124,Harghita
7595,9,1996-11-03,house,RO124,Harghita,2,ANL,,862,RO124,Harghita
7596,10,1996-11-03,house,RO124,Harghita,2,FTSEC,,860,RO124,Harghita
7597,11,1996-11-03,house,RO124,Harghita,2,ROMII,,818,RO124,Harghita
7598,12,1996-11-03,house,RO124,Harghita,2,U-ROMI,,722,RO124,Harghita
7599,13,1996-11-03,house,RO124,Harghita,2,PSMR,,690,RO124,Harghita
7600,14,1996-11-03,house,RO124,Harghita,2,PSM,,648,RO124,Harghita
7601,15,1996-11-03,house,RO124,Harghita,2,ANLE,,633,RO124,Harghita
7602,16,1996-11-03,house,RO124,Harghita,2,PLR,PLR,405,RO124,Harghita
7603,17,1996-11-03,house,RO124,Harghita,2,PLDMRO,,405,RO124,Harghita
