COLLEGIO;COMUNE;ELETTORI_TOTALI;ELETTORI_MASCHI;VOTANTI_TOTALI;VOTANTI_MASCHI;SCHEDE_BIANCHE;LISTA;VOTI_LISTA;ELETTO;COGNOME;NOME;SESSO
VALLE D'AOSTA;CHALLAND-SAINT-VICTOR;499;257;378;198;10;IL POPOLO DELLA LIBERTA';47;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;CHALLAND-SAINT-VICTOR;499;257;378;198;10;VALLEE D'AOSTE;186;N;PERRON;EGO;M
VALLE D'AOSTA;CHALLAND-SAINT-VICTOR;499;257;378;198;10;AUT.LIB. DEMOCRATIE;94;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;CHALLAND-SAINT-VICTOR;499;257;378;198;10;LEGA NORD;20;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;CHAMBAVE;748;378;646;334;24;AZ.SOCIALE MUSSOLINI;3;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;CHAMBAVE;748;378;646;334;24;IL POPOLO DELLA LIBERTA';58;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;CHAMBAVE;748;378;646;334;24;VALLEE D'AOSTE;232;N;PERRON;EGO;M
VALLE D'AOSTA;CHAMBAVE;748;378;646;334;24;AUT.LIB. DEMOCRATIE;295;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;CHAMBAVE;748;378;646;334;24;LEGA NORD;14;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;CHAMOIS;79;42;65;35;5;AZ.SOCIALE MUSSOLINI;0;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;CHAMOIS;79;42;65;35;5;IL POPOLO DELLA LIBERTA';3;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;CHAMOIS;79;42;65;35;5;VALLEE D'AOSTE;22;N;PERRON;EGO;M
VALLE D'AOSTA;CHAMOIS;79;42;65;35;5;AUT.LIB. DEMOCRATIE;33;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;CHAMOIS;79;42;65;35;5;LEGA NORD;2;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;CHAMPDEPRAZ;539;272;439;226;6;AZ.SOCIALE MUSSOLINI;3;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;CHAMPDEPRAZ;539;272;439;226;6;IL POPOLO DELLA LIBERTA';37;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;ALLEIN;211;108;169;86;4;AZ.SOCIALE MUSSOLINI;0;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;ALLEIN;211;108;169;86;4;IL POPOLO DELLA LIBERTA';8;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;ALLEIN;211;108;169;86;4;VALLEE D'AOSTE;112;N;PERRON;EGO;M
VALLE D'AOSTA;ALLEIN;211;108;169;86;4;AUT.LIB. DEMOCRATIE;36;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;ALLEIN;211;108;169;86;4;LEGA NORD;5;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';500;246;391;195;5;AZ.SOCIALE MUSSOLINI;3;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';500;246;391;195;5;IL POPOLO DELLA LIBERTA';68;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';500;246;391;195;5;VALLEE D'AOSTE;156;N;PERRON;EGO;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';500;246;391;195;5;AUT.LIB. DEMOCRATIE;113;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';500;246;391;195;5;LEGA NORD;23;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;AOSTA;28024;13048;21579;10266;454;AZ.SOCIALE MUSSOLINI;319;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;AOSTA;28024;13048;21579;10266;454;IL POPOLO DELLA LIBERTA';4582;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;AOSTA;28024;13048;21579;10266;454;VALLEE D'AOSTE;6470;N;PERRON;EGO;M
VALLE D'AOSTA;AOSTA;28024;13048;21579;10266;454;AUT.LIB. DEMOCRATIE;8396;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;AOSTA;28024;13048;21579;10266;454;LEGA NORD;523;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;ARNAD;1062;505;843;409;17;AZ.SOCIALE MUSSOLINI;11;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;ARNAD;1062;505;843;409;17;IL POPOLO DELLA LIBERTA';68;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;ARNAD;1062;505;843;409;17;VALLEE D'AOSTE;376;N;PERRON;EGO;M
VALLE D'AOSTA;ARNAD;1062;505;843;409;17;AUT.LIB. DEMOCRATIE;315;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;ARNAD;1062;505;843;409;17;LEGA NORD;24;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;ARVIER;665;334;537;268;7;AZ.SOCIALE MUSSOLINI;6;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;ARVIER;665;334;537;268;7;IL POPOLO DELLA LIBERTA';63;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;ARVIER;665;334;537;268;7;VALLEE D'AOSTE;232;N;PERRON;EGO;M
VALLE D'AOSTA;ARVIER;665;334;537;268;7;AUT.LIB. DEMOCRATIE;209;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;ARVIER;665;334;537;268;7;LEGA NORD;9;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;AVISE;245;125;201;106;7;AZ.SOCIALE MUSSOLINI;1;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;AVISE;245;125;201;106;7;IL POPOLO DELLA LIBERTA';15;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;AVISE;245;125;201;106;7;VALLEE D'AOSTE;67;N;PERRON;EGO;M
VALLE D'AOSTA;AVISE;245;125;201;106;7;AUT.LIB. DEMOCRATIE;105;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;AVISE;245;125;201;106;7;LEGA NORD;0;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;AYAS;1055;511;861;421;26;AZ.SOCIALE MUSSOLINI;5;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;AYAS;1055;511;861;421;26;IL POPOLO DELLA LIBERTA';114;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;AYAS;1055;511;861;421;26;VALLEE D'AOSTE;463;N;PERRON;EGO;M
VALLE D'AOSTA;AYAS;1055;511;861;421;26;AUT.LIB. DEMOCRATIE;161;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;AYAS;1055;511;861;421;26;LEGA NORD;57;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;AYMAVILLES;1585;790;1260;633;19;AZ.SOCIALE MUSSOLINI;14;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;AYMAVILLES;1585;790;1260;633;19;IL POPOLO DELLA LIBERTA';181;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;AYMAVILLES;1585;790;1260;633;19;VALLEE D'AOSTE;464;N;PERRON;EGO;M
VALLE D'AOSTA;AYMAVILLES;1585;790;1260;633;19;AUT.LIB. DEMOCRATIE;518;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;AYMAVILLES;1585;790;1260;633;19;LEGA NORD;31;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;BARD;117;58;104;52;5;AZ.SOCIALE MUSSOLINI;2;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;BARD;117;58;104;52;5;IL POPOLO DELLA LIBERTA';13;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;BARD;117;58;104;52;5;VALLEE D'AOSTE;41;N;PERRON;EGO;M
VALLE D'AOSTA;BARD;117;58;104;52;5;AUT.LIB. DEMOCRATIE;33;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;BARD;117;58;104;52;5;LEGA NORD;1;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;BIONAZ;191;102;166;92;8;AZ.SOCIALE MUSSOLINI;1;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;BIONAZ;191;102;166;92;8;IL POPOLO DELLA LIBERTA';15;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;BIONAZ;191;102;166;92;8;VALLEE D'AOSTE;70;N;PERRON;EGO;M
VALLE D'AOSTA;BIONAZ;191;102;166;92;8;AUT.LIB. DEMOCRATIE;53;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;BIONAZ;191;102;166;92;8;LEGA NORD;9;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;BRISSOGNE;764;395;663;342;15;AZ.SOCIALE MUSSOLINI;8;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;BRISSOGNE;764;395;663;342;15;IL POPOLO DELLA LIBERTA';96;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;BRISSOGNE;764;395;663;342;15;VALLEE D'AOSTE;265;N;PERRON;EGO;M
VALLE D'AOSTA;BRISSOGNE;764;395;663;342;15;AUT.LIB. DEMOCRATIE;234;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;BRISSOGNE;764;395;663;342;15;LEGA NORD;16;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;BRUSSON;693;336;567;270;17;AZ.SOCIALE MUSSOLINI;6;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;BRUSSON;693;336;567;270;17;IL POPOLO DELLA LIBERTA';74;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;BRUSSON;693;336;567;270;17;VALLEE D'AOSTE;266;N;PERRON;EGO;M
VALLE D'AOSTA;BRUSSON;693;336;567;270;17;AUT.LIB. DEMOCRATIE;162;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;BRUSSON;693;336;567;270;17;LEGA NORD;19;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;CHALLAND-SAINT-ANSELME;621;308;519;264;30;AZ.SOCIALE MUSSOLINI;7;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;CHALLAND-SAINT-ANSELME;621;308;519;264;30;IL POPOLO DELLA LIBERTA';69;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;CHALLAND-SAINT-ANSELME;621;308;519;264;30;VALLEE D'AOSTE;229;N;PERRON;EGO;M
VALLE D'AOSTA;CHALLAND-SAINT-ANSELME;621;308;519;264;30;AUT.LIB. DEMOCRATIE;134;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;CHALLAND-SAINT-ANSELME;621;308;519;264;30;LEGA NORD;33;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;CHALLAND-SAINT-VICTOR;499;257;378;198;10;AZ.SOCIALE MUSSOLINI;7;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;CHAMPDEPRAZ;539;272;439;226;6;VALLEE D'AOSTE;193;N;PERRON;EGO;M
VALLE D'AOSTA;CHAMPDEPRAZ;539;272;439;226;6;AUT.LIB. DEMOCRATIE;172;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;CHAMPDEPRAZ;539;272;439;226;6;LEGA NORD;11;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;CHAMPORCHER;343;175;262;143;7;AZ.SOCIALE MUSSOLINI;1;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;CHAMPORCHER;343;175;262;143;7;IL POPOLO DELLA LIBERTA';25;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;CHAMPORCHER;343;175;262;143;7;VALLEE D'AOSTE;129;N;PERRON;EGO;M
VALLE D'AOSTA;CHAMPORCHER;343;175;262;143;7;AUT.LIB. DEMOCRATIE;83;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;CHAMPORCHER;343;175;262;143;7;LEGA NORD;5;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;CHARVENSOD;1896;945;1525;774;38;AZ.SOCIALE MUSSOLINI;24;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;CHARVENSOD;1896;945;1525;774;38;IL POPOLO DELLA LIBERTA';256;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;CHARVENSOD;1896;945;1525;774;38;VALLEE D'AOSTE;553;N;PERRON;EGO;M
VALLE D'AOSTA;CHARVENSOD;1896;945;1525;774;38;AUT.LIB. DEMOCRATIE;542;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;CHARVENSOD;1896;945;1525;774;38;LEGA NORD;42;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;CHATILLON;3853;1881;3144;1547;59;AZ.SOCIALE MUSSOLINI;46;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;CHATILLON;3853;1881;3144;1547;59;IL POPOLO DELLA LIBERTA';626;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;CHATILLON;3853;1881;3144;1547;59;VALLEE D'AOSTE;1022;N;PERRON;EGO;M
VALLE D'AOSTA;CHATILLON;3853;1881;3144;1547;59;AUT.LIB. DEMOCRATIE;1186;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;CHATILLON;3853;1881;3144;1547;59;LEGA NORD;84;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;COGNE;1196;598;886;454;30;AZ.SOCIALE MUSSOLINI;10;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;COGNE;1196;598;886;454;30;IL POPOLO DELLA LIBERTA';143;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;COGNE;1196;598;886;454;30;VALLEE D'AOSTE;298;N;PERRON;EGO;M
VALLE D'AOSTA;COGNE;1196;598;886;454;30;AUT.LIB. DEMOCRATIE;303;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;COGNE;1196;598;886;454;30;LEGA NORD;46;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;COURMAYEUR;2415;1224;1850;961;26;AZ.SOCIALE MUSSOLINI;28;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;COURMAYEUR;2415;1224;1850;961;26;IL POPOLO DELLA LIBERTA';559;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;COURMAYEUR;2415;1224;1850;961;26;VALLEE D'AOSTE;791;N;PERRON;EGO;M
VALLE D'AOSTA;COURMAYEUR;2415;1224;1850;961;26;AUT.LIB. DEMOCRATIE;337;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;COURMAYEUR;2415;1224;1850;961;26;LEGA NORD;66;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;DONNAS;2168;1067;1731;881;35;AZ.SOCIALE MUSSOLINI;22;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;DONNAS;2168;1067;1731;881;35;IL POPOLO DELLA LIBERTA';228;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;DONNAS;2168;1067;1731;881;35;VALLEE D'AOSTE;543;N;PERRON;EGO;M
VALLE D'AOSTA;DONNAS;2168;1067;1731;881;35;AUT.LIB. DEMOCRATIE;781;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;DONNAS;2168;1067;1731;881;35;LEGA NORD;43;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;DOUES;355;175;304;151;8;AZ.SOCIALE MUSSOLINI;2;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;DOUES;355;175;304;151;8;IL POPOLO DELLA LIBERTA';19;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;DOUES;355;175;304;151;8;VALLEE D'AOSTE;180;N;PERRON;EGO;M
VALLE D'AOSTA;DOUES;355;175;304;151;8;AUT.LIB. DEMOCRATIE;88;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;DOUES;355;175;304;151;8;LEGA NORD;5;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;EMARESE;171;93;138;75;6;AZ.SOCIALE MUSSOLINI;2;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;EMARESE;171;93;138;75;6;IL POPOLO DELLA LIBERTA';11;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;EMARESE;171;93;138;75;6;VALLEE D'AOSTE;60;N;PERRON;EGO;M
VALLE D'AOSTA;EMARESE;171;93;138;75;6;AUT.LIB. DEMOCRATIE;50;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;EMARESE;171;93;138;75;6;LEGA NORD;7;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;ETROUBLES;373;188;294;149;12;AZ.SOCIALE MUSSOLINI;5;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;ETROUBLES;373;188;294;149;12;IL POPOLO DELLA LIBERTA';32;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;ETROUBLES;373;188;294;149;12;VALLEE D'AOSTE;133;N;PERRON;EGO;M
VALLE D'AOSTA;ETROUBLES;373;188;294;149;12;AUT.LIB. DEMOCRATIE;100;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;ETROUBLES;373;188;294;149;12;LEGA NORD;6;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;FENIS;1369;685;1117;570;19;AZ.SOCIALE MUSSOLINI;14;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;FENIS;1369;685;1117;570;19;IL POPOLO DELLA LIBERTA';100;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;FENIS;1369;685;1117;570;19;VALLEE D'AOSTE;499;N;PERRON;EGO;M
VALLE D'AOSTA;FENIS;1369;685;1117;570;19;AUT.LIB. DEMOCRATIE;431;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;FENIS;1369;685;1117;570;19;LEGA NORD;20;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;FONTAINEMORE;368;183;275;145;9;AZ.SOCIALE MUSSOLINI;0;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;FONTAINEMORE;368;183;275;145;9;IL POPOLO DELLA LIBERTA';24;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;FONTAINEMORE;368;183;275;145;9;VALLEE D'AOSTE;80;N;PERRON;EGO;M
VALLE D'AOSTA;FONTAINEMORE;368;183;275;145;9;AUT.LIB. DEMOCRATIE;153;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;FONTAINEMORE;368;183;275;145;9;LEGA NORD;5;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;GABY;413;218;352;186;7;AZ.SOCIALE MUSSOLINI;7;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;GABY;413;218;352;186;7;IL POPOLO DELLA LIBERTA';51;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;GABY;413;218;352;186;7;VALLEE D'AOSTE;140;N;PERRON;EGO;M
VALLE D'AOSTA;GABY;413;218;352;186;7;AUT.LIB. DEMOCRATIE;117;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;GABY;413;218;352;186;7;LEGA NORD;22;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;GIGNOD;1114;543;852;427;26;AZ.SOCIALE MUSSOLINI;8;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;GIGNOD;1114;543;852;427;26;IL POPOLO DELLA LIBERTA';112;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;GIGNOD;1114;543;852;427;26;VALLEE D'AOSTE;333;N;PERRON;EGO;M
VALLE D'AOSTA;GIGNOD;1114;543;852;427;26;AUT.LIB. DEMOCRATIE;314;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;GIGNOD;1114;543;852;427;26;LEGA NORD;19;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;GRESSAN;2501;1264;2055;1040;59;AZ.SOCIALE MUSSOLINI;20;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;GRESSAN;2501;1264;2055;1040;59;IL POPOLO DELLA LIBERTA';308;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;GRESSAN;2501;1264;2055;1040;59;VALLEE D'AOSTE;719;N;PERRON;EGO;M
VALLE D'AOSTA;GRESSAN;2501;1264;2055;1040;59;AUT.LIB. DEMOCRATIE;833;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;GRESSAN;2501;1264;2055;1040;59;LEGA NORD;49;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;GRESSONEY-LA-TRINITE';250;114;199;90;3;AZ.SOCIALE MUSSOLINI;0;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;GRESSONEY-LA-TRINITE';250;114;199;90;3;IL POPOLO DELLA LIBERTA';31;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;GRESSONEY-LA-TRINITE';250;114;199;90;3;VALLEE D'AOSTE;72;N;PERRON;EGO;M
VALLE D'AOSTA;GRESSONEY-LA-TRINITE';250;114;199;90;3;AUT.LIB. DEMOCRATIE;71;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;GRESSONEY-LA-TRINITE';250;114;199;90;3;LEGA NORD;17;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;GRESSONEY-SAINT-JEAN;653;323;521;252;12;AZ.SOCIALE MUSSOLINI;19;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;GRESSONEY-SAINT-JEAN;653;323;521;252;12;IL POPOLO DELLA LIBERTA';115;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;GRESSONEY-SAINT-JEAN;653;323;521;252;12;VALLEE D'AOSTE;169;N;PERRON;EGO;M
VALLE D'AOSTA;GRESSONEY-SAINT-JEAN;653;323;521;252;12;AUT.LIB. DEMOCRATIE;170;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;GRESSONEY-SAINT-JEAN;653;323;521;252;12;LEGA NORD;27;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;HONE;953;446;793;388;21;AZ.SOCIALE MUSSOLINI;13;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;HONE;953;446;793;388;21;IL POPOLO DELLA LIBERTA';82;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;HONE;953;446;793;388;21;VALLEE D'AOSTE;299;N;PERRON;EGO;M
VALLE D'AOSTA;HONE;953;446;793;388;21;AUT.LIB. DEMOCRATIE;318;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;HONE;953;446;793;388;21;LEGA NORD;33;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;INTROD;461;219;379;190;16;AZ.SOCIALE MUSSOLINI;6;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;INTROD;461;219;379;190;16;IL POPOLO DELLA LIBERTA';24;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;INTROD;461;219;379;190;16;VALLEE D'AOSTE;147;N;PERRON;EGO;M
VALLE D'AOSTA;INTROD;461;219;379;190;16;AUT.LIB. DEMOCRATIE;179;E;NICCO;ROBERTO ROLANDO;M
VALLE D'AOSTA;INTROD;461;219;379;190;16;LEGA NORD;1;N;GIOVANNACCI;PATRIZIO;M
VALLE D'AOSTA;ISSIME;334;171;267;141;13;AZ.SOCIALE MUSSOLINI;2;N;BORLUZZI;GIANCARLO;M
VALLE D'AOSTA;ISSIME;334;171;267;141;13;IL POPOLO DELLA LIBERTA';38;N;GAMBARDELLA;GIUSEPPE;M
VALLE D'AOSTA;ISSIME;334;171;267;141;13;VALLEE D'AOSTE;107;N;PERRON;EGO;M
VALLE D'AOSTA;ISSIME;334;171;267;141;13;AUT.LIB. DEMOCRATIE;87;E;NICCO;ROBERTO ROLANDO;M
