"DATA_ELEZIONE";"TIPO_ELEZIONE";"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDEBIANCHE";"LISTA";"VOTI_LISTA"
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";322;170;223;126;11;"PARTITO PIRATA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";322;170;223;126;11;"FRATELLI D'ITALIA";15
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";322;170;223;126;11;"FORZA ITALIA";23
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";322;170;223;126;11;"PARTITO ANIMALISTA";2
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";322;170;223;126;11;"AUTONOMIE PER L'EUROPA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";322;170;223;126;11;"POPOLARI PER L'ITALIA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"LEGA SALVINI PREMIER";16090
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"AUTONOMIE PER L'EUROPA";55
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"POPOLARI PER L'ITALIA";74
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"PARTITO DEMOCRATICO";8857
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"PARTITO COMUNISTA";306
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"LA SINISTRA";458
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";119
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"+EUROPA - ITALIA IN COMUNE - PDE ITALIA";1028
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"EUROPA VERDE";840
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"MOVIMENTO 5 STELLE";4952
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"PARTITO PIRATA";106
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"FRATELLI D'ITALIA";2217
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"FORZA ITALIA";3949
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"PARTITO ANIMALISTA";291
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"FORZA NUOVA";67
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";73174;34595;40867;19934;449;"CASAPOUND ITALIA - DESTRE UNITE";115
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"LEGA SALVINI PREMIER";190
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"FORZA NUOVA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"POPOLARI PER L'ITALIA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"PARTITO DEMOCRATICO";59
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"PARTITO COMUNISTA";2
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";3
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"LA SINISTRA";3
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"+EUROPA - ITALIA IN COMUNE - PDE ITALIA";9
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"EUROPA VERDE";11
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"MOVIMENTO 5 STELLE";49
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"PARTITO PIRATA";2
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"FRATELLI D'ITALIA";26
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"FORZA ITALIA";46
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"PARTITO ANIMALISTA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"AUTONOMIE PER L'EUROPA";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";631;300;435;216;17;"CASAPOUND ITALIA - DESTRE UNITE";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"LEGA SALVINI PREMIER";155
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"POPOLARI PER L'ITALIA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"PARTITO DEMOCRATICO";60
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"PARTITO COMUNISTA";3
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"LA SINISTRA";4
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"+EUROPA - ITALIA IN COMUNE - PDE ITALIA";19
