COLLEGIO;COMUNE;ELETTORI_TOTALI;ELETTORI_MASCHI;VOTANTI_TOTALI;VOTANTI_MASCHI;SCHEDE_BIANCHE;LISTA;VOTI_LISTA;ELETTO;COGNOME;NOME;SESSO
VALLE D'AOSTA;ALLEIN;214;110;177;97;7;FIAMMA TRICOLORE;0;;PIETRANTONIO;Marcello;M
VALLE D'AOSTA;ALLEIN;214;110;177;97;7;VALLEE D'AOSTE;112;;VIERIN;Marco;M
VALLE D'AOSTA;ALLEIN;214;110;177;97;7;ALTERNATIVA SOCIALE MUSSOLINI;2;;MUSSOLINI;ALESSANDRA;F
VALLE D'AOSTA;ALLEIN;214;110;177;97;7;UNIONE DI CENTRO;3;;BRINGHEN;Luca;F
VALLE D'AOSTA;ALLEIN;214;110;177;97;7;FI-AN;8;;LATTANZI;Massimo;M
VALLE D'AOSTA;ALLEIN;214;110;177;97;7;PARTITO PENSIONATI;3;;BERTONE;Marco;M
VALLE D'AOSTA;ALLEIN;214;110;177;97;7;LEGA NORD V.D'AOSTE;1;;FALCO;Vincenzo;M
VALLE D'AOSTA;ALLEIN;214;110;177;97;7;AUT.LIB. DEMOCRATIE;36;E;NICCO;ROBERTO;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';486;246;420;211;14;FIAMMA TRICOLORE;2;;PIETRANTONIO;Marcello;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';486;246;420;211;14;VALLEE D'AOSTE;137;;VIERIN;Marco;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';486;246;420;211;14;ALTERNATIVA SOCIALE MUSSOLINI;7;;MUSSOLINI;ALESSANDRA;F
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';486;246;420;211;14;UNIONE DI CENTRO;6;;BRINGHEN;Luca;F
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';486;246;420;211;14;FI-AN;54;;LATTANZI;Massimo;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';486;246;420;211;14;PARTITO PENSIONATI;13;;BERTONE;Marco;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';486;246;420;211;14;LEGA NORD V.D'AOSTE;12;;FALCO;Vincenzo;M
VALLE D'AOSTA;ANTEY-SAINT-ANDRE';486;246;420;211;14;AUT.LIB. DEMOCRATIE;161;E;NICCO;ROBERTO;M
VALLE D'AOSTA;AOSTA;28339;13187;23128;11037;535;FIAMMA TRICOLORE;126;;PIETRANTONIO;Marcello;M
VALLE D'AOSTA;AOSTA;28339;13187;23128;11037;535;VALLEE D'AOSTE;5510;;VIERIN;Marco;M
VALLE D'AOSTA;AOSTA;28339;13187;23128;11037;535;ALTERNATIVA SOCIALE MUSSOLINI;524;;MUSSOLINI;ALESSANDRA;F
VALLE D'AOSTA;AOSTA;28339;13187;23128;11037;535;UNIONE DI CENTRO;805;;BRINGHEN;Luca;F
VALLE D'AOSTA;AOSTA;28339;13187;23128;11037;535;FI-AN;4421;;LATTANZI;Massimo;M
VALLE D'AOSTA;AOSTA;28339;13187;23128;11037;535;PARTITO PENSIONATI;403;;BERTONE;Marco;M
VALLE D'AOSTA;AOSTA;28339;13187;23128;11037;535;LEGA NORD V.D'AOSTE;341;;FALCO;Vincenzo;M
VALLE D'AOSTA;AOSTA;28339;13187;23128;11037;535;AUT.LIB. DEMOCRATIE;9690;E;NICCO;ROBERTO;M
VALLE D'AOSTA;ARNAD;1080;518;896;436;30;FIAMMA TRICOLORE;5;;PIETRANTONIO;Marcello;M
VALLE D'AOSTA;ARNAD;1080;518;896;436;30;VALLEE D'AOSTE;385;;VIERIN;Marco;M
VALLE D'AOSTA;ARNAD;1080;518;896;436;30;ALTERNATIVA SOCIALE MUSSOLINI;19;;MUSSOLINI;ALESSANDRA;F
VALLE D'AOSTA;ARNAD;1080;518;896;436;30;UNIONE DI CENTRO;15;;BRINGHEN;Luca;F
VALLE D'AOSTA;ARNAD;1080;518;896;436;30;FI-AN;60;;LATTANZI;Massimo;M
VALLE D'AOSTA;ARNAD;1080;518;896;436;30;PARTITO PENSIONATI;6;;BERTONE;Marco;M
VALLE D'AOSTA;ARNAD;1080;518;896;436;30;LEGA NORD V.D'AOSTE;17;;FALCO;Vincenzo;M
VALLE D'AOSTA;ARNAD;1080;518;896;436;30;AUT.LIB. DEMOCRATIE;322;E;NICCO;ROBERTO;M
VALLE D'AOSTA;ARVIER;672;337;554;280;17;FIAMMA TRICOLORE;2;;PIETRANTONIO;Marcello;M
VALLE D'AOSTA;ARVIER;672;337;554;280;17;VALLEE D'AOSTE;240;;VIERIN;Marco;M
VALLE D'AOSTA;ARVIER;672;337;554;280;17;ALTERNATIVA SOCIALE MUSSOLINI;2;;MUSSOLINI;ALESSANDRA;F
VALLE D'AOSTA;ARVIER;672;337;554;280;17;UNIONE DI CENTRO;8;;BRINGHEN;Luca;F
VALLE D'AOSTA;ARVIER;672;337;554;280;17;FI-AN;46;;LATTANZI;Massimo;M
VALLE D'AOSTA;ARVIER;672;337;554;280;17;PARTITO PENSIONATI;5;;BERTONE;Marco;M
VALLE D'AOSTA;ARVIER;672;337;554;280;17;LEGA NORD V.D'AOSTE;11;;FALCO;Vincenzo;M
VALLE D'AOSTA;ARVIER;672;337;554;280;17;AUT.LIB. DEMOCRATIE;211;E;NICCO;ROBERTO;M
VALLE D'AOSTA;AVISE;245;126;208;109;9;FIAMMA TRICOLORE;0;;PIETRANTONIO;Marcello;M
VALLE D'AOSTA;AVISE;245;126;208;109;9;VALLEE D'AOSTE;50;;VIERIN;Marco;M
VALLE D'AOSTA;AVISE;245;126;208;109;9;ALTERNATIVA SOCIALE MUSSOLINI;2;;MUSSOLINI;ALESSANDRA;F
VALLE D'AOSTA;AVISE;245;126;208;109;9;UNIONE DI CENTRO;4;;BRINGHEN;Luca;F
VALLE D'AOSTA;AVISE;245;126;208;109;9;FI-AN;15;;LATTANZI;Massimo;M
VALLE D'AOSTA;AVISE;245;126;208;109;9;PARTITO PENSIONATI;1;;BERTONE;Marco;M
VALLE D'AOSTA;AVISE;245;126;208;109;9;LEGA NORD V.D'AOSTE;1;;FALCO;Vincenzo;M
VALLE D'AOSTA;AVISE;245;126;208;109;9;AUT.LIB. DEMOCRATIE;122;E;NICCO;ROBERTO;M
VALLE D'AOSTA;AYAS;1040;500;874;439;32;FIAMMA TRICOLORE;2;;PIETRANTONIO;Marcello;M
VALLE D'AOSTA;AYAS;1040;500;874;439;32;VALLEE D'AOSTE;306;;VIERIN;Marco;M
VALLE D'AOSTA;AYAS;1040;500;874;439;32;ALTERNATIVA SOCIALE MUSSOLINI;17;;MUSSOLINI;ALESSANDRA;F
VALLE D'AOSTA;AYAS;1040;500;874;439;32;UNIONE DI CENTRO;54;;BRINGHEN;Luca;F
VALLE D'AOSTA;AYAS;1040;500;874;439;32;FI-AN;115;;LATTANZI;Massimo;M
VALLE D'AOSTA;AYAS;1040;500;874;439;32;PARTITO PENSIONATI;10;;BERTONE;Marco;M
VALLE D'AOSTA;AYAS;1040;500;874;439;32;LEGA NORD V.D'AOSTE;41;;FALCO;Vincenzo;M
VALLE D'AOSTA;AYAS;1040;500;874;439;32;AUT.LIB. DEMOCRATIE;273;E;NICCO;ROBERTO;M
VALLE D'AOSTA;AYMAVILLES;1577;782;1310;665;48;FIAMMA TRICOLORE;8;;PIETRANTONIO;Marcello;M
VALLE D'AOSTA;AYMAVILLES;1577;782;1310;665;48;VALLEE D'AOSTE;369;;VIERIN;Marco;M
VALLE D'AOSTA;AYMAVILLES;1577;782;1310;665;48;ALTERNATIVA SOCIALE MUSSOLINI;15;;MUSSOLINI;ALESSANDRA;F
VALLE D'AOSTA;AYMAVILLES;1577;782;1310;665;48;UNIONE DI CENTRO;29;;BRINGHEN;Luca;F
