"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"327"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"IO CAMBIO - MAIE";"22"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"SCELTA EUROPEA";"45"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"PARTITO DEMOCRATICO";"4008"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"2145"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"643"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"NUOVO CENTRO DESTRA - UDC";"196"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"FORZA ITALIA";"1604"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"L'ALTRA EUROPA CON TSIPRAS";"352"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"ITALIA DEI VALORI";"64"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16521;7601;10022;4765;182;"VERDI EUROPEI-GREEN ITALIA";"73"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"6"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"26"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"VERDI EUROPEI-GREEN ITALIA";"4"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"FORZA ITALIA";"35"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"ITALIA DEI VALORI";"2"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"IO CAMBIO - MAIE";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"NUOVO CENTRO DESTRA - UDC";"10"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"L'ALTRA EUROPA CON TSIPRAS";"9"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"SCELTA EUROPEA";"0"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"36"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";342;185;238;137;21;"PARTITO DEMOCRATICO";"75"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"PARTITO DEMOCRATICO";"16522"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"FORZA ITALIA";"7251"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"8935"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"L'ALTRA EUROPA CON TSIPRAS";"1445"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"2849"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"VERDI EUROPEI-GREEN ITALIA";"346"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"ITALIA DEI VALORI";"403"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"NUOVO CENTRO DESTRA - UDC";"1249"
