"DESCRCIRC";"DESCRREG";"DESCRPROV";"DESCRCOMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GIOIA DEI MARSI";1932;;1681;;178;"CDU";"46"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GIOIA DEI MARSI";1932;;1681;;178;"LS.CITO LG.AZ.MERID.";"10"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GIOIA DEI MARSI";1932;;1681;;178;"FED.DEI VERDI";"12"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GIOIA DEI MARSI";1932;;1681;;178;"AN - P.SEGNI";"215"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"CDU";"5"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"MOV.SOC.TRICOLORE";"13"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"FED.DEI VERDI";"9"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"AN - P.SEGNI";"60"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"RIFONDAZIONE COMUNISTA";"16"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"DEMOCRATICI SINISTRA";"46"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"LS.CITO LG.AZ.MERID.";"5"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"PRI-LIB-ELDR.";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"LDR-PS D'AZ-PCONSI";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"I DEMOCRATICI";"65"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"FORZA ITALIA";"101"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"CENTRO CRIST.DEM.";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"LEGA NORD";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"COMUNISTI ITALIANI";"3"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"PPI (POP)";"14"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"SDI";"36"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"U.D.EUR";"2"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"PARTITO PENSIONATI";"2"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"RINNOVAMENTO IT-DINI";"12"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GORIANO SICOLI";648;;514;;101;"LISTA EMMA BONINO";"16"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"CDU";"9"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"FORZA ITALIA";"280"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"SDI";"122"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"I DEMOCRATICI";"109"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"LEGA NORD";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"RIFONDAZIONE COMUNISTA";"45"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"LS.CITO LG.AZ.MERID.";"10"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"MOV.SOC.TRICOLORE";"24"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"FED.DEI VERDI";"30"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"AN - P.SEGNI";"126"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"LISTA EMMA BONINO";"83"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"COMUNISTI ITALIANI";"43"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"PPI (POP)";"38"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"DEMOCRATICI SINISTRA";"65"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"LDR-PS D'AZ-PCONSI";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"RINNOVAMENTO IT-DINI";"64"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"U.D.EUR";"22"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"PRI-LIB-ELDR.";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"PARTITO PENSIONATI";"9"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"INTRODACQUA";1925;;1340;;172;"CENTRO CRIST.DEM.";"11"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"CENTRO CRIST.DEM.";"1731"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"MOV.SOC.TRICOLORE";"686"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"CDU";"453"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"RIFONDAZIONE COMUNISTA";"1387"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"LS.CITO LG.AZ.MERID.";"87"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"PARTITO PENSIONATI";"156"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"FORZA ITALIA";"9896"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"LEGA NORD";"36"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"I DEMOCRATICI";"3140"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"U.D.EUR";"391"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"AN - P.SEGNI";"5544"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"LISTA EMMA BONINO";"2944"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"FED.DEI VERDI";"334"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"RINNOVAMENTO IT-DINI";"331"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"COMUNISTI ITALIANI";"477"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"SDI";"861"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"LDR-PS D'AZ-PCONSI";"22"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"PRI-LIB-ELDR.";"62"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"DEMOCRATICI SINISTRA";"5753"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"L'AQUILA";58893;;39524;;1568;"PPI (POP)";"1293"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"SDI";"45"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"FED.DEI VERDI";"2"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"MOV.SOC.TRICOLORE";"12"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"CENTRO CRIST.DEM.";"64"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"AN - P.SEGNI";"98"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"PPI (POP)";"84"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"PARTITO PENSIONATI";"8"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"U.D.EUR";"53"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"FORZA ITALIA";"223"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"I DEMOCRATICI";"62"
