"DATA_ELEZIONE";"DESCCIRCEUROPEA";"DESCREGIONE";"DESCPROVINCIA";"DESCCOMUNE";"ELETTORI";"ELETTORI_M";"ELETTORI_F";"VOTANTI";"VOTANTI_M";"VOTANTI_F";"NUMSCHEDEBIANCHE";"NUMSCHEDECONTESTAT";"DESCLISTA";"NUMVOTI"
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"AZIONE - SIAMO EUROPEI";1687
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"PARTITO DEMOCRATICO";7459
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"ALLEANZA VERDI E SINISTRA";1958
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"PACE TERRA DIGNITA'";608
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"FRATELLI D'ITALIA";9776
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"LEGA SALVINI PREMIER";3602
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"MOVIMENTO 5 STELLE";2704
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"FORZA ITALIA - NOI MODERATI - PPE";3498
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"RASSEMBLEMENT VALDÔTAIN";64
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"LIBERTA'";263
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"STATI UNITI D'EUROPA";1066
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"ALLEANZA VERDI E SINISTRA";13
