"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"COMUNISTI ITALIANI";"28"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"AB.SCORP.VERDI VERDI";"7"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"ALLEANZA NAZIONALE";"293"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"PARTITO PENSIONATI";"21"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"ALLEANZA LOMBARDA AUTONOMIA";"8"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"ALTERNATIVA SOCIALE";"45"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"UNITI NELL'ULIVO";"294"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"PRI I LIBERAL SGARBI";"8"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"LISTA EMMA BONINO";"27"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"RIFONDAZIONE COMUNISTA";"107"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"DIPIETRO OCCHETTO";"29"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"LEGA NORD";"10"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"SOCIALISTI UNITI";"127"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"A.P. UDEUR";"47"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"MOV.IDEA SOC. RAUTI";"10"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"UNIONE DI CENTRO";"200"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"A.P. UDEUR";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"MOV.IDEA SOC. RAUTI";"3"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"PARTITO PENSIONATI";"1"
