COLLEGIO;COMUNE;ELETTORI_TOTALI;ELETTORI_MASCHI;VOTANTI_TOTALI;VOTANTI_MASCHI;SCHEDE_BIANCHE;LISTA;VOTI_LISTA;ELETTO;COGNOME;NOME;SESSO
VALLE D'AOSTA;CHALLAND-SAINT-VICTOR;476;241;366;193;8;LEGA NORD;19;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;UNION VALDOTAINE PROGRESSISTE;180;N;VIERIN;LAURENT;M
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;FRATELLI D'ITALIA;19;N;MELONI;GIORGIA;F
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;76;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;AUTONOMIE LIBERTE' DEMOCRATIE;128;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;NATION VAL D'OUTA;1;N;CAMPION;EROS;M
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;FARE PER FERMARE IL DECLINO;2;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;VALLEE D'AOSTE;155;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;UNIONE DI CENTRO;8;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;CASAPOUND ITALIA;1;N;LADU;ANDREA;M
VALLE D'AOSTA;CHAMBAVE;745;380;620;317;17;LEGA NORD;11;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;UNION VALDOTAINE PROGRESSISTE;15;N;VIERIN;LAURENT;M
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;FRATELLI D'ITALIA;0;N;MELONI;GIORGIA;F
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;AUTONOMIE LIBERTE' DEMOCRATIE;13;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;NATION VAL D'OUTA;2;N;CAMPION;EROS;M
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;FARE PER FERMARE IL DECLINO;1;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;VALLEE D'AOSTE;22;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;UNIONE DI CENTRO;1;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;CASAPOUND ITALIA;0;N;LADU;ANDREA;M
VALLE D'AOSTA;CHAMOIS;85;47;66;35;1;LEGA NORD;4;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;UNION VALDOTAINE PROGRESSISTE;91;N;VIERIN;LAURENT;M
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;FRATELLI D'ITALIA;7;N;MELONI;GIORGIA;F
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;68;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;AUTONOMIE LIBERTE' DEMOCRATIE;73;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;NATION VAL D'OUTA;0;N;CAMPION;EROS;M
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;FARE PER FERMARE IL DECLINO;2;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;VALLEE D'AOSTE;189;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;UNIONE DI CENTRO;1;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;CASAPOUND ITALIA;2;N;LADU;ANDREA;M
VALLE D'AOSTA;CHAMPDEPRAZ;555;275;477;245;15;LEGA NORD;3;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;UNION VALDOTAINE PROGRESSISTE;81;N;VIERIN;LAURENT;M
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;FRATELLI D'ITALIA;4;N;MELONI;GIORGIA;F
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;41;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;AUTONOMIE LIBERTE' DEMOCRATIE;48;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;NATION VAL D'OUTA;0;N;CAMPION;EROS;M
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;FARE PER FERMARE IL DECLINO;1;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;VALLEE D'AOSTE;63;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;UNIONE DI CENTRO;2;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;CASAPOUND ITALIA;0;N;LADU;ANDREA;M
VALLE D'AOSTA;CHAMPORCHER;346;182;250;134;0;LEGA NORD;5;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;UNION VALDOTAINE PROGRESSISTE;377;N;VIERIN;LAURENT;M
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;FRATELLI D'ITALIA;43;N;MELONI;GIORGIA;F
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;315;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;AUTONOMIE LIBERTE' DEMOCRATIE;273;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;NATION VAL D'OUTA;2;N;CAMPION;EROS;M
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;FARE PER FERMARE IL DECLINO;25;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;VALLEE D'AOSTE;331;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;UNIONE DI CENTRO;22;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;CASAPOUND ITALIA;7;N;LADU;ANDREA;M
VALLE D'AOSTA;CHARVENSOD;1950;984;1522;768;41;LEGA NORD;35;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;UNION VALDOTAINE PROGRESSISTE;746;N;VIERIN;LAURENT;M
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;FRATELLI D'ITALIA;110;N;MELONI;GIORGIA;F
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;560;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;AUTONOMIE LIBERTE' DEMOCRATIE;491;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;NATION VAL D'OUTA;10;N;CAMPION;EROS;M
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;FARE PER FERMARE IL DECLINO;25;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;VALLEE D'AOSTE;724;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;UNIONE DI CENTRO;33;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;CASAPOUND ITALIA;18;N;LADU;ANDREA;M
VALLE D'AOSTA;CHATILLON;3802;1846;3010;1472;69;LEGA NORD;92;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;COGNE;1140;575;834;434;15;UNION VALDOTAINE PROGRESSISTE;273;N;VIERIN;LAURENT;M
VALLE D'AOSTA;COGNE;1140;575;834;434;15;FRATELLI D'ITALIA;19;N;MELONI;GIORGIA;F
VALLE D'AOSTA;COGNE;1140;575;834;434;15;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;125;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;COGNE;1140;575;834;434;15;AUTONOMIE LIBERTE' DEMOCRATIE;120;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;COGNE;1140;575;834;434;15;NATION VAL D'OUTA;2;N;CAMPION;EROS;M
VALLE D'AOSTA;COGNE;1140;575;834;434;15;FARE PER FERMARE IL DECLINO;5;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;COGNE;1140;575;834;434;15;VALLEE D'AOSTE;178;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;COGNE;1140;575;834;434;15;UNIONE DI CENTRO;7;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;COGNE;1140;575;834;434;15;CASAPOUND ITALIA;3;N;LADU;ANDREA;M
VALLE D'AOSTA;COGNE;1140;575;834;434;15;LEGA NORD;36;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;UNION VALDOTAINE PROGRESSISTE;294;N;VIERIN;LAURENT;M
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;FRATELLI D'ITALIA;141;N;MELONI;GIORGIA;F
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;239;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;AUTONOMIE LIBERTE' DEMOCRATIE;165;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;NATION VAL D'OUTA;5;N;CAMPION;EROS;M
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;FARE PER FERMARE IL DECLINO;27;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;VALLEE D'AOSTE;457;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;UNIONE DI CENTRO;37;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;CASAPOUND ITALIA;16;N;LADU;ANDREA;M
VALLE D'AOSTA;COURMAYEUR;2256;1140;1585;801;37;LEGA NORD;104;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;UNION VALDOTAINE PROGRESSISTE;394;N;VIERIN;LAURENT;M
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;FRATELLI D'ITALIA;42;N;MELONI;GIORGIA;F
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;296;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;AUTONOMIE LIBERTE' DEMOCRATIE;267;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;NATION VAL D'OUTA;1;N;CAMPION;EROS;M
