,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,csu,rep,fdp,oedp,bp,cm,liga,solidariaet,bsa,apd,bfb,familie,dsu,graue,naturgesetz,autonome,npd,forum,pbc,pass,pds,pead,statt
383,A_13058,82020,53842,14095,16258,2081,0,947,1109,140,86,59,109,93,37,465,409,0,167,386,179,65,154,484,99,402,11817,59,179
384,A_13059,86997,59772,8858,23099,1636,0,1915,1231,126,86,74,87,122,42,566,539,0,158,267,168,70,146,301,162,633,13595,71,170
385,A_13060,78924,54303,12544,16932,2127,0,1113,1625,142,77,81,87,119,29,490,379,0,200,325,147,47,143,417,105,453,12350,63,165
386,A_13061,60341,38260,5794,12334,1352,0,1091,919,71,45,48,73,124,26,434,372,0,85,275,130,50,75,274,73,583,10598,77,106
387,A_13062,67502,46478,6946,17811,1401,0,1606,794,93,70,41,56,80,9,381,271,0,156,240,125,41,117,176,81,460,11578,48,78
390,A_14001,221999,150855,41083,43307,9372,0,3776,4038,474,84,223,275,101,66,1772,1251,0,1621,1627,420,231,227,2309,387,1411,30206,147,455
391,A_14002,372414,249363,35132,87388,20371,0,6675,9054,1371,177,320,418,374,133,2818,3872,0,3678,3746,788,355,664,3234,412,2393,54454,384,1092
392,A_14003,53776,34280,5987,12323,1783,0,1468,1048,118,45,64,122,27,22,409,409,0,1083,482,108,35,131,344,60,522,5921,28,135
393,A_14004,382946,221944,55138,56447,21781,0,5489,6244,907,150,195,146,148,130,2504,3518,0,3430,3725,548,296,405,3676,376,1907,46169,315,695
394,A_14005,55588,35656,8081,12757,2243,0,1330,1621,92,18,68,63,22,7,373,268,0,257,370,93,60,60,481,72,309,5377,24,118
395,A_14006,86174,54828,11740,18642,3189,0,1780,1967,109,42,97,86,39,40,590,438,0,1372,590,130,42,90,553,121,478,10463,32,201
396,A_14011,58623,44788,8126,19282,1510,0,1940,1703,77,49,210,246,49,28,530,358,0,701,336,107,35,159,1036,260,561,4610,35,88
397,A_14012,85240,65264,12313,25972,2621,0,2462,1916,134,62,208,243,38,31,707,1156,0,2185,558,159,63,193,570,353,743,8572,37,174
398,A_14013,52784,38007,7789,15429,1450,0,1532,1423,91,33,124,215,27,15,361,255,0,1445,283,101,29,33,345,243,271,4389,20,81
399,A_14014,89028,65473,9093,30606,2488,0,2319,1854,177,58,131,167,61,27,906,602,0,944,608,213,39,160,586,140,798,9448,59,175
400,A_14015,47244,36246,6103,15340,1222,0,1244,1759,104,29,77,72,50,14,546,323,0,459,372,137,36,73,335,127,503,4756,27,99
401,A_14016,61677,43111,11102,14822,1614,0,1297,1073,73,39,29,29,27,21,501,375,0,607,441,106,21,50,1750,58,474,6096,41,89
402,A_14017,27522,21869,3661,10256,632,0,761,901,51,27,68,61,16,11,291,165,0,246,137,65,8,36,183,47,264,2358,19,68
