,teryt_code,eligible_voters,issued_ballots,spd,cdu,fdp,linke,gruene,csu,npd,rep,familie,tierschutz,pbc,mlpd,bueso,bp,psg,volksabstimmung,zentrum,adm,cm,dkp,dvu,violetten,fwd,oedp,piraten,rrp,renter
41,A_03358,109239,78670,21948,27597,10601,6410,7286,0,1313,0,0,805,0,13,0,0,0,0,0,0,0,0,112,0,0,95,1266,380,0
42,A_03359,153370,111904,30901,39159,15284,8522,11458,0,1666,0,0,789,0,36,0,0,0,0,0,0,0,0,95,0,0,129,2057,656,0
43,A_03360,76637,55984,15344,18350,7232,4622,6344,0,672,0,0,413,0,11,0,0,0,0,0,0,0,0,61,0,0,79,1054,1154,0
44,A_03361,103623,77757,22163,25584,9482,6611,9319,0,1147,0,0,662,0,11,0,0,0,0,0,0,0,0,93,0,0,82,1315,556,0
45,A_03401,57518,38796,10988,11464,4630,4803,3791,0,729,0,0,489,0,7,0,0,0,0,0,0,0,0,68,0,0,43,773,504,0
46,A_03402,39153,26258,10637,5264,2500,3158,3210,0,310,0,0,177,0,12,0,0,0,0,0,0,0,0,20,0,0,25,472,128,0
47,A_03403,123651,90961,24757,22502,11638,10111,16425,0,722,0,0,745,0,42,0,0,0,0,0,0,0,0,63,0,0,122,2614,408,0
48,A_03404,118299,86137,22789,26072,12072,7757,12931,0,475,0,0,536,0,13,0,0,0,0,0,0,0,0,58,0,0,141,2123,298,0
49,A_03405,64799,43864,12954,12437,5823,5674,3819,0,550,0,0,432,0,46,0,0,0,0,0,0,0,0,34,0,0,33,967,392,0
50,A_03451,91940,67386,17794,21588,11279,5133,7746,0,623,0,0,604,0,11,0,0,0,0,0,0,0,0,61,0,0,70,1386,413,0
51,A_03452,150651,106627,40045,26891,11119,11820,10431,0,1402,0,0,865,0,20,0,0,0,0,0,0,0,0,103,0,0,98,1543,514,0
52,A_03453,115385,78446,13206,42049,11653,4370,3905,0,621,0,0,416,0,21,0,0,0,0,0,0,0,0,56,0,0,50,1076,211,0
53,A_03454,234531,172883,33246,86168,25314,9809,10918,0,1155,0,0,923,0,24,0,0,0,0,0,0,0,0,110,0,0,143,2637,718,0
54,A_03455,80130,57981,18176,16400,8853,5168,5721,0,648,0,0,581,0,31,0,0,0,0,0,0,0,0,49,0,0,60,991,518,0
55,A_03456,96302,71063,20030,29378,9627,4238,5082,0,462,0,0,370,0,11,0,0,0,0,0,0,0,0,27,0,0,87,908,214,0
56,A_03457,127222,89785,30722,27051,9539,9341,7579,0,1104,0,0,709,0,17,0,0,0,0,0,0,0,0,93,0,0,232,1701,358,0
57,A_03458,97811,73138,18644,23513,12153,6180,8313,0,796,0,0,682,0,23,0,0,0,0,0,0,0,0,64,0,0,92,1360,632,0
58,A_03459,271317,202204,53147,77925,28986,14332,18759,0,1616,0,0,1198,0,31,0,0,0,0,0,0,0,0,150,0,0,265,3313,631,0
59,A_03460,97064,70489,11152,38306,11348,3148,3922,0,511,0,0,350,0,14,0,0,0,0,0,0,0,0,29,0,0,58,877,161,0
60,A_03461,71111,49650,16263,14833,6326,4923,4627,0,484,0,0,348,0,19,0,0,0,0,0,0,0,0,39,0,0,44,746,370,0
61,A_03462,45617,30890,9480,9891,4528,2730,2469,0,372,0,0,264,0,8,0,0,0,0,0,0,0,0,23,0,0,19,494,161,0
62,A_04011,402884,287625,84806,67389,30414,40380,45920,0,3014,496,0,0,692,190,0,0,0,0,0,0,0,0,706,0,0,0,6947,3282,0
63,A_04012,85094,55402,17613,13575,5554,7989,6363,0,598,81,0,0,163,26,0,0,0,0,0,0,0,0,324,0,0,0,1227,862,0
64,A_05111,414125,294423,70498,93653,52251,25206,36864,0,1704,1736,916,1717,0,135,66,0,51,233,179,0,0,0,110,0,0,212,5053,363,934
65,A_05112,345343,223880,84261,55446,20581,27618,18700,0,3489,1113,1164,1856,0,329,68,0,60,200,308,0,0,0,224,0,0,158,3808,392,1004
66,A_05113,435602,303489,105066,81792,36829,29171,30931,0,3496,1869,1351,2148,0,269,331,0,78,303,173,0,0,0,163,0,0,211,4917,417,996
67,A_05114,168093,114481,31185,36939,17769,9765,12239,0,954,216,585,755,0,61,21,0,23,95,72,0,0,0,55,0,0,71,1847,167,402
68,A_05116,194294,124190,30018,43020,22148,10241,10876,0,1231,301,526,906,0,31,20,0,19,104,259,0,0,0,49,0,0,84,2191,196,526
69,A_05117,128222,94447,31957,25492,13363,8725,9624,0,808,246,437,659,0,102,31,0,24,65,45,0,0,0,57,0,0,60,1330,154,333
70,A_05119,158666,108617,42348,25819,10699,12460,9596,0,1596,364,564,862,0,90,32,0,23,91,72,0,0,0,90,0,0,81,1749,170,516
71,A_05120,81358,56094,15426,17994,8726,5419,4825,0,628,235,293,368,0,11,12,0,6,61,29,0,0,0,57,0,0,44,943,76,276
72,A_05122,114569,80275,20814,25044,13264,7480,8433,0,798,294,422,556,0,68,22,0,17,91,63,0,0,0,66,0,0,98,1497,103,314
73,A_05124,250614,170912,45873,49182,23547,18901,21384,0,1779,1233,733,1188,0,126,35,0,30,210,66,0,0,0,94,0,0,143,3331,233,611
74,A_05154,226029,158453,36810,66161,25249,9566,12355,0,1045,299,819,974,0,25,29,0,15,115,90,0,0,0,95,0,0,138,2277,166,511
75,A_05158,372852,273405,69507,93052,47655,20250,26754,0,2279,1095,1381,1716,0,60,76,0,41,286,178,0,0,0,153,0,0,218,4356,456,1018
76,A_05162,331783,241727,55116,91041,46391,14568,19937,0,2003,753,1451,1525,0,44,39,0,28,203,755,0,0,0,121,0,0,165,3883,339,907
77,A_05166,227805,164366,36743,61723,30071,11935,14433,0,1428,302,840,1269,0,22,22,0,25,133,106,0,0,0,78,0,0,130,2554,171,723
78,A_05170,362311,263818,90532,78960,32368,23403,23160,0,2427,725,1439,1692,0,135,54,0,38,183,146,0,0,0,177,0,0,176,4082,346,952
79,A_05313,176885,130211,28937,41146,19464,10911,20765,0,789,221,385,672,0,34,32,0,9,87,62,0,0,0,54,0,0,149,4837,149,314
80,A_05314,219218,167574,37387,51654,31483,11624,26573,0,1049,244,443,786,0,40,87,0,26,137,87,0,0,0,52,0,0,208,3685,74,280
81,A_05315,703424,496338,126700,132283,76764,44508,88310,0,4228,1137,1482,2803,0,247,105,0,88,529,236,0,0,0,200,0,0,683,9697,807,1467
82,A_05316,118130,83947,22740,27012,12775,6977,8610,0,1025,273,473,654,0,97,27,0,15,85,39,0,0,0,50,0,0,76,1431,163,404
83,A_05354,228546,160816,45981,53062,23518,14926,12491,0,1767,820,792,1107,0,19,29,0,18,125,70,0,0,0,114,0,0,81,2764,239,597
84,A_05358,199907,144058,36209,53597,21383,11924,11102,0,2066,259,891,1100,0,20,28,0,19,201,72,0,0,0,74,0,0,62,2273,207,592
85,A_05362,341857,251135,67998,84794,41256,18270,23085,0,2680,672,1085,1806,0,59,58,0,37,316,124,0,0,0,155,0,0,193,3726,311,1289
86,A_05366,148942,104971,21783,39657,20250,8083,8177,0,1082,248,639,803,0,17,24,0,16,129,59,0,0,0,89,0,0,118,1485,210,488
87,A_05370,187605,131761,27877,53888,21315,10638,9307,0,1532,413,784,1047,0,17,24,0,20,145,69,0,0,0,73,0,0,94,1976,199,420
88,A_05374,211963,150609,35604,56807,25007,11070,12826,0,1317,380,905,977,0,16,36,0,22,193,79,0,0,0,119,0,0,264,2035,228,551
89,A_05378,215582,166669,38415,58572,31480,10832,18582,0,1227,353,725,1111,0,30,47,0,18,197,87,0,0,0,94,0,0,177,2346,292,543
90,A_05382,443263,328780,71221,118003,66346,20450,34257,0,2650,495,1283,2087,0,46,36,0,30,1193,196,0,0,0,162,0,0,302,5332,357,763
91,A_05512,90873,64660,25363,17041,6644,6851,4393,0,761,299,312,461,0,72,12,0,11,35,25,0,0,0,37,0,0,365,926,77,256
92,A_05513,187486,121673,50435,27930,10846,14497,8327,0,2018,1094,573,818,0,454,33,0,21,112,67,0,0,0,108,0,0,52,2148,158,510
93,A_05515,210934,163921,38604,54902,23951,10970,27985,0,574,175,416,567,0,39,17,0,19,89,78,0,0,0,38,0,0,417,3489,107,294
94,A_05554,273666,201502,43790,90752,32976,10752,14571,0,1212,260,855,811,0,24,19,0,24,99,142,0,0,0,82,0,0,136,2561,182,468
95,A_05558,169618,130730,28524,55208,21529,7724,11911,0,687,197,631,632,0,13,15,0,20,71,83,0,0,0,58,0,0,147,1752,154,375
96,A_05562,487548,348261,123850,100262,38208,37589,26157,0,4001,1237,1785,2453,0,232,80,0,58,303,169,0,0,0,394,0,0,247,5782,518,1252
97,A_05566,335998,249324,70236,93295,36044,15697,22283,0,1580,349,1175,984,0,23,38,0,24,106,162,0,0,0,116,0,0,172,3814,329,569
98,A_05570,211287,156217,37608,62706,23668,9824,14609,0,977,302,685,688,0,8,14,0,16,112,107,0,0,0,82,0,0,119,2308,132,443
99,A_05711,238268,173691,51537,52207,18992,16692,24133,0,1396,294,720,920,0,67,98,0,43,129,66,0,0,0,119,0,0,166,3363,183,536
100,A_05754,261647,189615,47665,72877,27933,12251,18235,0,1390,414,978,970,0,26,27,0,32,169,98,0,0,0,134,0,0,418,3016,197,610
101,A_05758,195730,138906,45694,44177,18349,10869,11918,0,1160,490,725,785,0,30,20,0,18,152,46,0,0,0,79,0,0,113,1983,193,354
102,A_05762,116613,86058,19990,36739,13890,5160,5301,0,665,144,612,360,0,7,5,0,16,64,61,0,0,0,64,0,0,222,1181,63,194
103,A_05766,274821,200080,68822,62620,25862,14165,16677,0,1525,468,1204,1095,0,37,52,0,25,156,96,0,0,0,139,0,0,206,3576,208,577
104,A_05770,247206,173590,55266,60717,21766,12419,13685,0,1119,884,951,870,0,22,28,0,34,135,66,0,0,0,94,0,0,137,2674,175,464
105,A_05774,223556,157938,31818,67355,26461,9418,13343,0,1209,341,992,731,0,24,25,0,22,135,102,0,0,0,101,0,0,158,3235,132,418
106,A_05911,284855,202563,74219,48442,20891,22643,22846,0,2421,567,848,1583,0,199,112,0,67,173,77,0,0,0,197,0,0,156,3775,304,748
107,A_05913,423053,290498,98695,70243,33806,32376,35686,0,3123,494,1198,1960,0,247,145,0,47,277,116,0,0,0,1501,0,0,175,5694,476,1569
