,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,fdp,linke,csu,fw,rep,tierschutz,familie,piraten,oedp,pbc,volksabstimmung,bp,cm,auf,dkp,bueso,psg,afd,pro_nrw,mlpd,npd,partei
167,A_07231,87851,52323,23621,12957,3165,2334,1556,0,1175,155,807,331,557,393,32,207,19,31,63,12,12,15,2642,21,22,294,204
168,A_07232,73408,46126,21338,11670,3082,1507,1066,0,1197,106,776,328,467,115,41,190,26,45,65,14,9,7,1989,29,12,229,159
169,A_07233,48766,29543,13870,7342,1566,1032,992,0,615,89,469,162,286,68,34,125,14,37,49,8,5,3,1544,16,11,141,75
170,A_07235,112654,69308,30072,18641,5061,1848,2037,0,2116,162,1092,382,847,159,35,211,28,50,75,19,9,6,3747,16,16,365,268
171,A_07311,34215,16468,6446,4754,1102,519,743,0,266,166,222,60,159,29,46,68,8,23,13,4,1,3,1322,8,3,146,58
172,A_07312,73674,32162,9262,10406,3257,1301,1988,0,585,151,548,187,745,123,80,129,19,33,31,25,10,7,2088,18,14,388,269
173,A_07313,35005,19137,5756,5728,2815,686,762,0,334,56,322,96,345,92,55,73,10,24,16,12,4,3,1369,6,7,93,152
174,A_07314,104309,46979,13913,16211,3661,1430,2020,0,607,590,742,224,731,103,67,172,31,38,44,22,15,12,4449,64,47,648,269
175,A_07315,146148,80511,23900,23013,13846,3424,4101,0,468,365,913,191,1637,1348,68,147,39,83,71,50,19,16,4777,96,17,188,828
176,A_07316,41441,22844,8376,6178,2511,1031,774,0,777,101,306,110,240,100,60,88,20,38,53,11,4,4,1400,9,8,139,147
177,A_07317,32144,14448,5408,4386,557,502,696,0,228,382,329,75,162,25,26,51,5,11,24,4,3,3,886,3,2,218,69
178,A_07318,36768,18433,5998,5335,2372,673,907,0,224,271,281,101,232,112,42,74,11,16,19,5,5,8,1266,8,5,91,114
179,A_07319,59521,29072,9446,9570,2573,1165,1066,0,406,161,460,130,345,100,40,107,26,26,32,18,11,6,2212,14,6,388,132
180,A_07320,26888,11738,3366,4293,843,414,660,0,165,65,235,79,197,45,21,37,13,15,15,4,5,3,827,3,1,129,60
181,A_07331,97080,59159,18984,19608,4552,2422,2047,0,1186,357,1064,347,662,247,121,312,33,44,82,13,15,10,4480,20,19,640,254
182,A_07332,104828,63248,22322,19265,4876,2656,1819,0,2135,389,1163,405,719,176,125,256,34,80,60,19,5,15,4452,36,14,550,289
183,A_07333,58725,34773,10237,12154,2349,1271,1313,0,1328,190,723,268,455,101,60,195,17,33,44,9,8,7,2381,11,8,497,150
184,A_07334,94277,54520,20506,15878,3563,1868,1632,0,1344,735,1024,316,659,279,135,289,41,60,62,21,17,15,4122,20,34,393,245
185,A_07335,81706,50296,17197,16575,2767,1259,1956,0,2064,344,1062,392,517,103,148,293,34,65,74,7,12,21,3060,19,5,585,199
186,A_07336,58242,35735,9543,14340,1927,785,1726,0,1087,303,800,319,418,58,79,185,19,48,34,23,8,7,2121,10,14,488,158
187,A_07337,87691,55485,20420,15943,4550,2160,1550,0,1514,409,1020,357,628,185,134,296,41,71,84,36,33,21,3790,39,12,369,249
188,A_07338,116626,69431,25735,20869,5344,2551,1894,0,1343,638,1102,410,873,183,103,266,44,66,70,26,10,9,5708,26,29,515,299
