,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,linke,afd,csu,fdp,fw,piraten,tierschutz,npd,fpd,oedp,partei,ajddvpfdm,bayern,dkp,mlpd,sgvi,tierschutzdo,afmtn,bcfd,bfig,bg,direkt,diem25,dw,grauen,rechte,violetten,liebe,frauen,grauepanther,lkr,mwfdwga,nlds,oel,humanisten,pfdtd,pfg,volt
149,A_06634,142375,79752,18398,20751,14746,2550,8703,0,4574,2511,427,1182,182,440,268,1490,152,61,29,14,17,225,104,171,36,64,33,105,10,118,72,52,79,96,117,75,64,26,34,83,181,146,252
150,A_06635,122990,64235,18496,13981,12282,2063,6481,0,4287,1188,293,898,130,348,266,1031,117,52,29,10,7,156,104,124,30,49,23,114,11,95,27,44,53,86,87,65,51,11,36,80,113,91,199
151,A_06636,80896,45003,11238,11663,7787,1853,4720,0,2272,1241,173,635,77,217,240,800,81,29,29,13,13,116,70,55,11,59,40,116,11,46,12,32,47,66,49,48,38,7,72,50,96,70,155
154,A_07111,83969,51017,14599,9024,12104,1997,3736,0,2842,1261,356,535,35,195,295,1793,46,50,7,11,12,79,81,52,31,37,22,185,7,29,11,36,34,69,71,64,39,29,55,112,76,41,417
155,A_07131,101203,66724,24456,10771,11930,1709,5224,0,4508,1885,350,889,109,343,428,1160,91,98,13,8,7,150,107,52,89,57,28,130,10,79,43,50,40,80,119,92,37,17,36,78,156,71,341
156,A_07132,100084,60892,21118,13102,8148,1853,5820,0,3693,1310,286,863,100,448,335,924,138,68,21,17,9,183,95,259,39,53,28,95,18,81,18,35,47,47,89,70,43,24,34,69,136,54,168
157,A_07133,120062,76655,22504,17855,11872,2336,7705,0,4827,1823,410,1224,102,510,417,1185,127,91,24,9,10,223,130,118,83,80,37,137,23,98,36,64,65,82,118,81,61,19,50,92,199,110,329
158,A_07134,63925,37437,11168,9765,4237,1169,3964,0,2421,745,216,602,73,285,157,579,81,48,10,5,11,140,76,37,7,22,22,49,10,59,15,20,47,46,76,42,34,8,25,35,97,68,120
159,A_07135,48692,33505,13925,6153,4131,717,2504,0,2108,769,154,435,47,223,146,516,49,34,7,4,3,73,62,44,7,26,14,32,1,29,16,21,27,40,53,36,28,12,16,28,63,46,122
160,A_07137,166494,103595,36737,20891,16503,2578,8675,0,5955,2598,587,1400,124,554,441,2035,165,102,15,9,9,218,187,149,66,59,49,156,15,103,43,71,79,110,160,108,68,33,53,101,214,95,414
161,A_07138,138233,85529,27819,17879,14067,2604,7703,0,5113,2054,448,1302,119,519,329,1527,157,93,13,9,4,225,156,250,80,80,48,148,25,116,37,81,66,95,156,72,63,24,39,106,221,108,402
162,A_07140,80638,54996,18684,11858,7526,1553,4763,0,3751,1475,306,804,70,294,342,909,72,36,9,9,3,133,106,100,31,46,27,83,9,71,23,27,52,70,113,47,58,14,19,70,122,75,196
163,A_07141,94896,62471,17516,15515,9513,1792,5778,0,3608,2249,332,1008,113,445,226,1301,97,80,17,11,5,179,124,65,33,52,30,118,13,82,35,60,53,69,96,64,57,19,34,75,160,94,221
164,A_07143,154465,100878,36475,18474,14422,2837,9443,0,6458,2899,525,1540,166,636,434,1770,157,107,17,16,4,296,185,201,118,83,35,139,39,123,38,75,82,120,161,102,68,37,46,101,255,122,353
165,A_07211,80431,48513,11402,10828,12327,2432,3223,0,2416,517,319,590,48,143,325,1756,60,24,36,11,8,79,74,38,30,45,21,229,1,40,15,26,31,51,60,53,31,25,51,155,75,37,386
166,A_07231,86098,56022,20367,11559,7377,1522,4197,0,3691,1741,236,785,76,374,449,837,124,42,10,7,3,165,97,40,75,42,17,78,15,66,25,33,66,78,100,43,38,15,21,48,144,82,171
167,A_07232,72189,50043,18773,10433,6823,1252,3355,0,2872,1767,195,714,62,318,284,642,94,39,8,7,10,135,85,43,12,26,14,51,9,60,14,31,41,55,74,41,47,9,21,39,119,83,164
168,A_07233,47996,30759,12511,5869,3897,862,2180,0,1895,658,128,431,36,185,185,453,46,19,6,3,2,92,52,18,8,25,13,32,6,30,11,23,27,23,44,22,27,3,12,20,77,47,108
169,A_07235,112648,79057,26435,20642,11493,2158,5364,0,3493,2566,345,1019,112,410,277,1168,122,66,27,9,6,186,154,56,31,62,36,98,13,77,34,39,66,76,130,73,69,20,41,80,186,110,252
170,A_07311,33348,19034,5987,3656,2862,660,2532,0,990,458,112,252,35,128,59,317,34,22,4,5,2,47,35,57,53,19,8,27,12,16,7,11,14,30,26,21,9,7,12,26,36,19,88
171,A_07312,71365,38987,8614,8256,7567,1671,4622,0,2148,896,408,637,77,228,206,1420,66,42,12,7,8,124,72,64,27,39,18,132,49,50,30,46,22,57,71,45,35,9,31,129,91,71,334
172,A_07313,36257,24124,6078,4126,6626,993,1881,0,1098,537,120,355,31,125,143,790,36,18,18,5,1,59,43,56,16,24,6,94,9,42,5,11,22,33,29,30,36,8,15,52,58,35,192
173,A_07314,102451,55399,12921,12702,8989,2151,7684,0,2730,1176,446,868,158,314,208,1212,104,52,12,34,24,131,102,92,597,59,33,134,37,97,36,42,46,71,115,123,63,15,34,86,154,80,322
174,A_07315,150251,102415,23371,18047,29557,4528,5966,0,5429,1061,1072,995,48,273,2019,3993,80,82,44,35,8,134,94,94,485,105,50,645,13,74,26,56,44,100,124,100,59,74,128,365,126,89,1924
175,A_07316,40621,26537,7822,4433,5350,665,2611,0,1555,1509,147,269,38,141,159,536,34,22,9,2,3,67,50,85,14,33,12,60,15,31,13,16,26,23,42,44,23,13,23,35,65,31,193
176,A_07317,30963,15433,4945,3352,1414,517,2245,0,779,293,94,279,119,84,46,403,29,22,1,3,4,51,39,19,5,7,3,15,3,17,2,8,17,14,32,18,11,2,5,21,80,31,29
177,A_07318,36237,21948,5842,4532,4784,802,2278,0,1039,312,109,326,22,113,130,516,18,19,5,3,0,55,43,69,12,30,11,57,6,37,18,14,24,37,49,30,16,9,25,34,53,33,162
178,A_07319,58080,32205,8878,7316,5302,890,3942,0,1611,767,188,507,63,183,140,681,64,41,8,6,1,84,80,42,41,37,10,69,6,44,19,22,34,49,51,40,36,6,19,55,78,53,198
179,A_07320,25997,13706,3599,3533,1864,541,1583,0,627,368,97,259,35,85,80,327,26,14,3,1,2,47,37,10,3,18,6,20,2,24,13,5,25,16,21,10,7,4,7,22,45,20,70
180,A_07331,98159,66606,17458,15784,9925,1679,8168,0,4101,2114,416,1069,190,484,399,1112,139,91,16,13,4,234,144,133,60,59,28,135,21,79,51,46,74,93,108,82,46,25,42,84,223,136,303
181,A_07332,104795,73282,21501,14734,11909,1755,8223,0,4598,3102,368,1104,143,460,310,1174,125,57,9,10,3,236,162,153,88,72,29,125,59,93,37,45,64,84,121,97,60,26,39,110,202,126,582
182,A_07333,58275,38700,9733,9652,4925,1148,4742,0,2183,1833,258,730,150,314,181,608,108,62,2,3,4,135,86,68,54,48,26,54,12,69,25,29,39,73,95,37,47,5,33,47,134,67,126
183,A_07334,94398,62054,19420,11665,8534,1532,8686,0,3632,1932,320,1040,142,400,361,1160,139,63,13,18,2,187,131,79,129,56,26,109,24,75,34,33,65,86,82,69,72,15,27,90,167,116,258
184,A_07335,81200,54712,16430,12224,6370,1659,6906,0,2379,2654,319,1046,160,400,176,904,99,56,6,6,4,175,153,113,13,46,15,35,36,69,24,33,57,86,107,41,55,14,15,62,174,107,191
185,A_07336,56613,37705,9392,10245,4082,1287,4989,0,1606,1789,187,731,134,331,120,670,75,32,7,9,6,128,96,46,6,25,19,20,22,61,22,17,47,51,70,26,30,10,20,37,127,64,111
186,A_07337,87144,62279,20583,11558,10081,1473,6541,0,3370,2341,277,934,114,395,272,999,131,59,21,9,6,212,132,96,15,62,21,112,22,91,28,48,68,96,94,66,53,20,48,78,188,97,274
187,A_07338,117009,80643,24852,16039,13142,1896,9531,0,4847,2165,432,1210,164,528,350,1405,147,123,18,16,4,254,158,156,107,55,40,151,56,119,49,51,60,122,160,101,64,22,31,106,252,133,385
188,A_07339,158871,112369,32383,23496,22666,3258,9302,0,6796,2588,753,1601,118,609,1202,2390,150,112,21,18,12,299,176,128,115,86,45,285,41,105,46,58,84,122,161,127,88,41,68,190,225,133,774
189,A_07340,78708,55974,19172,11215,5385,1359,6785,0,3202,2027,311,1062,202,495,217,1042,116,94,10,15,3,251,141,86,8,39,27,72,12,88,41,34,83,84,120,51,62,11,16,36,226,117,162
192,A_08111,380985,255470,60371,34244,71920,12906,18876,0,20739,5623,2799,2561,188,588,2749,8190,223,191,122,286,44,417,271,527,1050,300,122,1795,29,195,79,104,104,351,231,316,180,140,326,534,518,174,2915
193,A_08115,262708,173851,53646,22184,37295,4509,17562,0,13519,7806,1243,1666,251,718,1774,3082,193,227,30,123,25,304,195,793,363,137,73,526,27,199,82,85,53,227,205,250,136,73,67,280,315,185,881
194,A_08116,365828,242055,71185,32659,55218,7093,22958,0,17211,11074,1692,2693,281,975,2422,4514,242,315,42,160,18,560,311,839,450,206,121,839,37,255,144,117,97,329,317,343,154,87,116,348,511,269,1288
195,A_08117,178436,111874,33437,15274,22399,2678,13732,0,7617,5092,823,1428,187,510,935,1842,161,189,23,49,7,315,160,275,322,110,57,227,30,132,80,66,53,153,152,151,74,32,51,105,292,134,392
196,A_08118,365970,244616,71214,33204,54317,7379,23909,0,17510,11186,1623,2742,314,1053,3046,4676,267,290,42,133,28,521,321,887,1020,182,119,656,45,288,141,112,112,321,356,331,157,97,168,303,475,260,1215
197,A_08119,297477,193131,57809,25739,37425,5405,21895,0,15925,7258,1519,2445,322,952,2654,3516,262,301,40,93,15,491,326,911,451,146,89,584,29,251,134,127,95,281,235,278,145,55,151,218,483,260,903
198,A_08121,77185,42835,11262,6926,8676,1643,5495,0,3320,1024,256,378,82,136,415,911,53,54,14,56,5,70,60,85,318,30,25,111,5,59,27,25,17,58,53,53,29,13,22,45,84,52,252
199,A_08125,242435,155172,46334,21795,28157,3863,19561,0,11632,5561,885,1863,487,887,2321,2558,248,222,32,60,11,462,252,655,462,119,81,237,46,207,151,103,76,227,215,205,117,50,61,213,420,232,703
200,A_08126,82480,51822,17051,6562,9913,1261,6074,0,4274,1405,296,576,180,362,457,741,62,84,11,16,4,132,74,266,25,39,20,93,6,65,46,37,37,76,100,53,43,19,31,79,144,78,173
201,A_08127,143275,86854,26184,11966,18248,2472,9753,0,6406,1863,492,931,190,525,1723,1448,108,119,17,48,9,176,156,412,79,74,44,145,25,108,72,81,63,151,115,102,78,17,46,98,217,133,366
202,A_08128,101414,67155,26034,8635,11369,1554,7056,0,3486,1840,358,680,139,454,1035,970,99,110,7,8,7,173,112,131,37,40,27,98,13,97,51,42,40,109,82,76,47,14,21,63,157,98,242
203,A_08135,93726,54670,18605,8335,10740,1570,5471,0,2477,1676,321,572,101,300,740,865,78,82,61,27,5,123,90,160,39,44,21,95,19,69,43,33,28,72,73,56,34,13,28,57,141,58,204
204,A_08136,231322,145645,54654,18996,28068,4063,14234,0,7742,3939,851,1545,241,749,878,2289,193,232,23,68,12,324,206,310,212,127,63,243,29,133,98,91,79,191,203,164,84,32,82,152,288,151,581
205,A_08211,38487,23731,7488,2884,6027,611,2235,0,1775,570,108,270,17,92,112,346,40,46,5,2,1,51,33,47,19,23,14,97,6,21,16,16,15,15,27,52,24,8,16,38,47,35,154
206,A_08212,209516,135402,28275,18182,42429,6760,10787,0,8352,1560,1305,1694,99,362,1111,5445,110,84,33,128,18,262,178,510,171,162,72,904,15,113,67,81,56,148,156,212,98,92,172,484,263,124,2982
207,A_08215,323238,209814,67206,28548,42287,5241,23146,0,12965,6988,1219,3103,265,1104,1232,4197,291,221,40,66,27,562,337,867,291,178,113,443,29,259,184,148,134,265,303,403,195,56,111,368,636,304,1207
208,A_08216,167254,103779,33912,13855,20869,2455,11743,0,5779,4104,528,1448,137,555,526,1625,168,121,21,32,7,322,206,145,140,66,54,214,10,138,104,63,51,154,163,149,94,30,42,113,293,148,551
209,A_08221,100384,70400,13007,10378,25322,3789,4303,0,4298,555,401,573,35,129,613,2305,41,36,30,44,5,93,65,123,57,72,29,644,9,36,12,39,26,72,42,81,43,41,110,249,89,42,2027
210,A_08222,199916,116585,24961,20939,30064,5353,12287,0,7261,1596,752,1656,216,421,578,3869,129,112,68,76,14,335,156,172,478,105,53,542,32,131,61,77,48,149,150,151,81,54,118,237,292,123,1204
211,A_08225,108354,68991,25669,9902,10523,1602,7940,0,3726,2652,320,807,176,458,511,891,98,86,15,20,5,173,116,166,52,49,27,86,14,87,43,43,42,90,81,72,66,18,25,63,210,114,278
212,A_08226,399897,263457,74431,40809,58990,7952,27721,0,16599,8592,1515,3631,578,1317,1424,5334,330,260,71,48,28,737,433,678,345,192,115,605,58,346,147,162,136,293,348,330,228,89,129,394,699,291,1705
213,A_08231,75907,40419,10662,5517,6984,1433,6995,0,3013,874,259,797,58,237,256,785,76,84,6,24,5,122,61,154,58,37,22,124,7,48,48,27,29,69,66,79,42,13,26,71,130,62,266
214,A_08235,112394,71274,24496,8212,12379,1711,9387,0,5086,2187,344,980,132,461,585,1001,131,120,23,28,6,178,156,655,90,65,39,157,21,104,58,61,52,124,140,98,57,13,36,67,197,116,308
215,A_08236,143293,94043,27583,12789,18353,2035,11985,0,7260,2919,483,1983,185,513,690,1543,119,146,13,21,12,327,190,760,84,103,63,185,19,167,99,55,55,143,151,179,79,28,34,96,334,148,508
216,A_08237,86400,53081,18717,5904,8900,1205,6600,0,4775,1327,288,709,103,327,452,647,81,89,8,14,5,137,106,391,48,41,35,93,13,67,29,34,32,130,83,62,52,14,28,53,148,92,197
217,A_08311,157789,106346,17119,14631,40624,6992,5586,0,4570,1334,628,1391,86,252,1515,3971,90,66,39,66,16,195,128,225,55,229,75,2279,16,91,43,100,42,200,104,159,104,77,316,267,184,85,1450
218,A_08315,193103,130008,39442,17102,34990,3558,9638,0,7701,3210,602,1985,131,676,1192,2136,210,151,24,36,12,338,249,378,66,172,74,608,20,129,71,102,79,187,204,192,117,53,109,131,306,144,659
219,A_08316,123701,81001,23443,11928,20137,2209,6466,0,4668,2319,566,1291,74,382,1377,1453,123,98,12,15,6,239,135,165,39,101,36,260,11,111,64,80,52,118,109,111,97,29,49,103,241,105,340
220,A_08317,317094,192979,64859,24592,42851,4346,18858,0,10226,7411,968,2594,234,1056,1293,2785,324,228,30,24,16,586,391,444,111,172,97,350,24,231,111,114,112,301,286,281,174,62,112,213,574,288,861
221,A_08325,102914,63538,23180,6914,10693,1260,7203,0,4739,1948,279,773,106,432,1663,812,136,95,7,7,3,173,123,182,48,32,36,125,10,87,48,34,52,100,95,88,60,15,25,66,169,96,250
222,A_08326,149042,87251,31216,9878,17958,1963,8413,0,6123,2770,447,1011,249,452,598,1209,150,142,16,32,11,195,208,290,80,90,54,161,30,107,64,55,52,119,128,139,78,32,49,120,226,108,399
223,A_08327,95213,57744,21370,5827,10297,1247,6124,0,4532,1703,303,782,138,341,425,830,110,83,8,12,6,166,321,219,120,44,32,107,13,72,44,49,56,86,85,80,48,19,22,58,163,93,250
224,A_08335,205147,129936,37503,15082,36213,4362,10243,0,8550,3729,714,1574,141,568,1060,2865,226,174,26,20,13,290,217,340,89,168,97,479,45,157,92,102,71,194,166,248,119,64,107,203,283,129,1006
225,A_08336,161560,97521,26540,14931,24392,3045,8632,0,6051,3381,682,1274,138,477,625,1598,226,116,13,63,9,295,202,414,73,131,67,300,24,110,68,70,54,143,177,149,113,18,69,130,274,111,496
226,A_08337,119122,73466,25704,8863,16563,1746,6486,0,4228,2776,356,858,95,374,538,929,159,92,21,14,5,177,132,223,74,65,36,155,12,79,38,45,36,114,114,83,80,26,38,65,209,106,321
227,A_08415,200184,124190,37282,15557,27491,3697,13140,0,12041,3072,706,1308,164,619,949,1929,181,180,33,58,7,292,184,617,166,110,79,294,36,126,68,71,65,141,144,254,103,51,70,209,235,130,589
228,A_08416,161993,113120,27294,15040,35359,5937,8199,0,6603,1836,750,1252,109,404,1289,2929,117,101,56,71,12,193,122,519,116,127,54,761,12,101,73,53,52,137,95,215,73,64,155,271,195,96,1048
229,A_08417,138389,82245,28629,9262,14378,2017,10153,0,6408,2519,428,1074,153,550,537,1190,129,147,14,104,9,237,156,273,109,80,42,105,16,144,70,60,64,127,115,127,86,26,49,117,339,135,334
230,A_08421,83482,53462,13361,7491,16260,1879,3798,0,3259,1034,610,614,56,191,646,1561,60,94,23,60,5,98,77,113,79,67,35,260,8,70,25,39,23,61,73,87,51,20,41,147,73,66,434
231,A_08425,140125,93883,36102,10051,18797,1772,9144,0,5426,3101,517,1022,207,627,935,1254,148,157,9,38,11,198,130,383,103,72,64,164,22,138,53,59,51,151,136,122,84,36,41,129,239,127,343
232,A_08426,146207,94008,37237,8218,18930,1761,8583,0,5442,2985,574,989,167,652,2056,1234,158,192,10,14,5,217,150,273,72,90,56,150,25,161,67,55,66,304,158,111,110,35,54,101,202,135,392
233,A_08435,158275,105627,34247,11613,26805,2735,8966,0,7115,3444,504,1132,113,475,1397,1696,151,166,17,33,6,229,178,249,84,147,51,284,15,114,53,95,53,149,148,172,127,37,70,128,247,114,730
234,A_08436,208837,133795,46741,12389,33803,3360,9979,0,7429,4907,635,1451,150,757,3570,2143,191,214,18,41,9,253,178,352,138,154,94,296,14,133,73,107,70,188,163,163,248,44,88,153,243,134,741
235,A_08437,96823,61177,24500,5287,12283,1190,6120,0,3654,2122,297,757,114,367,468,725,94,85,12,10,11,166,111,123,70,53,38,98,18,77,59,44,35,83,87,73,65,10,30,85,160,75,217
238,A_09161,91126,48289,0,4212,9086,1369,5198,18180,2170,1959,375,480,57,146,1763,1181,48,398,5,9,4,62,52,67,84,22,24,152,9,69,15,39,21,59,51,61,39,21,26,142,74,67,320
239,A_09162,928090,607234,0,69403,189175,19207,36282,163350,32118,14721,3763,6357,368,1109,21945,16135,323,2992,230,171,52,762,621,458,948,534,292,4320,67,506,156,369,272,639,688,926,392,346,688,1361,617,485,13134
240,A_09163,41410,23722,0,2227,5184,575,2241,8480,882,930,142,294,17,93,813,570,19,367,10,2,1,41,57,31,31,21,14,81,10,31,11,20,16,32,32,19,15,19,21,53,51,29,175
241,A_09171,82914,46301,0,3589,6449,859,4051,22900,1151,2284,180,542,67,174,1323,848,69,603,4,6,4,85,69,36,21,31,22,78,16,62,25,34,34,30,60,90,34,15,32,32,69,44,165
242,A_09172,75243,43460,0,3179,7178,848,3802,20329,1104,2326,143,526,63,138,1180,617,34,747,12,3,5,79,63,89,8,29,20,114,7,53,20,28,23,28,53,70,34,11,25,49,65,54,152
243,A_09173,93112,58996,0,4172,11572,1208,4547,25114,2101,3353,245,636,38,213,2072,859,55,985,6,5,38,103,59,48,22,31,35,168,10,57,25,70,46,67,74,81,47,30,29,92,75,56,383
244,A_09174,105723,68828,0,5416,12866,1143,5770,27854,2467,4299,364,869,66,300,3078,1196,67,911,9,23,2,106,115,66,39,29,47,221,21,94,22,54,26,57,90,77,49,27,48,104,114,91,465
245,A_09175,100417,68997,0,5907,15695,1289,4798,26850,2839,3281,381,788,43,245,2462,1282,53,882,13,4,4,122,80,66,24,52,42,231,13,86,20,45,42,57,88,100,57,26,31,92,82,65,606
246,A_09176,98064,62387,0,4817,7698,1008,6022,30148,1659,4075,237,614,78,200,2487,995,57,835,10,7,2,91,53,60,46,20,28,124,16,87,14,34,26,49,61,43,31,17,25,68,60,76,242
247,A_09177,99996,63272,0,4116,11160,1207,5797,26174,2017,4589,331,760,60,256,2678,1126,53,1030,9,10,7,136,85,63,34,33,32,153,12,108,21,41,41,72,70,87,36,23,27,100,101,84,352
248,A_09178,121726,77503,0,5738,16738,1748,6414,28108,2737,5650,516,925,94,271,3002,1887,73,792,17,15,15,143,91,64,143,61,51,292,20,78,28,37,48,74,127,112,49,40,42,213,102,92,663
249,A_09179,155179,104528,0,9798,23606,2102,7694,39135,4130,5550,673,1261,105,361,3603,1990,86,973,18,14,5,166,156,135,102,68,52,336,21,133,32,74,52,83,145,146,80,42,53,204,177,97,831
250,A_09180,65722,41459,0,2514,6785,658,3532,19278,1418,2498,114,424,47,127,1837,434,52,585,8,2,1,78,51,35,12,23,25,111,10,33,12,26,33,44,41,48,22,8,38,44,66,37,196
251,A_09181,90787,60365,0,4363,14416,1269,4381,23196,2118,2650,323,720,60,220,2697,1170,48,808,7,2,9,108,71,79,18,49,34,225,6,70,15,50,30,47,84,89,54,20,39,101,85,63,432
252,A_09182,73516,47866,0,3435,8519,751,3538,21486,1907,2790,192,556,52,138,1507,651,46,815,7,3,5,70,75,41,13,30,27,158,10,51,19,41,42,49,66,68,51,19,13,52,92,43,315
253,A_09183,85802,48883,0,2846,6372,846,5008,23591,1298,2871,203,563,59,187,1818,866,51,905,11,5,1,94,91,60,37,43,22,107,9,71,24,34,17,55,54,62,33,7,17,69,83,61,196
254,A_09184,238218,168469,0,16817,39977,3015,11249,63227,8666,6397,946,1994,86,483,5591,3011,110,1224,27,22,9,278,191,124,154,88,88,599,30,192,37,86,78,132,197,253,99,64,72,331,227,148,1824
255,A_09185,72036,39960,0,2427,4974,639,3669,19694,962,3787,183,366,63,120,1000,629,31,471,6,4,3,52,66,27,27,17,16,56,17,37,16,33,19,37,50,37,34,12,12,63,45,45,129
256,A_09186,93530,55817,0,4107,8225,947,5752,24951,1790,3382,330,602,73,203,2154,898,49,805,5,12,4,85,61,41,38,33,30,122,23,86,19,31,26,46,73,54,43,21,23,79,99,73,283
257,A_09187,195791,123504,0,8768,22753,2020,10275,53763,4078,6261,528,1428,123,402,4917,1715,130,2691,26,19,3,211,204,137,47,115,57,355,24,168,43,94,72,103,165,156,107,34,80,145,242,126,638
258,A_09188,97203,69908,0,6009,18054,1226,4495,25959,4038,2685,338,759,51,132,2254,1056,44,564,7,11,5,114,85,42,17,54,29,262,8,55,20,39,45,59,75,121,37,24,45,87,89,56,738
259,A_09189,134120,79687,0,6081,14772,1558,6002,35971,2035,3988,272,943,91,232,2629,1163,88,1717,9,7,4,128,99,135,18,57,40,190,13,100,24,67,57,62,83,105,61,23,42,85,120,80,326
260,A_09190,102661,65600,0,5273,11958,1378,4847,26812,1992,3868,275,737,103,297,3949,1046,50,997,14,9,12,116,96,67,39,49,35,187,13,78,28,45,43,78,105,82,46,17,41,82,108,65,377
261,A_09261,49256,28802,0,2158,5668,733,2552,11819,1139,1224,166,394,38,86,973,606,17,267,13,11,5,45,52,30,32,20,13,113,7,28,8,27,27,25,34,31,38,9,30,39,44,34,174
262,A_09262,38257,22466,0,1932,4524,614,1824,9307,806,402,106,255,19,58,997,494,16,201,2,0,4,26,32,26,6,19,8,79,4,22,7,15,9,14,19,35,15,9,27,38,25,19,396
263,A_09263,34121,17101,0,1132,1981,410,1993,8669,408,619,81,201,39,56,631,276,23,163,1,7,2,28,23,10,8,8,6,34,2,15,5,12,13,14,13,11,10,3,4,12,26,22,62
264,A_09271,91964,47103,0,2907,4657,735,5359,25300,1062,2522,188,481,72,145,1212,547,51,789,7,3,4,78,62,22,26,20,17,77,18,42,31,33,25,44,35,85,18,6,20,38,75,53,128
265,A_09272,63757,31715,0,1842,2446,448,3627,18113,571,1660,89,282,47,65,889,245,24,711,6,2,1,55,40,9,2,12,11,57,8,24,15,13,16,20,25,43,10,7,9,40,47,40,68
266,A_09273,88551,53127,0,3150,5521,814,4731,29891,1028,2382,216,570,96,126,1863,658,49,771,7,10,4,89,59,35,42,30,19,115,23,50,28,35,33,56,50,42,26,14,21,51,84,47,155
267,A_09274,118913,73247,0,3965,8644,1086,7140,37043,1882,5926,300,864,82,239,2337,872,62,1038,9,6,3,125,75,75,27,38,34,131,18,76,28,72,36,66,64,64,47,12,28,80,127,87,263
268,A_09275,150646,79632,0,5523,7714,1285,8401,43161,1777,3573,261,896,118,284,2673,805,82,1235,5,4,1,154,104,69,17,38,22,118,37,101,27,41,52,58,70,121,51,10,30,71,120,93,245
269,A_09276,62104,29571,0,1955,2303,460,3936,16146,576,1286,114,286,34,73,819,362,30,511,2,2,2,66,39,25,2,20,5,35,33,27,10,16,23,26,21,46,15,3,12,33,46,35,62
270,A_09277,92148,50147,0,2752,5141,755,4664,27909,1096,2547,163,550,45,139,1732,547,35,842,6,6,2,97,80,22,6,27,21,86,18,61,17,29,27,39,45,67,46,12,11,48,82,46,188
271,A_09278,77829,45784,0,2028,3601,559,4828,26820,810,2703,155,391,108,126,1710,454,40,589,9,3,4,56,42,16,6,18,26,54,14,58,14,14,22,31,39,22,17,6,14,49,54,57,111
272,A_09279,71333,38793,0,2330,3181,556,4382,21311,910,2068,182,403,61,120,1427,433,23,588,1,3,4,67,36,30,14,19,10,38,14,33,14,29,16,24,38,34,23,9,14,28,48,42,123
273,A_09361,32373,16912,0,2098,2690,486,1842,6682,483,690,136,204,23,59,541,322,20,163,2,2,0,30,23,19,6,9,13,40,7,27,2,6,10,15,20,17,9,2,5,28,27,27,59
274,A_09362,106300,64366,0,5589,17573,2306,4576,20570,2306,2221,516,645,38,141,2593,2237,42,389,35,10,4,90,78,56,60,62,29,609,16,68,14,58,41,70,53,87,50,31,94,177,64,63,585
275,A_09363,32545,17022,0,2214,2518,505,1818,6899,579,709,107,182,19,67,393,289,29,174,4,4,0,46,29,9,19,14,10,52,10,18,5,14,9,22,13,15,13,5,11,28,29,27,53
276,A_09371,81933,49404,0,5871,5825,955,4705,21848,1135,3712,281,521,92,185,1578,803,50,593,10,7,1,100,76,53,9,26,22,70,12,76,16,21,38,53,45,31,35,8,18,35,103,64,153
277,A_09372,102050,54266,0,2802,4491,767,6546,28712,891,4918,186,487,80,193,1548,595,61,791,12,4,2,84,57,44,2,28,17,76,109,61,15,23,23,42,54,31,37,7,16,50,98,64,117
278,A_09373,101502,63990,0,3929,8850,1272,5406,32256,1457,4343,324,635,112,249,1947,1043,57,596,16,4,2,95,81,65,34,71,22,111,37,59,25,31,29,59,51,57,32,17,22,69,103,86,192
279,A_09374,75822,44479,0,5193,4386,774,4367,21420,986,3323,183,429,93,177,1015,483,50,532,6,4,2,81,65,41,6,25,24,62,8,56,9,28,27,55,38,26,32,8,16,44,87,61,110
280,A_09375,147691,92345,0,6510,12911,1661,8832,43058,2114,7844,470,920,122,315,2871,1373,81,950,17,7,3,150,102,79,38,54,32,236,24,83,30,74,46,68,101,104,54,24,32,114,133,114,330
281,A_09376,114507,63717,0,6302,6093,1236,7421,30278,1301,4462,275,681,150,276,1866,816,72,896,10,9,0,126,95,63,38,34,26,73,21,84,27,42,37,64,70,83,43,23,25,55,116,79,165
282,A_09377,58961,34674,0,3368,3206,548,2914,18086,667,2839,126,349,75,117,639,507,37,394,2,4,2,76,45,49,9,23,6,33,7,39,11,22,21,23,41,21,21,6,7,30,78,46,71
283,A_09461,55702,33617,0,3234,9537,1371,2621,10162,1191,1028,221,337,44,96,998,1245,20,136,9,24,2,44,43,40,14,33,16,183,15,42,9,25,22,40,34,14,20,13,44,75,47,39,436
284,A_09462,57162,32379,0,3837,7628,933,2426,10646,1715,964,184,402,32,94,891,1029,30,124,12,7,0,65,34,80,23,22,16,160,6,27,15,12,24,27,37,42,14,24,27,130,47,52,467
285,A_09463,31595,17848,0,2509,4065,582,1352,5934,682,457,87,208,45,69,543,628,20,63,3,13,1,30,29,25,16,14,9,50,4,30,2,11,14,21,30,12,16,7,13,30,33,25,109
286,A_09464,33055,16489,0,2348,2384,485,1926,6226,592,635,152,202,26,58,259,454,17,86,5,3,0,44,30,111,41,12,7,34,5,33,9,12,10,22,22,10,14,9,8,26,32,22,64
287,A_09471,116313,70364,0,5635,9497,1290,7933,31770,2292,4438,407,809,211,390,1574,1265,93,655,14,29,5,141,104,79,13,51,45,111,85,133,37,45,60,82,92,62,53,22,40,78,115,138,294
