,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,linke,afd,csu,fdp,fw,piraten,tierschutz,npd,fpd,oedp,partei,ajddvpfdm,bayern,dkp,mlpd,sgvi,tierschutzdo,afmtn,bcfd,bfig,bg,direkt,diem25,dw,grauen,rechte,violetten,liebe,frauen,grauepanther,lkr,mwfdwga,nlds,oel,humanisten,pfdtd,pfg,volt
49,A_03402,37967,22907,4188,6545,4876,1282,2134,0,1102,136,200,399,50,178,47,617,51,15,31,5,3,66,27,33,13,19,21,38,4,56,14,12,22,32,43,26,27,7,15,46,52,39,103
50,A_03403,129795,84221,16019,14420,29947,5395,4379,0,3885,445,619,1231,100,347,579,3148,92,39,55,29,9,204,120,53,105,110,50,400,8,114,26,51,48,101,135,289,58,51,168,219,106,86,593
51,A_03404,123608,79178,18653,13966,26208,4182,3780,0,3762,301,559,857,73,262,456,2711,71,39,42,25,8,139,79,96,217,96,44,312,5,109,31,44,40,60,90,95,48,48,196,257,85,61,678
52,A_03405,61706,32937,8502,8470,6412,1231,3021,0,1431,325,176,483,57,231,93,879,53,66,17,18,2,101,49,15,11,31,24,90,5,72,24,17,23,47,63,93,24,14,25,80,75,54,218
53,A_03451,97566,63255,19150,12396,14780,2164,4419,0,3766,415,357,949,98,498,597,1314,94,37,16,7,9,181,95,35,30,50,32,97,17,101,31,29,39,70,99,156,34,22,46,84,90,103,285
54,A_03452,153372,92401,22122,26003,17673,3462,8282,0,4382,844,572,1563,185,711,288,1752,131,63,24,23,29,367,170,146,33,97,54,152,14,187,79,53,90,163,170,107,65,31,59,106,234,153,385
55,A_03453,120227,66148,31400,8862,10264,1797,4903,0,3639,284,349,582,104,549,208,1169,62,23,6,8,7,131,62,206,16,32,41,53,3,89,21,33,40,74,93,82,39,18,27,90,61,82,232
56,A_03454,239069,150178,73445,22028,24494,3611,8120,0,7597,539,718,1346,190,948,331,2587,118,69,26,12,16,240,155,118,38,92,73,165,15,161,60,72,92,151,155,133,68,36,51,174,193,193,557
57,A_03455,81384,50517,13854,12575,10287,1705,3873,0,2663,297,293,846,76,381,191,1179,71,37,18,18,7,179,94,27,18,44,35,93,14,96,34,26,61,60,107,148,46,24,42,64,106,81,220
58,A_03456,97968,65766,25492,15485,12069,1724,3088,0,3063,243,292,669,73,395,286,957,65,53,22,10,6,175,79,79,42,28,24,76,11,66,19,32,42,67,64,38,36,22,35,51,95,70,196
59,A_03457,131488,73354,19629,18618,14554,2683,6572,0,3381,363,409,1114,138,610,314,1786,107,51,26,7,16,224,109,184,20,61,50,129,8,135,58,57,62,101,146,140,44,19,44,104,163,91,387
60,A_03458,101026,63567,18017,11426,16006,2323,4914,0,4327,716,354,973,88,466,300,1310,90,47,13,5,10,190,94,46,22,44,51,132,9,127,26,42,49,80,130,149,46,32,43,107,103,94,279
61,A_03459,272973,171071,61372,33789,38162,5296,9553,0,8456,784,881,1806,248,1189,580,3181,179,123,41,24,21,351,201,329,119,113,73,299,14,238,90,104,137,208,196,172,101,63,99,220,288,219,643
62,A_03460,101152,65089,31667,7671,11755,1522,3927,0,3733,326,309,523,61,383,170,1274,75,24,20,12,5,93,67,30,51,16,24,77,5,86,21,28,46,72,69,36,25,21,25,94,51,69,259
63,A_03461,69579,37953,10540,8826,8152,1446,2973,0,1993,235,235,604,69,267,123,914,64,10,17,10,6,124,79,16,41,25,25,69,5,100,29,33,33,44,75,52,31,11,22,72,70,75,144
64,A_03462,46072,24414,7688,5600,4547,748,2118,0,1208,147,116,422,44,198,79,443,40,22,2,7,4,100,41,29,12,29,11,42,8,65,12,25,24,24,40,46,16,5,17,28,55,35,85
67,A_04011,390038,254481,55205,60790,58947,20056,17977,0,11606,1427,2077,2646,288,682,604,8744,348,109,174,103,24,543,289,176,916,590,110,1258,37,247,127,92,127,282,344,181,341,89,474,917,343,248,1828
