,teryt_code,eligible_voters,issued_ballots,cdu,gruene,spd,afd,csu,linke,fdp,partei,fw,tierschutz,oedp,fpd,volt,piraten,mera25,heimat,aptierschutz,pfsv,bfig,bcfd,humanisten,mwfdwga,dkp,mlpd,sgvi,abg,bdp,bundnisd,bsw,dava,klimaliste,pasdlg,pdv,pdf,v_partei3
338,A_10043,102513,68316,19433,3280,14911,12009,0,1257,2523,1444,996,1277,312,797,760,288,59,74,660,21,16,52,113,128,9,25,6,44,84,234,5540,90,29,103,80,365,89
339,A_10044,152052,104685,30777,5771,21215,16274,0,1788,4730,2247,1544,2069,665,1206,1366,483,126,72,1045,43,44,80,187,230,18,20,14,64,156,374,9096,250,46,164,93,544,167
340,A_10045,112398,78170,22472,5468,15061,12565,0,1485,4038,1669,1391,1377,442,1388,1244,324,96,79,696,32,25,90,160,130,10,19,12,43,136,301,5333,120,30,130,88,413,123
341,A_10046,70990,53827,19849,2757,10877,7044,0,772,2088,1015,1159,956,231,612,550,197,35,46,453,19,3,41,79,95,8,6,9,28,82,201,3258,18,28,77,41,238,69
344,A_11000,2495665,1553432,271716,302225,204568,179303,0,112825,67107,51804,7897,32035,5820,7335,74273,8039,21631,1138,8209,1028,1951,1209,3686,2222,1427,690,446,808,2894,5232,134113,9095,2653,10005,1056,8491,2198
347,A_12051,58976,34714,6195,2076,5096,8459,0,1491,937,865,1052,606,123,360,754,137,67,58,222,24,28,33,68,72,33,12,5,54,54,172,4688,21,37,139,27,217,67
348,A_12052,76204,48499,7485,2149,6964,13976,0,2194,1395,1386,767,690,121,526,669,177,84,162,284,24,17,70,94,96,52,13,8,48,139,277,7491,32,40,126,57,234,52
349,A_12053,43181,26962,4691,1200,3306,7374,0,1751,684,804,380,370,86,301,235,75,43,45,139,13,9,30,45,45,32,17,3,30,26,128,4444,15,18,69,24,105,28
350,A_12054,138781,100485,14280,15390,15258,13502,0,6542,4516,3418,1040,1734,646,771,5247,536,480,96,475,49,53,89,260,174,97,70,22,78,244,489,11981,56,146,777,86,796,198
351,A_12060,158148,108300,17767,6545,11918,28816,0,6304,3261,3079,3561,1760,321,1065,1671,348,195,206,676,68,52,107,194,245,111,25,24,118,255,545,16461,43,95,358,82,617,134
352,A_12061,143251,97772,18484,5190,12902,26575,0,3747,3104,2514,1995,1751,303,1305,1324,355,166,293,647,63,64,83,159,191,96,31,16,93,205,576,13057,113,97,243,83,574,122
353,A_12062,84040,57917,10925,1304,5795,19933,0,1843,1339,932,1546,854,88,964,390,191,51,251,410,45,37,105,47,115,40,27,21,88,123,292,8626,9,39,86,71,205,55
354,A_12063,136422,88128,19975,6552,12186,22060,0,3413,3170,1793,1520,1454,286,942,1329,347,143,202,561,40,43,80,142,152,42,28,21,72,167,381,8915,66,65,264,77,531,116
355,A_12064,164095,111674,17792,5352,12250,32707,0,5672,3133,2675,2457,1963,329,1490,1263,360,154,284,847,82,68,111,139,221,84,40,25,135,228,639,18423,53,87,267,135,623,133
356,A_12065,178619,121943,24423,7945,16639,31764,0,4538,4434,2620,2296,2537,348,1361,2434,741,203,298,942,89,51,140,189,234,69,52,17,119,221,516,13896,64,98,305,99,697,163
357,A_12066,89355,57863,10019,1290,6520,20097,0,2175,1408,955,1252,887,113,809,441,177,61,360,416,47,27,98,58,110,40,23,15,76,100,327,8331,17,24,89,73,216,59
358,A_12067,149401,100835,16525,3935,12339,31452,0,4095,2648,2161,2083,1641,563,1256,1092,405,130,377,663,79,65,105,143,218,82,49,20,114,196,583,15438,36,68,199,113,546,92
359,A_12068,82878,53854,10549,2337,7543,15872,0,2375,1270,904,1405,764,118,637,407,174,101,139,382,28,22,54,65,109,36,18,10,59,92,246,6761,27,45,132,48,184,57
360,A_12069,180043,129219,26544,11938,19297,26110,0,4980,6204,2622,2335,1952,475,1415,2630,593,254,240,800,74,60,108,221,228,81,48,30,119,300,721,15421,46,124,401,129,797,188
361,A_12070,62683,40031,7798,1160,5523,12350,0,1738,925,617,905,607,47,530,209,106,32,101,249,20,14,46,41,69,24,12,10,30,65,163,5667,8,21,79,32,146,30
362,A_12071,94005,64604,10894,1348,6712,23961,0,1980,1624,1171,1183,832,111,844,418,148,53,305,426,47,24,66,68,124,39,17,12,82,123,349,9807,23,31,102,69,263,58
363,A_12072,140621,94306,18283,4859,13397,24540,0,3811,3360,1972,2272,1914,341,1480,1241,326,121,216,805,66,47,106,160,243,77,39,26,109,231,531,11190,64,69,235,104,594,116
364,A_12073,98530,65674,11308,2102,8052,21169,0,2871,1352,1318,1300,884,95,858,342,164,64,193,396,36,47,52,77,135,50,26,24,80,101,302,10693,27,30,141,54,193,63
367,A_13003,168223,105669,17495,9941,13332,19312,0,8530,3440,3304,806,1650,403,908,3444,652,342,194,665,108,76,127,327,229,107,118,47,126,320,487,16340,72,109,510,104,709,195
368,A_13004,77301,50602,9843,3344,7445,11075,0,2646,1764,1224,407,510,110,433,971,252,90,96,285,60,33,77,101,96,59,34,16,63,83,173,8151,27,51,148,38,251,71
369,A_13071,215121,139237,29477,4247,12260,43685,0,6286,2746,1897,1342,1517,248,1580,1083,413,149,466,915,116,99,190,172,302,116,77,51,216,420,598,25009,74,101,226,152,401,129
370,A_13072,180073,123260,28091,4995,12517,34171,0,5060,3349,1946,1250,1412,295,1506,1162,409,154,319,831,108,84,207,177,272,91,83,54,178,370,540,20513,49,68,237,148,523,138
371,A_13073,187390,118268,27148,4791,9220,35671,0,5116,2902,2024,1078,1599,213,1375,1120,548,155,297,992,99,77,197,173,226,123,60,39,198,232,451,19004,43,85,199,125,464,103
372,A_13074,130633,86936,18632,4473,10886,22821,0,3812,2494,1360,875,976,183,1176,1198,430,99,302,640,78,53,122,148,184,80,39,25,168,179,383,12933,37,52,207,101,407,116
373,A_13075,193422,126717,26206,5727,9210,41908,0,5263,2849,1931,1034,2498,260,1472,1710,393,160,760,998,128,100,225,231,245,111,57,48,222,234,488,18867,53,91,357,147,420,100
374,A_13076,172133,116933,26939,3496,13174,33253,0,4863,2801,1439,1330,1263,194,1556,786,414,87,506,762,91,60,184,134,225,91,50,49,183,193,496,19132,53,64,174,147,400,121
377,A_14511,187698,125860,24883,7723,11646,35149,0,6743,3378,3532,1594,1758,485,1097,1928,526,221,260,612,99,56,564,390,248,110,49,24,120,369,603,18955,74,103,360,159,647,201
378,A_14521,273958,190508,44765,3587,9028,71709,0,6078,3264,2693,6909,2093,464,1788,1006,463,114,798,829,103,68,1945,232,306,90,38,30,148,373,860,26178,58,60,175,204,519,189
379,A_14522,245436,170917,39513,4669,9686,61463,0,6383,3543,2736,5642,2102,426,1818,1434,606,164,503,802,96,52,556,295,292,104,51,33,163,387,845,22961,40,69,210,171,619,144
380,A_14523,183074,121818,29576,3173,7822,40977,0,4222,2407,1971,2644,1605,282,1192,755,297,78,351,652,61,44,961,153,203,65,39,15,97,251,707,18668,29,62,165,138,393,111
381,A_14524,253821,171001,39101,4847,11023,58725,0,5845,3741,3184,5754,2304,447,1561,1142,507,115,440,857,82,60,1070,213,277,77,68,31,138,415,914,24584,50,59,226,126,611,156
382,A_14612,429624,312570,60640,36822,26876,69361,0,17739,10032,10841,5562,4295,1464,2227,13176,4556,1059,509,1011,267,173,664,1042,517,185,106,64,220,889,1962,32791,140,351,1770,281,2182,566
383,A_14625,245151,170545,39831,4451,8509,65907,0,5330,3377,2876,4705,2035,385,2227,1376,681,129,634,725,71,86,459,218,360,71,51,37,207,388,905,20623,52,64,233,165,684,149
384,A_14626,202513,137878,32193,3808,5942,54432,0,4527,2223,2212,3195,1863,275,1833,1075,487,125,537,660,83,54,530,157,304,60,34,25,147,394,735,16778,41,50,215,190,495,137
385,A_14627,197983,137855,31056,5348,7414,51271,0,4362,3316,2344,3348,1709,373,1663,1751,614,131,499,616,85,68,276,211,272,60,58,22,161,352,967,16402,44,83,251,176,611,141
386,A_14628,201625,141623,31196,4623,6447,55230,0,4225,2816,2133,4497,1691,367,1441,1443,613,130,502,649,94,49,328,232,236,53,35,25,148,383,974,17959,47,52,243,145,593,151
387,A_14713,464186,324312,53452,43792,30877,58404,0,33667,9834,13831,3396,5583,1361,2339,12246,2072,2368,368,1394,210,168,580,1231,578,285,199,83,214,774,1405,34002,149,462,3152,315,2254,748
388,A_14729,215619,149067,36506,5843,10898,48027,0,5786,3730,2671,4030,2070,314,1775,1534,488,137,342,741,85,81,242,196,261,76,53,34,186,374,830,18449,45,79,289,151,753,185
389,A_14730,162515,108022,25288,3155,7696,39370,0,4055,2454,1750,2807,1438,196,1371,733,329,58,310,541,66,39,119,141,167,52,35,27,130,201,633,12487,34,54,171,82,431,114
392,A_15001,64065,39345,8767,1965,3864,10644,0,1775,1097,683,484,683,92,506,337,168,50,104,293,12,23,40,44,79,27,36,16,47,77,175,6259,25,37,93,41,147,41
393,A_15002,181487,113880,20841,10951,11618,23357,0,8131,3437,3668,1339,1906,341,1052,5185,501,469,152,633,79,47,153,401,202,85,97,33,81,365,498,15234,51,142,696,101,658,191
394,A_15003,182570,111280,21746,8064,11851,24211,0,5989,3199,3159,957,2537,296,1083,3576,522,229,163,842,87,48,98,325,212,93,95,32,79,246,496,18328,94,111,514,93,675,168
395,A_15081,67825,43292,10036,1356,4179,12424,0,2378,976,726,620,534,64,705,236,135,61,102,260,27,19,43,45,100,26,22,13,44,180,188,6662,9,35,128,46,195,45
396,A_15082,130516,80372,18821,1879,5934,27391,0,3786,1833,1141,1714,1255,105,1199,424,248,62,211,669,60,23,68,95,160,38,54,18,96,137,338,10811,28,41,87,73,219,78
397,A_15083,141290,89075,21295,2267,7731,28094,0,3386,2035,1392,1237,1431,131,1384,649,287,70,224,684,43,31,79,102,191,52,41,25,97,214,524,13223,39,59,120,83,338,65
398,A_15084,143572,89242,20236,2036,6193,31688,0,3691,2015,1282,1183,1308,112,1289,503,258,52,290,668,48,25,103,94,161,42,50,23,127,345,437,12931,47,45,134,103,268,84
399,A_15085,176931,109319,26590,3609,9732,32088,0,4729,2270,2046,1860,1733,179,1560,799,333,96,265,834,62,46,139,129,250,51,48,25,108,299,504,16489,33,70,190,93,422,121
400,A_15086,75005,48427,11474,1399,4207,14718,0,1813,1176,809,754,798,61,680,311,130,45,113,330,30,18,42,51,86,25,32,10,42,85,227,7787,16,28,76,48,169,46
401,A_15087,111631,66225,15238,1072,5152,23700,0,2945,1280,872,758,895,62,989,284,169,38,239,471,33,26,75,69,120,29,25,18,81,128,276,9833,20,27,70,74,147,54
402,A_15088,153000,99235,22903,2723,6843,34058,0,3820,2604,1343,1298,1463,147,1481,703,292,70,264,754,63,43,76,136,195,58,56,22,97,302,485,14475,143,40,151,89,397,95
403,A_15089,154965,89516,20195,1942,7025,30281,0,4099,2242,1199,1004,1515,102,1279,497,246,56,214,699,55,30,137,105,172,47,61,16,97,147,399,13563,39,48,122,92,284,86
404,A_15090,90977,57611,12404,1663,5137,18753,0,2770,1295,846,1175,722,88,904,359,204,46,148,359,34,23,81,60,134,28,38,25,71,136,283,8449,16,36,110,65,228,51
405,A_15091,103717,66530,17109,1947,5147,20544,0,2796,1377,993,2358,892,84,804,416,207,36,207,432,33,17,59,66,104,41,22,9,61,129,276,8762,27,70,105,60,238,52
408,A_16051,163706,103264,22546,8616,10623,21168,0,8932,2647,3090,1006,1364,499,957,2578,809,309,106,496,75,34,164,209,156,71,80,19,74,187,433,13937,37,114,448,93,558,180
409,A_16052,73232,42271,8381,1505,3055,13822,0,2797,827,930,322,466,129,389,390,110,31,102,252,31,14,60,47,62,21,45,5,47,71,322,7328,19,19,88,35,172,42
410,A_16053,81197,55000,8773,7898,5720,7888,0,5430,2146,1934,567,547,264,312,3430,401,247,53,147,37,25,97,158,81,28,35,8,31,188,238,7245,19,69,360,31,270,74
411,A_16054,28785,16304,3259,428,1377,5039,0,1067,271,203,310,122,67,122,120,48,13,20,79,11,2,11,9,30,21,16,3,25,30,70,3254,14,10,25,15,66,21
412,A_16055,50119,32154,5844,3994,3310,5762,0,2858,812,1050,256,364,133,239,889,241,236,37,140,21,23,58,91,45,26,15,1,19,136,156,4738,20,43,217,10,137,47
413,A_16061,85087,55149,22181,1592,2976,14756,0,1722,1248,657,1508,314,233,512,388,108,22,144,152,23,17,70,49,61,11,23,3,33,81,187,5494,26,33,49,32,103,40
414,A_16062,66464,37555,8029,1105,3514,12180,0,2389,789,628,290,347,67,360,245,105,31,94,166,24,11,38,46,47,13,34,8,37,54,179,6247,12,29,59,23,84,27
415,A_16063,127916,79067,21268,2165,6234,25658,0,3530,1202,1219,1620,693,152,705,518,227,56,521,350,33,16,113,70,123,30,57,8,89,197,328,10712,35,31,138,43,183,70
416,A_16064,78856,47094,10800,1275,4738,14246,0,2312,831,725,1640,445,92,547,288,131,21,97,242,26,17,61,34,53,19,26,5,91,65,200,7359,9,29,71,35,123,47
417,A_16065,60778,36207,7461,608,3822,12780,0,2031,475,481,467,364,58,381,162,98,20,195,192,16,9,37,31,38,15,20,6,31,59,156,5628,13,17,45,29,62,20
418,A_16066,100994,59258,12423,1559,5447,19903,0,2704,1143,877,1325,525,176,567,324,260,39,120,257,25,17,104,60,75,22,32,8,80,125,278,9993,19,19,98,38,171,43
419,A_16067,105517,64622,14187,1800,7468,20591,0,2925,1149,1213,1052,666,145,665,477,260,41,155,391,37,18,112,63,100,26,46,12,74,174,286,9423,20,40,126,53,200,60
420,A_16068,56566,35566,9056,825,2042,12475,0,1858,603,499,489,365,71,374,242,114,29,129,172,14,8,30,24,44,11,34,2,30,61,180,5273,11,9,44,32,82,27
421,A_16069,50316,33777,6558,590,1910,12195,0,1460,557,480,2486,293,200,358,153,101,19,85,157,14,8,45,30,42,31,17,6,42,93,169,5227,13,20,29,29,80,18
422,A_16070,83797,52861,10884,2114,4094,17264,0,3011,1033,1226,1103,577,106,550,739,336,51,119,296,34,15,66,91,87,24,32,6,51,109,287,7712,33,30,104,39,181,36
423,A_16071,66429,43034,10550,1440,2850,13926,0,2022,916,784,936,421,80,469,377,132,47,139,205,32,14,52,56,43,16,25,4,47,113,237,6443,15,14,82,40,162,37
424,A_16072,45822,26089,5534,528,1727,9952,0,1371,424,406,374,227,98,193,123,65,17,77,114,10,16,40,24,23,16,29,3,24,40,144,4149,9,14,44,18,71,14
425,A_16073,84724,49571,9890,1250,3578,17307,0,2350,825,962,795,426,84,509,416,190,44,143,243,29,14,69,45,80,18,26,11,56,102,279,9115,10,25,104,38,172,41
426,A_16074,67666,45524,11191,1483,2863,14404,0,2524,955,872,620,436,107,575,565,148,42,127,267,22,22,76,67,67,31,20,5,47,123,235,6945,12,38,72,30,146,52
427,A_16075,64882,38507,9174,812,2212,14426,0,1756,615,623,593,308,72,373,248,131,23,96,159,24,14,110,40,53,23,25,5,34,67,208,5853,23,14,57,27,96,31
428,A_16076,80024,52514,13416,1223,2967,18399,0,2203,908,929,675,491,83,572,329,139,28,132,279,24,14,127,60,81,22,33,10,51,126,267,8072,19,30,63,37,147,49
429,A_16077,72834,43444,9911,902,2778,15893,0,2275,735,651,495,481,70,483,255,136,30,188,212,34,21,67,39,97,24,23,3,134,76,302,6442,15,23,69,36,112,50
