,teryt_code,eligible_voters,issued_ballots,cdu,gruene,spd,afd,csu,linke,fdp,partei,fw,tierschutz,oedp,fpd,volt,piraten,mera25,heimat,aptierschutz,pfsv,bfig,bcfd,humanisten,mwfdwga,dkp,mlpd,sgvi,abg,bdp,bundnisd,bsw,dava,klimaliste,pasdlg,pdv,pdf,v_partei3
232,A_08426,151348,102741,41368,9871,7669,16884,0,1001,5916,1336,4055,1111,1571,675,1618,452,121,100,383,48,61,344,180,150,11,16,13,96,309,481,4435,243,57,142,74,635,159
233,A_08435,161255,108524,37225,15138,10860,14444,0,1646,8295,1749,4645,1033,899,443,2011,496,196,55,414,28,46,300,193,193,18,24,10,69,397,469,4760,242,86,240,96,554,156
234,A_08436,214386,142503,51391,18738,11966,19375,0,2073,8842,2242,6557,1508,2441,748,2692,595,239,109,507,35,78,452,224,343,25,32,10,112,588,591,6438,492,115,287,116,819,204
235,A_08437,98563,64440,26496,5408,4975,11261,0,799,3542,777,2836,679,368,368,665,277,78,67,272,24,27,162,107,120,10,20,7,49,213,316,2962,167,29,95,49,285,63
238,A_09161,90536,51400,0,5912,4766,6925,19555,822,2446,938,2435,452,1253,148,1215,242,134,31,129,21,32,77,149,62,8,9,10,27,162,193,2311,276,21,104,31,294,95
239,A_09162,947004,637577,0,150923,76291,42414,172334,14341,44021,14772,15550,6470,12997,1204,37173,2857,3138,184,1392,247,480,585,2274,625,189,134,81,221,1623,2017,21992,2330,471,2597,294,3251,1181
240,A_09163,41694,25676,0,3931,2571,3012,8950,465,1033,513,1317,292,579,79,632,103,57,15,89,10,12,34,66,46,6,4,3,14,157,104,1069,89,24,64,17,162,71
241,A_09171,84011,50726,0,3895,3683,7865,21887,522,1500,780,4314,470,1130,197,592,174,64,39,132,12,15,42,74,63,4,5,8,30,308,172,2194,43,18,73,37,190,65
242,A_09172,76170,45839,0,4303,3172,6225,18956,537,1428,615,4958,427,936,156,547,146,54,24,112,12,18,104,86,62,11,4,1,34,208,145,1984,25,28,93,29,199,73
243,A_09173,95021,62806,0,7820,4441,6991,25742,686,2745,940,5568,576,1336,201,1176,204,67,52,145,13,19,63,116,76,6,1,4,42,219,198,2439,81,47,137,40,334,115
244,A_09174,108937,73863,0,8645,5766,8132,30465,678,2803,1099,5531,886,1859,267,2528,266,127,39,186,26,39,62,181,65,6,8,5,61,296,299,2464,141,34,117,48,469,120
245,A_09175,103251,74693,0,11201,6480,6945,29606,890,3761,1277,4504,905,1599,260,2112,265,130,50,207,36,34,76,209,68,6,12,8,42,276,273,2356,96,43,163,46,465,124
246,A_09176,101198,69823,0,5160,4908,9462,32325,673,2060,821,6174,588,1505,232,1240,189,78,53,158,18,27,79,131,75,14,4,5,33,229,243,2517,120,28,95,40,327,87
247,A_09177,103294,70020,0,6981,4663,8623,29330,683,2498,982,6753,753,1788,255,1462,256,102,66,231,24,41,69,175,98,13,10,3,60,283,269,2519,102,28,117,43,458,141
248,A_09178,124608,84389,0,11608,6328,9272,31357,1221,3288,1675,7334,981,2004,293,2367,364,208,60,259,24,49,69,332,79,19,7,10,102,476,337,2814,317,48,224,63,504,149
249,A_09179,155652,108429,0,15716,10754,9873,42171,1206,4929,1824,5910,1195,2480,352,3922,530,223,70,331,50,57,111,326,117,8,7,8,85,392,371,3682,184,87,253,64,706,227
250,A_09180,66170,43050,0,4629,2667,4626,17910,412,1693,557,5415,379,1151,113,688,83,56,38,116,10,8,38,65,59,4,5,2,14,157,142,1497,31,27,105,20,153,75
251,A_09181,93998,66501,0,10091,4896,7144,24997,831,2743,1643,4321,802,1739,242,1623,272,81,42,189,28,27,97,162,96,7,10,6,60,459,229,2683,41,37,161,34,433,110
252,A_09182,74902,50493,0,6052,3368,5316,21711,431,2502,625,4426,476,925,146,984,139,60,37,135,15,16,30,81,70,5,3,1,42,229,148,1872,58,27,100,33,262,56
253,A_09183,88206,53559,0,3979,2964,8258,23642,463,1642,683,5128,553,1202,232,708,190,66,52,173,17,24,68,99,72,4,8,2,42,306,193,2104,100,14,76,36,240,87
254,A_09184,242408,174915,0,29163,17661,14301,67052,1927,11666,2864,6905,1923,3643,436,5614,718,417,63,479,63,94,140,559,158,32,15,12,96,581,624,5240,338,101,380,86,974,265
255,A_09185,74291,46699,0,3389,2641,6926,21304,399,1327,615,4827,412,734,180,714,144,60,41,107,14,23,48,89,48,5,3,2,35,224,146,1654,80,16,72,26,233,67
256,A_09186,97699,63926,0,5407,4413,9349,27403,639,2276,893,5712,549,1603,224,1136,221,70,37,144,24,12,67,136,47,9,11,4,47,230,243,2200,121,20,78,51,325,100
257,A_09187,202420,135125,0,15467,9872,17316,54175,1479,5369,1987,11618,1373,2900,447,2215,407,197,97,402,52,44,166,309,184,31,15,9,108,1132,448,5340,137,82,342,105,777,219
258,A_09188,99884,73251,0,13135,6452,5694,27489,845,5533,1264,3377,722,1543,165,2375,287,139,35,157,18,20,48,169,70,6,8,10,43,287,233,2229,56,36,220,36,318,88
259,A_09189,137693,87703,0,9333,6813,10876,36044,927,2647,1221,8648,874,1947,290,1089,253,99,62,235,27,32,148,125,121,12,12,2,75,547,278,3838,42,52,223,58,423,129
260,A_09190,105856,72348,0,8410,5658,8023,28035,825,2706,1271,6738,745,2448,326,1378,257,114,60,226,23,26,87,125,108,11,11,5,64,418,251,2942,71,33,153,57,416,121
261,A_09261,49571,30184,0,4172,2670,3485,11267,505,1323,594,1664,357,811,80,696,124,90,22,96,15,15,28,88,36,7,6,5,20,125,108,1286,91,14,72,29,139,70
262,A_09262,37516,21959,0,2810,1868,2561,8364,398,849,364,826,237,976,38,784,107,47,5,65,12,9,21,60,31,3,3,3,12,49,98,1059,15,12,71,17,99,39
263,A_09263,33940,18102,0,1291,1305,3033,7965,232,508,276,950,168,549,58,285,65,31,31,47,9,5,15,31,21,1,5,5,9,41,56,918,9,9,41,10,54,28
264,A_09271,93004,54248,0,2948,3156,9776,24897,390,1318,568,5440,400,965,144,428,157,45,43,138,18,7,39,74,38,11,5,4,34,137,136,2353,63,14,54,28,183,101
265,A_09272,64481,36764,0,1526,1888,7247,17562,230,698,283,3757,239,679,91,275,79,26,29,97,9,2,18,39,33,3,3,2,21,77,99,1515,2,5,49,22,70,30
266,A_09273,90846,58194,0,3828,3466,9169,27182,503,1417,639,5395,472,1377,150,756,170,57,48,148,21,32,62,82,50,6,4,2,49,165,200,2101,110,11,61,27,253,79
267,A_09274,123397,81268,0,5902,4605,12252,35122,741,2137,962,10209,759,1842,265,916,216,82,69,258,34,21,71,135,99,14,6,6,54,330,276,2968,107,23,114,56,342,119
268,A_09275,153871,90670,0,4507,5465,16195,41433,643,2111,780,8870,699,2277,277,754,237,65,78,238,23,25,81,126,70,3,5,7,69,219,264,4363,29,18,91,54,306,100
269,A_09276,62158,33486,0,1445,1798,6757,15639,223,689,359,3365,252,568,96,196,92,24,24,72,11,4,26,31,27,2,2,0,24,59,108,1309,1,4,43,19,80,40
270,A_09277,93762,56715,0,3209,2985,8885,26251,441,1313,559,6576,460,1339,158,549,189,47,40,137,9,16,22,78,62,7,6,2,43,171,183,2477,29,10,73,22,195,64
271,A_09278,80308,51687,0,2332,2302,8597,24685,365,1015,468,6248,342,1563,176,407,108,30,59,144,14,15,25,62,47,10,2,2,37,97,161,1940,7,17,57,19,174,52
272,A_09279,72759,43525,0,2092,2375,8164,19700,288,969,477,4684,316,1007,143,341,121,25,30,114,13,7,25,54,43,0,5,4,36,113,130,1852,34,15,42,20,143,63
273,A_09361,32365,18119,0,1647,1770,2863,7344,247,704,241,877,161,361,67,321,105,17,11,58,5,4,16,38,25,3,3,2,11,72,67,831,28,8,29,11,89,35
274,A_09362,108557,71948,0,13893,6977,7009,21635,2015,3097,1638,2836,804,1878,148,3941,383,294,22,163,21,36,87,306,67,41,15,11,28,226,235,2764,139,60,434,45,376,176
275,A_09363,31965,18025,0,1330,1988,3033,7555,298,627,225,770,164,309,61,312,69,13,25,55,9,8,17,31,31,3,7,3,13,47,62,722,42,8,30,14,60,28
