,teryt_code,eligible_voters,issued_ballots,cdu,spd,fdp,linke,gruene,csu,piraten,npd,tierschutz,rep,oedp,familie,21rrp,renter,bp,pbc,bueso,violetten,mlpd,volksabstimmung,psg,afd,big,prodeutschland,rechte,frauen,freiewahler,nichwahler,vernunft,partei
230,A_09175,96389,74186,0,13378,4293,2080,7039,36838,1349,268,505,247,866,0,76,0,1047,0,16,84,6,0,0,3698,0,48,0,118,1700,0,50,0
231,A_09176,95946,71570,0,12222,2586,2074,4021,40940,1106,627,403,247,966,0,27,0,847,0,6,68,9,0,0,2380,0,33,0,104,2215,0,71,0
232,A_09177,95996,69440,0,10292,3029,2098,5548,36012,1262,339,524,805,1110,0,43,0,1130,0,15,87,19,0,0,3697,0,44,0,129,2743,0,65,0
233,A_09178,119336,87129,0,13972,4085,2961,9932,41432,1912,577,671,242,1074,0,34,0,1056,0,14,109,18,0,0,4539,0,57,0,162,3551,0,82,0
234,A_09179,153984,116280,0,22666,6244,3642,11390,55729,2375,548,900,287,1085,0,39,0,1090,0,13,162,10,0,0,6083,0,103,0,174,2978,0,86,0
235,A_09180,65339,46430,0,5653,2815,1191,3278,26025,545,230,361,71,834,0,20,0,1073,0,14,66,7,0,0,2514,0,36,0,73,1148,0,71,0
236,A_09181,87309,64966,0,10293,3299,2076,6751,33467,1142,408,448,172,870,0,19,0,997,0,7,99,10,0,0,3045,0,47,0,110,1219,0,59,0
237,A_09182,72254,53003,0,7540,3329,1291,3977,28681,672,244,361,150,579,0,18,0,851,0,15,90,5,0,0,3199,0,27,0,74,1498,0,47,0
238,A_09183,84336,56611,0,7809,2234,1571,3252,33323,952,396,428,264,789,0,22,0,883,0,30,135,6,0,0,2286,0,37,0,94,1545,0,62,0
239,A_09184,233398,180602,0,35540,14940,5088,17654,84406,3311,596,1260,515,1502,0,88,0,1266,0,22,177,31,0,0,8741,0,108,0,225,3829,0,193,0
240,A_09185,70675,48777,0,7090,1848,1461,2579,28877,809,458,308,188,364,0,18,0,540,0,13,59,8,0,0,1651,0,33,0,79,1907,0,45,0
241,A_09186,90579,63625,0,10432,2967,1903,4039,34789,1133,575,442,246,775,0,9,0,889,0,13,73,8,0,0,2666,0,64,0,90,2027,0,61,0
242,A_09187,189578,136054,0,19208,6677,3637,11136,74659,2183,649,903,1027,2057,0,32,0,2692,0,84,208,18,0,0,6386,0,80,0,219,3119,0,129,0
