,teryt_code,eligible_voters,issued_ballots,cdu,spd,linke,gruene,csu,fdp,afd,piraten,npd,freiewahler,tierschutz,oedp,partei,bp,volksabstimmung,pdv,mlpd,bueso,sgp,rechte,addemokraten,tierschutzallianz,bstern,bge,dib,dkp,dm,grauen,du,mg,menschliche,humanisten,gesundheitsforschung,vpartei3
61,A_04011,393286,284098,70450,73173,38787,32731,0,27189,26851,1594,585,967,0,0,4775,0,0,0,226,0,0,0,0,0,0,1689,0,164,504,0,0,0,716,0,0,885
62,A_04012,80865,51821,12959,15771,5842,4002,0,3867,6393,364,278,227,0,0,736,0,0,0,47,0,0,0,0,0,0,115,0,10,103,0,0,0,189,0,0,134
63,A_05111,413939,316546,95658,66711,28786,31527,0,55217,24997,1248,450,681,2122,264,3006,0,217,0,237,0,23,0,973,0,0,394,597,88,343,0,0,0,0,267,250,400
64,A_05112,328202,225342,53576,72620,18915,12337,0,20860,29343,1405,1033,556,2178,167,2291,0,209,0,422,0,39,0,4019,0,0,226,244,85,245,0,0,0,0,138,234,266
65,A_05113,419680,310235,84119,87154,25249,23468,0,38675,35155,1298,788,640,2930,323,3443,0,325,0,370,0,25,0,1494,0,0,339,498,204,279,0,0,0,0,200,324,403
66,A_05114,163278,116789,36907,28787,9393,8968,0,16920,9569,546,254,267,857,100,1319,0,97,0,96,0,5,0,869,0,0,183,131,34,147,0,0,0,0,44,99,117
67,A_05116,190552,132006,46786,30547,9627,8169,0,17946,12373,582,350,279,1100,110,1280,0,126,0,85,0,6,0,613,0,0,130,142,22,111,0,0,0,0,91,118,243
68,A_05117,124310,96328,27160,27003,7395,7055,0,13313,10119,384,158,165,811,74,806,0,74,0,113,0,23,0,375,0,0,83,102,35,81,0,0,0,0,53,69,121
69,A_05119,152264,109648,28171,36209,8978,5678,0,10346,14226,602,403,257,1088,114,1000,0,128,0,112,0,15,0,604,0,0,99,105,22,86,0,0,0,0,72,104,112
70,A_05120,77247,55557,17467,14226,3991,3479,0,7350,5847,265,130,122,452,55,495,0,44,0,21,0,5,0,688,0,0,50,41,8,89,0,0,0,0,38,65,49
71,A_05122,112624,81991,25465,20151,6609,6076,0,11710,7874,409,157,155,660,86,657,0,77,0,69,0,11,0,498,0,0,91,102,9,119,0,0,0,0,53,83,101
72,A_05124,241103,176421,47727,45062,18189,14925,0,22324,18931,939,423,374,1484,206,1683,0,154,0,210,0,14,0,844,0,0,227,270,50,293,0,0,0,0,162,160,186
73,A_05154,226096,169057,69700,39316,9366,10098,0,22687,11621,560,330,614,1170,157,969,0,125,0,63,0,5,0,56,0,0,135,165,15,120,0,0,0,0,73,142,171
74,A_05158,368473,285811,94727,67088,18674,20395,0,45448,26979,1337,518,638,2480,298,1893,0,270,0,132,0,30,0,1064,0,0,245,299,37,307,0,0,0,0,163,276,307
75,A_05162,334133,257790,94615,56021,14876,16283,0,43062,21918,1063,490,775,1886,278,1853,0,203,0,109,0,18,0,973,0,0,225,327,36,217,0,0,0,0,141,201,301
76,A_05166,227423,173280,65475,38368,10342,11591,0,27576,12841,712,366,433,1446,149,1207,0,138,0,52,0,9,0,363,0,0,151,185,29,162,0,0,0,0,96,163,164
77,A_05170,357666,275618,85860,81978,19553,16803,0,32747,26349,1268,618,686,2114,212,2039,0,256,0,234,0,25,0,1182,0,0,223,253,31,270,0,0,0,0,111,277,254
78,A_05314,227583,180439,53334,36119,17133,25197,0,28113,13136,663,147,412,684,253,1950,0,107,0,81,0,22,0,325,0,0,312,431,30,206,0,0,0,0,211,69,273
79,A_05315,732825,555837,145657,126988,63324,74849,0,76122,40019,2405,653,1198,3775,655,7449,0,448,0,472,0,59,0,3095,0,0,968,1610,124,537,0,0,0,0,550,440,791
80,A_05316,116593,87628,26748,23683,6449,6026,0,11274,8936,396,232,216,662,75,954,0,113,0,101,0,9,0,388,0,0,67,103,13,90,0,0,0,0,52,78,92
81,A_05334,407521,313773,91483,95202,24564,26354,0,39008,23124,1644,572,602,1972,1096,2412,0,200,0,98,0,23,0,1110,0,0,317,555,43,276,0,0,0,0,269,180,304
82,A_05358,199675,151595,52412,43816,8809,8198,0,17155,14432,789,411,500,1293,142,844,0,170,0,32,0,9,0,392,0,0,112,133,27,117,0,0,0,0,69,143,129
83,A_05362,345328,266404,88179,68410,16296,18331,0,38057,25350,1326,591,750,2169,181,1843,0,314,0,72,0,25,0,850,0,0,247,287,30,227,0,0,0,0,164,236,265
84,A_05366,150407,112897,41988,25102,6499,6642,0,16751,11066,372,287,365,1043,126,676,0,143,0,28,0,3,0,63,0,0,124,118,14,128,0,0,0,0,56,137,133
85,A_05370,190051,142330,55605,36421,7909,7281,0,16111,12313,669,457,737,1179,123,805,0,137,0,46,0,8,0,368,0,0,100,149,8,119,0,0,0,0,61,134,150
86,A_05374,208418,156593,56567,35078,9887,9995,0,21353,16413,640,328,386,1238,253,1099,0,204,0,52,0,9,0,531,0,0,153,186,16,232,0,0,0,0,91,175,148
87,A_05378,217425,174420,61423,36221,11042,15581,0,28787,13777,505,225,802,1286,231,1173,0,142,0,43,0,10,0,296,0,0,187,205,17,175,0,0,0,0,97,132,172
88,A_05382,453435,358808,123759,75505,24154,28949,0,57409,33463,1367,546,966,2630,449,2878,0,967,0,115,0,15,0,533,0,0,432,450,33,356,0,0,0,0,225,304,415
89,A_05512,88352,66367,18476,21388,4719,3161,0,6826,8244,278,195,135,595,277,481,0,52,0,62,0,7,0,408,0,0,48,46,218,36,0,0,0,0,29,51,56
90,A_05513,175210,119414,26452,39524,8703,5489,0,10834,20113,550,417,461,1273,109,1010,0,132,0,384,0,24,0,1904,0,0,115,100,39,86,0,0,0,0,75,163,109
91,A_05515,232294,191090,62276,39714,19287,27739,0,25684,9393,712,111,246,781,641,1935,0,110,0,64,0,8,0,137,0,0,218,337,66,192,0,0,0,0,158,95,222
92,A_05554,278058,217143,101248,46112,9429,12249,0,28147,13236,646,295,668,1027,185,1013,0,140,0,73,0,15,0,340,0,0,97,139,29,160,0,0,0,0,103,174,147
