,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,csu,linke,fdp,rep,tierschutz,familie,oedp,frauen,volksabstimmung,pbc,cm,aufbruch,dkp,bp,psg,bueso,50plus,auf,dvu,grauen,violetten,ede,fbi,volksentscheide,fw,newropeans,piraten,rrp,renter
324,A_09763,47644,17453,0,1955,2387,8316,496,1792,376,143,70,367,33,48,42,28,20,9,133,0,7,40,22,50,25,32,7,12,25,574,13,109,98,93
325,A_09764,29832,11488,0,1407,1168,5541,253,1142,131,84,35,554,20,26,103,28,10,4,82,6,1,27,11,70,18,27,6,5,14,383,6,89,37,86
326,A_09771,96717,41874,0,3872,3977,23958,646,3356,651,311,200,837,68,77,59,101,56,18,531,8,9,60,26,126,35,92,9,36,37,1730,17,281,231,213
327,A_09772,181931,77682,0,7744,7580,43959,1455,6006,943,587,351,1168,124,132,126,135,85,27,680,12,23,136,83,253,102,159,16,48,86,3693,30,478,410,484
328,A_09773,72114,29265,0,2607,1978,16977,479,2283,743,201,162,278,50,66,57,42,43,11,282,4,6,49,25,109,33,49,4,27,32,2030,11,158,92,152
329,A_09774,89378,34240,0,3163,2286,19668,621,2674,432,250,215,720,77,81,72,81,50,8,376,10,18,76,45,132,41,42,6,31,53,2178,8,231,130,197
330,A_09775,120758,45038,0,5758,4822,21937,1040,4763,490,324,256,894,81,145,148,114,57,21,256,4,11,130,71,217,58,124,19,40,88,1828,20,365,241,320
331,A_09776,58806,23552,0,2367,3130,11740,560,2307,188,163,100,772,45,70,55,85,32,10,159,3,4,54,31,40,27,37,4,20,28,989,9,124,80,117
332,A_09777,102250,44723,0,3231,5025,24760,693,3370,435,297,239,836,56,81,74,158,74,9,1283,8,16,71,42,104,56,82,8,24,90,2690,18,245,110,175
333,A_09778,103919,45073,0,3202,3364,25184,662,3971,514,300,285,1683,92,99,183,139,60,16,508,10,21,71,51,151,62,89,18,36,73,3093,12,251,132,224
334,A_09779,99214,42723,0,4223,3065,26350,885,2717,428,259,226,784,102,77,82,80,48,13,366,6,11,92,36,113,39,115,8,38,46,1670,15,228,119,163
335,A_09780,115433,49849,0,3617,6108,27166,747,4641,699,393,261,1100,74,115,102,167,75,18,523,7,24,106,46,71,51,90,18,26,80,2361,16,214,227,278
338,A_10041,256570,133723,41365,34036,12763,0,18039,10384,867,2083,1907,200,452,294,59,172,141,203,73,35,24,369,161,602,327,211,33,133,104,1454,68,1235,344,978
339,A_10042,83122,53543,20090,12762,3192,0,4795,4918,296,738,864,47,198,120,41,134,52,41,26,8,12,124,226,163,103,94,9,79,46,596,16,402,136,417
340,A_10043,112983,66767,21141,20256,3753,0,8502,4217,452,965,1154,39,259,179,40,83,55,69,31,12,9,173,86,225,152,110,18,62,50,394,30,522,173,620
341,A_10044,161350,96606,33470,23820,6834,0,11109,8103,634,1288,1439,94,397,219,59,179,104,60,51,15,20,241,89,290,200,181,29,105,97,1127,35,797,293,842
342,A_10045,119511,70899,24670,16494,5520,0,7529,5784,612,931,2225,77,240,166,84,99,55,51,32,14,6,176,110,263,135,107,16,59,66,842,22,550,196,567
343,A_10046,75820,52780,21960,13308,2798,0,4596,3130,311,614,807,39,208,94,43,81,44,26,33,11,11,85,51,132,97,102,10,46,48,325,27,350,111,339
346,A_11000,2473787,869339,208395,161635,202437,0,126442,74522,8001,11617,5909,2018,3188,1966,1186,746,788,1971,682,713,655,3204,1080,4769,6305,2030,514,851,1025,3932,741,12063,2549,6416
349,A_12051,62780,15330,3411,4051,1068,0,3883,929,75,188,237,23,64,51,27,14,19,28,8,9,12,96,11,197,58,22,10,28,29,42,8,178,82,226
350,A_12052,85457,22070,4563,5160,1934,0,6213,1306,117,259,348,56,109,59,61,32,37,61,6,21,17,156,36,324,73,47,19,26,53,70,20,286,82,228
351,A_12053,51242,14630,3146,2825,1063,0,4795,776,92,157,286,25,73,36,18,13,27,52,11,12,18,138,27,213,39,25,13,18,24,41,41,149,61,199
352,A_12054,124676,46116,6722,10605,7143,0,12901,3182,184,635,875,138,153,83,68,46,52,171,35,46,22,184,57,481,91,98,36,56,69,136,57,778,139,373
353,A_12060,150517,42834,8390,8342,3786,0,13281,2833,353,693,842,94,168,132,63,36,81,159,36,36,28,369,77,659,149,85,26,64,93,322,36,345,178,494
354,A_12061,136554,45497,10196,9933,3584,0,11502,3414,419,699,1008,72,214,178,52,51,87,149,36,36,33,280,73,712,185,64,33,120,106,280,30,386,235,658
355,A_12062,99395,29375,8425,6036,1239,0,6369,2084,259,489,798,42,145,120,72,47,74,65,22,27,18,273,65,875,83,55,27,52,61,136,21,222,143,440
356,A_12063,128582,38053,9365,9001,4012,0,7426,3293,306,507,766,76,123,98,77,36,39,60,27,13,19,193,55,557,153,54,26,47,72,187,27,342,181,448
357,A_12064,163256,47640,9049,9415,3379,0,15400,3381,302,716,1065,90,212,128,81,54,95,139,36,32,36,344,79,991,197,77,40,92,103,225,35,455,208,515
358,A_12065,169407,51789,11868,11649,5315,0,11715,4428,473,787,989,85,171,146,86,53,72,85,25,23,23,390,108,677,186,69,27,76,74,250,21,411,217,550
359,A_12066,107269,29838,7707,6545,1300,0,7315,1866,249,401,750,53,147,115,52,37,59,62,27,24,23,173,76,855,96,42,18,59,67,163,20,262,179,442
360,A_12067,157884,47882,9775,10679,3209,0,13787,3219,404,768,1150,77,212,160,82,51,88,114,34,35,31,517,92,841,189,57,45,80,95,201,34,344,190,620
361,A_12068,89242,22693,5169,5544,1693,0,5734,1539,146,275,511,45,109,74,51,38,40,38,15,18,15,121,46,267,73,25,7,34,38,112,8,142,112,360
362,A_12069,169831,57795,13320,13718,6637,0,11762,5134,318,786,1134,86,218,200,99,50,79,104,40,44,40,264,88,713,187,81,19,95,109,233,31,466,266,666
363,A_12070,72663,20030,5242,4903,911,0,4845,1490,107,235,468,54,80,56,42,21,38,44,16,16,12,79,43,304,64,21,1,27,23,95,3,93,107,272
364,A_12071,111578,32617,8064,6890,1783,0,8158,2237,332,508,857,59,174,133,86,51,85,65,25,34,16,256,54,781,96,33,20,67,61,136,16,293,175,460
365,A_12072,136163,41873,9288,10275,3248,0,9529,3421,263,695,948,84,174,107,99,57,67,90,44,28,35,229,72,702,175,75,36,84,69,216,22,322,184,595
366,A_12073,111375,29658,6916,7044,1585,0,8072,1835,227,408,690,50,135,101,44,24,58,79,18,24,21,391,35,472,78,46,25,37,39,81,16,163,125,420
369,A_13001,45400,18142,5784,2240,2151,0,3917,1259,163,172,361,43,101,49,32,9,30,60,9,19,13,79,40,92,87,36,29,41,53,171,21,324,107,235
370,A_13002,56493,22008,5981,3521,1049,0,6741,1419,241,202,435,26,151,88,33,23,35,67,10,23,13,127,47,147,98,35,51,32,70,94,11,165,143,350
371,A_13003,169654,73343,16029,13925,6922,0,19290,5844,728,787,1367,130,415,277,98,47,283,165,30,87,34,284,127,622,756,199,99,112,212,383,65,1004,316,931
372,A_13004,78917,31706,7973,6654,2395,0,8485,1962,261,292,507,38,185,92,38,15,50,49,20,24,16,153,45,292,167,52,39,63,82,127,22,265,151,428
373,A_13005,49207,19548,7335,2332,994,0,4446,1117,366,214,451,23,137,72,40,27,34,45,5,7,10,90,32,151,98,33,16,43,73,85,24,159,153,356
374,A_13006,36431,15607,3597,3990,976,0,3396,1112,122,173,325,14,119,55,29,13,26,25,2,17,13,71,30,114,83,44,39,37,56,97,12,125,121,304
375,A_13051,99379,52440,16317,8305,2933,0,11075,4559,608,751,1346,72,454,202,83,40,111,93,25,49,38,222,82,409,300,109,49,106,147,222,25,383,302,722
376,A_13052,69250,30525,11029,3161,931,0,7249,1941,431,371,810,30,255,89,60,52,69,40,19,23,28,110,63,255,151,90,62,102,118,223,12,176,197,510
377,A_13053,85555,37106,12160,5931,1551,0,7791,2603,410,446,839,51,330,123,60,28,86,81,22,24,24,130,234,333,160,91,44,71,111,413,20,224,216,553
378,A_13054,104507,53848,16245,11444,2221,0,9928,4315,666,644,1266,44,486,197,103,43,110,80,47,38,41,230,99,616,258,92,61,87,164,255,23,335,261,853
379,A_13055,68122,34802,10923,5308,1464,0,8241,2273,543,453,777,38,304,136,34,33,78,52,18,29,29,201,70,392,173,55,47,70,125,211,16,195,187,530
380,A_13056,55807,26852,8513,4526,1257,0,5511,1829,305,329,620,43,270,100,53,22,63,38,19,17,17,115,63,206,106,51,19,35,63,373,19,141,112,422
381,A_13057,92002,43890,18360,4647,1562,0,8604,2587,571,507,993,42,364,172,49,58,83,85,30,36,39,143,75,390,210,101,78,93,131,309,24,289,238,675
382,A_13058,97555,49846,14507,10028,2470,0,9917,3696,497,675,1309,60,416,182,57,46,101,87,55,31,39,178,83,388,247,122,59,109,160,294,32,324,264,758
383,A_13059,91216,45327,15302,4785,1891,0,9746,3269,984,676,1295,45,381,217,93,62,124,95,32,46,55,254,93,679,214,101,73,126,159,377,22,324,245,759
384,A_13060,83201,41130,13119,7403,1669,0,8322,2971,487,510,979,68,347,153,95,56,96,64,35,25,39,177,88,325,185,90,49,74,111,205,26,236,201,652
385,A_13061,58526,26327,8268,2409,1184,0,6365,2489,406,363,569,30,245,109,40,31,60,38,27,24,26,130,53,204,125,57,47,86,123,228,16,198,217,540
386,A_13062,62111,30836,10005,3622,830,0,7281,1925,701,424,878,34,272,164,35,51,67,65,22,34,46,150,68,608,173,66,49,107,135,173,18,165,197,574
389,A_14511,206031,96548,25968,14883,6876,0,22503,9752,2652,1362,1408,120,511,345,467,170,167,161,58,72,104,584,286,791,380,157,63,166,239,853,52,1037,407,1336
390,A_14521,322262,157950,58670,14347,5027,0,29208,14789,4821,2345,3026,163,907,618,2448,755,350,193,112,96,113,675,622,1706,379,248,80,290,324,3285,66,1189,548,2092
391,A_14522,285353,162775,61727,16126,5738,0,29604,15083,4533,2529,3281,175,1043,645,609,333,402,235,104,103,170,651,420,1619,462,269,66,342,405,2281,71,1379,581,2255
392,A_14523,214527,94832,32054,11875,4337,0,18708,9104,2438,1292,1595,96,564,373,1189,292,241,139,93,47,50,469,292,708,286,140,50,144,160,1234,47,691,406,1384
393,A_14524,298582,127844,43671,15115,5654,0,25984,11893,3169,1912,2070,115,736,448,1186,397,229,193,86,79,102,606,463,1086,413,182,52,202,225,2351,75,1101,483,1735
394,A_14612,421924,207708,66944,22756,27865,0,36853,20339,3528,2426,2203,430,901,666,605,245,368,301,107,108,384,1005,616,2343,886,841,259,579,472,1830,253,3869,723,2155
395,A_14625,278965,138498,50294,13085,5398,0,25494,12892,3655,2189,3488,192,1061,720,585,337,454,217,99,84,135,768,492,1927,436,298,90,372,353,2304,82,1212,539,2259
396,A_14626,240025,113071,40318,9938,4869,0,21272,9154,3225,2222,2994,153,850,683,507,297,408,162,93,89,146,694,292,1615,443,255,65,406,330,2085,82,1036,525,2172
397,A_14627,216936,103558,38110,9670,6054,0,18313,9747,2770,1644,2178,140,723,434,239,162,285,137,67,71,148,639,279,1349,417,286,77,283,223,1279,71,939,444,1621
398,A_14628,216356,112016,43271,8727,5514,0,18637,10307,3564,1821,2302,154,753,509,255,159,327,157,111,60,133,600,286,1660,402,311,77,320,277,2172,62,1095,501,2001
399,A_14713,415150,173789,42250,27389,22184,0,38630,16209,2632,2396,1909,321,886,635,426,146,315,363,94,221,240,978,295,1550,780,506,126,280,453,1290,167,2871,752,2161
400,A_14729,231514,110651,37884,14450,5084,0,21215,10555,2418,1748,2084,129,735,470,295,150,266,159,77,75,81,588,209,1164,400,166,41,221,249,1380,52,897,486,1759
401,A_14730,179152,78114,26070,10142,3021,0,15567,7706,1984,1117,1546,82,544,325,117,88,175,138,54,60,52,398,154,905,360,126,41,152,153,1211,31,589,294,1163
404,A_15001,76861,20669,6045,3737,1681,0,4860,1586,169,234,314,31,80,32,22,41,40,38,13,16,9,83,30,253,60,31,15,25,46,87,18,161,152,230
405,A_15002,193951,72781,16338,12480,8042,0,18437,6588,624,1021,1141,169,391,196,118,103,159,213,51,74,71,334,146,548,687,127,78,134,226,249,68,919,468,609
406,A_15003,195800,68977,15841,15212,5728,0,17177,4940,604,1162,1031,139,359,182,106,111,130,165,47,71,45,306,109,508,282,108,75,83,198,248,73,796,529,694
407,A_15081,77943,33339,9451,5947,1430,0,7112,2660,324,507,963,75,269,107,73,89,100,81,45,51,42,170,98,299,85,92,32,70,152,142,11,256,320,491
408,A_15082,156092,53643,15401,9430,1985,0,11783,4267,674,969,1426,89,392,157,95,161,177,122,72,78,60,233,141,695,193,74,55,124,153,212,37,398,472,749
409,A_15083,156030,62030,17783,11539,2405,0,12734,5264,622,1201,1771,112,459,186,91,217,150,153,56,66,70,288,152,477,232,89,59,201,209,423,35,399,582,855
410,A_15084,171241,66487,18658,10275,2683,0,14267,6013,1153,1193,1976,108,550,216,142,249,275,223,128,103,94,326,252,841,255,102,53,216,215,541,35,441,640,944
411,A_15085,204639,81286,26116,13784,3706,0,16974,5509,984,1382,1901,319,541,286,160,225,239,181,113,131,104,309,195,851,257,144,64,166,288,398,41,574,691,1126
412,A_15086,84086,33094,9469,5733,1410,0,7180,2667,320,598,916,56,271,101,55,79,88,72,37,58,43,161,93,292,117,51,38,67,105,182,24,204,327,479
413,A_15087,134918,52576,14198,8254,1667,0,12985,4103,834,1067,1436,76,414,144,99,173,168,140,95,60,67,240,138,643,188,71,41,155,154,330,22,337,499,785
414,A_15088,171991,64555,18607,10086,2748,0,13895,6341,806,1032,1712,101,513,194,101,173,201,199,105,85,74,298,140,642,292,105,66,188,192,488,37,504,518,822
415,A_15089,185498,64837,18196,10860,2505,0,14743,5640,822,1194,1636,103,444,196,182,182,196,155,91,85,78,262,175,603,253,94,65,176,229,257,36,418,633,929
416,A_15090,105385,42307,11680,7266,1843,0,9803,3260,456,654,1249,92,318,160,124,126,129,94,75,69,51,140,121,404,152,79,53,118,407,184,26,297,394,616
417,A_15091,120980,52909,15948,8265,2049,0,11435,4062,663,903,1312,116,385,158,139,163,196,119,79,76,71,218,131,537,179,72,46,166,157,657,36,409,437,639
420,A_16051,168067,81230,19822,15330,7972,0,19284,5584,1273,1296,1347,128,478,285,107,51,133,138,44,51,27,420,170,498,281,178,46,149,137,1676,53,935,247,926
421,A_16052,85869,39412,10183,5079,2163,0,12279,3074,761,650,830,42,242,217,53,28,98,79,28,29,11,272,143,373,185,66,27,59,85,214,18,358,167,582
422,A_16053,85405,46449,10103,8603,6655,0,10246,4176,742,521,633,132,257,202,87,32,79,96,26,28,25,221,92,213,124,109,49,98,100,472,45,833,140,467
423,A_16054,34286,16223,3569,2123,886,0,5784,1214,252,210,332,25,92,66,26,11,36,34,8,9,4,99,31,123,50,40,7,25,25,246,5,130,51,255
424,A_16055,51991,28068,7615,3895,4130,0,5927,2325,529,437,445,47,165,114,41,35,45,45,23,7,18,116,52,189,74,59,25,39,61,177,16,356,91,336
425,A_16056,35760,18023,4996,3066,1392,0,4221,1281,405,318,303,34,104,101,34,20,108,33,9,5,11,84,28,216,58,35,8,37,57,106,3,118,51,325
426,A_16061,88206,52481,25835,5463,1917,0,6351,4199,863,515,1143,319,299,204,87,118,97,27,18,16,21,178,102,343,99,60,9,80,100,1355,12,320,131,523
427,A_16062,76936,40033,10996,7473,1865,0,10339,3335,716,558,756,37,225,162,75,37,76,65,5,10,18,146,63,287,87,41,16,39,53,166,5,262,151,569
428,A_16063,113922,62783,20177,10207,2605,0,13067,4240,1736,956,1361,70,415,313,65,74,170,86,30,21,30,223,128,522,115,138,9,112,134,1805,21,433,176,755
429,A_16064,92720,48013,15844,8358,1744,0,9544,3883,826,647,1158,36,304,241,42,48,90,64,24,24,20,212,117,315,118,75,19,83,100,1002,22,305,144,715
430,A_16065,71971,37705,10891,6150,1300,0,9544,2628,786,673,858,34,287,199,35,37,94,44,23,19,15,176,99,313,87,53,10,90,78,402,16,278,138,621
431,A_16066,114280,60653,17859,8393,2847,0,14304,4636,1294,943,1965,52,443,311,128,59,146,106,44,42,27,261,127,470,146,135,10,187,118,1537,23,428,208,838
432,A_16067,118783,64883,20097,11774,3061,0,13164,4665,1440,1220,1474,45,409,393,91,50,163,60,18,28,45,291,149,481,166,108,21,322,151,1019,27,475,206,877
433,A_16068,63315,34644,11382,4315,1245,0,8086,2773,830,621,888,26,278,154,34,27,89,42,13,23,18,179,74,235,93,57,10,77,72,562,8,258,109,498
434,A_16069,58965,32480,9555,4635,1171,0,8225,2417,727,474,821,38,266,145,27,32,61,35,37,12,14,113,85,307,56,78,4,41,78,871,15,244,92,402
435,A_16070,96306,52801,15549,7382,2806,0,12404,3711,1084,912,1301,49,378,278,86,36,162,78,38,28,30,288,135,557,165,85,21,109,131,1047,27,547,208,814
436,A_16071,71768,40311,13241,5421,2115,0,8011,3515,1004,708,937,31,309,190,37,40,96,44,32,19,20,176,93,273,126,66,13,79,82,1018,10,296,126,528
437,A_16072,53125,26743,7635,3625,854,0,7642,1929,666,452,511,32,174,105,57,20,49,45,22,13,7,129,46,321,61,95,3,32,53,326,13,234,84,388
438,A_16073,102699,54436,15070,7655,2256,0,13208,4577,1473,934,1429,66,454,326,61,68,168,110,37,23,35,289,159,645,158,132,28,224,173,960,17,563,228,827
439,A_16074,74443,43829,13231,5568,2068,0,10603,3929,1073,675,1078,57,306,256,62,32,140,69,61,32,31,242,157,352,104,70,11,106,127,434,14,369,171,614
440,A_16075,76302,41953,12236,5983,1727,0,9955,3568,1034,702,1145,52,335,213,137,87,148,74,21,21,85,171,105,340,97,70,13,82,96,630,9,368,153,579
441,A_16076,95446,51913,16325,6911,2243,0,11173,4931,1188,887,1366,78,452,290,144,88,126,73,33,25,24,254,189,445,147,106,19,138,113,605,30,411,162,801
442,A_16077,87650,42094,12647,6509,1451,0,9634,3495,1063,763,1018,37,370,180,92,51,114,68,33,15,26,249,127,379,160,65,12,62,80,225,14,389,182,709
