,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,csu,linke,fdp,rep,tierschutz,familie,oedp,frauen,volksabstimmung,pbc,cm,aufbruch,dkp,bp,psg,bueso,50plus,auf,dvu,grauen,violetten,ede,fbi,volksentscheide,fw,newropeans,piraten,rrp,renter
203,A_08127,141371,68683,23233,15306,8070,0,1897,8736,1377,733,858,562,201,160,808,187,145,45,80,19,28,119,196,205,141,121,27,106,130,754,35,521,223,471
204,A_08128,104424,59707,26972,9464,5453,0,1564,6539,1299,583,930,512,155,168,265,114,69,20,59,17,13,90,85,103,82,105,29,119,90,922,21,407,188,411
205,A_08135,96626,46712,19160,9327,5208,0,1654,4471,1052,471,396,432,135,155,337,105,56,135,36,8,9,91,82,105,98,88,26,35,92,538,22,287,137,319
206,A_08136,231041,119900,53109,21292,12938,0,3282,13056,2719,1089,1191,331,313,285,807,225,135,48,111,33,44,176,155,173,192,190,45,157,202,1029,45,751,333,663
207,A_08211,39979,19131,7688,2971,2901,0,445,2954,220,214,137,53,52,50,45,45,18,9,11,6,6,41,37,49,43,48,6,20,23,181,19,102,74,115
208,A_08212,202253,90597,26755,17633,19468,0,3526,13097,768,928,578,320,249,240,473,138,69,70,59,37,42,128,170,248,135,170,42,88,134,612,84,1920,206,375
209,A_08215,320814,170793,69187,31533,19130,0,3698,22023,3453,2184,1641,365,440,445,1297,442,174,75,121,41,48,261,237,368,254,295,49,159,273,1970,81,1523,518,1109
210,A_08216,168284,83631,34983,14997,9190,0,1875,10266,1531,1139,888,169,279,281,218,156,94,45,51,32,18,157,85,173,121,130,36,79,153,935,39,633,285,571
211,A_08221,95240,48920,13199,9299,13799,0,2172,6631,339,431,187,182,118,91,140,39,36,42,28,12,14,34,57,63,48,101,32,28,57,174,64,574,101,149
212,A_08222,199811,81790,25011,22178,12953,0,4095,8978,1585,908,416,155,244,207,226,104,79,104,48,17,40,139,82,203,122,128,54,57,122,173,61,853,262,482
213,A_08225,111349,61372,31171,9997,4712,0,1325,5751,1064,668,649,165,188,125,279,156,41,27,46,11,15,78,78,126,76,77,21,47,84,545,18,312,159,338
214,A_08226,394936,215870,78732,44624,29035,0,6640,28643,3500,2902,1914,387,669,619,794,355,207,134,164,40,48,315,222,449,308,323,61,143,380,2063,136,1722,651,1342
215,A_08231,78871,32917,11613,6329,3859,0,1225,4942,608,504,287,78,124,114,254,72,59,22,45,8,10,64,54,127,67,73,14,44,100,299,21,284,167,311
216,A_08235,111120,59049,23455,8713,6361,0,1482,8811,1300,823,678,170,218,211,1213,245,94,28,60,7,11,127,157,131,103,119,36,69,159,570,20,466,243,500
217,A_08236,142317,76127,26747,13940,9745,0,1991,10844,1616,1037,871,216,268,269,1482,159,111,44,88,15,17,164,149,182,117,128,29,82,173,776,53,608,284,577
218,A_08237,87790,45514,15987,6086,4118,0,961,11697,1128,473,489,122,135,114,823,140,60,19,31,7,20,77,103,67,58,65,9,37,68,308,29,222,118,289
219,A_08311,147051,74905,17751,13927,23846,0,4203,7024,578,824,402,319,274,210,269,105,98,81,53,33,25,102,116,93,176,419,99,63,192,540,100,966,192,385
220,A_08315,186727,106589,38798,17118,19018,0,2481,13324,1292,1487,1077,307,279,344,609,295,141,43,88,37,39,231,212,137,273,278,120,180,259,1328,53,696,381,795
221,A_08316,119444,64895,22204,12353,10544,0,1668,7620,822,1069,697,178,167,206,308,198,56,30,49,20,27,128,89,66,159,180,58,88,133,997,38,503,274,517
222,A_08317,314716,160551,63414,26156,19737,0,4210,20355,2164,1928,1880,380,562,654,699,490,226,78,117,56,96,430,191,235,371,315,148,263,575,2365,90,1109,675,1418
223,A_08325,104377,53557,21932,7123,4830,0,976,8196,967,609,795,952,169,218,416,183,80,19,64,27,17,147,89,146,156,90,41,87,109,553,19,381,227,531
