,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,linke,offensived,rep,npd,tierschutz,graue,pbc,frauen,familie,bueso,bp,zentrum,deutschland,agfg,appd,50plus,mlpd,partei,psg,prodm
66,A_05113,442385,342518,157995,93564,0,28097,26514,21719,0,1603,2796,1902,1457,284,0,1375,122,0,149,380,0,0,0,374,0,123,0
67,A_05114,167753,125821,47529,41191,0,10406,14612,6582,0,391,1027,639,648,113,0,512,26,0,42,124,0,0,0,73,0,58,0
68,A_05116,195069,141494,48167,54439,0,8715,16819,7337,0,328,1237,804,602,134,0,623,24,0,56,115,0,0,0,40,0,59,0
69,A_05117,129911,104836,48319,28940,0,8080,9164,6409,0,234,660,425,325,102,0,705,13,0,21,64,0,0,0,182,0,24,0
70,A_05119,161219,123884,66230,27916,0,8138,7460,8442,0,465,1351,657,488,64,0,513,29,0,50,83,0,0,0,159,0,65,0
71,A_05120,83240,62725,24297,20336,0,4099,7492,3757,0,274,551,344,245,80,0,264,13,0,23,68,0,0,0,47,0,24,0
72,A_05122,114839,88481,33255,28700,0,6205,11413,4984,0,426,729,483,369,171,0,374,27,0,21,92,0,0,0,105,0,27,0
73,A_05124,254780,194293,76560,56353,0,17643,20861,13070,0,1309,1744,1080,1262,331,0,822,57,0,52,201,0,0,0,129,0,100,0
74,A_05154,223341,173899,56710,76189,0,9545,18331,6540,0,320,1272,871,485,117,0,725,47,0,51,119,0,0,0,39,0,90,0
75,A_05158,375810,300413,110261,108964,0,20204,36010,13846,0,1019,2068,1358,1577,372,0,1154,106,0,86,260,0,0,0,113,0,109,0
76,A_05162,329569,261911,84823,107596,0,16205,33603,9790,0,765,1881,1250,1026,158,0,1106,65,0,694,203,0,0,0,99,0,98,0
77,A_05166,225763,177272,58961,69446,0,11651,22469,7627,0,417,1319,1033,663,182,0,847,41,0,95,132,0,0,0,48,0,73,0
78,A_05170,358798,287903,134834,85514,0,18935,23551,14297,0,895,2018,1393,906,199,0,1135,54,0,85,219,0,0,0,159,0,115,0
79,A_05313,174998,137879,45300,44710,0,19566,15655,8165,0,218,880,541,481,71,0,369,53,0,41,93,0,0,0,32,0,48,0
80,A_05314,212584,172806,54523,59241,0,22776,23429,7589,0,221,823,647,579,190,0,447,37,0,73,119,0,0,0,33,0,39,0
81,A_05315,686538,522823,198773,141658,0,77448,60136,30105,0,1462,3310,2051,3058,381,0,1342,152,0,163,478,0,0,0,241,0,285,0
82,A_05316,117748,92025,37539,29489,0,7203,9611,4238,0,296,773,448,432,77,0,438,29,0,17,101,0,0,0,84,0,43,0
83,A_05354,227154,176643,71160,59633,0,10309,16243,11003,0,926,1676,941,584,90,0,818,38,0,42,173,0,0,0,37,0,76,0
84,A_05358,198643,154115,57163,58467,0,8672,14298,8317,0,384,1516,891,671,207,0,784,36,0,58,172,0,0,0,24,0,70,0
85,A_05362,336823,268333,107403,88532,0,18787,30420,12336,0,664,2210,1546,1113,117,0,1084,73,0,73,252,0,0,0,49,0,109,0
86,A_05366,147194,113673,35454,45102,0,7024,15533,5268,0,413,905,638,437,117,0,553,39,0,53,109,0,0,0,19,0,74,0
87,A_05370,185273,143248,45723,60704,0,7250,15059,7193,0,716,1438,781,485,131,0,718,56,0,45,124,0,0,0,29,0,58,0
88,A_05374,212632,165042,55537,64751,0,10891,18849,7232,0,484,1401,898,554,698,0,854,27,0,53,149,0,0,0,38,0,82,0
89,A_05378,213615,177035,58867,64757,0,15421,24683,7180,0,358,1109,879,704,272,0,678,66,0,42,125,0,0,0,48,0,46,0
90,A_05382,435569,350800,113494,136738,0,28448,46680,13537,0,532,2673,1545,1105,684,0,1137,71,0,132,779,0,0,0,63,0,99,0
91,A_05512,91292,72709,38434,19102,0,3814,4065,4353,0,336,509,440,183,30,0,267,12,0,17,44,0,0,0,99,0,48,0
