,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,pds,deutschland,appd,apd,bp,bueso,bfb,c2000,cm,dpd,dvu,graue,rep,familie,frauen,hp,prodm,mlpd,tierschutz,npd,naturgesetz,forum,oedp,pbc,ab2000,nichwahler,pass,psg
35,A_03351,137006,113843,49130,43885,0,5149,7735,1031,0,113,0,0,0,398,0,23,0,597,168,3070,0,0,0,832,0,260,142,57,0,52,373,0,0,0,22
36,A_03352,156787,130288,67193,43593,0,6032,7149,1177,0,135,0,0,0,262,0,30,0,973,198,929,0,0,0,924,0,345,167,51,0,45,66,0,0,0,8
37,A_03353,174064,151130,66129,53867,0,9880,12871,1874,0,188,0,0,0,367,0,44,0,1487,338,1401,0,0,0,640,0,485,177,92,0,64,196,0,0,0,14
38,A_03354,41407,34431,13391,11926,0,4916,1913,545,0,63,0,0,0,38,0,15,0,464,81,298,0,0,0,173,0,83,53,30,0,13,61,0,0,0,3
39,A_03355,123711,102700,48159,32916,0,8373,6880,1885,0,203,0,0,0,99,0,31,0,743,250,783,0,0,0,314,0,242,211,102,0,32,143,0,0,0,12
40,A_03356,83543,70708,36131,20082,0,5653,4811,958,0,65,0,0,0,76,0,29,0,376,111,958,0,0,0,487,0,202,94,53,0,58,93,0,0,0,8
41,A_03357,119880,100106,45838,38537,0,5626,5820,854,0,155,0,0,0,84,0,24,0,508,82,698,0,0,0,562,0,220,151,59,0,43,158,0,0,0,10
42,A_03358,104923,86836,40628,31918,0,4133,4984,797,0,116,0,0,0,167,0,26,0,587,114,1338,0,0,0,590,0,237,144,37,0,84,226,0,0,0,9
43,A_03359,143788,119586,58861,40581,0,6799,7522,1396,0,123,0,0,0,90,0,30,0,878,249,789,0,0,0,654,0,274,309,46,0,42,77,0,0,0,12
44,A_03360,77288,64857,30421,22834,0,4244,3841,618,0,77,0,0,0,79,0,24,0,433,100,534,0,0,0,596,0,165,129,18,0,25,184,0,0,0,10
45,A_03361,99144,83827,41092,25457,0,6706,5960,1037,0,140,0,0,0,86,0,17,0,519,112,859,0,0,0,608,0,275,136,57,0,68,103,0,0,0,9
46,A_03401,58088,47034,25934,13635,0,2258,2521,492,0,32,0,0,0,17,0,12,0,604,223,363,0,0,0,362,0,107,56,24,0,14,17,0,0,0,2
47,A_03402,38947,31284,19904,6904,0,1653,1343,393,0,53,0,0,0,13,0,10,0,142,49,196,0,0,0,124,0,57,39,12,0,8,41,0,0,0,2
48,A_03403,118116,97346,46924,26446,0,11792,6898,1979,0,133,0,0,0,103,0,42,0,466,349,340,0,0,0,561,0,301,170,82,0,42,74,0,0,0,11
49,A_03404,119936,98846,44121,33116,0,9166,7972,1178,0,113,0,0,0,74,0,35,0,720,212,255,0,0,0,507,0,166,89,59,0,109,64,0,0,0,9
50,A_03405,68722,55537,30047,16738,0,2340,2705,649,0,85,0,0,0,31,0,3,0,267,90,1446,0,0,0,354,0,160,40,42,0,17,35,0,0,0,9
51,A_03451,82593,68314,33650,21868,0,3810,5898,636,0,76,0,0,0,49,0,14,0,497,145,305,0,0,0,424,0,188,101,46,0,15,41,0,0,0,10
52,A_03452,142091,117567,70690,31088,0,5487,5132,998,0,149,0,0,0,57,0,18,0,495,187,750,0,0,0,539,0,270,103,27,0,24,177,0,0,0,17
53,A_03453,104594,87140,26765,50510,0,2336,4480,429,0,90,0,0,0,99,0,51,0,457,62,315,0,0,0,329,0,131,82,39,0,12,41,0,0,0,11
54,A_03454,217624,183329,62387,97310,0,5684,11865,927,0,246,0,0,0,71,0,66,0,812,159,779,0,0,0,950,0,301,190,49,0,74,64,0,0,0,15
55,A_03455,77602,64282,34843,18679,0,2981,4649,555,0,64,0,0,0,42,0,15,0,352,94,652,0,0,0,405,0,189,58,41,0,20,37,0,0,0,6
56,A_03456,92642,78397,37067,30780,0,3163,5003,438,0,54,0,0,0,43,0,27,0,229,60,206,0,0,0,409,0,133,82,29,0,103,67,0,0,0,14
57,A_03457,119562,98740,55892,29241,0,4397,4826,848,0,116,0,0,0,38,0,58,0,621,129,418,0,0,0,482,0,222,158,41,0,21,322,0,0,0,11
58,A_03458,89217,74830,36749,23823,0,4350,6479,776,0,68,0,0,0,41,0,19,0,408,233,466,0,0,0,477,0,211,118,60,0,20,39,0,0,0,7
59,A_03459,256641,219870,97262,88536,0,10657,15003,1496,0,227,0,0,0,161,0,38,0,1203,280,982,0,0,0,1129,0,447,192,239,0,101,136,0,0,0,15
60,A_03460,86600,73122,20669,42904,0,2443,4500,316,0,91,0,0,0,230,0,39,0,200,56,556,0,0,0,280,0,117,42,18,0,25,13,0,0,0,4
61,A_03461,71565,58519,34071,15365,0,2691,3913,511,0,37,0,0,0,20,0,9,0,268,117,334,0,0,0,418,0,103,77,27,0,16,17,0,0,0,6
62,A_03462,43307,34278,17747,12068,0,1370,1780,213,0,30,0,0,0,11,0,6,0,119,52,249,0,0,0,183,0,87,29,26,0,8,15,0,0,0,2
63,A_04011,403347,333762,162709,83289,0,40708,20239,8457,0,559,0,0,0,622,426,0,0,4704,1677,2467,0,0,0,3021,0,0,882,603,0,0,0,0,0,0,0
64,A_04012,91462,72292,38830,18826,0,4595,3570,1358,0,59,0,0,0,103,47,0,0,1963,312,254,0,0,0,838,0,0,252,131,0,0,0,0,0,0,0
65,A_05111,414001,337367,145073,110267,0,28462,30764,5643,169,316,0,0,156,303,294,122,0,3247,1839,3186,581,224,0,1556,66,910,338,241,0,145,167,0,236,0,35
