,teryt_code,eligible_voters,issued_ballots,cdu,spd,csu,gruene,pds,fdp,rep,tierschutz,graue,npd,frauen,oedp,pbc,cm,bp,bueso,zentrum,familie,deutschland,unabhaengige,aufbruch,dkp,dp,psg
328,A_09773,71398,28038,0,3213,17984,1961,130,1162,1207,227,129,201,110,455,63,63,269,19,25,194,202,62,44,13,54,16
329,A_09774,88979,32305,0,3580,21063,2245,228,1200,940,291,201,194,145,624,117,107,306,20,22,220,224,86,64,18,69,14
330,A_09775,117848,41178,0,6291,22800,4608,359,2082,879,383,363,457,195,552,149,151,365,48,32,323,289,101,83,33,79,19
331,A_09776,56579,22270,0,2655,12753,3003,155,1082,259,251,189,78,97,753,48,90,178,11,21,152,82,57,42,21,32,11
332,A_09777,100087,40135,0,3775,26055,3714,216,1654,624,319,212,149,143,827,92,137,1058,21,38,244,186,171,78,28,64,16
333,A_09778,102108,40263,0,3560,26975,2781,209,1483,664,375,196,280,141,1233,245,177,618,41,35,270,200,147,56,21,83,19
334,A_09779,98233,38956,0,4849,25836,2797,201,1158,897,311,157,198,189,812,91,79,316,21,31,209,183,54,52,28,57,29
335,A_09780,112322,47061,0,4597,30427,4557,234,2162,842,435,308,125,175,906,122,187,639,27,28,322,189,117,104,21,61,19
338,A_10041,260803,134499,51450,37289,0,12825,3498,6457,1356,2053,2682,3647,684,213,88,219,0,74,109,2935,477,275,209,469,328,131
339,A_10042,83257,53719,24356,14665,0,2997,646,2242,562,780,601,457,243,63,100,191,0,27,35,950,215,115,79,68,116,38
340,A_10043,114918,64061,25167,20645,0,3841,1284,2258,909,1012,1006,721,303,77,58,81,0,39,43,1589,271,114,86,112,136,55
341,A_10044,162553,95328,40319,27256,0,6158,1680,3784,1095,1463,1266,1136,453,155,71,258,0,55,97,1997,433,235,148,134,274,120
342,A_10045,120833,68772,28495,18062,0,5565,1073,3190,987,936,801,926,288,123,96,122,0,20,50,2653,314,132,111,97,157,74
343,A_10046,76436,51587,24964,13358,0,2651,626,1536,595,588,523,415,201,42,54,93,0,29,40,995,195,113,74,73,112,52
346,A_11000,2444105,942981,243083,176955,0,210032,132381,49275,12621,14549,35772,8502,4955,1945,2182,1055,0,1118,710,11428,4204,2938,1467,2903,2536,1410
349,A_12051,63906,11700,2689,2756,0,870,3400,535,157,192,192,117,104,29,23,20,0,16,12,144,69,45,26,37,35,20
350,A_12052,88048,19870,3865,4175,0,1716,7174,918,207,204,232,238,189,41,52,32,0,24,22,221,97,83,37,61,45,41
351,A_12053,53905,14243,2741,2626,0,994,5426,548,134,205,204,239,178,37,45,28,0,21,22,199,88,47,36,43,37,32
352,A_12054,117109,38565,5774,7838,0,6073,13061,1579,286,500,535,285,244,97,86,56,0,53,22,800,175,102,61,161,76,71
353,A_12060,144356,38214,7806,7291,0,2945,13373,1461,474,715,754,584,325,84,86,91,0,79,59,567,251,137,78,162,96,73
354,A_12061,132728,40012,9715,8032,0,2856,11824,1833,504,671,749,667,358,91,86,87,0,90,44,681,309,168,103,134,130,74
355,A_12062,104790,28257,9086,5114,0,996,7171,1240,538,500,266,588,327,63,111,88,0,60,22,617,277,113,99,56,99,61
356,A_12063,123962,33134,8762,6932,0,3259,8018,1789,503,494,585,435,284,65,94,60,0,47,38,509,217,107,59,69,75,53
357,A_12064,157656,43206,8922,7772,0,2852,15784,1794,576,731,723,694,459,81,102,86,0,73,31,716,294,175,117,170,96,89
358,A_12065,162154,48137,11271,9688,0,4339,13190,2362,648,944,947,1274,416,100,140,105,0,63,44,707,333,160,99,95,188,68
359,A_12066,112935,26728,7069,5252,0,1035,8196,1124,465,387,309,554,289,60,67,76,0,49,22,470,248,108,85,62,135,63
360,A_12067,158787,43758,9210,8600,0,2631,14308,1849,536,701,724,1712,444,88,91,102,0,94,46,801,303,162,137,127,96,83
361,A_12068,90566,21024,5392,4308,0,1533,6118,960,185,308,260,275,186,78,108,57,0,30,19,366,126,50,53,38,54,35
362,A_12069,163565,49566,12192,10832,0,5650,11824,3039,486,770,721,466,393,109,123,84,0,57,73,861,275,220,94,125,157,81
363,A_12070,75725,19132,5745,4123,0,738,5374,786,199,257,174,331,170,67,79,41,0,33,30,265,132,56,47,26,63,34
364,A_12071,116515,27434,7236,4967,0,1166,8462,1324,523,430,323,506,279,62,101,104,0,50,55,465,242,100,68,45,192,57
365,A_12072,132102,36307,8806,7749,0,2741,10113,1695,450,683,669,417,322,83,115,89,0,64,38,653,252,139,92,101,168,68
366,A_12073,116737,29913,7307,6535,0,1331,9419,1317,348,377,332,556,307,55,76,76,0,57,33,567,187,98,92,113,71,83
369,A_13001,42946,16656,6920,2214,0,1478,3256,685,109,198,164,180,144,29,33,21,0,20,16,230,114,80,38,48,33,45
370,A_13002,57140,22323,7265,3578,0,969,6809,783,238,300,179,266,199,20,61,23,0,26,17,347,130,53,76,73,29,68
371,A_13003,163105,58360,15896,11552,0,5284,15122,2356,390,765,1233,619,503,60,121,34,0,80,62,910,407,246,181,226,122,130
372,A_13004,78630,30451,10168,5704,0,2429,7083,1249,217,336,445,290,265,33,62,33,0,32,33,386,199,125,86,98,57,58
373,A_13005,49169,20100,7388,2762,0,1027,4637,782,223,291,239,670,221,29,64,38,0,35,24,461,169,127,88,55,38,40
374,A_13006,36628,13107,3857,3722,0,630,2522,638,89,165,157,126,108,20,16,20,0,19,12,196,99,36,35,31,35,28
375,A_13051,97459,48252,19232,7517,0,2397,9166,2172,391,890,535,524,483,60,83,41,0,48,34,1001,385,218,157,115,102,103
376,A_13052,73139,34640,16734,3646,0,821,6808,1000,428,440,212,446,315,34,94,47,0,29,28,606,270,105,83,53,87,87
377,A_13053,88240,38927,16649,5959,0,1319,7630,1249,471,569,278,461,388,41,156,34,0,43,45,671,315,145,105,95,71,77
378,A_13054,106006,54273,21795,10376,0,1928,9335,1841,453,738,450,1611,559,47,153,38,0,47,48,968,368,127,128,106,88,83
379,A_13055,70267,32534,13575,4753,0,1088,6807,1237,400,516,242,427,331,30,72,32,0,24,28,482,221,119,80,77,47,69
380,A_13056,56533,27881,10970,4239,0,1240,5327,1134,305,407,178,737,347,39,65,25,0,24,26,528,187,75,78,47,38,55
381,A_13057,94437,44978,21014,5321,0,1408,8338,1440,465,692,395,644,468,49,97,46,0,45,43,843,376,242,102,110,101,109
382,A_13058,96586,46420,18665,8158,0,2079,8522,1700,409,753,351,573,501,49,79,42,0,45,41,928,380,186,148,87,84,104
383,A_13059,92200,44951,21432,4474,0,1250,8210,1413,469,673,376,1448,446,34,102,49,0,45,44,726,396,186,147,101,132,96
384,A_13060,85643,42201,18110,6444,0,1585,7872,1559,393,621,355,425,414,43,111,47,0,47,44,717,349,146,135,92,92,91
385,A_13061,59992,28926,12367,3010,0,1063,6160,1345,317,437,262,327,264,23,55,28,0,35,26,626,324,121,103,55,65,76
386,A_13062,65597,31940,13798,3616,0,670,7178,858,471,467,215,660,317,31,56,45,0,56,25,550,271,82,100,69,62,84
389,A_14161,208842,90789,23408,13090,0,5575,24792,4436,7992,1255,1513,847,717,157,672,249,0,144,106,1424,464,353,298,189,167,168
390,A_14166,58293,20999,6314,2940,0,1022,5437,1376,697,299,236,393,137,36,165,48,0,23,25,353,156,59,67,48,340,36
391,A_14167,84472,33683,10043,4341,0,1331,9208,1579,1220,606,541,584,312,35,335,99,0,133,34,688,263,271,173,110,99,67
392,A_14171,70966,37766,15476,2978,0,972,6905,1684,1387,582,309,2349,276,58,670,321,0,66,55,784,232,147,133,41,100,79
393,A_14173,114456,50997,18010,5976,0,1892,11174,2644,1504,890,750,1741,433,77,582,193,0,77,62,1058,297,281,169,94,150,93
394,A_14177,121691,63985,23669,5800,0,2361,13771,3250,2173,1021,608,2831,612,117,356,293,0,102,84,1744,494,447,311,138,171,152
395,A_14178,164716,75120,27290,8723,0,2355,14959,3786,2829,1100,693,4245,531,86,1272,332,0,72,75,1297,523,257,257,130,266,129
396,A_14181,76054,39024,15541,3276,0,1033,7314,2217,1703,648,242,1520,297,58,534,301,0,46,37,819,255,130,162,75,131,75
397,A_14182,111058,53690,20617,5807,0,1595,11200,2634,2117,874,585,1603,470,75,447,160,0,66,61,1118,333,170,183,98,151,115
398,A_14188,76226,36917,12694,4023,0,1150,8046,1635,1943,609,368,2132,300,50,482,235,0,39,51,704,208,125,121,78,61,59
399,A_14191,112672,53124,20591,4941,0,1307,11460,2235,2102,793,465,2079,407,70,1179,316,0,69,65,1073,330,261,211,88,126,87
400,A_14193,109471,50464,18768,5387,0,1583,11313,2536,1791,760,524,879,440,58,758,266,0,105,52,1044,350,227,181,94,145,99
401,A_14262,393808,182163,54178,19929,0,25141,42411,9877,3281,2492,3791,3816,1208,394,550,347,0,747,154,3208,1542,811,684,408,626,302
402,A_14263,48033,20571,6426,2134,0,1197,4579,1036,418,484,492,1075,228,42,83,99,0,114,31,604,229,75,98,56,68,60
403,A_14264,37567,14364,3995,1943,0,455,4719,641,367,170,201,206,151,15,26,28,0,28,17,371,138,91,73,40,47,34
404,A_14272,126298,62387,26086,4887,0,2210,12366,3287,1866,1131,668,1228,572,106,374,189,0,132,66,1731,594,312,374,87,214,172
405,A_14280,124558,59108,22315,5447,0,4066,11059,3456,1564,918,1079,2261,524,105,238,118,0,214,51,1367,517,371,220,108,206,136
406,A_14284,82142,38389,13947,3462,0,1239,9026,1662,990,624,445,1374,470,53,202,163,0,89,43,1191,396,225,223,90,109,112
407,A_14285,97012,46957,17292,4193,0,1568,9878,2102,1221,727,564,3403,514,65,107,109,0,89,43,1248,323,173,203,62,118,117
408,A_14286,122291,59277,22800,4572,0,2286,12813,3304,1898,1225,859,1272,509,104,327,210,0,108,61,1480,582,285,261,87,219,147
409,A_14287,118240,61047,23625,4654,0,2800,12638,2958,1021,1135,856,4044,632,100,127,133,0,159,63,1590,516,328,315,112,186,163
410,A_14290,101500,54407,23150,4469,0,2765,9642,2546,2626,774,666,1071,412,89,176,153,0,91,41,1400,391,320,225,80,128,97
411,A_14292,125418,63336,23948,6341,0,2491,13649,3205,1998,1088,725,1299,646,100,297,187,0,132,66,1852,569,305,339,109,203,205
412,A_14365,395612,154331,38649,28917,0,18150,40458,6496,2410,2394,2282,1911,1051,289,510,200,0,308,131,2287,1003,511,425,394,386,313
413,A_14374,102254,44665,16513,6307,0,1703,10036,2217,1126,679,495,689,392,61,88,49,0,46,29,903,288,158,130,82,139,87
414,A_14375,62062,27696,11927,2682,0,775,6037,1435,786,356,207,590,207,29,44,33,0,35,23,523,204,104,118,56,74,64
415,A_14379,124776,56878,20504,8335,0,2371,13118,2338,1386,858,598,1035,448,74,168,89,0,59,56,1169,426,200,178,115,220,118
416,A_14383,110444,53227,18524,6538,0,2322,11083,2506,1087,918,554,3412,510,74,230,98,0,57,48,1210,335,270,196,116,135,110
417,A_14389,81468,37843,14322,4365,0,1244,8105,1889,1343,530,277,1070,337,44,56,64,0,28,29,892,339,124,133,78,157,74
420,A_15101,66376,26918,7727,5154,0,1473,6496,1453,330,436,388,268,205,35,32,41,0,42,23,537,268,86,100,65,115,97
421,A_15151,62211,27553,9032,4462,0,1036,5537,1686,485,497,331,289,328,46,55,72,0,82,39,619,235,109,116,87,374,77
422,A_15153,56596,23070,7436,3814,0,671,5160,1700,425,430,243,229,199,47,60,46,0,46,28,464,175,89,88,59,97,57
423,A_15154,85392,36307,12507,6373,0,1010,7228,1882,673,791,471,440,433,58,65,96,0,76,42,802,293,121,168,112,187,114
424,A_15159,55899,26003,8399,4349,0,727,5663,1312,1054,503,270,314,260,51,63,60,0,55,34,452,148,72,87,61,97,57
425,A_15171,104576,48787,16667,7676,0,1659,10362,2466,955,985,557,707,504,89,155,148,0,129,78,1022,350,158,226,129,206,147
426,A_15202,196609,75996,18249,13606,0,7305,19565,4424,666,1218,1788,1033,610,163,170,134,0,165,66,1275,449,329,345,401,245,191
427,A_15256,115175,51695,17389,7746,0,1631,10856,2837,914,951,623,2058,523,107,203,133,0,109,58,897,362,125,220,170,149,140
428,A_15260,87411,37525,12217,6255,0,841,8477,1742,636,766,547,542,372,87,84,112,0,86,50,773,264,154,151,117,176,106
429,A_15261,108840,46293,15417,7851,0,1387,10311,2876,664,759,656,764,457,85,76,90,0,93,47,869,304,212,130,144,114,106
430,A_15265,67231,33395,11121,4899,0,1271,6758,2265,564,652,472,476,350,66,65,75,0,85,44,790,252,153,141,103,96,84
431,A_15266,54763,24711,8290,3850,0,696,5288,1697,497,405,265,576,234,36,52,69,0,57,46,476,164,75,107,66,121,71
432,A_15268,63443,27498,9202,4626,0,718,6122,1169,565,494,347,457,286,50,75,87,0,68,34,605,217,102,99,74,104,83
433,A_15303,189195,66302,15872,13881,0,4609,18310,3095,728,1230,1034,640,522,123,110,102,0,135,49,1044,295,210,185,221,243,129
434,A_15352,81855,28885,9393,4855,0,838,6647,1326,400,528,376,546,246,48,61,73,0,54,41,591,177,97,94,97,313,66
435,A_15355,64359,27405,9216,5488,0,814,5381,1277,325,457,287,323,274,66,49,87,0,51,40,575,176,78,112,72,111,63
436,A_15357,64549,24723,9710,3712,0,955,5201,809,296,385,229,386,215,168,60,74,0,55,26,435,128,85,76,59,76,73
437,A_15358,81008,34729,11542,5989,0,1242,7423,1687,521,721,418,306,346,61,76,100,0,69,36,696,187,136,128,85,143,104
438,A_15362,95920,42711,15209,7285,0,1555,8297,2211,499,836,444,512,425,66,85,84,0,89,52,852,248,140,151,105,166,95
439,A_15363,109266,48516,15942,8471,0,1719,10870,1941,765,845,579,664,484,99,215,168,0,99,305,1128,272,113,162,114,148,134
440,A_15364,63178,26737,8856,4614,0,1080,5156,1611,305,551,339,472,279,47,60,70,0,61,23,511,199,101,108,73,161,75
441,A_15367,61557,23297,8262,3653,0,743,5049,1043,401,491,338,181,217,25,124,62,0,47,32,507,147,72,86,59,81,74
442,A_15369,78490,34949,11402,6587,0,1417,7299,1360,425,624,492,487,296,89,126,84,0,91,42,798,245,103,178,80,216,88
443,A_15370,80382,36305,12672,6469,0,1289,7279,1764,439,652,382,447,400,78,132,99,0,59,46,737,191,129,122,111,110,101
446,A_16051,164847,85200,25682,13320,0,8179,23796,3304,1492,1213,1240,793,694,147,111,56,0,93,72,1141,495,279,180,204,235,111
447,A_16052,88658,42607,12577,6000,0,2170,13572,1558,700,738,712,667,428,56,91,34,0,68,36,680,421,112,113,98,88,77
448,A_16053,83848,48473,12397,9036,0,7069,11565,2577,786,628,468,647,402,131,103,38,0,80,43,577,259,195,110,115,76,61
449,A_16054,36953,18653,5043,2600,0,987,6453,785,250,271,187,302,204,30,20,10,0,36,18,282,139,90,63,48,140,43
450,A_16055,51472,28268,8894,4339,0,4135,6004,1141,843,405,338,267,210,42,54,28,0,31,37,340,147,55,69,43,38,33
451,A_16056,36466,18674,5798,3149,0,1456,4959,663,412,287,221,191,150,55,45,20,0,36,19,285,145,51,85,38,41,40
452,A_16061,89018,53818,32886,5206,0,1605,6086,1834,580,358,305,1168,368,407,76,86,0,27,62,653,316,101,93,44,131,46
453,A_16062,78557,38097,13263,6584,0,1565,10493,1488,538,450,315,617,320,46,85,37,0,50,38,428,280,58,52,64,88,52
454,A_16063,116739,65909,23422,10298,0,2667,15240,2720,1877,1001,476,1162,765,103,103,110,0,374,70,1223,736,488,345,112,198,123
455,A_16064,94802,49756,20315,7572,0,1738,11318,1925,1023,624,415,854,469,57,61,70,0,52,74,727,379,140,90,67,107,60
456,A_16065,75484,38389,14476,5993,0,1178,9734,1341,557,503,266,1141,370,41,41,49,0,41,30,529,298,69,114,45,127,60
457,A_16066,117138,64091,21626,9182,0,2654,17273,2997,1447,933,575,836,669,94,146,91,0,350,55,1001,616,381,286,77,280,102
458,A_16067,120426,67102,25136,9940,0,2962,16035,2625,1731,1119,646,816,648,95,113,94,0,206,76,958,581,217,220,99,262,129
459,A_16068,65150,35550,14108,4784,0,1328,8469,1462,919,589,286,666,343,35,35,26,0,53,35,540,286,86,76,50,64,45
460,A_16069,60116,30655,11653,4899,0,992,7726,1158,693,338,147,470,321,52,40,29,0,26,40,416,244,89,66,42,90,48
461,A_16070,98645,54918,20062,8100,0,2824,13556,2243,1165,831,539,758,498,79,89,56,0,65,48,859,437,167,137,88,193,86
462,A_16071,73264,41708,16598,5899,0,1978,8777,1860,1386,638,368,760,429,59,49,34,0,60,47,633,308,158,94,65,65,56
463,A_16072,55681,27517,9894,4132,0,898,7425,976,597,356,209,488,268,32,42,20,0,40,33,448,236,97,88,42,65,55
464,A_16073,106518,57224,20855,8664,0,2197,14012,2215,1094,785,534,1708,575,82,52,51,0,100,57,952,431,152,180,98,156,106
465,A_16074,76095,44310,16538,6558,0,2020,10531,1995,1048,606,376,672,483,60,106,37,0,83,44,687,402,125,122,60,91,67
466,A_16075,78906,43095,15903,6412,0,1541,10819,1797,1016,607,324,740,433,63,115,79,0,114,52,681,335,134,123,82,97,78
467,A_16076,100144,54341,21301,7795,0,2018,11994,2264,1359,819,548,844,572,65,204,87,0,72,47,951,470,161,160,99,143,106
468,A_16077,91868,44710,16464,6641,0,1294,11056,1881,1152,719,481,807,406,55,119,51,0,42,39,713,416,129,83,67,107,68
