,teryt_code,eligible_voters,issued_ballots,cdu,spd,csu,gruene,pds,fdp,rep,tierschutz,graue,npd,frauen,oedp,pbc,cm,bp,bueso,zentrum,familie,deutschland,unabhaengige,aufbruch,dkp,dp,psg
184,A_07333,60291,37603,13301,11620,0,2790,444,2681,1114,715,352,722,266,99,117,54,0,24,38,606,259,93,75,43,95,55
185,A_07334,90695,55541,25297,12713,0,4269,490,3324,2643,936,457,430,359,467,235,102,0,22,41,683,353,138,87,47,133,57
186,A_07335,83444,53944,23587,14608,0,3434,502,2656,1795,1008,488,520,410,124,191,107,0,25,40,836,424,121,106,46,148,61
187,A_07336,61829,37998,12225,13043,0,2400,465,1987,1848,804,353,382,278,95,99,83,0,14,38,646,254,126,81,64,116,56
188,A_07337,85834,57422,25772,12779,0,5189,562,3749,1587,1173,476,634,394,175,335,125,0,30,60,787,371,155,126,49,117,54
189,A_07338,113732,70476,30956,17162,0,6221,704,4590,3112,1226,748,397,449,215,198,102,0,25,65,805,340,179,124,70,145,57
190,A_07339,150646,93079,38678,23736,0,10956,1147,6768,2172,1498,832,419,420,450,207,148,0,51,95,864,506,206,115,82,177,45
191,A_07340,82658,56202,26259,11916,0,2992,624,3302,2444,1088,504,525,406,147,178,127,0,25,51,930,412,171,126,68,149,53
194,A_08111,359727,186982,68784,38920,0,40652,3414,14148,6006,2464,2803,398,946,1040,759,194,0,148,114,1090,670,510,244,211,168,109
195,A_08115,249380,136903,61698,25948,0,20171,1303,10263,3634,1674,1194,464,871,598,1884,227,0,61,92,1390,769,535,150,67,165,80
196,A_08116,352765,196921,85103,38980,0,29243,1750,13217,9473,2539,2449,574,1228,1053,1421,362,0,81,127,1881,919,778,230,108,200,84
197,A_08117,180321,93564,42199,19599,0,10845,798,6212,3374,1283,815,564,640,508,615,151,0,42,77,1071,546,467,194,68,190,57
198,A_08118,346244,190854,80534,39266,0,28277,2163,13271,7154,2675,3543,660,1420,798,1493,326,0,79,123,1802,928,646,197,131,194,96
199,A_08119,288651,155225,67733,30550,0,20252,1489,12390,5990,2030,1500,599,1049,1059,2064,264,0,102,113,1630,875,617,204,105,188,90
200,A_08121,77530,36857,15828,9135,0,3618,485,2599,2083,320,296,173,221,285,142,39,0,6,18,223,144,79,32,21,91,21
201,A_08125,231215,124755,57130,26939,0,11374,1107,9205,5147,1519,838,883,741,1079,1010,234,0,37,80,1235,681,321,128,77,279,45
202,A_08126,80032,43253,21091,8050,0,3621,336,3640,1267,524,296,442,318,181,554,86,0,25,36,486,313,187,62,18,85,30
203,A_08127,138620,69789,29978,13925,0,8165,643,5572,1968,890,487,540,617,925,1106,132,0,24,52,812,396,244,94,46,127,42
204,A_08128,104539,61171,32904,9909,0,5206,427,3337,1620,672,434,703,461,588,426,128,0,16,40,617,300,201,78,43,115,44
205,A_08135,97196,48727,22240,11000,0,4979,399,2413,1741,539,419,228,308,496,450,75,0,21,39,459,311,151,55,253,385,42
206,A_08136,229514,120841,62455,22835,0,12107,968,5626,4235,1156,849,487,990,395,914,207,0,42,81,1177,582,330,124,70,205,62
207,A_08211,40125,18973,8836,3217,0,2922,216,1680,270,269,177,115,96,50,68,31,0,6,24,179,139,50,13,17,27,10
208,A_08212,197232,90620,33137,19812,0,18582,1888,7806,1032,1096,894,521,456,554,488,79,0,46,55,691,390,329,102,121,229,66
209,A_08215,312973,171860,81623,34121,0,18328,1398,11216,4452,2489,1407,899,1002,386,1227,416,0,80,150,1913,1038,564,341,119,278,122
