,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,fdp,afd,csu,linke,freiewahler,tierschutz,basis,partei,todenhoefer,piraten,volt,oedp,ssw,verjuengungsforschung,pdh,bundnisc,bp,mlpd,menschliche,pdf,sgp,bueso,bundnisd,bsw,mera25,werteunion
372,A_15085,172544,133441,15450,26093,5262,3613,48218,0,13447,1895,0,0,1349,0,0,658,0,0,0,0,0,0,86,0,0,0,0,711,15616,0,0
373,A_15086,73246,58003,6421,11651,1949,1695,21532,0,5353,871,0,0,441,0,0,315,0,0,0,0,0,0,49,0,0,0,0,152,7105,0,0
374,A_15087,108839,82703,8162,14400,1733,2518,36275,0,7211,1058,0,0,520,0,0,210,0,0,0,0,0,0,51,0,0,0,0,218,9585,0,0
375,A_15088,149291,119412,10929,23260,3873,4279,49061,0,9892,1590,0,0,909,0,0,766,0,0,0,0,0,0,84,0,0,0,0,354,13521,0,0
376,A_15089,150918,114341,11474,21215,2926,3226,48036,0,10689,1375,0,0,780,0,0,472,0,0,0,0,0,0,84,0,0,0,0,474,12472,0,0
377,A_15090,88696,68627,8076,12661,2186,2095,26201,0,7103,1178,0,0,457,0,0,341,0,0,0,0,0,0,52,0,0,0,0,184,7601,0,0
378,A_15091,101274,79433,7581,18381,2770,2133,29781,0,7248,1698,0,0,566,0,0,317,0,0,0,0,0,0,56,0,0,0,0,172,8168,0,0
379,A_16051,159724,130686,13744,23116,10705,3773,35390,0,28714,1317,0,0,0,0,0,1191,0,0,0,0,0,0,229,0,0,0,0,299,11434,0,0
380,A_16052,71457,54546,4617,9098,1840,1554,21953,0,8257,657,0,0,0,0,0,253,0,0,0,0,0,0,85,0,0,0,0,162,5668,0,0
381,A_16053,79697,67796,7764,10642,9428,2311,12768,0,16828,675,0,0,0,0,0,1006,0,0,0,0,0,0,81,0,0,0,0,122,5889,0,0
382,A_16054,28097,21985,2060,3786,648,620,8165,0,3396,324,0,0,0,0,0,79,0,0,0,0,0,0,24,0,0,0,0,67,2667,0,0
383,A_16055,49419,40627,4298,6756,4434,1118,9756,0,9360,374,0,0,0,0,0,373,0,0,0,0,0,0,41,0,0,0,0,85,3742,0,0
384,A_16061,82941,69322,5247,21531,2142,2246,24115,0,7752,961,0,0,0,0,0,209,0,0,0,0,0,0,58,0,0,0,0,176,4436,0,0
385,A_16062,64500,50573,4983,9247,1501,1462,19584,0,7473,335,0,0,0,0,0,149,0,0,0,0,0,0,54,0,0,0,0,103,5331,0,0
386,A_16063,124474,99532,9191,19531,2980,2472,40118,0,12574,1826,0,0,0,0,0,453,0,0,0,0,0,0,149,0,0,0,0,231,9232,0,0
387,A_16064,76709,60423,5635,11687,1753,1581,23943,0,8189,1086,0,0,0,0,0,222,0,0,0,0,0,0,86,0,0,0,0,148,5621,0,0
388,A_16065,59103,45978,3864,7667,786,1177,20447,0,6669,406,0,0,0,0,0,127,0,0,0,0,0,0,62,0,0,0,0,95,4318,0,0
389,A_16066,98485,79055,6982,14288,2142,2178,32622,0,10082,1703,0,0,0,0,0,310,0,0,0,0,0,0,98,0,0,0,0,201,7855,0,0
390,A_16067,102566,81607,7567,14698,2365,2101,32835,0,12052,1298,0,0,0,0,0,341,0,0,0,0,0,0,103,0,0,0,0,254,7334,0,0
391,A_16068,55130,44633,3195,7945,1035,1170,19583,0,6212,661,0,0,0,0,0,155,0,0,0,0,0,0,87,0,0,0,0,116,4131,0,0
392,A_16069,48978,39906,2809,6355,796,903,18557,0,4303,1883,0,0,0,0,0,157,0,0,0,0,0,0,60,0,0,0,0,77,3731,0,0
393,A_16070,81713,66378,5391,11210,2786,1803,26722,0,9913,1151,0,0,0,0,0,357,0,0,0,0,0,0,75,0,0,0,0,210,6262,0,0
394,A_16071,64619,53405,3902,10054,1868,1584,21522,0,7471,971,0,0,0,0,0,290,0,0,0,0,0,0,77,0,0,0,0,140,5194,0,0
395,A_16072,44507,35266,2754,6166,748,846,16062,0,4171,550,0,0,0,0,0,86,0,0,0,0,0,0,74,0,0,0,0,93,3505,0,0
396,A_16073,82413,65909,5065,11046,1727,1781,28796,0,8706,1089,0,0,0,0,0,236,0,0,0,0,0,0,81,0,0,0,0,179,6726,0,0
397,A_16074,65981,55149,4298,10752,2182,1646,21197,0,7861,975,0,0,0,0,0,353,0,0,0,0,0,0,46,0,0,0,0,145,5351,0,0
398,A_16075,63125,51544,3544,8958,1147,1384,23584,0,6512,760,0,0,0,0,0,183,0,0,0,0,0,0,49,0,0,0,0,146,4936,0,0
399,A_16076,77827,63523,4504,11950,1705,1847,27560,0,7665,878,0,0,0,0,0,301,0,0,0,0,0,0,60,0,0,0,0,199,6376,0,0
400,A_16077,70997,55631,4501,9582,1379,1735,25248,0,6528,741,0,0,0,0,0,167,0,0,0,0,0,0,64,0,0,0,0,206,5021,0,0
