ci|tid|sid|li|list_name                                                                                   |votes  |ts|orgs
01|001|013|02|JOBBIK                                                                                      |0000044| 1|Jobbik                                                      
01|001|013|03|LEHET MÁS A POLITIKA                                                                        |0000089| 1|LEHET MÁS A POLITIKA                                        
01|001|013|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000033| 1|MDF                                                         
01|001|013|05|FIDESZ-KDNP                                                                                 |0000320| 2|FIDESZ,KDNP                                                 
01|001|014|01|MSZP                                                                                        |0000106| 1|MSZP                                                        
01|001|014|02|JOBBIK                                                                                      |0000034| 1|Jobbik                                                      
01|001|014|03|LEHET MÁS A POLITIKA                                                                        |0000075| 1|LEHET MÁS A POLITIKA                                        
01|001|014|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000042| 1|MDF                                                         
01|001|014|05|FIDESZ-KDNP                                                                                 |0000277| 2|FIDESZ,KDNP                                                 
01|001|015|01|MSZP                                                                                        |0000084| 1|MSZP                                                        
01|001|015|02|JOBBIK                                                                                      |0000029| 1|Jobbik                                                      
01|001|015|03|LEHET MÁS A POLITIKA                                                                        |0000087| 1|LEHET MÁS A POLITIKA                                        
01|001|015|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000018| 1|MDF                                                         
01|001|015|05|FIDESZ-KDNP                                                                                 |0000290| 2|FIDESZ,KDNP                                                 
01|001|016|01|MSZP                                                                                        |0000128| 1|MSZP                                                        
01|001|016|02|JOBBIK                                                                                      |0000055| 1|Jobbik                                                      
01|001|016|03|LEHET MÁS A POLITIKA                                                                        |0000093| 1|LEHET MÁS A POLITIKA                                        
01|001|016|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000034| 1|MDF                                                         
01|001|016|05|FIDESZ-KDNP                                                                                 |0000330| 2|FIDESZ,KDNP                                                 
01|001|017|01|MSZP                                                                                        |0000103| 1|MSZP                                                        
01|001|017|02|JOBBIK                                                                                      |0000029| 1|Jobbik                                                      
01|001|017|03|LEHET MÁS A POLITIKA                                                                        |0000083| 1|LEHET MÁS A POLITIKA                                        
01|001|017|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000027| 1|MDF                                                         
01|001|017|05|FIDESZ-KDNP                                                                                 |0000295| 2|FIDESZ,KDNP                                                 
01|001|018|01|MSZP                                                                                        |0000141| 1|MSZP                                                        
01|001|018|02|JOBBIK                                                                                      |0000051| 1|Jobbik                                                      
01|001|018|03|LEHET MÁS A POLITIKA                                                                        |0000092| 1|LEHET MÁS A POLITIKA                                        
01|001|018|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000025| 1|MDF                                                         
01|001|018|05|FIDESZ-KDNP                                                                                 |0000378| 2|FIDESZ,KDNP                                                 
01|001|019|01|MSZP                                                                                        |0000075| 1|MSZP                                                        
01|001|019|02|JOBBIK                                                                                      |0000043| 1|Jobbik                                                      
01|001|019|03|LEHET MÁS A POLITIKA                                                                        |0000060| 1|LEHET MÁS A POLITIKA                                        
01|001|019|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000017| 1|MDF                                                         
01|001|019|05|FIDESZ-KDNP                                                                                 |0000324| 2|FIDESZ,KDNP                                                 
01|001|020|01|MSZP                                                                                        |0000124| 1|MSZP                                                        
01|001|020|02|JOBBIK                                                                                      |0000034| 1|Jobbik                                                      
01|001|020|03|LEHET MÁS A POLITIKA                                                                        |0000082| 1|LEHET MÁS A POLITIKA                                        
01|001|020|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000037| 1|MDF                                                         
01|001|020|05|FIDESZ-KDNP                                                                                 |0000309| 2|FIDESZ,KDNP                                                 
01|001|021|01|MSZP                                                                                        |0000100| 1|MSZP                                                        
01|001|021|02|JOBBIK                                                                                      |0000025| 1|Jobbik                                                      
01|001|021|03|LEHET MÁS A POLITIKA                                                                        |0000072| 1|LEHET MÁS A POLITIKA                                        
01|001|021|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000019| 1|MDF                                                         
01|001|021|05|FIDESZ-KDNP                                                                                 |0000312| 2|FIDESZ,KDNP                                                 
01|001|022|01|MSZP                                                                                        |0000113| 1|MSZP                                                        
01|001|022|02|JOBBIK                                                                                      |0000044| 1|Jobbik                                                      
01|001|022|03|LEHET MÁS A POLITIKA                                                                        |0000110| 1|LEHET MÁS A POLITIKA                                        
01|001|022|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000039| 1|MDF                                                         
01|001|022|05|FIDESZ-KDNP                                                                                 |0000386| 2|FIDESZ,KDNP                                                 
01|001|023|01|MSZP                                                                                        |0000141| 1|MSZP                                                        
01|001|023|02|JOBBIK                                                                                      |0000034| 1|Jobbik                                                      
01|001|023|03|LEHET MÁS A POLITIKA                                                                        |0000080| 1|LEHET MÁS A POLITIKA                                        
01|001|023|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000040| 1|MDF                                                         
01|001|023|05|FIDESZ-KDNP                                                                                 |0000305| 2|FIDESZ,KDNP                                                 
01|001|024|01|MSZP                                                                                        |0000112| 1|MSZP                                                        
01|001|024|02|JOBBIK                                                                                      |0000039| 1|Jobbik                                                      
01|001|024|03|LEHET MÁS A POLITIKA                                                                        |0000078| 1|LEHET MÁS A POLITIKA                                        
01|001|024|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000024| 1|MDF                                                         
01|001|024|05|FIDESZ-KDNP                                                                                 |0000315| 2|FIDESZ,KDNP                                                 
01|001|025|01|MSZP                                                                                        |0000116| 1|MSZP                                                        
01|001|025|02|JOBBIK                                                                                      |0000036| 1|Jobbik                                                      
01|001|025|03|LEHET MÁS A POLITIKA                                                                        |0000076| 1|LEHET MÁS A POLITIKA                                        
01|001|025|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000025| 1|MDF                                                         
01|001|025|05|FIDESZ-KDNP                                                                                 |0000243| 2|FIDESZ,KDNP                                                 
01|001|026|01|MSZP                                                                                        |0000098| 1|MSZP                                                        
01|001|026|02|JOBBIK                                                                                      |0000024| 1|Jobbik                                                      
01|001|026|03|LEHET MÁS A POLITIKA                                                                        |0000057| 1|LEHET MÁS A POLITIKA                                        
01|001|026|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000024| 1|MDF                                                         
01|001|026|05|FIDESZ-KDNP                                                                                 |0000293| 2|FIDESZ,KDNP                                                 
01|001|027|01|MSZP                                                                                        |0000105| 1|MSZP                                                        
01|001|027|02|JOBBIK                                                                                      |0000030| 1|Jobbik                                                      
01|001|027|03|LEHET MÁS A POLITIKA                                                                        |0000067| 1|LEHET MÁS A POLITIKA                                        
01|001|027|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000032| 1|MDF                                                         
01|001|027|05|FIDESZ-KDNP                                                                                 |0000240| 2|FIDESZ,KDNP                                                 
01|001|028|01|MSZP                                                                                        |0000136| 1|MSZP                                                        
01|001|028|02|JOBBIK                                                                                      |0000033| 1|Jobbik                                                      
01|001|028|03|LEHET MÁS A POLITIKA                                                                        |0000083| 1|LEHET MÁS A POLITIKA                                        
