ci|tid|sid|li|list_name                                                                                   |votes  |ts|orgs
01|001|001|01|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0000438|02|FIDESZ,KDNP                                                 
01|001|001|02|MAGYAR SZOCIALISTA PÁRT                                                                     |0000242|01|MSZP                                                        
01|001|001|03|MIÉP-Jobbik a Harmadik Út                                                                   |0000032|01|MIÉP-Jobbik                                                 
01|001|001|04|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0000000|01|MUNKÁSPÁRT                                                  
01|001|001|05|SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT                                        |0000157|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|001|06|MAGYAR DEMOKRATA FÓRUM                                                                      |0000060|01|MDF                                                         
01|001|002|01|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0000410|02|FIDESZ,KDNP                                                 
01|001|002|02|MAGYAR SZOCIALISTA PÁRT                                                                     |0000262|01|MSZP                                                        
01|001|002|03|MIÉP-Jobbik a Harmadik Út                                                                   |0000030|01|MIÉP-Jobbik                                                 
01|001|002|04|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0000007|01|MUNKÁSPÁRT                                                  
01|001|002|05|SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT                                        |0000167|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|002|06|MAGYAR DEMOKRATA FÓRUM                                                                      |0000057|01|MDF                                                         
01|001|003|01|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0000317|02|FIDESZ,KDNP                                                 
01|001|003|02|MAGYAR SZOCIALISTA PÁRT                                                                     |0000142|01|MSZP                                                        
01|001|003|03|MIÉP-Jobbik a Harmadik Út                                                                   |0000034|01|MIÉP-Jobbik                                                 
01|001|003|04|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0000000|01|MUNKÁSPÁRT                                                  
01|001|003|05|SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT                                        |0000094|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|003|06|MAGYAR DEMOKRATA FÓRUM                                                                      |0000030|01|MDF                                                         
01|001|004|01|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0000257|02|FIDESZ,KDNP                                                 
01|001|004|02|MAGYAR SZOCIALISTA PÁRT                                                                     |0000161|01|MSZP                                                        
01|001|004|03|MIÉP-Jobbik a Harmadik Út                                                                   |0000022|01|MIÉP-Jobbik                                                 
01|001|004|04|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0000004|01|MUNKÁSPÁRT                                                  
01|001|004|05|SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT                                        |0000120|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|004|06|MAGYAR DEMOKRATA FÓRUM                                                                      |0000033|01|MDF                                                         
01|001|005|01|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0000296|02|FIDESZ,KDNP                                                 
01|001|005|02|MAGYAR SZOCIALISTA PÁRT                                                                     |0000114|01|MSZP                                                        
01|001|005|03|MIÉP-Jobbik a Harmadik Út                                                                   |0000019|01|MIÉP-Jobbik                                                 
01|001|005|04|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0000000|01|MUNKÁSPÁRT                                                  
01|001|005|05|SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT                                        |0000095|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|001|005|06|MAGYAR DEMOKRATA FÓRUM                                                                      |0000025|01|MDF                                                         
01|001|006|01|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0000350|02|FIDESZ,KDNP                                                 
01|001|006|02|MAGYAR SZOCIALISTA PÁRT                                                                     |0000140|01|MSZP                                                        
01|001|006|03|MIÉP-Jobbik a Harmadik Út                                                                   |0000017|01|MIÉP-Jobbik                                                 
01|001|006|04|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0000001|01|MUNKÁSPÁRT                                                  
