01|Budapest                 |011|Budapest XI.ker.         |001|FIDESZ-KDNP                   |0028258|
01|Budapest                 |011|Budapest XI.ker.         |002|SZDSZ                         |0002383|
01|Budapest                 |011|Budapest XI.ker.         |003|MCF ROMA Ö.                   |0000064|
01|Budapest                 |011|Budapest XI.ker.         |004|MUNKÁSPÁRT                    |0000448|
01|Budapest                 |011|Budapest XI.ker.         |005|MSZP                          |0012197|
01|Budapest                 |011|Budapest XI.ker.         |006|JOBBIK                        |0006214|
01|Budapest                 |011|Budapest XI.ker.         |007|LMP-HP                        |0002721|
01|Budapest                 |011|Budapest XI.ker.         |008|MDF                           |0003516|
01|Budapest                 |012|Budapest XII.ker.        |001|FIDESZ-KDNP                   |0015236|
01|Budapest                 |012|Budapest XII.ker.        |002|SZDSZ                         |0001743|
01|Budapest                 |012|Budapest XII.ker.        |003|MCF ROMA Ö.                   |0000045|
01|Budapest                 |012|Budapest XII.ker.        |004|MUNKÁSPÁRT                    |0000131|
01|Budapest                 |012|Budapest XII.ker.        |005|MSZP                          |0004893|
01|Budapest                 |012|Budapest XII.ker.        |006|JOBBIK                        |0002667|
01|Budapest                 |012|Budapest XII.ker.        |007|LMP-HP                        |0001607|
01|Budapest                 |012|Budapest XII.ker.        |008|MDF                           |0001689|
01|Budapest                 |013|Budapest XIII.ker.       |001|FIDESZ-KDNP                   |0014655|
01|Budapest                 |013|Budapest XIII.ker.       |002|SZDSZ                         |0002361|
01|Budapest                 |013|Budapest XIII.ker.       |003|MCF ROMA Ö.                   |0000096|
01|Budapest                 |013|Budapest XIII.ker.       |004|MUNKÁSPÁRT                    |0000408|
01|Budapest                 |013|Budapest XIII.ker.       |005|MSZP                          |0011154|
01|Budapest                 |013|Budapest XIII.ker.       |006|JOBBIK                        |0004142|
01|Budapest                 |013|Budapest XIII.ker.       |007|LMP-HP                        |0002224|
01|Budapest                 |013|Budapest XIII.ker.       |008|MDF                           |0002656|
01|Budapest                 |014|Budapest XIV.ker.        |001|FIDESZ-KDNP                   |0019580|
01|Budapest                 |014|Budapest XIV.ker.        |002|SZDSZ                         |0002386|
01|Budapest                 |014|Budapest XIV.ker.        |003|MCF ROMA Ö.                   |0000045|
01|Budapest                 |014|Budapest XIV.ker.        |004|MUNKÁSPÁRT                    |0000461|
01|Budapest                 |014|Budapest XIV.ker.        |005|MSZP                          |0010760|
01|Budapest                 |014|Budapest XIV.ker.        |006|JOBBIK                        |0004973|
01|Budapest                 |014|Budapest XIV.ker.        |007|LMP-HP                        |0002199|
01|Budapest                 |014|Budapest XIV.ker.        |008|MDF                           |0002951|
01|Budapest                 |015|Budapest XV.ker.         |001|FIDESZ-KDNP                   |0012826|
01|Budapest                 |015|Budapest XV.ker.         |002|SZDSZ                         |0000843|
01|Budapest                 |015|Budapest XV.ker.         |003|MCF ROMA Ö.                   |0000034|
01|Budapest                 |015|Budapest XV.ker.         |004|MUNKÁSPÁRT                    |0000289|
01|Budapest                 |015|Budapest XV.ker.         |005|MSZP                          |0006539|
01|Budapest                 |015|Budapest XV.ker.         |006|JOBBIK                        |0003890|
01|Budapest                 |015|Budapest XV.ker.         |007|LMP-HP                        |0001019|
01|Budapest                 |015|Budapest XV.ker.         |008|MDF                           |0001562|
01|Budapest                 |016|Budapest XVI.ker.        |001|FIDESZ-KDNP                   |0014488|
01|Budapest                 |016|Budapest XVI.ker.        |002|SZDSZ                         |0000905|
01|Budapest                 |016|Budapest XVI.ker.        |003|MCF ROMA Ö.                   |0000028|
01|Budapest                 |016|Budapest XVI.ker.        |004|MUNKÁSPÁRT                    |0000176|
01|Budapest                 |016|Budapest XVI.ker.        |005|MSZP                          |0005079|
01|Budapest                 |016|Budapest XVI.ker.        |006|JOBBIK                        |0003767|
01|Budapest                 |016|Budapest XVI.ker.        |007|LMP-HP                        |0001240|
01|Budapest                 |016|Budapest XVI.ker.        |008|MDF                           |0001893|
