"JKV_TÍPUS","SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","MEGYEKÓD","MEGYE","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_BÉLYEGZÉS_NÉLKÜLI","URNÁBAN_LEBÉLYEGZETT","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA","SZAVAZAT"
,"03060023T",33154,,,,,,,,,,,,,"EGYÜTT-PM",19
,"03060023T",33154,,,,,,,,,,,,,"LMP",14
,"03060023T",33154,,,,,,,,,,,,,"SMS",3
,"03060023T",33154,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","03060024F",33156,"03","BÁCS-KISKUN","060","Kecskemét",24,1135,229,0,229,0,0,229,,
,"03060024T",33156,,,,,,,,,,,,,"FIDESZ-KDNP",107
,"03060024T",33156,,,,,,,,,,,,,"JOBBIK",34
,"03060024T",33156,,,,,,,,,,,,,"MSZP",31
,"03060024T",33156,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",29
,"03060024T",33156,,,,,,,,,,,,,"EGYÜTT-PM",15
,"03060024T",33156,,,,,,,,,,,,,"LMP",9
,"03060024T",33156,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"03060024T",33156,,,,,,,,,,,,,"SMS",2
"Belföldi","03060025F",33163,"03","BÁCS-KISKUN","060","Kecskemét",25,642,142,0,142,0,0,142,,
,"03060025T",33163,,,,,,,,,,,,,"FIDESZ-KDNP",65
,"03060025T",33163,,,,,,,,,,,,,"MSZP",24
,"03060025T",33163,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",20
,"03060025T",33163,,,,,,,,,,,,,"JOBBIK",18
,"03060025T",33163,,,,,,,,,,,,,"EGYÜTT-PM",7
,"03060025T",33163,,,,,,,,,,,,,"LMP",7
,"03060025T",33163,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"03060025T",33163,,,,,,,,,,,,,"SMS",0
"Belföldi","03060026F",33155,"03","BÁCS-KISKUN","060","Kecskemét",26,1106,254,0,254,0,0,254,,
,"03060026T",33155,,,,,,,,,,,,,"FIDESZ-KDNP",123
,"03060026T",33155,,,,,,,,,,,,,"JOBBIK",42
,"03060026T",33155,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",37
,"03060026T",33155,,,,,,,,,,,,,"MSZP",20
,"03060026T",33155,,,,,,,,,,,,,"LMP",18
,"03060026T",33155,,,,,,,,,,,,,"EGYÜTT-PM",13
,"03060026T",33155,,,,,,,,,,,,,"SMS",1
,"03060026T",33155,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060027F",33157,"03","BÁCS-KISKUN","060","Kecskemét",27,872,390,0,390,0,4,386,,
,"03060027T",33157,,,,,,,,,,,,,"FIDESZ-KDNP",214
,"03060027T",33157,,,,,,,,,,,,,"EGYÜTT-PM",50
,"03060027T",33157,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",38
,"03060027T",33157,,,,,,,,,,,,,"MSZP",31
,"03060027T",33157,,,,,,,,,,,,,"JOBBIK",27
,"03060027T",33157,,,,,,,,,,,,,"LMP",21
,"03060027T",33157,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"03060027T",33157,,,,,,,,,,,,,"SMS",2
"Belföldi","03060028F",33158,"03","BÁCS-KISKUN","060","Kecskemét",28,1163,268,0,268,0,2,266,,
,"03060028T",33158,,,,,,,,,,,,,"FIDESZ-KDNP",138
,"03060028T",33158,,,,,,,,,,,,,"JOBBIK",28
,"03060028T",33158,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",28
,"03060028T",33158,,,,,,,,,,,,,"EGYÜTT-PM",27
,"03060028T",33158,,,,,,,,,,,,,"MSZP",27
,"03060028T",33158,,,,,,,,,,,,,"LMP",16
,"03060028T",33158,,,,,,,,,,,,,"SMS",2
,"03060028T",33158,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060029F",33159,"03","BÁCS-KISKUN","060","Kecskemét",29,1178,293,0,293,0,0,293,,
,"03060029T",33159,,,,,,,,,,,,,"FIDESZ-KDNP",142
,"03060029T",33159,,,,,,,,,,,,,"MSZP",37
,"03060029T",33159,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",35
,"03060029T",33159,,,,,,,,,,,,,"JOBBIK",34
,"03060029T",33159,,,,,,,,,,,,,"EGYÜTT-PM",22
,"03060029T",33159,,,,,,,,,,,,,"LMP",22
,"03060029T",33159,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"03060029T",33159,,,,,,,,,,,,,"SMS",0
"Belföldi","03060030F",33160,"03","BÁCS-KISKUN","060","Kecskemét",30,852,229,0,229,0,0,229,,
,"03060030T",33160,,,,,,,,,,,,,"FIDESZ-KDNP",107
,"03060030T",33160,,,,,,,,,,,,,"JOBBIK",37
,"03060030T",33160,,,,,,,,,,,,,"LMP",26
,"03060030T",33160,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",24
,"03060030T",33160,,,,,,,,,,,,,"MSZP",22
,"03060030T",33160,,,,,,,,,,,,,"EGYÜTT-PM",12
,"03060030T",33160,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"03060030T",33160,,,,,,,,,,,,,"SMS",0
"Belföldi","03060031F",33445,"03","BÁCS-KISKUN","060","Kecskemét",31,774,257,0,257,0,0,257,,
,"03060031T",33445,,,,,,,,,,,,,"FIDESZ-KDNP",112
,"03060031T",33445,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",34
,"03060031T",33445,,,,,,,,,,,,,"EGYÜTT-PM",33
,"03060031T",33445,,,,,,,,,,,,,"JOBBIK",33
,"03060031T",33445,,,,,,,,,,,,,"LMP",22
,"03060031T",33445,,,,,,,,,,,,,"MSZP",20
,"03060031T",33445,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"03060031T",33445,,,,,,,,,,,,,"SMS",1
"Belföldi","03060032F",33166,"03","BÁCS-KISKUN","060","Kecskemét",32,854,203,0,203,0,0,203,,
,"03060032T",33166,,,,,,,,,,,,,"FIDESZ-KDNP",123
,"03060032T",33166,,,,,,,,,,,,,"JOBBIK",25
,"03060032T",33166,,,,,,,,,,,,,"MSZP",18
,"03060032T",33166,,,,,,,,,,,,,"EGYÜTT-PM",14
,"03060032T",33166,,,,,,,,,,,,,"LMP",11
,"03060032T",33166,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",7
,"03060032T",33166,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"03060032T",33166,,,,,,,,,,,,,"SMS",2
"Belföldi","03060033F",33161,"03","BÁCS-KISKUN","060","Kecskemét",33,583,143,0,143,0,1,142,,
,"03060033T",33161,,,,,,,,,,,,,"FIDESZ-KDNP",95
,"03060033T",33161,,,,,,,,,,,,,"JOBBIK",16
,"03060033T",33161,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",12
,"03060033T",33161,,,,,,,,,,,,,"EGYÜTT-PM",8
,"03060033T",33161,,,,,,,,,,,,,"MSZP",8
,"03060033T",33161,,,,,,,,,,,,,"LMP",3
,"03060033T",33161,,,,,,,,,,,,,"SMS",0
,"03060033T",33161,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060034F",33162,"03","BÁCS-KISKUN","060","Kecskemét",34,1202,319,0,319,0,2,317,,
,"03060034T",33162,,,,,,,,,,,,,"FIDESZ-KDNP",147
,"03060034T",33162,,,,,,,,,,,,,"JOBBIK",50
,"03060034T",33162,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",37
,"03060034T",33162,,,,,,,,,,,,,"MSZP",35
,"03060034T",33162,,,,,,,,,,,,,"EGYÜTT-PM",24
,"03060034T",33162,,,,,,,,,,,,,"LMP",20
,"03060034T",33162,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"03060034T",33162,,,,,,,,,,,,,"SMS",2
"Belföldi","03060035F",33164,"03","BÁCS-KISKUN","060","Kecskemét",35,916,229,0,229,0,1,228,,
,"03060035T",33164,,,,,,,,,,,,,"FIDESZ-KDNP",113
,"03060035T",33164,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",36
,"03060035T",33164,,,,,,,,,,,,,"MSZP",28
,"03060035T",33164,,,,,,,,,,,,,"JOBBIK",22
,"03060035T",33164,,,,,,,,,,,,,"EGYÜTT-PM",14
,"03060035T",33164,,,,,,,,,,,,,"LMP",14
,"03060035T",33164,,,,,,,,,,,,,"SMS",1
,"03060035T",33164,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060036F",33165,"03","BÁCS-KISKUN","060","Kecskemét",36,1050,293,0,293,0,0,293,,
,"03060036T",33165,,,,,,,,,,,,,"FIDESZ-KDNP",127
,"03060036T",33165,,,,,,,,,,,,,"JOBBIK",50
,"03060036T",33165,,,,,,,,,,,,,"LMP",32
,"03060036T",33165,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",28
,"03060036T",33165,,,,,,,,,,,,,"MSZP",27
,"03060036T",33165,,,,,,,,,,,,,"EGYÜTT-PM",25
,"03060036T",33165,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"03060036T",33165,,,,,,,,,,,,,"SMS",1
"Belföldi","03060037F",33169,"03","BÁCS-KISKUN","060","Kecskemét",37,1169,268,0,268,0,4,264,,
,"03060037T",33169,,,,,,,,,,,,,"FIDESZ-KDNP",142
,"03060037T",33169,,,,,,,,,,,,,"JOBBIK",40
,"03060037T",33169,,,,,,,,,,,,,"MSZP",30
,"03060037T",33169,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",22
,"03060037T",33169,,,,,,,,,,,,,"EGYÜTT-PM",14
,"03060037T",33169,,,,,,,,,,,,,"LMP",13
,"03060037T",33169,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"03060037T",33169,,,,,,,,,,,,,"SMS",1
"Belföldi","03060038F",33167,"03","BÁCS-KISKUN","060","Kecskemét",38,832,171,0,171,0,0,171,,
,"03060038T",33167,,,,,,,,,,,,,"FIDESZ-KDNP",114
,"03060038T",33167,,,,,,,,,,,,,"JOBBIK",17
,"03060038T",33167,,,,,,,,,,,,,"LMP",14
,"03060038T",33167,,,,,,,,,,,,,"MSZP",10
,"03060038T",33167,,,,,,,,,,,,,"EGYÜTT-PM",10
,"03060038T",33167,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",6
,"03060038T",33167,,,,,,,,,,,,,"SMS",0
,"03060038T",33167,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060039F",33467,"03","BÁCS-KISKUN","060","Kecskemét",39,648,271,0,271,0,1,270,,
,"03060039T",33467,,,,,,,,,,,,,"FIDESZ-KDNP",160
,"03060039T",33467,,,,,,,,,,,,,"JOBBIK",33
,"03060039T",33467,,,,,,,,,,,,,"EGYÜTT-PM",21
,"03060039T",33467,,,,,,,,,,,,,"LMP",19
,"03060039T",33467,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",18
,"03060039T",33467,,,,,,,,,,,,,"MSZP",18
,"03060039T",33467,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"03060039T",33467,,,,,,,,,,,,,"SMS",0
"Belföldi","03060040F",33170,"03","BÁCS-KISKUN","060","Kecskemét",40,1012,420,0,420,0,0,420,,
,"03060040T",33170,,,,,,,,,,,,,"FIDESZ-KDNP",260
,"03060040T",33170,,,,,,,,,,,,,"EGYÜTT-PM",36
,"03060040T",33170,,,,,,,,,,,,,"MSZP",34
,"03060040T",33170,,,,,,,,,,,,,"JOBBIK",34
,"03060040T",33170,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",28
,"03060040T",33170,,,,,,,,,,,,,"LMP",24
,"03060040T",33170,,,,,,,,,,,,,"SMS",3
,"03060040T",33170,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","03060041F",33171,"03","BÁCS-KISKUN","060","Kecskemét",41,1036,345,0,345,0,0,345,,
,"03060041T",33171,,,,,,,,,,,,,"FIDESZ-KDNP",172
,"03060041T",33171,,,,,,,,,,,,,"EGYÜTT-PM",41
,"03060041T",33171,,,,,,,,,,,,,"MSZP",37
,"03060041T",33171,,,,,,,,,,,,,"LMP",32
,"03060041T",33171,,,,,,,,,,,,,"JOBBIK",32
,"03060041T",33171,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",31
,"03060041T",33171,,,,,,,,,,,,,"SMS",0
,"03060041T",33171,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060042F",33468,"03","BÁCS-KISKUN","060","Kecskemét",42,848,323,0,322,-1,1,321,,
,"03060042T",33468,,,,,,,,,,,,,"FIDESZ-KDNP",159
,"03060042T",33468,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",37
,"03060042T",33468,,,,,,,,,,,,,"JOBBIK",36
,"03060042T",33468,,,,,,,,,,,,,"MSZP",34
,"03060042T",33468,,,,,,,,,,,,,"LMP",33
,"03060042T",33468,,,,,,,,,,,,,"EGYÜTT-PM",22
,"03060042T",33468,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
,"03060042T",33468,,,,,,,,,,,,,"SMS",0
"Belföldi","03060043F",33469,"03","BÁCS-KISKUN","060","Kecskemét",43,1074,289,0,289,0,0,289,,
,"03060043T",33469,,,,,,,,,,,,,"FIDESZ-KDNP",174
,"03060043T",33469,,,,,,,,,,,,,"JOBBIK",38
,"03060043T",33469,,,,,,,,,,,,,"LMP",27
,"03060043T",33469,,,,,,,,,,,,,"EGYÜTT-PM",23
,"03060043T",33469,,,,,,,,,,,,,"MSZP",13
,"03060043T",33469,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",11
,"03060043T",33469,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"03060043T",33469,,,,,,,,,,,,,"SMS",1
"Belföldi","03060044F",33462,"03","BÁCS-KISKUN","060","Kecskemét",44,991,254,0,254,0,0,254,,
,"03060044T",33462,,,,,,,,,,,,,"FIDESZ-KDNP",154
,"03060044T",33462,,,,,,,,,,,,,"JOBBIK",30
,"03060044T",33462,,,,,,,,,,,,,"LMP",23
,"03060044T",33462,,,,,,,,,,,,,"EGYÜTT-PM",17
,"03060044T",33462,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",17
,"03060044T",33462,,,,,,,,,,,,,"MSZP",10
,"03060044T",33462,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"03060044T",33462,,,,,,,,,,,,,"SMS",1
"Belföldi","03060045F",33168,"03","BÁCS-KISKUN","060","Kecskemét",45,691,303,0,303,0,0,303,,
,"03060045T",33168,,,,,,,,,,,,,"FIDESZ-KDNP",158
,"03060045T",33168,,,,,,,,,,,,,"MSZP",40
,"03060045T",33168,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",31
,"03060045T",33168,,,,,,,,,,,,,"JOBBIK",31
,"03060045T",33168,,,,,,,,,,,,,"EGYÜTT-PM",22
,"03060045T",33168,,,,,,,,,,,,,"LMP",20
,"03060045T",33168,,,,,,,,,,,,,"SMS",1
,"03060045T",33168,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060046F",33465,"03","BÁCS-KISKUN","060","Kecskemét",46,1086,359,0,359,0,0,359,,
,"03060046T",33465,,,,,,,,,,,,,"FIDESZ-KDNP",224
,"03060046T",33465,,,,,,,,,,,,,"JOBBIK",52
,"03060046T",33465,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",24
,"03060046T",33465,,,,,,,,,,,,,"MSZP",23
,"03060046T",33465,,,,,,,,,,,,,"EGYÜTT-PM",18
,"03060046T",33465,,,,,,,,,,,,,"LMP",12
,"03060046T",33465,,,,,,,,,,,,,"SMS",4
,"03060046T",33465,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
"Belföldi","03060047F",33466,"03","BÁCS-KISKUN","060","Kecskemét",47,1289,624,0,624,0,3,621,,
,"03060047T",33466,,,,,,,,,,,,,"FIDESZ-KDNP",314
,"03060047T",33466,,,,,,,,,,,,,"JOBBIK",119
,"03060047T",33466,,,,,,,,,,,,,"MSZP",64
,"03060047T",33466,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",47
,"03060047T",33466,,,,,,,,,,,,,"EGYÜTT-PM",41
,"03060047T",33466,,,,,,,,,,,,,"LMP",29
,"03060047T",33466,,,,,,,,,,,,,"A HAZA NEM ELADÓ",5
,"03060047T",33466,,,,,,,,,,,,,"SMS",2
"Belföldi","03060048F",33230,"03","BÁCS-KISKUN","060","Kecskemét",48,1155,453,0,453,0,1,452,,
,"03060048T",33230,,,,,,,,,,,,,"FIDESZ-KDNP",278
,"03060048T",33230,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",52
,"03060048T",33230,,,,,,,,,,,,,"MSZP",39
,"03060048T",33230,,,,,,,,,,,,,"EGYÜTT-PM",29
,"03060048T",33230,,,,,,,,,,,,,"JOBBIK",26
,"03060048T",33230,,,,,,,,,,,,,"LMP",24
,"03060048T",33230,,,,,,,,,,,,,"A HAZA NEM ELADÓ",4
,"03060048T",33230,,,,,,,,,,,,,"SMS",0
"Belföldi","03060049F",33234,"03","BÁCS-KISKUN","060","Kecskemét",49,860,276,2,274,-2,1,273,,
,"03060049T",33234,,,,,,,,,,,,,"FIDESZ-KDNP",141
,"03060049T",33234,,,,,,,,,,,,,"JOBBIK",44
,"03060049T",33234,,,,,,,,,,,,,"MSZP",25
,"03060049T",33234,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",24
,"03060049T",33234,,,,,,,,,,,,,"LMP",20
,"03060049T",33234,,,,,,,,,,,,,"EGYÜTT-PM",15
,"03060049T",33234,,,,,,,,,,,,,"SMS",4
,"03060049T",33234,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060050F",33221,"03","BÁCS-KISKUN","060","Kecskemét",50,561,231,0,231,0,1,230,,
,"03060050T",33221,,,,,,,,,,,,,"FIDESZ-KDNP",98
,"03060050T",33221,,,,,,,,,,,,,"EGYÜTT-PM",39
,"03060050T",33221,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",38
,"03060050T",33221,,,,,,,,,,,,,"MSZP",25
,"03060050T",33221,,,,,,,,,,,,,"JOBBIK",15
,"03060050T",33221,,,,,,,,,,,,,"LMP",15
,"03060050T",33221,,,,,,,,,,,,,"SMS",0
,"03060050T",33221,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060051F",33229,"03","BÁCS-KISKUN","060","Kecskemét",51,802,254,0,254,0,0,254,,
,"03060051T",33229,,,,,,,,,,,,,"FIDESZ-KDNP",156
,"03060051T",33229,,,,,,,,,,,,,"MSZP",32
,"03060051T",33229,,,,,,,,,,,,,"JOBBIK",24
,"03060051T",33229,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",19
,"03060051T",33229,,,,,,,,,,,,,"LMP",10
,"03060051T",33229,,,,,,,,,,,,,"EGYÜTT-PM",9
,"03060051T",33229,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"03060051T",33229,,,,,,,,,,,,,"SMS",1
"Belföldi","03060052F",33232,"03","BÁCS-KISKUN","060","Kecskemét",52,1112,348,0,348,0,2,346,,
,"03060052T",33232,,,,,,,,,,,,,"FIDESZ-KDNP",186
,"03060052T",33232,,,,,,,,,,,,,"JOBBIK",40
,"03060052T",33232,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",39
,"03060052T",33232,,,,,,,,,,,,,"MSZP",35
,"03060052T",33232,,,,,,,,,,,,,"EGYÜTT-PM",24
,"03060052T",33232,,,,,,,,,,,,,"LMP",19
,"03060052T",33232,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"03060052T",33232,,,,,,,,,,,,,"SMS",1
"Belföldi","03060053F",33233,"03","BÁCS-KISKUN","060","Kecskemét",53,1157,383,0,382,-1,0,382,,
,"03060053T",33233,,,,,,,,,,,,,"FIDESZ-KDNP",183
,"03060053T",33233,,,,,,,,,,,,,"JOBBIK",53
,"03060053T",33233,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",40
,"03060053T",33233,,,,,,,,,,,,,"MSZP",35
,"03060053T",33233,,,,,,,,,,,,,"EGYÜTT-PM",35
,"03060053T",33233,,,,,,,,,,,,,"LMP",32
,"03060053T",33233,,,,,,,,,,,,,"A HAZA NEM ELADÓ",4
,"03060053T",33233,,,,,,,,,,,,,"SMS",0
"Belföldi","03060054F",33238,"03","BÁCS-KISKUN","060","Kecskemét",54,997,331,0,330,-1,2,328,,
,"03060054T",33238,,,,,,,,,,,,,"FIDESZ-KDNP",144
,"03060054T",33238,,,,,,,,,,,,,"JOBBIK",46
,"03060054T",33238,,,,,,,,,,,,,"MSZP",45
,"03060054T",33238,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",41
,"03060054T",33238,,,,,,,,,,,,,"EGYÜTT-PM",27
,"03060054T",33238,,,,,,,,,,,,,"LMP",21
,"03060054T",33238,,,,,,,,,,,,,"SMS",3
,"03060054T",33238,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","03060055F",33239,"03","BÁCS-KISKUN","060","Kecskemét",55,763,71,0,70,-1,0,70,,
,"03060055T",33239,,,,,,,,,,,,,"FIDESZ-KDNP",41
,"03060055T",33239,,,,,,,,,,,,,"JOBBIK",14
,"03060055T",33239,,,,,,,,,,,,,"MSZP",8
,"03060055T",33239,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",5
,"03060055T",33239,,,,,,,,,,,,,"SMS",1
,"03060055T",33239,,,,,,,,,,,,,"EGYÜTT-PM",1
,"03060055T",33239,,,,,,,,,,,,,"LMP",0
,"03060055T",33239,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060056F",33231,"03","BÁCS-KISKUN","060","Kecskemét",56,733,80,0,80,0,0,80,,
,"03060056T",33231,,,,,,,,,,,,,"FIDESZ-KDNP",56
,"03060056T",33231,,,,,,,,,,,,,"JOBBIK",11
,"03060056T",33231,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",5
,"03060056T",33231,,,,,,,,,,,,,"MSZP",3
,"03060056T",33231,,,,,,,,,,,,,"EGYÜTT-PM",3
,"03060056T",33231,,,,,,,,,,,,,"LMP",2
,"03060056T",33231,,,,,,,,,,,,,"SMS",0
,"03060056T",33231,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","03060057F",33470,"03","BÁCS-KISKUN","060","Kecskemét",57,938,296,0,296,0,1,295,,
,"03060057T",33470,,,,,,,,,,,,,"FIDESZ-KDNP",144
,"03060057T",33470,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",38
,"03060057T",33470,,,,,,,,,,,,,"JOBBIK",38
,"03060057T",33470,,,,,,,,,,,,,"MSZP",26
,"03060057T",33470,,,,,,,,,,,,,"EGYÜTT-PM",25
,"03060057T",33470,,,,,,,,,,,,,"LMP",20
,"03060057T",33470,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"03060057T",33470,,,,,,,,,,,,,"SMS",1
"Belföldi","03060058F",33471,"03","BÁCS-KISKUN","060","Kecskemét",58,1170,438,0,438,0,0,438,,
,"03060058T",33471,,,,,,,,,,,,,"FIDESZ-KDNP",209
,"03060058T",33471,,,,,,,,,,,,,"JOBBIK",53
,"03060058T",33471,,,,,,,,,,,,,"EGYÜTT-PM",49
,"03060058T",33471,,,,,,,,,,,,,"MSZP",47
,"03060058T",33471,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",42
,"03060058T",33471,,,,,,,,,,,,,"LMP",34
,"03060058T",33471,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"03060058T",33471,,,,,,,,,,,,,"SMS",1
"Belföldi","03060059F",33215,"03","BÁCS-KISKUN","060","Kecskemét",59,1107,360,0,360,0,0,360,,
,"03060059T",33215,,,,,,,,,,,,,"FIDESZ-KDNP",194
,"03060059T",33215,,,,,,,,,,,,,"JOBBIK",46
,"03060059T",33215,,,,,,,,,,,,,"EGYÜTT-PM",35
,"03060059T",33215,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",30
,"03060059T",33215,,,,,,,,,,,,,"MSZP",28
,"03060059T",33215,,,,,,,,,,,,,"LMP",22
,"03060059T",33215,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"03060059T",33215,,,,,,,,,,,,,"SMS",2
"Belföldi","03060060F",33216,"03","BÁCS-KISKUN","060","Kecskemét",60,632,228,0,228,0,0,228,,
,"03060060T",33216,,,,,,,,,,,,,"FIDESZ-KDNP",112
,"03060060T",33216,,,,,,,,,,,,,"JOBBIK",39
,"03060060T",33216,,,,,,,,,,,,,"EGYÜTT-PM",27
,"03060060T",33216,,,,,,,,,,,,,"MSZP",20
,"03060060T",33216,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",14
,"03060060T",33216,,,,,,,,,,,,,"LMP",13
,"03060060T",33216,,,,,,,,,,,,,"SMS",2
,"03060060T",33216,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","03060061F",33217,"03","BÁCS-KISKUN","060","Kecskemét",61,633,210,0,210,0,0,210,,
,"03060061T",33217,,,,,,,,,,,,,"FIDESZ-KDNP",122
,"03060061T",33217,,,,,,,,,,,,,"JOBBIK",24
,"03060061T",33217,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",20
,"03060061T",33217,,,,,,,,,,,,,"LMP",18
,"03060061T",33217,,,,,,,,,,,,,"MSZP",12
,"03060061T",33217,,,,,,,,,,,,,"EGYÜTT-PM",9
,"03060061T",33217,,,,,,,,,,,,,"SMS",3
,"03060061T",33217,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
"Belföldi","03060062F",33218,"03","BÁCS-KISKUN","060","Kecskemét",62,874,318,0,318,0,0,318,,
,"03060062T",33218,,,,,,,,,,,,,"FIDESZ-KDNP",191
,"03060062T",33218,,,,,,,,,,,,,"JOBBIK",41
,"03060062T",33218,,,,,,,,,,,,,"MSZP",25
,"03060062T",33218,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",24
,"03060062T",33218,,,,,,,,,,,,,"LMP",20
,"03060062T",33218,,,,,,,,,,,,,"EGYÜTT-PM",15
,"03060062T",33218,,,,,,,,,,,,,"SMS",1
,"03060062T",33218,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","03060063F",33219,"03","BÁCS-KISKUN","060","Kecskemét",63,829,247,0,247,0,1,246,,
,"03060063T",33219,,,,,,,,,,,,,"FIDESZ-KDNP",114
,"03060063T",33219,,,,,,,,,,,,,"JOBBIK",36
,"03060063T",33219,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",34
,"03060063T",33219,,,,,,,,,,,,,"MSZP",29
,"03060063T",33219,,,,,,,,,,,,,"EGYÜTT-PM",21
,"03060063T",33219,,,,,,,,,,,,,"LMP",9
,"03060063T",33219,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"03060063T",33219,,,,,,,,,,,,,"SMS",1
"Belföldi","03060064F",33224,"03","BÁCS-KISKUN","060","Kecskemét",64,1056,362,0,362,0,0,362,,
,"03060064T",33224,,,,,,,,,,,,,"FIDESZ-KDNP",194
,"03060064T",33224,,,,,,,,,,,,,"JOBBIK",41
