ci|tid| sid|        li|list_name                                                                                   |votes
01|001|0014|         6|MIÉP                                                                                        |        61
01|001|0014|         7|FIDESZ MDF                                                                                  |       218
01|001|0015|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         3
01|001|0015|         2|CENTRUM                                                                                     |        23
01|001|0015|         3|MUNKÁSPÁRT                                                                                  |         5
01|001|0015|         4|MSZP                                                                                        |       118
01|001|0015|         5|SZDSZ                                                                                       |        65
01|001|0015|         6|MIÉP                                                                                        |        43
01|001|0015|         7|FIDESZ MDF                                                                                  |       205
01|001|0016|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0016|         2|CENTRUM                                                                                     |        34
01|001|0016|         3|MUNKÁSPÁRT                                                                                  |         9
01|001|0016|         4|MSZP                                                                                        |       201
01|001|0016|         5|SZDSZ                                                                                       |        75
01|001|0016|         6|MIÉP                                                                                        |        55
01|001|0016|         7|FIDESZ MDF                                                                                  |       231
01|001|0017|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|001|0017|         2|CENTRUM                                                                                     |        48
01|001|0017|         3|MUNKÁSPÁRT                                                                                  |         6
01|001|0017|         4|MSZP                                                                                        |       207
01|001|0017|         5|SZDSZ                                                                                       |        92
01|001|0017|         6|MIÉP                                                                                        |        71
01|001|0017|         7|FIDESZ MDF                                                                                  |       290
01|001|0018|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         2
01|001|0018|         2|CENTRUM                                                                                     |        57
01|001|0018|         3|MUNKÁSPÁRT                                                                                  |        11
01|001|0018|         4|MSZP                                                                                        |       225
01|001|0018|         5|SZDSZ                                                                                       |       110
01|001|0018|         6|MIÉP                                                                                        |        76
01|001|0018|         7|FIDESZ MDF                                                                                  |       304
01|001|0019|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         4
01|001|0019|         2|CENTRUM                                                                                     |        63
01|001|0019|         3|MUNKÁSPÁRT                                                                                  |        22
01|001|0019|         4|MSZP                                                                                        |       168
01|001|0019|         5|SZDSZ                                                                                       |        75
01|001|0019|         6|MIÉP                                                                                        |        58
01|001|0019|         7|FIDESZ MDF                                                                                  |       234
01|001|0020|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|001|0020|         2|CENTRUM                                                                                     |        34
01|001|0020|         3|MUNKÁSPÁRT                                                                                  |        11
01|001|0020|         4|MSZP                                                                                        |       136
01|001|0020|         5|SZDSZ                                                                                       |        53
01|001|0020|         6|MIÉP                                                                                        |        48
01|001|0020|         7|FIDESZ MDF                                                                                  |       195
