"SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","'LISTÁS'","MEGYEKÓD","MEGYE","OEVK","SZÉKHELY","SZH_KER","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_LEVŐ","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA_TÍPUS","LISTA","SZAVAZAT","NEMZ_VÁLASZTÓPOLGÁR","NEMZ_MEGJELENTEK","NEMZ_URNÁBAN_LÉVŐ","NEMZ_ELTÉRÉS","NEMZ_ÉRVÉNYTELEN"
"03060040T",232041,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",315,,,,,
"03060040T",232041,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",41,,,,,
"03060040T",232041,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",31,,,,,
"03060040T",232041,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",7,,,,,
"03060040T",232041,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",6,,,,,
"03060040T",232041,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",0,1,0,0,0,0
"03060041F",232043,"Listás","03","BÁCS-KISKUN","01","Kecskemét",,"060","Kecskemét","041",1027,834,835,0,13,822,,,,,,,,
"03060041T",232043,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",364,,,,,
"03060041T",232043,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",351,,,,,
"03060041T",232043,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",48,,,,,
"03060041T",232043,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",39,,,,,
"03060041T",232043,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",12,,,,,
"03060041T",232043,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",8,,,,,
"03060042F",232045,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","042",798,639,639,0,3,636,,,,,,,,
"03060042T",232045,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",285,,,,,
"03060042T",232045,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",268,,,,,
"03060042T",232045,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",38,,,,,
"03060042T",232045,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",35,,,,,
"03060042T",232045,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",5,,,,,
"03060042T",232045,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",5,,,,,
"03060043F",232047,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","043",1049,773,772,0,13,759,,,,,,,,
"03060043T",232047,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",405,,,,,
"03060043T",232047,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",256,,,,,
"03060043T",232047,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",42,,,,,
"03060043T",232047,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",40,,,,,
"03060043T",232047,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",8,,,,,
"03060043T",232047,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",8,,,,,
"03060044F",232049,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","044",1037,738,738,0,7,731,,,,,,,,
"03060044T",232049,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",358,,,,,
"03060044T",232049,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",253,,,,,
"03060044T",232049,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",56,,,,,
"03060044T",232049,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",42,,,,,
"03060044T",232049,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",13,,,,,
"03060044T",232049,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",8,,,,,
"03060044T",232049,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"03060045F",232051,"Listás","03","BÁCS-KISKUN","01","Kecskemét",,"060","Kecskemét","045",2120,1864,1863,-1,9,1854,,,,,,,,
"03060045T",232051,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",926,,,,,
"03060045T",232051,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",659,,,,,
"03060045T",232051,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",129,,,,,
"03060045T",232051,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",110,,,,,
"03060045T",232051,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",17,,,,,
"03060045T",232051,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",10,,,,,
"03060045T",232051,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",1,1,0,1,0,0
"03060045T",232051,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI ROMÁNOK ORSZÁGOS ÖNKORMÁNYZATA",1,2,0,1,0,0
"03060045T",232051,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS HORVÁT ÖNKORMÁNYZAT",1,1,1,1,0,0
"03060046F",232053,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","046",996,717,723,0,43,680,,,,,,,,
"03060046T",232053,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",329,,,,,
"03060046T",232053,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",291,,,,,
"03060046T",232053,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",31,,,,,
"03060046T",232053,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",25,,,,,
"03060046T",232053,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",1,,,,,
"03060046T",232053,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"03060046T",232053,,,,,,,,,,,,,,,,"Nemzetiségi","BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT",1,1,1,1,0,0
"03060046T",232053,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"03060046T",232053,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT",1,1,1,1,0,0
"03060047F",232055,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","047",0,0,0,0,0,0,,,,,,,,
"03060047T",232055,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",0,,,,,
"03060047T",232055,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",0,,,,,
"03060047T",232055,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",0,,,,,
"03060047T",232055,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"03060047T",232055,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",0,,,,,
"03060047T",232055,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"03060048F",232057,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","048",964,711,711,0,3,708,,,,,,,,
"03060048T",232057,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",338,,,,,
"03060048T",232057,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",287,,,,,
"03060048T",232057,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",43,,,,,
"03060048T",232057,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",25,,,,,
"03060048T",232057,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",8,,,,,
"03060048T",232057,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",7,,,,,
"03060049F",232059,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","049",789,572,572,0,7,565,,,,,,,,
"03060049T",232059,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",248,,,,,
"03060049T",232059,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",245,,,,,
"03060049T",232059,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",34,,,,,
"03060049T",232059,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",26,,,,,
"03060049T",232059,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",7,,,,,
"03060049T",232059,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",5,,,,,
"03060050F",232061,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","050",2331,2086,2080,-6,16,2064,,,,,,,,
"03060050T",232061,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",1106,,,,,
"03060050T",232061,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",689,,,,,
"03060050T",232061,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",128,,,,,
"03060050T",232061,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",94,,,,,
"03060050T",232061,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",33,,,,,
"03060050T",232061,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",14,,,,,
"03060051F",232063,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","051",693,495,494,0,4,490,,,,,,,,
"03060051T",232063,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",270,,,,,
"03060051T",232063,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",160,,,,,
"03060051T",232063,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",32,,,,,
"03060051T",232063,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",17,,,,,
"03060051T",232063,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",8,,,,,
"03060051T",232063,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",3,,,,,
"03060052F",232065,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","052",964,673,673,0,5,668,,,,,,,,
"03060052T",232065,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",314,,,,,
"03060052T",232065,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",280,,,,,
"03060052T",232065,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",44,,,,,
"03060052T",232065,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",22,,,,,
"03060052T",232065,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",4,,,,,
"03060052T",232065,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",3,,,,,
"03060052T",232065,,,,,,,,,,,,,,,,"Nemzetiségi","UKRÁN ORSZÁGOS ÖNKORMÁNYZAT",1,1,1,1,0,0
"03060053F",232067,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","053",987,747,746,0,4,742,,,,,,,,
"03060053T",232067,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",342,,,,,
"03060053T",232067,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",293,,,,,
"03060053T",232067,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",48,,,,,
"03060053T",232067,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",35,,,,,
"03060053T",232067,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",12,,,,,
"03060053T",232067,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",12,,,,,
"03060053T",232067,,,,,,,,,,,,,,,,"Nemzetiségi","UKRÁN ORSZÁGOS ÖNKORMÁNYZAT",0,1,1,1,0,1
"03060054F",232069,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","054",801,563,563,0,5,558,,,,,,,,
"03060054T",232069,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",247,,,,,
"03060054T",232069,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",218,,,,,
"03060054T",232069,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",45,,,,,
"03060054T",232069,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",39,,,,,
"03060054T",232069,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",5,,,,,
"03060054T",232069,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",4,,,,,
"03060055F",232071,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","055",805,340,340,0,4,336,,,,,,,,
"03060055T",232071,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",236,,,,,
"03060055T",232071,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",76,,,,,
"03060055T",232071,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",13,,,,,
"03060055T",232071,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",7,,,,,
"03060055T",232071,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",3,,,,,
"03060055T",232071,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"03060056F",232073,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","056",661,311,311,0,9,302,,,,,,,,
"03060056T",232073,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",217,,,,,
"03060056T",232073,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",63,,,,,
"03060056T",232073,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",11,,,,,
"03060056T",232073,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",5,,,,,
"03060056T",232073,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",4,,,,,
"03060056T",232073,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",2,,,,,
"03060057F",232075,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","057",797,555,554,0,5,549,,,,,,,,
"03060057T",232075,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",269,,,,,
"03060057T",232075,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",212,,,,,
"03060057T",232075,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",29,,,,,
"03060057T",232075,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",24,,,,,
"03060057T",232075,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",9,,,,,
"03060057T",232075,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",5,,,,,
"03060057T",232075,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS HORVÁT ÖNKORMÁNYZAT",1,1,1,1,0,0
"03060058F",232077,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","058",1082,802,802,0,7,795,,,,,,,,
"03060058T",232077,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",349,,,,,
"03060058T",232077,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",329,,,,,
"03060058T",232077,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",53,,,,,
"03060058T",232077,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",48,,,,,
"03060058T",232077,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",9,,,,,
"03060058T",232077,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",6,,,,,
"03060058T",232077,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"03060059F",232079,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","059",898,702,702,0,4,698,,,,,,,,
"03060059T",232079,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",357,,,,,
"03060059T",232079,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",250,,,,,
"03060059T",232079,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",38,,,,,
"03060059T",232079,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",33,,,,,
"03060059T",232079,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",13,,,,,
"03060059T",232079,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",7,,,,,
"03060059T",232079,,,,,,,,,,,,,,,,"Nemzetiségi","UKRÁN ORSZÁGOS ÖNKORMÁNYZAT",0,1,0,0,0,0
"03060060F",232081,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","060",545,415,415,0,3,412,,,,,,,,
"03060060T",232081,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",187,,,,,
"03060060T",232081,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",161,,,,,
"03060060T",232081,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",29,,,,,
"03060060T",232081,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",29,,,,,
"03060060T",232081,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",4,,,,,
"03060060T",232081,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",2,,,,,
"03060061F",232083,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","061",640,480,481,0,7,474,,,,,,,,
"03060061T",232083,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",251,,,,,
"03060061T",232083,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",158,,,,,
"03060061T",232083,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",33,,,,,
"03060061T",232083,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",23,,,,,
"03060061T",232083,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",5,,,,,
"03060061T",232083,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",4,,,,,
"03060062F",232085,"Listás","03","BÁCS-KISKUN","02","Kecskemét",,"060","Kecskemét","062",818,603,602,0,5,597,,,,,,,,
"03060062T",232085,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",324,,,,,
"03060062T",232085,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",197,,,,,
"03060062T",232085,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",40,,,,,
"03060062T",232085,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",31,,,,,
"03060062T",232085,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",2,,,,,
"03060062T",232085,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
