"SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","'LISTÁS'","MEGYEKÓD","MEGYE","OEVK","SZÉKHELY","SZH_KER","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_LEVŐ","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA_TÍPUS","LISTA","SZAVAZAT","NEMZ_VÁLASZTÓPOLGÁR","NEMZ_MEGJELENTEK","NEMZ_URNÁBAN_LÉVŐ","NEMZ_ELTÉRÉS","NEMZ_ÉRVÉNYTELEN"
"01001005T",227675,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",288,,,,,
"01001005T",227675,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",43,,,,,
"01001005T",227675,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",19,,,,,
"01001005T",227675,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",9,,,,,
"01001005T",227675,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",2,,,,,
"01001005T",227675,,,,,,,,,,,,,,,,"Nemzetiségi","BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT",1,1,1,1,0,0
"01001005T",227675,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"01001006F",227677,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","006",936,774,774,0,5,769,,,,,,,,
"01001006T",227677,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",350,,,,,
"01001006T",227677,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",333,,,,,
"01001006T",227677,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",55,,,,,
"01001006T",227677,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",22,,,,,
"01001006T",227677,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",6,,,,,
