,teryt_code,eligible_voters,issued_ballots,PATRIOTYCZNY,PPP,LPR,PD,SD,PIS,SLD,PO,PPN,PSL,CENTRUM,PKM,OKO,GIP,SAMOOBRONA,IRP,DO,NOP,SPRACY,SR,MN,MNS
303,T_2613,37682,13535,370,118,925,109,245,2531,1070,1496,38,2020,126,160,45,0,3524,35,23,0,0,0,0,0
304,T_2661,167654,77883,882,873,4082,1922,2829,22668,14302,17737,241,3014,478,1308,235,0,4691,119,255,0,0,0,0,0
305,T_2801,51413,16703,129,126,835,706,610,2609,1384,2593,47,1179,109,230,0,0,5281,0,0,0,0,0,0,0
306,T_2802,34901,11264,100,125,540,723,446,1585,1380,2468,43,1108,16,159,0,0,2041,0,0,0,0,0,0,0
307,T_2803,51374,16311,130,113,1521,645,374,3196,1545,3016,50,1964,62,138,0,0,2729,0,0,0,0,0,0,0
308,T_2804,44081,12646,132,102,635,280,620,2590,1166,2622,46,1029,28,125,0,0,2695,0,0,0,0,0,0,0
309,T_2807,70959,25372,181,285,1342,624,802,4213,2109,6214,75,4105,88,218,0,0,4058,0,0,0,0,0,0,0
310,T_2809,34439,11127,92,89,574,294,321,2388,1018,2742,41,482,276,124,0,0,2176,0,0,0,0,0,0,0
311,T_2812,32833,12148,101,81,985,156,310,2108,738,1619,53,2439,40,63,0,0,2813,0,0,0,0,0,0,0
312,T_2815,84210,26990,218,193,1081,966,689,6467,4224,5262,66,2166,85,279,0,0,4126,0,0,0,0,0,0,0
313,T_2861,100337,40998,386,325,1776,742,1757,11199,6441,12516,139,508,64,625,0,0,3485,0,0,0,0,0,0,0
314,T_2805,65176,20592,140,190,1826,162,301,5918,3346,4277,70,1084,27,195,0,0,2282,0,0,0,0,0,0,0
315,T_2806,46095,14658,99,130,933,362,427,2539,1986,2911,47,1778,30,261,0,0,2353,0,0,0,0,0,0,0
316,T_2808,54940,16151,91,147,985,233,476,3517,2300,3473,63,1375,64,210,0,0,2430,0,0,0,0,0,0,0
317,T_2810,40150,12940,97,123,1156,196,324,3204,1526,2706,29,1352,38,203,0,0,1414,0,0,0,0,0,0,0
318,T_2811,26900,8317,60,64,976,113,220,1670,1264,1128,25,1135,32,84,0,0,1117,0,0,0,0,0,0,0
319,T_2813,26832,8247,47,70,864,87,188,2139,761,1300,27,977,25,95,0,0,1346,0,0,0,0,0,0,0
320,T_2814,88466,27192,240,178,1488,1212,709,5805,3061,6061,85,2592,246,412,0,0,3692,0,0,0,0,0,0,0
321,T_2816,45136,15749,132,115,1869,130,529,2599,1244,2869,24,2975,39,140,0,0,2274,0,0,0,0,0,0,0
322,T_2817,54904,17382,179,119,1320,457,526,3012,1871,3292,47,2384,403,221,0,0,2679,0,0,0,0,0,0,0
323,T_2818,21496,6199,34,34,321,45,103,820,595,1196,26,2026,26,74,0,0,614,0,0,0,0,0,0,0
324,T_2819,19682,5684,37,48,424,109,191,1034,813,1132,11,394,9,80,0,0,1158,0,0,0,0,0,0,0
325,T_2862,133877,62325,467,382,3915,3029,2379,14362,10709,19353,105,1412,200,1257,0,0,2990,0,0,0,0,0,0,0
326,T_3004,58381,20430,284,114,1503,172,706,3589,2439,3467,36,1875,287,203,0,82,4338,24,0,0,0,0,0,0
327,T_3006,54962,20150,182,131,1177,352,697,5285,2132,2910,53,2810,56,232,0,47,2838,30,0,0,0,0,0,0
328,T_3007,62231,22772,262,113,1422,270,716,3317,3259,1829,79,3699,13,224,0,52,6214,48,0,0,0,0,0,0
329,T_3008,42756,16583,138,114,1194,159,523,3476,1413,3773,71,1830,34,195,0,39,2512,53,0,0,0,0,0,0
330,T_3011,60270,22651,250,123,1370,280,845,2946,2179,7437,45,1329,29,306,0,46,3997,27,0,0,0,0,0,0
331,T_3012,59587,24387,157,115,1478,193,1110,3687,2310,6265,36,3371,148,266,0,41,3807,28,0,0,0,0,0,0
332,T_3013,37559,13519,307,81,1376,122,403,1785,1691,2293,26,1360,44,198,0,26,2813,30,0,0,0,0,0,0
333,T_3017,124416,50587,562,336,3484,522,1698,11700,6804,9578,86,5560,71,646,0,100,7013,128,0,0,0,0,0,0
334,T_3018,41776,15178,95,83,1179,118,292,1862,1245,2500,23,3741,23,144,0,30,2835,67,0,0,0,0,0,0
335,T_3020,48129,17244,132,135,993,311,918,3531,1718,2642,22,2122,18,234,0,54,3240,38,0,0,0,0,0,0
336,T_3022,46775,16601,222,77,1651,279,502,2028,2349,3225,44,1806,16,226,0,55,2879,32,0,0,0,0,0,0
337,T_3061,86950,36818,346,266,1993,747,3584,10003,4940,8567,67,1154,74,745,0,64,2943,40,0,0,0,0,0,0
338,T_3063,50545,21405,342,102,2240,396,947,3562,4252,6769,20,310,56,364,0,26,1254,16,0,0,0,0,0,0
339,T_3003,110663,43680,641,339,2375,517,1327,9357,8964,8512,89,2499,0,610,78,99,6233,0,124,61,0,0,0,0
340,T_3009,70897,26605,163,145,1917,260,1115,4386,2323,2804,62,4753,0,268,73,58,6782,0,130,40,0,0,0,0
341,T_3010,93360,31486,278,193,1943,342,928,5909,2167,4139,89,3057,0,335,72,81,9343,0,879,63,0,0,0,0
342,T_3023,46290,16442,113,153,912,164,819,2556,1429,2375,44,3022,0,174,32,40,3603,0,198,29,0,0,0,0
343,T_3025,42306,15363,110,140,1028,250,509,2314,2189,3241,38,1294,0,228,79,50,2992,0,59,26,0,0,0,0
344,T_3026,45677,16740,112,122,1170,331,768,3112,2264,3294,61,1746,0,251,51,50,2392,0,107,26,0,0,0,0
345,T_3027,65354,24983,186,179,1651,196,1507,4735,1777,3953,49,3146,0,232,207,43,5874,0,87,31,0,0,0,0
346,T_3030,57844,24700,221,180,1344,705,1049,3554,2856,5556,42,1899,0,1144,48,61,4859,0,88,31,0,0,0,0
347,T_3062,64758,28522,292,302,1341,760,1483,7013,4534,7074,46,794,0,430,56,62,3058,0,275,16,0,0,0,0
348,T_3001,36690,15673,90,124,725,200,1120,1848,1995,4256,83,1538,0,199,0,0,2448,0,0,0,0,0,0,0
349,T_3002,67343,25659,498,184,1773,407,1833,5098,2326,6808,82,1261,0,316,0,0,3419,0,0,0,0,0,0,0
350,T_3005,37193,13125,56,106,1231,128,254,1809,2056,2509,30,1487,0,185,0,0,2487,0,0,0,0,0,0,0
351,T_3014,28205,9528,98,61,530,96,1140,1339,1212,2217,31,683,0,159,0,0,1260,0,0,0,0,0,0,0
352,T_3015,54940,20074,138,230,1672,215,660,3871,2141,4547,44,2786,0,228,0,0,2350,0,0,0,0,0,0,0
353,T_3016,43199,16240,166,137,1004,156,724,2933,2825,3403,67,1464,0,221,0,0,2168,0,0,0,0,0,0,0
354,T_3019,106224,50125,334,337,3511,1148,3078,8570,7286,12875,138,3281,0,602,0,0,6161,0,0,0,0,0,0,0
355,T_3024,68223,25054,167,162,1405,257,1883,3929,4257,4744,62,3373,0,448,0,0,2807,0,0,0,0,0,0,0
356,T_3028,52005,20821,213,117,1064,178,785,2949,3780,4238,62,2203,0,194,0,0,3802,0,0,0,0,0,0,0
357,T_3029,41722,16028,81,115,1225,164,225,2088,4494,3205,21,1383,0,173,0,0,1900,0,0,0,0,0,0,0
358,T_3031,53472,20589,153,143,2131,345,1083,2602,2250,5261,61,1652,0,223,0,0,3470,0,0,0,0,0,0,0
359,T_3021,216859,91673,415,539,5149,2306,4509,20915,6972,33382,157,4285,386,1580,281,0,7292,0,0,0,0,0,0,0
360,T_3064,448296,222482,1191,1430,11330,9071,12010,57070,25001,82509,382,1984,287,4113,520,0,10134,0,0,0,0,0,0,0
361,T_3201,37945,11938,72,67,562,154,431,3517,1156,1887,29,557,0,132,0,0,2817,0,0,0,0,0,0,0
362,T_3202,40301,12086,54,95,571,207,314,1917,1847,1975,29,1849,0,105,0,0,2534,0,0,0,0,0,0,0
363,T_3203,47492,15245,99,167,852,565,563,2389,2010,2742,26,785,0,166,0,0,4181,0,0,0,0,0,0,0
364,T_3208,61220,22972,128,182,815,545,829,6107,3214,6127,97,752,0,265,0,0,3065,0,0,0,0,0,0,0
365,T_3209,49255,15921,128,140,704,510,1147,2662,1380,2874,42,918,0,186,0,0,4391,0,0,0,0,0,0,0
366,T_3213,45281,15186,100,95,594,207,449,2380,1514,2155,32,838,0,167,0,0,6008,0,0,0,0,0,0,0
367,T_3215,61916,22298,143,163,952,1552,778,5085,2236,5123,53,830,0,230,0,0,4294,0,0,0,0,0,0,0
368,T_3216,39542,13234,96,104,655,258,598,1936,2078,1914,69,1441,0,121,0,0,3326,0,0,0,0,0,0,0
369,T_3217,43324,15378,82,124,596,941,879,2273,2734,3622,25,526,0,180,0,0,2664,0,0,0,0,0,0,0
370,T_3261,88054,38681,196,280,1782,1625,2285,7403,6174,9755,89,721,0,604,0,0,6686,0,0,0,0,0,0,0
371,T_3204,62588,21076,0,170,1087,523,920,3218,2936,5598,71,2229,0,400,0,0,3005,0,55,0,0,0,0,0
372,T_3205,48765,16130,0,151,806,304,656,3163,2454,3151,86,869,0,195,0,0,3550,0,36,0,0,0,0,0
373,T_3206,65059,21088,0,200,1645,353,728,5593,2517,3757,78,1255,0,720,0,0,3128,0,147,0,0,0,0,0
374,T_3207,39084,13154,0,188,787,208,453,2468,2147,3488,51,797,0,264,0,0,1773,0,32,0,0,0,0,0
375,T_3210,53503,16866,0,199,1422,894,562,3190,2410,3398,53,791,0,225,0,0,3060,0,46,0,0,0,0,0
376,T_3211,47664,17619,0,158,821,749,862,4128,1995,6231,93,307,0,376,0,0,1345,0,36,0,0,0,0,0
377,T_3212,32028,10706,0,107,702,198,489,1760,1232,2216,33,989,0,149,0,0,2314,0,41,0,0,0,0,0
378,T_3214,94132,33125,0,375,1885,985,1935,7668,4340,7096,95,1411,0,518,0,0,5201,0,92,0,0,0,0,0
379,T_3218,30493,9048,0,79,556,250,452,1610,1395,1743,31,557,0,100,0,0,1800,0,27,0,0,0,0,0
380,T_3262,324156,145882,0,1454,8263,4566,9192,35756,21743,46178,459,2123,0,2911,0,0,9471,0,578,0,0,0,0,0
381,T_3263,34040,13377,0,167,857,284,706,3028,2531,4031,29,489,0,244,0,0,669,0,37,0,0,0,0,0
382,T_3299,49,49,0,1,3,0,1,7,7,13,1,2,0,8,0,0,5,0,0,0,0,0,0,0
